"1700024P16Rik"	"GO:0003674;GO:0005575;GO:0007165"
"1700025G04Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700028J19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700028K03Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700028P14Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"1700029F12Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700029I15Rik"	"GO:0003674;GO:0005575;GO:0005576;GO:0008150"
"1700029J07Rik"	"GO:0003674;GO:0005737;GO:0005813;GO:0005856;GO:0008150"
"1700030J22Rik"	"GO:0003674;GO:0005634;GO:0005654;GO:0005737;GO:0008150"
"1700030K09Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700034I23Rik"	"GO:0003674;GO:0005739;GO:0008150"
"1700034J05Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700037C18Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700037H04Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700040L02Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700047I17Rik2"	"GO:0003674;GO:0005575;GO:0008150"
"1700048O20Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700057G04Rik"	"GO:0005886;GO:0015914;GO:0017121;GO:0017128"
"1700061G19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700066B19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700066M21Rik"	"GO:0003674;GO:0005575;GO:0005576;GO:0008150"
"1700067K01Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700088E04Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700092M07Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700093K21Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"1700102P08Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700109H08Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700112E06Rik"	"GO:0003674;GO:0005575;GO:0030154;GO:0030318"
"1700123L14Rik"	"GO:0005643;GO:0006606;GO:0008536"
"1700123O20Rik"	"GO:0003674;GO:0005575;GO:0005739;GO:0008150"
"1700128F08Rik"	"GO:0000243;GO:0000398;GO:0003729;GO:0005689;GO:0017069;GO:0071011"
"1810009A15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1810010H24Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1810011H11Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1810011O10Rik"	"GO:0002264;GO:0005112;GO:0005634;GO:0005730;GO:0005737;GO:0006915;GO:0016607;GO:0034605;GO:0042346;GO:0043620;GO:0045746;GO:1902806;GO:1903706"
"1810013L24Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1810022K09Rik"	"GO:0003674;GO:0005575"
"1810024B03Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1810030O07Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1810032O08Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1810037I17Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"1810041L15Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"1810043G02Rik"	"GO:0003674;GO:0005737;GO:0005739;GO:0005856;GO:0005886;GO:0007010;GO:0007224;GO:0008360;GO:0030030;GO:0032391;GO:0036064;GO:0042995;GO:0060271"
"1810055G02Rik"	"GO:0003674;GO:0005575;GO:0005794;GO:0005886;GO:0008150;GO:0016020;GO:0016021"
"2010107E04Rik"	"GO:0003674;GO:0005739;GO:0008150;GO:0016020;GO:0016021"
"2010107G23Rik"	"GO:0005515;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"2010109I03Rik"	"GO:0003674;GO:0008150;GO:0009986"
"2010111I01Rik"	"GO:0004177;GO:0005730;GO:0005737;GO:0005886;GO:0006508;GO:0008233;GO:0008237;GO:0008270;GO:0016787;GO:0042277;GO:0043171;GO:0046872;GO:0070006"
"2010300C02Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2200002D01Rik"	"GO:0003674;GO:0005730;GO:0008150"
"2210010C04Rik"	"GO:0004252;GO:0005615;GO:0006508;GO:0007586"
"2210016F16Rik"	"GO:0003674;GO:0005575;GO:0006400"
"2210016L21Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2210017I01Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2210408I21Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2210418O10Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2300009A05Rik"	"GO:0003674;GO:0005575;GO:0005576;GO:0008150"
"2310009B15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2310011J03Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2310022A10Rik"	"GO:0003674;GO:0005654;GO:0008150"
"2310022B05Rik"	"GO:0003674;GO:0005737;GO:0008150"
"2310030G06Rik"	"GO:0003674;GO:0008150;GO:0070062"
"2310033P09Rik"	"GO:0005575;GO:0008150;GO:0044822"
"2310035C23Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2310036O22Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2310039H08Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2310057J18Rik"	"GO:0003674;GO:0005576;GO:0007275;GO:0008150"
"2310057M21Rik"	"GO:0005575;GO:0008150;GO:0042802"
"2310061I04Rik"	"GO:0003674;GO:0005739;GO:0008150"
"2410004B18Rik"	"GO:0005634;GO:0008150;GO:0044822"
"2410004P03Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2410016O06Rik"	"GO:0003723;GO:0005506;GO:0005515;GO:0005634;GO:0005730;GO:0006338;GO:0006351;GO:0006355;GO:0016491;GO:0016569;GO:0016706;GO:0018193;GO:0030685;GO:0032453;GO:0034720;GO:0042254;GO:0043687;GO:0045668;GO:0045892;GO:0046872;GO:0051213;GO:0051864;GO:0055114;GO:0070544"
"2410089E03Rik"	"GO:0001736;GO:0001822;GO:0003279;GO:0003281;GO:0003674;GO:0007507;GO:0016020;GO:0016021;GO:0021549;GO:0030030;GO:0035869;GO:0042733;GO:0042995;GO:0060021;GO:0060271;GO:0060976;GO:1904491"
"2410131K14Rik"	"GO:0003674;GO:0005575;GO:0005576;GO:0008150"
"2410141K09Rik"	"GO:0003700;GO:0005575;GO:0006355"
"2510002D24Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2510009E07Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2510039O18Rik"	"GO:0003674;GO:0008150;GO:0016020;GO:0016021"
"2610001J05Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2610002M06Rik"	"GO:0003674;GO:0005575;GO:0005737;GO:0005768;GO:0006810;GO:0007034;GO:0007049;GO:0008150;GO:0015031;GO:0016020;GO:0051301"
"2610008E11Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2610020H08Rik"	"GO:0003674;GO:0005730;GO:0008150;GO:0070062"
"2610021A01Rik"	"GO:0003700;GO:0005575;GO:0006355"
"2610042L04Rik"	"GO:0001933;GO:0005515;GO:0005575;GO:0007416;GO:0010821;GO:0060025"
"2610044O15Rik8"	"GO:0003674;GO:0005575;GO:0008150"
"2610301B20Rik"	"GO:0003674;GO:0005737;GO:0005886;GO:0008150;GO:0030054;GO:0097546"
"2610318N02Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2610507B11Rik"	"GO:0003674;GO:0005575;GO:0005576;GO:0008150"
"2610524H06Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2610528A11Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2700049A03Rik"	"GO:0005515;GO:0005737;GO:0005813;GO:0005814;GO:0005856;GO:0007224;GO:0030030;GO:0036064;GO:0042995;GO:0060271;GO:0070201"
"2700060E02Rik"	"GO:0000993;GO:0003723;GO:0005634;GO:0005654;GO:0005737;GO:0005856;GO:0006351;GO:0006355;GO:0006388;GO:0042802;GO:0044822;GO:0045944;GO:0072669"
"2700062C07Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2700081O15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2700097O09Rik"	"GO:0005737;GO:0008757;GO:0032259"
"2810004N23Rik"	"GO:0005694;GO:0008150;GO:0044822"
"2810006K23Rik"	"GO:0003747;GO:0004045;GO:0005739;GO:0005762;GO:0006412;GO:0006415;GO:0016150;GO:0043022;GO:0070126;GO:0072344"
"2810021J22Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2810403A07Rik"	"GO:0003723;GO:0005515;GO:0005634;GO:0008150"
"2810428I15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2810459M11Rik"	"GO:0005515;GO:0005575;GO:0008150"
"2810474O19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2900011O08Rik"	"GO:0005515;GO:0007026;GO:0015630;GO:0021822"
"2900026A02Rik"	"GO:0003674;GO:0005575;GO:0008150"
"2900055J20Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3100002H09Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3110001I22Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3110002H16Rik"	"GO:0005765"
"3110009E18Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3110018I06Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3110021N24Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3110035E14Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3110040N11Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3110043O21Rik"	"GO:0005515;GO:0005576;GO:0005615;GO:0005634;GO:0005654;GO:0005737;GO:0005764;GO:0005768;GO:0005776;GO:0006897;GO:0006914;GO:0015629;GO:0017137;GO:0031410;GO:0045171"
"3110062M04Rik"	"GO:0003674;GO:0005634;GO:0005737;GO:0006281;GO:0006303;GO:0006974"
"3110070M22Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3110082I17Rik"	"GO:0005575;GO:0008150;GO:0044822"
"3110082J24Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3300002I08Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3425401B19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3632451O06Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"3830406C13Rik"	"GO:0003674;GO:0005575;GO:0008150"
"3830408C21Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4430402I18Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4833420G17Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4833423E24Rik"	"GO:0005575;GO:0005783;GO:0006629;GO:0006631;GO:0006633;GO:0006810;GO:0008150;GO:0016020;GO:0016021;GO:0016491;GO:0046872;GO:0055114"
"4833439L19Rik"	"GO:0003674;GO:0005737;GO:0008150;GO:0016491;GO:0055114"
"4921501E09Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4921509C19Rik"	"GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005622;GO:0005634;GO:0005737;GO:0006468;GO:0016301;GO:0016310;GO:0016740;GO:0032870;GO:0035556"
"4921513D11Rik"	"GO:0000470;GO:0003682;GO:0030174;GO:0030687;GO:0071339;GO:0097344"
"4921513I03Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4921524J17Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4921536K21Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930402H24Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930404N11Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930415O20Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930426L09Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930427A07Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930430A15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930430F08Rik"	"GO:0002244;GO:0003674;GO:0005575"
"4930432K21Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930444P10Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930447A16Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930447C04Rik"	"GO:0003674;GO:0005575;GO:0007275;GO:0051090"
