"Dkk1"	"GO:0000122;GO:0000904;GO:0001706;GO:0001707;GO:0001942;GO:0002090;GO:0005515;GO:0005576;GO:0005615;GO:0005886;GO:0007275;GO:0007492;GO:0016055;GO:0030111;GO:0030178;GO:0030326;GO:0030514;GO:0030900;GO:0032091;GO:0032526;GO:0033137;GO:0039706;GO:0042662;GO:0042663;GO:0048019;GO:0048642;GO:0050750;GO:0050807;GO:0051966;GO:0060323;GO:0060325;GO:0060394;GO:0061743;GO:0090082;GO:0090090;GO:0090244;GO:1901296;GO:1904723;GO:1904958;GO:2000726"
"Dkk2"	"GO:0005576;GO:0005615;GO:0007275;GO:0016055;GO:0030178;GO:0039706;GO:0090090;GO:0090263"
"Dkk3"	"GO:0005576;GO:0005615;GO:0007275;GO:0016055;GO:0030178;GO:0032348;GO:0045892;GO:0090090;GO:2000065"
"Dkk4"	"GO:0005576;GO:0007275;GO:0016055;GO:0030178;GO:0061170"
"Dkkl1"	"GO:0005515;GO:0005576;GO:0045600"
"Dlat"	"GO:0004742;GO:0005739;GO:0005967;GO:0005975;GO:0006006;GO:0006086;GO:0006090;GO:0006099;GO:0008152;GO:0016740;GO:0016746;GO:0034604;GO:0043209;GO:0045254;GO:0061732"
"Dlc1"	"GO:0001725;GO:0001843;GO:0003007;GO:0005096;GO:0005634;GO:0005737;GO:0005829;GO:0005884;GO:0005901;GO:0005925;GO:0006915;GO:0006919;GO:0007010;GO:0007165;GO:0007202;GO:0008285;GO:0008289;GO:0008360;GO:0016020;GO:0017166;GO:0021575;GO:0030036;GO:0030054;GO:0030336;GO:0030864;GO:0030900;GO:0032587;GO:0032956;GO:0035023;GO:0035024;GO:0035307;GO:0042169;GO:0043274;GO:0045121;GO:0048041;GO:0051497;GO:0051895;GO:1900119"
"Dld"	"GO:0004148;GO:0005654;GO:0005739;GO:0005929;GO:0006086;GO:0006103;GO:0006120;GO:0006508;GO:0007369;GO:0009106;GO:0016491;GO:0016668;GO:0034604;GO:0042391;GO:0043159;GO:0043209;GO:0043544;GO:0045252;GO:0045254;GO:0045454;GO:0048240;GO:0050660;GO:0051068;GO:0051287;GO:0055114;GO:0061732"
"Dlec1"	"GO:0003674;GO:0005737;GO:0008150;GO:0008285"
"Dleu7"	"GO:0003674;GO:0005575;GO:0008150"
"Dlg1"	"GO:0000122;GO:0001657;GO:0001658;GO:0001771;GO:0001772;GO:0001935;GO:0002088;GO:0002369;GO:0004385;GO:0005515;GO:0005605;GO:0005634;GO:0005737;GO:0005783;GO:0005794;GO:0005829;GO:0005874;GO:0005886;GO:0005902;GO:0005911;GO:0005913;GO:0005923;GO:0007015;GO:0007268;GO:0008022;GO:0008104;GO:0008284;GO:0008328;GO:0008360;GO:0009898;GO:0009925;GO:0014069;GO:0015459;GO:0016020;GO:0016323;GO:0016328;GO:0016337;GO:0019900;GO:0019901;GO:0019902;GO:0030054;GO:0030165;GO:0030315;GO:0030432;GO:0030838;GO:0030866;GO:0030953;GO:0031253;GO:0031434;GO:0031579;GO:0031594;GO:0031641;GO:0032147;GO:0032880;GO:0032947;GO:0033268;GO:0033270;GO:0034629;GO:0035255;GO:0035748;GO:0040018;GO:0042110;GO:0042130;GO:0042391;GO:0042734;GO:0042982;GO:0043005;GO:0043113;GO:0043219;GO:0043268;GO:0043622;GO:0044325;GO:0045121;GO:0045197;GO:0045202;GO:0045211;GO:0045930;GO:0048471;GO:0048608;GO:0048639;GO:0048704;GO:0048729;GO:0048745;GO:0050680;GO:0051660;GO:0051898;GO:0060022;GO:0070062;GO:0070373;GO:0070830;GO:0072659;GO:0090004;GO:0097016;GO:0097025;GO:0097120;GO:0098641;GO:0098911;GO:1903286;GO:1903753;GO:1903760;GO:1903764"
"Dlg2"	"GO:0004385;GO:0005515;GO:0005737;GO:0005886;GO:0007268;GO:0007399;GO:0008022;GO:0008076;GO:0008328;GO:0010923;GO:0014069;GO:0016020;GO:0019233;GO:0019900;GO:0019903;GO:0030054;GO:0030165;GO:0030425;GO:0035255;GO:0042995;GO:0043025;GO:0043113;GO:0044224;GO:0045161;GO:0045202;GO:0045211;GO:0046982;GO:0097120"
"Dlg3"	"GO:0001736;GO:0004385;GO:0005515;GO:0005615;GO:0005737;GO:0005886;GO:0005911;GO:0005923;GO:0007268;GO:0007399;GO:0008022;GO:0010923;GO:0014069;GO:0016323;GO:0019900;GO:0019902;GO:0019903;GO:0019904;GO:0030165;GO:0030426;GO:0031625;GO:0032281;GO:0035255;GO:0043025;GO:0043113;GO:0043198;GO:0045197;GO:0045202;GO:0045211;GO:0097120"
"Dlg4"	"GO:0002091;GO:0004385;GO:0005102;GO:0005198;GO:0005515;GO:0005737;GO:0005783;GO:0005886;GO:0006461;GO:0007204;GO:0007626;GO:0008021;GO:0008022;GO:0008076;GO:0008328;GO:0014069;GO:0016020;GO:0016188;GO:0016323;GO:0019900;GO:0019901;GO:0019903;GO:0030054;GO:0030165;GO:0030425;GO:0030863;GO:0031234;GO:0031697;GO:0031748;GO:0031812;GO:0032281;GO:0032403;GO:0032839;GO:0033130;GO:0035176;GO:0035254;GO:0035255;GO:0035418;GO:0035641;GO:0042043;GO:0042220;GO:0042995;GO:0043113;GO:0043197;GO:0044224;GO:0044300;GO:0044306;GO:0044309;GO:0045184;GO:0045197;GO:0045202;GO:0045211;GO:0048168;GO:0048169;GO:0050806;GO:0050885;GO:0060076;GO:0060997;GO:0071625;GO:0071944;GO:0097060;GO:0097109;GO:0097110;GO:0097113;GO:0097120;GO:2000310;GO:2000463;GO:2000821"
"Dlg5"	"GO:0005515;GO:0005913;GO:0006461;GO:0008013;GO:0008092;GO:0030859;GO:0030901;GO:0045176;GO:0045186;GO:0045197;GO:0060441;GO:0071896;GO:0072205"
"Dlgap1"	"GO:0005886;GO:0007268;GO:0014069;GO:0016020;GO:0019904;GO:0023052;GO:0030054;GO:0032403;GO:0035418;GO:0045202;GO:0045211;GO:0061136;GO:0070842"
"Dlgap2"	"GO:0005886;GO:0007270;GO:0008150;GO:0016020;GO:0019904;GO:0023052;GO:0030054;GO:0030425;GO:0045202;GO:0045211"
"Dlgap3"	"GO:0001540;GO:0005886;GO:0006461;GO:0016020;GO:0017146;GO:0019904;GO:0023052;GO:0030054;GO:0030165;GO:0032947;GO:0043025;GO:0043197;GO:0045202;GO:0045211;GO:0097110"
"Dlgap4"	"GO:0005515;GO:0005886;GO:0008150;GO:0016020;GO:0019904;GO:0023052;GO:0030425;GO:0043025;GO:0045202"
"Dlgap5"	"GO:0004721;GO:0005634;GO:0005737;GO:0005815;GO:0005856;GO:0007049;GO:0023052;GO:0031616"
"Dlk1"	"GO:0005509;GO:0005515;GO:0005615;GO:0009790;GO:0009791;GO:0009897;GO:0010468;GO:0016020;GO:0016021;GO:0030154;GO:0045599;GO:0045746;GO:0048706"
"Dlk2"	"GO:0005509;GO:0016020;GO:0016021;GO:0042803;GO:0045598;GO:0045746;GO:0046982;GO:0070062"
"Dll1"	"GO:0001701;GO:0001756;GO:0001757;GO:0001947;GO:0002315;GO:0003323;GO:0005112;GO:0005509;GO:0005515;GO:0005634;GO:0005886;GO:0005912;GO:0007154;GO:0007219;GO:0007267;GO:0007275;GO:0007368;GO:0007386;GO:0007399;GO:0008217;GO:0008284;GO:0008285;GO:0009887;GO:0009912;GO:0009954;GO:0010628;GO:0014002;GO:0014807;GO:0016020;GO:0016021;GO:0016324;GO:0021510;GO:0021688;GO:0021693;GO:0030054;GO:0030154;GO:0030155;GO:0030857;GO:0030957;GO:0031410;GO:0032693;GO:0034351;GO:0035265;GO:0040008;GO:0042472;GO:0042475;GO:0042491;GO:0045121;GO:0045596;GO:0045605;GO:0045608;GO:0045638;GO:0045662;GO:0045665;GO:0045747;GO:0045807;GO:0045944;GO:0046331;GO:0048630;GO:0048631;GO:0048633;GO:0048665;GO:0048839;GO:0050767;GO:0051302;GO:0060041;GO:0060042;GO:0060853;GO:0061314;GO:0070986;GO:0072006;GO:0072014;GO:0072070;GO:0072583;GO:0097102;GO:0097110;GO:0097150;GO:0098773;GO:1900746;GO:1903672;GO:2000505"
"Dll3"	"GO:0001501;GO:0001701;GO:0001709;GO:0001756;GO:0005112;GO:0005509;GO:0005515;GO:0007219;GO:0007275;GO:0007386;GO:0007399;GO:0009888;GO:0016020;GO:0016021;GO:0030154;GO:0045746;GO:0048339;GO:0048712;GO:0050768;GO:0050769"
"Dll4"	"GO:0000122;GO:0001525;GO:0001569;GO:0001974;GO:0003208;GO:0003209;GO:0003222;GO:0003344;GO:0005112;GO:0005509;GO:0005515;GO:0005886;GO:0005887;GO:0007154;GO:0007219;GO:0007275;GO:0007399;GO:0007601;GO:0008285;GO:0010596;GO:0010628;GO:0010629;GO:0016020;GO:0016021;GO:0030154;GO:0030217;GO:0035912;GO:0035924;GO:0043537;GO:0044344;GO:0045746;GO:0045747;GO:0050767;GO:0050896;GO:0060579;GO:0061074;GO:0061314;GO:0072554;GO:0090051;GO:1903588;GO:2000179"
"Dlst"	"GO:0004149;GO:0005634;GO:0005739;GO:0005886;GO:0006099;GO:0006103;GO:0006734;GO:0008152;GO:0016020;GO:0016740;GO:0016746;GO:0031072;GO:0043209;GO:0043231;GO:0045252;GO:0051087;GO:0070062"
"Dlx1"	"GO:0000122;GO:0000977;GO:0003677;GO:0003682;GO:0005634;GO:0006355;GO:0006357;GO:0007275;GO:0009954;GO:0021544;GO:0021766;GO:0021879;GO:0021882;GO:0021892;GO:0021893;GO:0030154;GO:0042475;GO:0043524;GO:0043565;GO:0045746;GO:0048706;GO:0048715"
"Dlx2"	"GO:0000122;GO:0000977;GO:0001228;GO:0003677;GO:0003682;GO:0003727;GO:0005515;GO:0005634;GO:0006355;GO:0006357;GO:0007275;GO:0009954;GO:0021544;GO:0021766;GO:0021772;GO:0021879;GO:0021882;GO:0021892;GO:0021893;GO:0030154;GO:0042475;GO:0043565;GO:0045746;GO:0045944;GO:0048701;GO:0048706;GO:0048715;GO:0048755;GO:0051216"
"Dlx5"	"GO:0000790;GO:0000978;GO:0001077;GO:0001503;GO:0001649;GO:0001958;GO:0003677;GO:0005515;GO:0005634;GO:0005737;GO:0006351;GO:0006355;GO:0007275;GO:0007409;GO:0007411;GO:0008283;GO:0010628;GO:0021889;GO:0030326;GO:0030509;GO:0030855;GO:0042472;GO:0043565;GO:0043583;GO:0044212;GO:0045669;GO:0045893;GO:0045944;GO:0048646;GO:0050679;GO:0060021;GO:0060166;GO:0060322;GO:0060325;GO:0060349;GO:0071773;GO:0071837;GO:0090263;GO:0097376;GO:1901522"
"Dlx6"	"GO:0003677;GO:0005634;GO:0006355;GO:0007275;GO:0030326;GO:0030855;GO:0042472;GO:0043565;GO:0048646;GO:0050679;GO:0060021;GO:0060322"
"Dmap1"	"GO:0000122;GO:0001103;GO:0003714;GO:0005515;GO:0005634;GO:0005657;GO:0005737;GO:0006281;GO:0006338;GO:0006351;GO:0006355;GO:0016569;GO:0035267;GO:0040008;GO:0042993;GO:0043967;GO:0043968;GO:0045892"
"Dmbx1"	"GO:0000122;GO:0000977;GO:0001227;GO:0003677;GO:0003700;GO:0005634;GO:0005667;GO:0006351;GO:0006355;GO:0007275;GO:0007417;GO:0007420;GO:0008343;GO:0008344;GO:0042803;GO:0043565;GO:0045892;GO:0046982;GO:0048589"
"Dmc1"	"GO:0000150;GO:0000166;GO:0000400;GO:0000730;GO:0000781;GO:0000794;GO:0001541;GO:0001556;GO:0003677;GO:0003690;GO:0003697;GO:0004520;GO:0005524;GO:0005634;GO:0005654;GO:0005694;GO:0006259;GO:0006281;GO:0006312;GO:0007049;GO:0007129;GO:0007131;GO:0007141;GO:0007276;GO:0007283;GO:0007286;GO:0008094;GO:0010212;GO:0042148;GO:0051321"
"Dmd"	"GO:0001954;GO:0002027;GO:0002162;GO:0003779;GO:0005200;GO:0005515;GO:0005634;GO:0005737;GO:0005856;GO:0005886;GO:0006355;GO:0007517;GO:0007519;GO:0008065;GO:0008270;GO:0008307;GO:0009986;GO:0010468;GO:0010880;GO:0010881;GO:0010976;GO:0014809;GO:0014819;GO:0014904;GO:0016010;GO:0016020;GO:0016203;GO:0017022;GO:0017166;GO:0021629;GO:0030018;GO:0030054;GO:0030055;GO:0030175;GO:0031527;GO:0033137;GO:0034613;GO:0035994;GO:0042383;GO:0042391;GO:0043034;GO:0043043;GO:0043234;GO:0043623;GO:0044306;GO:0045121;GO:0045202;GO:0045211;GO:0045213;GO:0045666;GO:0046716;GO:0046872;GO:0048747;GO:0050998;GO:0051647;GO:0060048;GO:0060314;GO:0060857;GO:0070373;GO:0086001;GO:0090287;GO:1901385;GO:1902083;GO:2000651"
"Dmgdh"	"GO:0005542;GO:0005739;GO:0006544;GO:0016491;GO:0035999;GO:0044822;GO:0047865;GO:0050660;GO:0055114"
"Dmkn"	"GO:0003674;GO:0005576;GO:0005615;GO:0030154;GO:0070062;GO:1903575"
"Dmp1"	"GO:0001503;GO:0005576;GO:0005578;GO:0005634;GO:0005730;GO:0005737;GO:0010811;GO:0030198;GO:0030544;GO:0031214;GO:0043231;GO:0050840;GO:0070173"
"Dmpk"	"GO:0000166;GO:0002028;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005739;GO:0005741;GO:0005783;GO:0005789;GO:0005829;GO:0005886;GO:0006468;GO:0006874;GO:0006998;GO:0008016;GO:0010657;GO:0010830;GO:0014722;GO:0014853;GO:0016020;GO:0016021;GO:0016301;GO:0016310;GO:0016529;GO:0016740;GO:0017020;GO:0018105;GO:0031072;GO:0031307;GO:0031965;GO:0033017;GO:0046872;GO:0051823"
"Dmrt2"	"GO:0000977;GO:0000987;GO:0003677;GO:0003700;GO:0005634;GO:0006351;GO:0006355;GO:0007548;GO:0014807;GO:0042803;GO:0043565;GO:0045944;GO:0046872;GO:0048706;GO:0060972;GO:2000287"
"Dmrt3"	"GO:0000987;GO:0003677;GO:0003700;GO:0005634;GO:0006351;GO:0006355;GO:0007275;GO:0007548;GO:0007628;GO:0019226;GO:0021521;GO:0030154;GO:0042487;GO:0042803;GO:0043565;GO:0046661;GO:0046872;GO:0046982"
"Dmrta1"	"GO:0000987;GO:0001541;GO:0003677;GO:0003700;GO:0005634;GO:0006351;GO:0006355;GO:0042803;GO:0043565;GO:0046872;GO:0060179"
"Dmrta2"	"GO:0000987;GO:0002052;GO:0003677;GO:0003700;GO:0005634;GO:0006355;GO:0007548;GO:0021796;GO:0035914;GO:0042803;GO:0043565;GO:0046872;GO:0046982;GO:0048665;GO:0071542"
"Dmrtb1"	"GO:0000987;GO:0003677;GO:0003700;GO:0005515;GO:0005634;GO:0006351;GO:0006355;GO:0007548;GO:0042803;GO:0043565;GO:0046872"
"Dmrtc1a"	"GO:0000987;GO:0003700;GO:0005634;GO:0006351;GO:0006355;GO:0007548;GO:0042803"
"Dmtf1"	"GO:0000981;GO:0001135;GO:0003677;GO:0005634;GO:0005654;GO:0005737;GO:0006351;GO:0006355;GO:0006357;GO:0007049;GO:0030154;GO:0043565;GO:0044212"
"Dmtn"	"GO:0003779;GO:0005102;GO:0005737;GO:0005829;GO:0005856;GO:0005884;GO:0005886;GO:0006461;GO:0007010;GO:0008360;GO:0010591;GO:0010763;GO:0010801;GO:0010812;GO:0014069;GO:0014731;GO:0016020;GO:0030036;GO:0030194;GO:0030507;GO:0030863;GO:0031095;GO:0031253;GO:0031410;GO:0032956;GO:0033137;GO:0035584;GO:0035585;GO:0042995;GO:0043621;GO:0048471;GO:0048821;GO:0050732;GO:0051017;GO:0051489;GO:0051693;GO:0051895;GO:0070560;GO:0071277;GO:0071320;GO:0090303;GO:0090315;GO:0090527;GO:1900025;GO:1900026;GO:1901731;GO:2001046"
"Dmwd"	"GO:0003674;GO:0005575;GO:0016579"
"Dmxl1"	"GO:0003674;GO:0007035;GO:0043291;GO:0070072"
"Dmxl2"	"GO:0005615;GO:0007035;GO:0008021;GO:0016020;GO:0017137;GO:0030054;GO:0031410;GO:0043291;GO:0045202;GO:0070072"
"Dna2"	"GO:0000076;GO:0000166;GO:0000723;GO:0000729;GO:0000784;GO:0003677;GO:0003824;GO:0004386;GO:0004518;GO:0004519;GO:0005515;GO:0005524;GO:0005623;GO:0005634;GO:0005739;GO:0005760;GO:0006260;GO:0006264;GO:0006281;GO:0006284;GO:0006974;GO:0008152;GO:0016787;GO:0016890;GO:0017108;GO:0033567;GO:0042645;GO:0043137;GO:0043139;GO:0043142;GO:0043504;GO:0045740;GO:0046872;GO:0051536;GO:0051539;GO:0090305;GO:1902990"
"Dnaaf1"	"GO:0001947;GO:0003341;GO:0003356;GO:0005634;GO:0005737;GO:0005886;GO:0005929;GO:0005930;GO:0030324;GO:0035469;GO:0036158;GO:0036159;GO:0042995;GO:0044458;GO:0045502;GO:0060271;GO:0060972;GO:0070286;GO:0071907;GO:0071910"
"Dnaaf2"	"GO:0005515;GO:0005737;GO:0005875;GO:0010033;GO:0032526;GO:0036064;GO:0060285;GO:0070286;GO:0071973"
"Dnaaf3"	"GO:0003674;GO:0005575;GO:0005737;GO:0007368;GO:0007507;GO:0030030;GO:0044458;GO:0070286"
"Dnaaf5"	"GO:0003341;GO:0005737;GO:0030030;GO:0031514;GO:0036158;GO:0036159;GO:0045505"
"Dnah1"	"GO:0003351;GO:0003777;GO:0030317;GO:0036126;GO:0036156;GO:0036159;GO:0060294"
"Dnah10"	"GO:0003341;GO:0003777;GO:0036156"
"Dnah12"	"GO:0000166;GO:0003674;GO:0003774;GO:0003777;GO:0005524;GO:0005737;GO:0005856;GO:0005874;GO:0005929;GO:0007018;GO:0008150;GO:0016887;GO:0030286;GO:0036156;GO:0042995"
"Dnah14"	"GO:0003674;GO:0005575;GO:0008150"
"Dnah17"	"GO:0000166;GO:0003774;GO:0003777;GO:0005515;GO:0005524;GO:0005737;GO:0005856;GO:0005874;GO:0005929;GO:0007018;GO:0008150;GO:0016887;GO:0030286;GO:0036157;GO:0042995"
"Dnah2"	"GO:0000166;GO:0003774;GO:0003777;GO:0005524;GO:0005737;GO:0005856;GO:0005874;GO:0005929;GO:0007018;GO:0016887;GO:0030286;GO:0031514;GO:0036156;GO:0042995"
"Dnah3"	"GO:0000166;GO:0003674;GO:0003774;GO:0003777;GO:0005524;GO:0005737;GO:0005856;GO:0005874;GO:0005929;GO:0007018;GO:0008150;GO:0030286;GO:0036156;GO:0042995"
"Dnah5"	"GO:0000166;GO:0003341;GO:0003774;GO:0003777;GO:0005524;GO:0005737;GO:0005856;GO:0005858;GO:0005874;GO:0005929;GO:0005930;GO:0007018;GO:0007368;GO:0007507;GO:0016887;GO:0021670;GO:0030286;GO:0030317;GO:0036157;GO:0036158;GO:0042995;GO:0060271"
"Dnah6"	"GO:0003341;GO:0003777;GO:0036156"
"Dnah7a"	"GO:0003674;GO:0005737;GO:0005929;GO:0008150;GO:0036156"
"Dnah7b"	"GO:0003674;GO:0005737;GO:0008150;GO:0036156"
"Dnah7c"	"GO:0003674;GO:0005737;GO:0008150;GO:0036156"
"Dnah8"	"GO:0000166;GO:0003674;GO:0003774;GO:0003777;GO:0005524;GO:0005737;GO:0005856;GO:0005874;GO:0005929;GO:0007018;GO:0008150;GO:0016887;GO:0030286;GO:0031514;GO:0036157;GO:0042995;GO:0097228"
"Dnah9"	"GO:0003674;GO:0005930;GO:0008150"
"Dnaic1"	"GO:0003341;GO:0003351;GO:0003774;GO:0005737;GO:0005856;GO:0005874;GO:0005929;GO:0007368;GO:0007507;GO:0030286;GO:0030317;GO:0036157;GO:0036158;GO:0042995"
"Dnaic2"	"GO:0003341;GO:0003774;GO:0003777;GO:0005515;GO:0005737;GO:0005856;GO:0005858;GO:0005874;GO:0005929;GO:0005930;GO:0007368;GO:0009897;GO:0030030;GO:0030286;GO:0036126;GO:0036157;GO:0036158;GO:0042995;GO:0060271"
"Dnaja1"	"GO:0000151;GO:0001664;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005739;GO:0005783;GO:0005829;GO:0006457;GO:0007283;GO:0009408;GO:0016020;GO:0030317;GO:0030521;GO:0030544;GO:0030957;GO:0031072;GO:0031397;GO:0031625;GO:0042769;GO:0043065;GO:0043066;GO:0043231;GO:0043508;GO:0046872;GO:0050750;GO:0051082;GO:0051087;GO:0051223;GO:0055131;GO:0070062;GO:0070585;GO:1901998;GO:1903748;GO:1905259"
"Dnaja2"	"GO:0001948;GO:0005524;GO:0005634;GO:0005829;GO:0006457;GO:0009408;GO:0016020;GO:0031072;GO:0042026;GO:0046872;GO:0051082;GO:0051087;GO:0070062"
"Dnaja3"	"GO:0000122;GO:0005133;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005739;GO:0005759;GO:0005829;GO:0005884;GO:0005886;GO:0006264;GO:0006457;GO:0006469;GO:0006915;GO:0006919;GO:0006924;GO:0007005;GO:0007264;GO:0007528;GO:0007569;GO:0008134;GO:0008285;GO:0008385;GO:0009408;GO:0009790;GO:0016020;GO:0019897;GO:0019901;GO:0030054;GO:0030544;GO:0030695;GO:0030971;GO:0031072;GO:0031398;GO:0031594;GO:0032088;GO:0033077;GO:0033256;GO:0034341;GO:0042102;GO:0042645;GO:0042981;GO:0043065;GO:0043066;GO:0043069;GO:0043124;GO:0043154;GO:0043231;GO:0045202;GO:0045211;GO:0046872;GO:0050821;GO:0051059;GO:0051082;GO:0060336;GO:0071340"
"Dnaja4"	"GO:0005524;GO:0005829;GO:0006457;GO:0009408;GO:0016020;GO:0031072;GO:0042026;GO:0046872;GO:0051082;GO:0051087;GO:0090084"
"Dnajb1"	"GO:0001671;GO:0005634;GO:0005737;GO:0005829;GO:0005913;GO:0006457;GO:0030544;GO:0032781;GO:0051082;GO:0051085;GO:0051087;GO:0051117;GO:0070062;GO:0070389;GO:0090084;GO:0098609;GO:0098641"
"Dnajb11"	"GO:0005515;GO:0005634;GO:0005737;GO:0005783;GO:0006457;GO:0016020;GO:0016556;GO:0032781;GO:0034663;GO:0051082"
"Dnajb12"	"GO:0016020;GO:0016021"
"Dnajb13"	"GO:0003674;GO:0005737;GO:0005930;GO:0006457;GO:0031514;GO:0036126;GO:0051082;GO:1904158"
"Dnajb14"	"GO:0005783;GO:0008150;GO:0016020;GO:0016021"
"Dnajb2"	"GO:0000502;GO:0001671;GO:0005634;GO:0005737;GO:0005829;GO:0016234;GO:0030433;GO:0030544;GO:0031227;GO:0031396;GO:0031398;GO:0031593;GO:0031625;GO:0032091;GO:0032436;GO:0032781;GO:0032880;GO:0042026;GO:0043161;GO:0051082;GO:0051087;GO:0061077;GO:0070628;GO:0090084;GO:0090086;GO:1903644"
"Dnajb3"	"GO:0001669;GO:0005515;GO:0005737;GO:0005813;GO:0008150"
"Dnajb4"	"GO:0005654;GO:0005737;GO:0005829;GO:0005886;GO:0006457;GO:0016020;GO:0051082;GO:0051087;GO:0070062"
"Dnajb5"	"GO:0000122;GO:0005515;GO:0005634;GO:0005829;GO:0006457;GO:0051082;GO:0051087"
"Dnajb6"	"GO:0001671;GO:0003677;GO:0005515;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0006457;GO:0016020;GO:0030018;GO:0030036;GO:0030198;GO:0031072;GO:0032880;GO:0034504;GO:0043154;GO:0044183;GO:0045109;GO:0045892;GO:0048471;GO:0051082;GO:0051087;GO:0060710;GO:0060715;GO:0060717;GO:0061077;GO:0090084"
"Dnajb7"	"GO:0005575;GO:0008150;GO:0051087"
"Dnajb9"	"GO:0005515;GO:0005730;GO:0005737;GO:0005783;GO:0030433;GO:0051787;GO:0070062"
"Dnajc1"	"GO:0003677;GO:0005515;GO:0005634;GO:0005783;GO:0005788;GO:0005829;GO:0005886;GO:0006417;GO:0006457;GO:0016020;GO:0016021;GO:0043022;GO:0043231;GO:0050708;GO:0051087"
"Dnajc10"	"GO:0001671;GO:0001933;GO:0005515;GO:0005622;GO:0005783;GO:0005788;GO:0015035;GO:0015036;GO:0016020;GO:0016491;GO:0016671;GO:0030433;GO:0030544;GO:0032781;GO:0034663;GO:0034975;GO:0034976;GO:0045454;GO:0051087;GO:0051117;GO:0051787;GO:0055114;GO:0070059"
"Dnajc11"	"GO:0005739;GO:0005743;GO:0008150;GO:0070062"
"Dnajc12"	"GO:0005575;GO:0008150"
"Dnajc13"	"GO:0001649;GO:0003674;GO:0005737;GO:0005765;GO:0007032;GO:0010008;GO:0016020;GO:0031901;GO:0043231;GO:0070062;GO:0071203;GO:1902954;GO:2000641"
"Dnajc14"	"GO:0001664;GO:0005654;GO:0005730;GO:0005783;GO:0006810;GO:0008150;GO:0015031;GO:0016020;GO:0016021;GO:0050780;GO:0070062"
"Dnajc15"	"GO:0005515;GO:0005739;GO:0005743;GO:0006810;GO:0009267;GO:0015031;GO:0016020;GO:0016021;GO:0019216;GO:0031333;GO:1902957"
"Dnajc16"	"GO:0005575;GO:0008150;GO:0016020;GO:0016021;GO:0045454"
"Dnajc17"	"GO:0000122;GO:0000166;GO:0003676;GO:0003723;GO:0005634;GO:0005737;GO:0006351;GO:0006355;GO:1901998"
"Dnajc18"	"GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"Dnajc19"	"GO:0003674;GO:0005739;GO:0005743;GO:0007601;GO:0043234;GO:0048806"
"Dnajc2"	"GO:0003677;GO:0003682;GO:0005515;GO:0005634;GO:0005737;GO:0005829;GO:0006260;GO:0006351;GO:0006355;GO:0016569;GO:0030308;GO:0030544;GO:0031965;GO:0042393;GO:0043130;GO:0044822;GO:0045893;GO:2000279"
"Dnajc21"	"GO:0003676;GO:0005575;GO:0005634;GO:0005737;GO:0008150;GO:0008270;GO:0044822;GO:0046872"
"Dnajc24"	"GO:0001671;GO:0005737;GO:0005856;GO:0006810;GO:0008198;GO:0008270;GO:0032781;GO:0046872;GO:0055114"
"Dnajc25"	"GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"Dnajc27"	"GO:0000166;GO:0003924;GO:0005515;GO:0005525;GO:0005634;GO:0005739;GO:0007264;GO:0043410;GO:0070374;GO:0071701"
"Dnajc28"	"GO:0000301;GO:0003674;GO:0006890;GO:0007030;GO:0017119;GO:0048213"
"Dnajc3"	"GO:0004860;GO:0005515;GO:0005737;GO:0005783;GO:0005788;GO:0005790;GO:0005829;GO:0006417;GO:0006469;GO:0006986;GO:0016020;GO:0019901;GO:0030968;GO:0031205;GO:0036494;GO:0043066;GO:0051087;GO:0051603;GO:0051787;GO:0070062;GO:0070417;GO:1903561;GO:1903912"
"Dnajc30"	"GO:0005739;GO:0008150"
"Dnajc4"	"GO:0005739;GO:0016020;GO:0016021"
"Dnajc5"	"GO:0001948;GO:0005515;GO:0005739;GO:0005765;GO:0005886;GO:0008021;GO:0016020;GO:0043008;GO:0043195;GO:0043524;GO:0070062"
"Dnajc5b"	"GO:0005575;GO:0008150;GO:0016020"
"Dnajc6"	"GO:0003674;GO:0004721;GO:0004725;GO:0014069;GO:0016787;GO:0017124;GO:0031982;GO:0045202;GO:0072318;GO:2000369"
"Dnajc7"	"GO:0005634;GO:0005654;GO:0005737;GO:0005856;GO:0016020;GO:0031072;GO:0070062;GO:0070389"
"Dnajc8"	"GO:0005654;GO:0005737;GO:0045171"
"Dnajc9"	"GO:0005615;GO:0005634;GO:0005737;GO:0005886;GO:0016020;GO:0031072;GO:0032781"
"Dnal1"	"GO:0003674;GO:0008150;GO:0036157"
"Dnal4"	"GO:0003774;GO:0005737;GO:0005856;GO:0005874;GO:0005929;GO:0007017;GO:0030286;GO:0042995"
"Dnase1"	"GO:0003779;GO:0004518;GO:0004519;GO:0004530;GO:0004536;GO:0005576;GO:0005634;GO:0006308;GO:0006915;GO:0016787;GO:0070062"
"Dnase1l1"	"GO:0004518;GO:0004519;GO:0004536;GO:0005634;GO:0005783;GO:0006308;GO:0016787;GO:0070062"
