"ID","Day","treatment","training","TrainSessionCombo","TrainSessionComboNum","ShockOnOff","PairedPartner","SdevSpeedArena","Linearity.Arena.","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr.cm.s.","Dist1stEntr.m.","NumShock","MaxTimeAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeShockZone","pTimeShockZone","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAvgVal","PolarSdVal","PolarMinVal","PolarMinBin","Min50.RngLoBin","Min50.RngHiBin","PolarMaxVal","PolarMaxBin","Max50.RngLoBin","Max50.RngHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSd","AnnularSkewnes","AnnularKurtosis","Speed1","Speed2"
"15145D",3,"standard.yoked","yoked","Retention",9,"Off","15145C",1,0.1554,15,19.43,0.09,0.35,1.29,63,60,41.07,0.47,1.4,127.67,0.3163,0.2426,0.223,0.2182,0.09,17.85,166.77,99.83,0.0205,260,110,320,0.0422,350,270,80,0.0243,8.5,0.3432,16.6,14.47,29.28,1.54,4.03,0.00463201235203294,0.0114438763087412
"15146A",3,"conflict.trained","trained","Retention",9,"Off","15146B",2.37,0.354,0,599.97,15.67,-1,0,0,599,599.97,15.67,-1,0,0,0.107,0.8342,0.0588,0.83,156.97,75.32,36.36,0,0,170,140,0.1261,140,120,180,0.0061,19.4,0.3682,16.6,16.32,9.96,1.56,7.53,0.0261179725652949,0.0261179725652949
"15146B",3,"conflict.yoked","yoked","Retention",9,"Off","15146A",1.31,0.2851,11,16.8,0.37,5.22,0.91,43,173,30.6,0.78,7.64,86,0.1678,0.2033,0.3455,0.2834,0.08,161.3,172.09,104.65,0.0171,340,270,120,0.0449,170,20,200,0.0277,18,0.2662,15,12.52,26.37,1.07,3.2,0.0220238095238095,0.0254901960784314
"15146C",3,"standard.trained","trained","Retention",9,"Off","15146D",3.12,0.3386,2,83.33,3.28,10.01,0.1,4,475,559.07,17.96,3.88,11.1,0.0288,0.0904,0.5679,0.3129,0.61,204,250.09,72.18,0,20,230,170,0.0768,220,160,250,0.0023,3.5,0.3921,15,16.01,9.81,1.52,11.05,0.0393615744629785,0.0321247786502585
"15146D",3,"standard.yoked","yoked","Retention",9,"Off","15146C",1.39,0.1621,12,37.03,0.26,13.64,0.97,49,59,93.97,1.36,1.82,106.564,0.258,0.3608,0.1904,0.1908,0.17,79.56,177.63,93.71,0.0169,310,130,10,0.0594,110,0,150,0.0027,8.5,0.4052,16.6,15.15,21.19,3.28,14.12,0.00702133405347016,0.0144727040544855
"15147A",3,"conflict.trained","trained","Retention",9,"Off","15147B",3.51,0.4549,14,18.8,1.13,3.63,0.65,30,117,35.17,2.45,20.29,50.534,0.0935,0.3569,0.4103,0.1392,0.44,118.45,141.1,111.58,0.0054,320,150,80,0.0844,120,70,170,0.0051,3.5,0.3505,15,15.08,13.16,1.12,5.9,0.0601063829787234,0.0696616434461189
"15147B",3,"conflict.yoked","yoked","Retention",9,"Off","15147A",2.05,0.2887,10,19.57,0.43,2.03,0.64,32,138,77.73,1.52,2.13,60.599,0.1123,0.1691,0.3445,0.3741,0.25,200.68,154.26,92.46,0.0111,330,260,150,0.0542,190,140,280,0.0027,19.4,0.4118,16.6,15.53,18.33,2.09,7.53,0.0219724067450179,0.0195548694197864
"15147C",3,"standard.trained","trained","Retention",9,"Off","15147D",2.37,0.3893,2,492.5,11.79,9.84,0.13,5,492,527.87,13.19,7.81,11.399,0.0304,0.1946,0.7007,0.0742,0.67,168.01,245.65,54.88,3e-04,20,180,130,0.0893,160,110,190,0.0144,8.5,0.4505,15,15.32,13.43,2.7,13.44,0.0239390862944162,0.0249872127607176
"15147D",3,"standard.yoked","yoked","Retention",9,"Off","15147C",0.78,0.2004,12,45.87,0.2,0.31,2.19,52,72,106.53,0.38,0.99,98.271,0.2538,0.3172,0.235,0.1939,0.11,78.61,175.17,96.12,0.0075,270,140,0,0.0421,80,330,140,0.0087,16.6,0.768,3.5,4.91,25.67,-1.38,3.55,0.00436014824504033,0.00356707030883319
"15148A",3,"conflict.trained","trained","Retention",9,"Off","15148B",2.49,0.305,11,75.37,2.87,9.31,0.7,40,179,83.67,3.03,14.38,73.8,0.1418,0.1273,0.4695,0.2615,0.22,180.83,161.89,98.01,0.0098,100,230,130,0.0658,190,110,240,0.0052,8.5,0.3578,16.6,16.12,11.79,2.31,13.67,0.0380788111980894,0.0362136966654715
"15148B",3,"conflict.yoked","yoked","Retention",9,"Off","15148A",1.53,0.2566,11,45.93,0.83,1.69,1.07,44,119,108.9,1.47,0.16,89.331,0.1741,0.1868,0.3081,0.331,0.08,207.13,177.13,101.39,0.0136,270,260,120,0.0455,250,100,270,0.0053,18,0.385,3.5,9.09,28.97,-0.11,1.83,0.01807097757457,0.0134986225895317
"15148C",3,"conflict.trained","trained","Retention",9,"Off","15148D",1.77,0.239,9,21.37,1.02,11.06,0.7,37,116,42.67,1.43,12.21,78.035,0.1535,0.1344,0.2837,0.4284,0.21,247.64,174.37,91.4,0.0167,70,310,200,0.0525,250,180,320,0.0484,3.5,0.3116,15,13.87,20.22,1.23,3.97,0.0477304632662611,0.033513006796344
"15148D",3,"conflict.yoked","yoked","Retention",9,"Off","15148C",1.07,0.1903,13,9.2,0.09,1.66,1.48,41,86,24.37,0.28,7.5,83.498,0.1629,0.2525,0.3438,0.2408,0.14,125.49,173.75,110.88,0.0156,300,200,70,0.0439,80,40,200,0.0214,16.6,0.316,3.5,9.33,23.45,-0.01,1.97,0.00978260869565217,0.0114895363151416
