"treatment","trial","trialNum","m","se","measure"
"conflict.yoked","Retention",9,0.921,0.27,"Time1stEntr (min)"
"conflict.yoked","Retest",5,0.561,0.19,"Time1stEntr (min)"
"conflict.yoked","T1",2,0.164,0.06,"Time1stEntr (min)"
"conflict.yoked","T2",3,0.695,0.16,"Time1stEntr (min)"
"conflict.yoked","T3",4,0.445,0.15,"Time1stEntr (min)"
"conflict.yoked","T4_C1",6,0.342,0.08,"Time1stEntr (min)"
"conflict.yoked","T5_C2",7,0.187,0.05,"Time1stEntr (min)"
"conflict.yoked","T6_C3",8,0.672,0.25,"Time1stEntr (min)"
"conflict.trained","Pre",1,0.165,0.05,"Time1stEntr (min)"
"conflict.trained","Retention",9,4.078,1.5,"Time1stEntr (min)"
"conflict.trained","Retest",5,5.242,1.22,"Time1stEntr (min)"
"conflict.trained","T1",2,0.122,0.03,"Time1stEntr (min)"
"conflict.trained","T2",3,1.386,0.8,"Time1stEntr (min)"
"conflict.trained","T3",4,4.451,1.08,"Time1stEntr (min)"
"conflict.trained","T4_C1",6,0.133,0.06,"Time1stEntr (min)"
"conflict.trained","T5_C2",7,2.19,1,"Time1stEntr (min)"
"conflict.trained","T6_C3",8,4.245,1.02,"Time1stEntr (min)"
"standard.yoked","Pre",1,0.267,0.01,"pTimeShockZone"
"standard.yoked","Retention",9,0.27,0.02,"pTimeShockZone"
"standard.yoked","Retest",5,0.269,0.01,"pTimeShockZone"
"standard.yoked","T1",2,0.286,0.03,"pTimeShockZone"
"standard.yoked","T2",3,0.24,0.03,"pTimeShockZone"
"standard.yoked","T3",4,0.264,0.04,"pTimeShockZone"
"standard.yoked","T4_C1",6,0.267,0.03,"pTimeShockZone"
"standard.yoked","T5_C2",7,0.261,0.03,"pTimeShockZone"
"standard.yoked","T6_C3",8,0.268,0.01,"pTimeShockZone"
"standard.trained","Pre",1,0.255,0.01,"pTimeShockZone"
"standard.trained","Retention",9,0.042,0.02,"pTimeShockZone"
"standard.trained","Retest",5,0.01,0,"pTimeShockZone"
"standard.trained","T1",2,0.017,0,"pTimeShockZone"
"standard.trained","T2",3,0.013,0.01,"pTimeShockZone"
"standard.trained","T3",4,0.009,0,"pTimeShockZone"
"standard.trained","T4_C1",6,0.011,0,"pTimeShockZone"
"standard.trained","T5_C2",7,0.008,0,"pTimeShockZone"
"standard.trained","T6_C3",8,0.008,0,"pTimeShockZone"
"conflict.yoked","Pre",1,0.28,0.01,"pTimeShockZone"
"conflict.yoked","Retention",9,0.172,0.02,"pTimeShockZone"
"conflict.yoked","Retest",5,0.275,0.02,"pTimeShockZone"
"conflict.yoked","T1",2,0.323,0.04,"pTimeShockZone"
"conflict.yoked","T2",3,0.243,0.03,"pTimeShockZone"
"conflict.yoked","T3",4,0.256,0.03,"pTimeShockZone"
"conflict.yoked","T4_C1",6,0.168,0.04,"pTimeShockZone"
"conflict.yoked","T5_C2",7,0.196,0.03,"pTimeShockZone"
"conflict.yoked","T6_C3",8,0.259,0.04,"pTimeShockZone"
"conflict.trained","Pre",1,0.267,0.01,"pTimeShockZone"
"conflict.trained","Retention",9,0.061,0.02,"pTimeShockZone"
"conflict.trained","Retest",5,0.004,0,"pTimeShockZone"
"conflict.trained","T1",2,0.026,0.01,"pTimeShockZone"
"conflict.trained","T2",3,0.007,0,"pTimeShockZone"
"conflict.trained","T3",4,0.009,0.01,"pTimeShockZone"
"conflict.trained","T4_C1",6,0.046,0.01,"pTimeShockZone"
"conflict.trained","T5_C2",7,0.011,0,"pTimeShockZone"
"conflict.trained","T6_C3",8,0.009,0,"pTimeShockZone"
