"ID","treatment","TrainSessionComboNum","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"15140A","conflict.trained",1,4.32570770460157,0.776679649740679,-2.28063136455035,1.13570261803108,-1.45349854722012,1.30155676614584,-1.95944532109041,-0.316884980932856,-0.6442403501608,-0.958833379004151
"15140A","conflict.trained",2,-0.932344821229961,3.83367621880534,1.94246507591186,-1.04792595841619,-1.24496874923045,-0.593503836323436,-1.74795801479658,-0.0484376817815957,1.50348693043442,-0.201113644958572
"15140A","conflict.trained",3,-4.35379237673695,0.725520534053216,2.04540767174465,0.766491889197785,-0.205948659210095,-0.172688871306133,-1.18110649805931,0.59097424909203,-0.158439522423018,-0.314304411556623
"15140A","conflict.trained",4,-4.91067786373743,0.445327242705757,1.24074431955715,0.858109026658282,-1.08405625492988,-0.140674906293038,-0.0107996203029137,-0.498415010918661,-0.0937047115178417,-0.794389542554082
"15140A","conflict.trained",5,-5.47863416590565,-0.238615615314274,-0.528509955372903,-0.0834455789302936,-1.43791385898918,-1.46249247451182,0.96668710852672,-0.224779430603385,1.21599676691695,0.23772564265405
"15140A","conflict.trained",6,-1.32721570575518,-0.586878482238223,-3.07679881699838,-0.527773043782374,4.08200793956526,-0.307536004332447,-2.28242262159912,2.88733192204996,-1.82387549574307,1.44866337145709
"15140A","conflict.trained",7,-1.80018835145247,-0.678027501456994,-1.99567993729698,-1.02621749350031,1.49190414753306,-0.72898633622164,-0.948696363869759,2.08737718812856,-1.11125705361721,-0.482834402590748
"15140A","conflict.trained",8,-4.30985924223324,-1.22243332594054,-3.48345900167844,-0.545894393103749,-1.15756155059501,-0.528432617096906,0.301435861607483,2.82544216670544,-0.188537290658123,-1.24964649531274
"15140A","conflict.trained",9,-1.96898080621208,0.88012922588259,-2.80181842585835,-1.4582483263755,1.40357022448517,-0.586670401318563,0.0849998402875054,2.56040673925165,1.43444994120558,0.496339860563492
"15140B","conflict.yoked",1,4.44302244104466,0.151714873294418,-2.36759193536088,-0.786920511719188,-0.92224560931894,0.0825606796110199,-1.12527866819194,-0.827843573702649,-1.33723301024292,-1.02138870919646
"15140B","conflict.yoked",2,3.60600646938547,1.73976647478703,0.344953834103507,4.11085790135037,-1.79301389384636,-0.894423442427034,0.650978454427592,0.789890356924224,0.791222448284487,1.31954222671112
"15140B","conflict.yoked",3,0.0775154469202706,-0.430878512725513,1.03924172271243,-0.749520059293457,1.25030555084421,0.197650656764958,0.904847830679583,-0.517565105776142,0.479603020027924,0.510659261751512
