sample,bp,fracalign,millalign,QC
148A_DG_3_S81_L003_,201.4,0.71,0.00,filtertrim
148B_CA1_4_S82_L003_,160.8,0.33,0.00,filtertrim
148B_CA3_4_S83_L003_,201.2,0.10,0.00,filtertrim
148B_DG_4_S84_L003_,197.8,0.32,0.00,filtertrim
148_CA1_2_S85_L003_,203.3,0.64,0.00,filtertrim
148_CA3_2_S86_L003_,205.7,0.75,0.00,filtertrim
148_DG_2_S87_L003_,202.8,0.66,0.00,filtertrim
142C_CA1_S_S19_L003_,202.9,0.43,5.20,raw
142C_DG_S_S21_L003_,210,0.26,4.50,raw
143A_CA3_1_S35_L002_,201.1,0.60,3.50,raw
143A_DG_1_S36_L002_,198.9,0.69,5.40,raw
143B_CA1_1_S37_L002_,200.6,0.62,1.80,raw
143B_DG_1_S38_L002_,200,0.57,2.20,raw
143C_CA1_1_S39_L002_,198.4,0.66,2.30,raw
143C_CA1_S_S20_L003_,208.4,0.70,7.60,raw
143C_DG_S_S22_L003_,220,0.18,4.10,raw
143D_CA1_3_S40_L002_,197,0.37,1.20,raw
143D_DG_3_S41_L002_,194.1,0.59,1.10,raw
144A_CA1_2_S42_L002_,198.9,0.63,3.10,raw
144A_CA3_2_S43_L002_,192,0.26,0.50,raw
144A_DG_2_S44_L002_,196.5,0.46,3.40,raw
144B_CA1_1_S45_L002_,197.1,0.62,2.70,raw
144B_CA3_1_S46_L002_,196.4,0.05,1.10,raw
144C_CA1_2_S47_L002_,201.3,0.65,3.40,raw
144C_CA3_2_S48_L002_,194.8,0.32,1.40,raw
144C_DG_2_S49_L002_,192.8,0.44,2.30,raw
144D_CA3_2_S50_L002_,195.7,0.53,2.50,raw
144D_DG_2_S51_L002_,197.1,0.69,4.90,raw
145A_CA1_2_S52_L002_,200.6,0.62,1.80,raw
145A_CA3_2_S53_L002_,206.4,0.13,0.40,raw
145A_DG_2_S54_L002_,208.4,0.37,1.50,raw
145B_CA1_1_S55_L002_,199.7,0.52,2.10,raw
145B_DG_1_S57_L002_,203.2,0.35,1.60,raw
146A_CA1_2_S58_L003_,194.1,0.51,1.80,raw
146A_CA3_2_S59_L003_,201.5,0.49,2.90,raw
146A_DG_2_S60_L003_,202.5,0.21,1.30,raw
146B_CA1_2_S61_L003_,198.4,0.10,1.40,raw
146B_CA3_2_S62_L003_,199.8,0.57,2.20,raw
146B_DG_2_S63_L003_,194.9,0.05,0.20,raw
146C_CA1_4_S64_L003_,201.6,0.16,1.50,raw
146C_DG_4_S66_L003_,198.3,0.22,0.60,raw
146D_CA1_3_S67_L003_,201.3,0.09,0.50,raw
146D_CA3_3_S68_L003_,196.7,0.47,3.10,raw
146D_DG_3_S69_L003_,198.3,0.07,0.10,raw
147C_CA1_3_S70_L003_,198.9,0.43,3.20,raw
147C_CA3_3_S71_L003_,202.8,0.68,6.00,raw
147C_DG_3_S72_L003_,202,0.64,4.50,raw
147D_CA3_1_S74_L003_,202.6,0.58,4.80,raw
147D_DG_1_S75_L003_,214.8,0.66,12.10,raw
147_CA1_4_S76_L003_,193.6,0.14,0.20,raw
147_CA3_4_S77_L003_,194.5,0.18,0.80,raw
147_DG_4_S78_L003_,207,0.07,0.30,raw
148A_CA1_3_S79_L003_,199,0.68,5.40,raw
148A_CA3_3_S80_L003_,195.9,0.49,2.80,raw
148A_DG_3_S81_L003_,200.7,0.44,4.20,raw
148B_CA1_4_S82_L003_,161.4,0.18,0.50,raw
148B_CA3_4_S83_L003_,200.4,0.10,3.60,raw
148B_DG_4_S84_L003_,200.6,0.27,0.80,raw
148_CA1_2_S85_L003_,203.8,0.34,2.10,raw
148_CA3_2_S86_L003_,206.7,0.35,2.50,raw
148_DG_2_S87_L003_,202.7,0.46,2.40,raw
