"ID","treatment","trial","trialNum","PC1","PC2"
"15140A","conflict.trained","Pre",1,-2.96345287824567,-2.39264594434175
"15140A","conflict.trained","T1",2,0.903696622603176,-2.06478484602682
"15140A","conflict.trained","T2",3,2.48039590666675,-0.148906408683528
"15140A","conflict.trained","T3",4,3.82365123368143,-0.256448737380846
"15140A","conflict.trained","Retest",5,5.43901156127526,-0.285501565840906
"15140A","conflict.trained","T4_C1",6,-0.665892630141946,0.47372546345608
"15140A","conflict.trained","T5_C2",7,1.06553512400017,0.290207179815864
"15140A","conflict.trained","T6_C3",8,4.54652119327387,-0.285051636073033
"15140A","conflict.trained","Retention",9,2.09853639324853,-1.22683753492101
"15140B","conflict.yoked","Pre",1,-3.45649123498971,-2.40415009474463
"15140B","conflict.yoked","T1",2,-3.31565446669849,-0.841949991106744
"15140B","conflict.yoked","T2",3,0.369852503710555,0.918980696631185
"15140B","conflict.yoked","T3",4,-2.63582490361247,-0.687063807067901
"15140B","conflict.yoked","Retest",5,-3.36981454546522,1.84916912787241
"15140B","conflict.yoked","T4_C1",6,-2.63186884821984,0.577528318920656
"15140B","conflict.yoked","T5_C2",7,-0.978603886402638,-2.08945889948334
"15140B","conflict.yoked","T6_C3",8,-0.578838835521778,2.14654704522144
"15140B","conflict.yoked","Retention",9,-0.803027626836712,-1.59143292874011
"15140C","standard.trained","Pre",1,-2.9725776244857,-2.65699785546489
"15140C","standard.trained","T1",2,1.44704551118303,-0.140761910422743
"15140C","standard.trained","T2",3,1.00832487219427,-0.402681695533206
"15140C","standard.trained","T3",4,0.648292903138048,0.142828646460702
"15140C","standard.trained","Retest",5,0.875172916330516,-1.24511423463561
"15140C","standard.trained","T4_C1",6,2.72830665726037,-0.752552874857977
"15140C","standard.trained","T5_C2",7,1.1075919515714,-0.406156069100786
"15140C","standard.trained","T6_C3",8,6.39219981808872,0.394754866781727
"15140C","standard.trained","Retention",9,6.43463883323636,0.171008536567821
"15140D","standard.yoked","Pre",1,-3.20081070988856,-5.36168249299329
"15140D","standard.yoked","T1",2,-2.34384532481274,-1.32910971918053
"15140D","standard.yoked","T2",3,-0.856811022620945,0.318576227479196
"15140D","standard.yoked","T3",4,0.353405009608398,-0.61993684097572
"15140D","standard.yoked","Retest",5,-1.51439028089975,-0.06677434952421
"15140D","standard.yoked","T4_C1",6,-1.07069790789959,0.507596401458104
"15140D","standard.yoked","T5_C2",7,-2.14386831234401,3.20318539705704
"15140D","standard.yoked","T6_C3",8,-1.88288413067253,3.4421205659962
"15140D","standard.yoked","Retention",9,-1.13184424935476,1.71556938729817
"15141C","standard.trained","Pre",1,-2.67840215154323,-4.70532869181394
"15141C","standard.trained","T1",2,0.779960447053036,-0.820127003690598
"15141C","standard.trained","T2",3,-0.900145647623561,-0.122253034419647
"15141C","standard.trained","T3",4,0.224528717558038,0.448550321482151
"15141C","standard.trained","Retest",5,2.11337632632592,-1.79244130091785
"15141C","standard.trained","T4_C1",6,0.916929111048676,0.204397283999588
"15141C","standard.trained","T5_C2",7,0.872950003334056,-0.0133563406004733
"15141C","standard.trained","T6_C3",8,0.817341194609832,0.418581193361866
"15141C","standard.trained","Retention",9,-0.164459581661155,1.13722876690162
"15141D","standard.yoked","Pre",1,-2.593883456359,-4.41848551209165
"15141D","standard.yoked","T1",2,-2.37327084960279,-0.68957490228063
"15141D","standard.yoked","T2",3,-2.93826565155847,-1.21436542497821
"15141D","standard.yoked","T3",4,-0.627634955092374,-1.85027289331196
"15141D","standard.yoked","Retest",5,-1.45203267395456,1.46927713697392
"15141D","standard.yoked","T4_C1",6,-1.27342803797529,0.124366481925083
"15141D","standard.yoked","T5_C2",7,-1.55490154037591,-1.8317049774063
"15141D","standard.yoked","T6_C3",8,-0.969714271124085,-0.823192123565116
"15141D","standard.yoked","Retention",9,-2.77458643022001,2.22148673856328
"15142A","conflict.trained","Pre",1,-3.05894881603753,-5.19890314670877
"15142A","conflict.trained","T1",2,0.249568026499313,-0.669649789193827
"15142A","conflict.trained","T2",3,2.29068124975837,-0.0133432467912247
"15142A","conflict.trained","T3",4,2.45982530371446,0.141166788151176
"15142A","conflict.trained","Retest",5,8.03780096026674,-0.288531583155538
"15142A","conflict.trained","T4_C1",6,-0.454475187176508,0.812085325085844
"15142A","conflict.trained","T5_C2",7,1.46275623402933,-1.08143256486081
"15142A","conflict.trained","T6_C3",8,3.95708999331515,0.0607319785755904
"15142A","conflict.trained","Retention",9,2.21983669911059,-0.136797798700639
"15142B","conflict.yoked","Pre",1,-2.94015025382607,-3.97130226926865
"15142B","conflict.yoked","T1",2,-2.77177126616435,-0.703785088647397
"15142B","conflict.yoked","T2",3,1.71424620431276,-0.275907556604228
"15142B","conflict.yoked","T3",4,1.80245627716487,-0.594345628553382
"15142B","conflict.yoked","Retest",5,0.489417589219477,-0.324136528859259
"15142B","conflict.yoked","T4_C1",6,-0.368409638909653,-1.78301058698032
"15142B","conflict.yoked","T5_C2",7,0.499594169864463,-0.429871961025972
"15142B","conflict.yoked","T6_C3",8,-1.7696706438469,-0.514048153054998
"15142B","conflict.yoked","Retention",9,-0.148916429532684,-0.695109117533761
"15142C","standard.trained","Pre",1,-2.64533544554084,-4.9272008724532
"15142C","standard.trained","T1",2,1.12839117655211,-0.360861456565265
"15142C","standard.trained","T2",3,5.73526225825838,-0.313165201403463
"15142C","standard.trained","T3",4,3.69867512443258,-0.191910340285108
"15142C","standard.trained","Retest",5,4.59841459742114,0.328554744304095
"15142C","standard.trained","T4_C1",6,6.90449809156472,0.136460870116367
"15142C","standard.trained","T5_C2",7,6.76541339876969,0.0537167005062727
"15142C","standard.trained","T6_C3",8,6.8027978882533,0.356833541816146
"15142C","standard.trained","Retention",9,5.47240104046497,-1.64423076691213
"15142D","standard.yoked","Pre",1,-2.44939447826415,0.986229319490171
"15142D","standard.yoked","T1",2,-1.32956225518753,2.5783598153174
"15142D","standard.yoked","T2",3,-2.10292977271183,1.05418434520645
"15142D","standard.yoked","T3",4,-2.44773947417299,2.59802576065856
"15142D","standard.yoked","Retest",5,-2.53020528450532,2.8105596033304
"15142D","standard.yoked","T4_C1",6,-1.24253236164555,1.87216092069206
"15142D","standard.yoked","T5_C2",7,-1.10081990381595,2.91166576087329
"15142D","standard.yoked","T6_C3",8,-2.55275947229477,1.82956137957884
"15142D","standard.yoked","Retention",9,-2.89475723992102,-1.60404566065042
"15143A","conflict.trained","Pre",1,-2.79537169942722,-2.39739286356362
"15143A","conflict.trained","T1",2,0.536131368101641,-0.784947717205096
"15143A","conflict.trained","T2",3,3.01878539417287,0.182216238228608
"15143A","conflict.trained","T3",4,7.1989078242418,-0.217866365883419
"15143A","conflict.trained","Retest",5,4.17802750836227,-1.43798315798968
"15143A","conflict.trained","T4_C1",6,-0.100643777645465,0.345457553862565
"15143A","conflict.trained","T5_C2",7,2.77375320088537,0.948458699137548
"15143A","conflict.trained","T6_C3",8,5.3195285585008,0.164453745192377
"15143A","conflict.trained","Retention",9,-0.227503872529299,3.03543737772736
"15143B","conflict.yoked","Pre",1,-3.77296248565024,-4.52702103080451
"15143B","conflict.yoked","T1",2,-3.78977041249459,-0.244921963342452
"15143B","conflict.yoked","T2",3,-1.81823070141133,0.37706507778949
"15143B","conflict.yoked","T3",4,-1.44805599155659,0.737632933705247
"15143B","conflict.yoked","Retest",5,-1.24087320303237,-0.182516564668089
"15143B","conflict.yoked","T4_C1",6,-0.359607558263787,-0.281561185129592
"15143B","conflict.yoked","T5_C2",7,-1.78888613557775,1.39569145108326
"15143B","conflict.yoked","T6_C3",8,-3.43863516710372,1.59875921444862
"15143B","conflict.yoked","Retention",9,-3.14366274031751,-0.488342908007758
"15143C","standard.trained","Pre",1,-2.72240542309711,-3.34156437801918
"15143C","standard.trained","T1",2,0.378220844767705,-1.90242164932432
"15143C","standard.trained","T2",3,2.02886018078185,0.792803469601128
"15143C","standard.trained","T3",4,4.78776162419983,0.414360808516141
"15143C","standard.trained","Retest",5,4.47259643323201,-0.280856330342191
"15143C","standard.trained","T4_C1",6,7.18760296003057,-0.0462913110949979
"15143C","standard.trained","T5_C2",7,4.22013941749635,0.804891299512701
"15143C","standard.trained","T6_C3",8,6.16269566962676,0.294425322338617
"15143C","standard.trained","Retention",9,5.88603904877922,0.332350633370283
"15143D","standard.yoked","Pre",1,-3.15231394351313,-5.45884779551341
"15143D","standard.yoked","T1",2,-3.05023605794316,-1.50508344889446
"15143D","standard.yoked","T2",3,0.0677182866325362,1.96532029686113
"15143D","standard.yoked","T3",4,-3.11086715657359,1.29752725692377
"15143D","standard.yoked","Retest",5,-2.62076649839356,2.64361071641128
"15143D","standard.yoked","T4_C1",6,-2.10176539901502,2.45017574338858
"15143D","standard.yoked","T5_C2",7,-1.75317626073894,-0.0354814175924577
"15143D","standard.yoked","T6_C3",8,-1.95289310517393,3.53283742886863
"15143D","standard.yoked","Retention",9,-2.75327194839813,-0.0758480924418908
"15144A","conflict.trained","Pre",1,-3.03289148161482,-5.7273825931732
"15144A","conflict.trained","T1",2,0.0984824102453731,-0.160412545616854
"15144A","conflict.trained","T2",3,2.08083536697397,-0.286261597453891
"15144A","conflict.trained","T3",4,5.73563623931947,-0.597646963290183
"15144A","conflict.trained","Retest",5,5.8013072366447,-0.0605148002610282
"15144A","conflict.trained","T4_C1",6,-1.04623423641733,-0.392875994183979
"15144A","conflict.trained","T5_C2",7,2.43120614949027,-0.152197227985725
"15144A","conflict.trained","T6_C3",8,5.91874110088806,-0.618704143170043
"15144A","conflict.trained","Retention",9,6.7041815320433,-0.0785371854937037
"15144B","conflict.yoked","Pre",1,-3.56287956226843,-4.94570052118505
"15144B","conflict.yoked","T1",2,-2.55031527690254,0.538760066798343
"15144B","conflict.yoked","T2",3,-0.59061704091216,0.977602511683591
"15144B","conflict.yoked","T3",4,-2.65412985452872,-0.287716901490508
"15144B","conflict.yoked","Retest",5,-2.77168861019122,-0.688309183298662
"15144B","conflict.yoked","T4_C1",6,-1.21277471677912,-2.13622166959081
"15144B","conflict.yoked","T5_C2",7,-3.16650495023754,1.68796284485104
"15144B","conflict.yoked","T6_C3",8,-2.70373305145146,1.55472218130422
"15144B","conflict.yoked","Retention",9,-2.34767300680143,-0.0283647533780785
"15144C","standard.trained","Pre",1,-3.58326983542713,-5.14386524776945
"15144C","standard.trained","T1",2,0.308468643963166,0.145999708804384
