"ID","treatment","trial","trialNum","PC1","PC2"
"15144C","standard.trained","T2",3,3.47798925480693,0.216901287112678
"15144C","standard.trained","T3",4,2.10723248467838,0.619478999093152
"15144C","standard.trained","Retest",5,6.75817368196841,-0.521031713371522
"15144C","standard.trained","T4_C1",6,4.3820193297986,-0.828553414894137
"15144C","standard.trained","T5_C2",7,6.44375316891127,0.28720429733469
"15144C","standard.trained","T6_C3",8,3.15185280092705,0.929577293112349
"15144C","standard.trained","Retention",9,7.0499369186223,-1.78499206484036
"15144D","standard.yoked","Pre",1,-3.57369426763991,-3.57063572634515
"15144D","standard.yoked","T1",2,-4.58153892624983,0.464047767321806
"15144D","standard.yoked","T2",3,-3.29431361810966,1.65600583834315
"15144D","standard.yoked","T3",4,-2.40884017824036,2.51405633435389
"15144D","standard.yoked","Retest",5,-3.41718920617475,2.90822076376991
"15144D","standard.yoked","T4_C1",6,-2.78848723580975,0.515637201263107
"15144D","standard.yoked","T5_C2",7,-2.58811738401253,3.38631007023146
"15144D","standard.yoked","T6_C3",8,-3.20182997647532,4.6906813296202
"15144D","standard.yoked","Retention",9,-3.30262843896572,1.17314374317798
"15145A","conflict.trained","Pre",1,-3.3924592589998,-6.76108130038209
"15145A","conflict.trained","T1",2,1.29076748844517,-0.235600698110218
"15145A","conflict.trained","T2",3,2.71140476745197,0.807221075555759
"15145A","conflict.trained","T3",4,4.90119267632846,-0.216543689313193
"15145A","conflict.trained","Retest",5,0.820674129565454,-1.93373390541149
"15145A","conflict.trained","T4_C1",6,-0.517248400442707,-0.321860465123774
"15145A","conflict.trained","T5_C2",7,1.86436785097136,0.180506730658826
"15145A","conflict.trained","T6_C3",8,2.76395492939896,0.419000942103457
"15145A","conflict.trained","Retention",9,6.93926898436082,0.258661805731786
"15145B","conflict.yoked","Pre",1,-3.48167062711796,-2.53803225686372
"15145B","conflict.yoked","T1",2,-2.46521529009888,-2.37116004342765
"15145B","conflict.yoked","T2",3,-2.00585585938982,1.9269013907527
"15145B","conflict.yoked","T3",4,-2.84648098830535,1.47582434026516
"15145B","conflict.yoked","Retest",5,-2.51496344534368,2.16610372515245
"15145B","conflict.yoked","T4_C1",6,-1.6829573017248,-0.429297022052205
"15145B","conflict.yoked","T5_C2",7,-2.35647639892503,3.09669813600937
"15145B","conflict.yoked","T6_C3",8,-2.14853235006251,2.95656989984408
"15145B","conflict.yoked","Retention",9,-1.31554825039484,1.65006063385895
"15145C","standard.trained","Pre",1,-3.13321299425386,-4.7774401193861
"15145C","standard.trained","T1",2,0.118574792401736,-0.311503210179207
"15145C","standard.trained","T2",3,0.878359576742709,-0.801635070180752
"15145C","standard.trained","T3",4,1.48338711884091,0.401570903153339
"15145C","standard.trained","Retest",5,0.842708347492176,-1.2737535863833
"15145C","standard.trained","T4_C1",6,1.80692508189515,-0.218017776210809
"15145C","standard.trained","T5_C2",7,0.485012623974965,0.529453207352255
"15145C","standard.trained","T6_C3",8,-0.287956279685782,0.643306728394893
"15145C","standard.trained","Retention",9,-0.435650552941855,-0.601803222180512
"15145D","standard.yoked","Pre",1,-3.06452415572535,-5.54814746427106
"15145D","standard.yoked","T1",2,-3.0505319145037,-2.09479474506815
"15145D","standard.yoked","T2",3,-1.69530901136478,0.475338160550756
"15145D","standard.yoked","T3",4,-2.7053039334204,-0.195542718459427
"15145D","standard.yoked","Retest",5,-1.85966597549406,0.86159237506649
"15145D","standard.yoked","T4_C1",6,-3.73855432823723,1.83088783517631
"15145D","standard.yoked","T5_C2",7,-3.49149412019337,2.23014548676044
"15145D","standard.yoked","T6_C3",8,-3.60697252603454,1.58126365086013
"15145D","standard.yoked","Retention",9,-2.67020075859146,3.93899576516546
"15146A","conflict.trained","Pre",1,-3.352247737759,-6.96436007066707
"15146A","conflict.trained","T1",2,-0.803455193276422,-0.027656918874785
"15146A","conflict.trained","T2",3,3.59377130316322,-0.259601328071803
"15146A","conflict.trained","T3",4,5.48340881351614,0.175361130193493
"15146A","conflict.trained","Retest",5,5.46774698888432,-0.35823815255027
"15146A","conflict.trained","T4_C1",6,-1.20220367154125,0.0675707654610052
"15146A","conflict.trained","T5_C2",7,6.57056244430813,-0.0490650761963676
"15146A","conflict.trained","T6_C3",8,5.27436179497915,-0.140155480549033
"15146A","conflict.trained","Retention",9,6.94306075618733,0.0368477447149329
"15146B","conflict.yoked","Pre",1,-3.20711706009449,-2.34299663742404
"15146B","conflict.yoked","T1",2,-2.6952228058702,1.54388096871244
"15146B","conflict.yoked","T2",3,-1.84842579837629,3.79529768947089
"15146B","conflict.yoked","T3",4,-2.20062332694749,3.64571859493196
"15146B","conflict.yoked","Retest",5,-2.04581924864573,3.76218417189677
"15146B","conflict.yoked","T4_C1",6,-1.96640631741516,1.98707740215595
"15146B","conflict.yoked","T5_C2",7,-2.14012487925167,4.71278016738183
"15146B","conflict.yoked","T6_C3",8,-2.00586337870354,3.97881593083627
"15146B","conflict.yoked","Retention",9,-1.43973162345974,2.00572330130975
"15146C","standard.trained","Pre",1,-3.1162721167423,-5.79583101848794
"15146C","standard.trained","T1",2,1.5254442861615,-1.78182169418792
"15146C","standard.trained","T2",3,4.8146949981184,-0.0742083082809731
"15146C","standard.trained","T3",4,5.48672303160457,0.0309462083116794
"15146C","standard.trained","Retest",5,3.35433088351541,0.0781869214373994
"15146C","standard.trained","T4_C1",6,-0.111374752243747,0.204438122637211
"15146C","standard.trained","T5_C2",7,2.18044102398227,-0.107456014808741
"15146C","standard.trained","T6_C3",8,0.554002008960309,0.267601113175505
"15146C","standard.trained","Retention",9,4.1176614187888,-1.14256371369996
"15146D","standard.yoked","Pre",1,-2.75036893254191,-2.81676197093118
"15146D","standard.yoked","T1",2,-2.88381802032703,-0.383184364797433
"15146D","standard.yoked","T2",3,-1.40792781110553,1.33237935583919
"15146D","standard.yoked","T3",4,-1.26303186652581,2.4080094089341
"15146D","standard.yoked","Retest",5,-2.66916957984166,1.04091856670445
"15146D","standard.yoked","T4_C1",6,-0.211138174603027,-0.0499627067822233
"15146D","standard.yoked","T5_C2",7,-1.53783105585869,3.00127390153644
"15146D","standard.yoked","T6_C3",8,-2.17799253345987,3.17929432624283
"15146D","standard.yoked","Retention",9,-1.55055221831252,2.93792498009093
"15147A","conflict.trained","Pre",1,-2.8274084740888,-4.00793317993338
"15147A","conflict.trained","T1",2,1.32150271467316,-1.39689634265983
"15147A","conflict.trained","T2",3,3.53025202503731,0.094765445252343
"15147A","conflict.trained","T3",4,4.02147418053754,0.247955773138146
"15147A","conflict.trained","Retest",5,1.38149633126922,-1.29718143167072
"15147A","conflict.trained","T4_C1",6,0.319517289651859,0.210174610197959
"15147A","conflict.trained","T5_C2",7,1.93443836073602,-0.563327309713243
"15147A","conflict.trained","T6_C3",8,0.0872795704606599,0.434554713513362
"15147A","conflict.trained","Retention",9,-0.655298743232545,-3.10701933853353
"15147B","conflict.yoked","Pre",1,-2.80305295312022,-3.60491524220239
"15147B","conflict.yoked","T1",2,-2.15514614609495,0.232607684098226
"15147B","conflict.yoked","T2",3,-1.50429298310112,1.28274344115443
"15147B","conflict.yoked","T3",4,-2.08117770308575,2.159504615047
"15147B","conflict.yoked","Retest",5,-3.07013743047694,2.82402685029559
"15147B","conflict.yoked","T4_C1",6,0.10172679732112,-0.486606950033252
"15147B","conflict.yoked","T5_C2",7,-2.15349973445986,1.51896279399751
"15147B","conflict.yoked","T6_C3",8,-0.725343860241637,2.1509037859507
"15147B","conflict.yoked","Retention",9,-0.559262791707973,1.38531143864187
"15147C","standard.trained","Pre",1,-2.61793741309715,-2.84212238267564
"15147C","standard.trained","T1",2,1.50780290561976,-0.232858249623741
"15147C","standard.trained","T2",3,4.20111493629219,0.0187423466859552
"15147C","standard.trained","T3",4,6.14689894625909,-0.219172788777975
"15147C","standard.trained","Retest",5,5.3202129003145,-0.102165108481086
"15147C","standard.trained","T4_C1",6,2.9748664329688,0.358281061906651
"15147C","standard.trained","T5_C2",7,3.50982416876419,1.02004045350487
"15147C","standard.trained","T6_C3",8,6.33341979278483,0.438967118100657
"15147C","standard.trained","Retention",9,5.30428309018512,-0.987544797090164
"15147D","standard.yoked","Pre",1,-3.33002475529059,-3.52341021108791
"15147D","standard.yoked","T1",2,-2.82316349580146,2.32190962778982
"15147D","standard.yoked","T2",3,-2.06170148800104,1.92159476195381
"15147D","standard.yoked","T3",4,-2.13506184689083,2.84170728076906
"15147D","standard.yoked","Retest",5,-2.80446783799388,2.54470914300604
"15147D","standard.yoked","T4_C1",6,-2.84746704836159,4.09623308131878
"15147D","standard.yoked","T5_C2",7,-3.26164786458233,4.95811271850621
"15147D","standard.yoked","T6_C3",8,-2.85827421320502,4.90674763233133
"15147D","standard.yoked","Retention",9,-3.08722990779175,4.45313975414287
"15148A","conflict.trained","Pre",1,-3.03642691170342,-3.53953413197966
"15148A","conflict.trained","T1",2,1.33049586456845,-0.0663499485134699
"15148A","conflict.trained","T2",3,5.71915036019386,0.412654362333231
"15148A","conflict.trained","T3",4,3.99352494978139,0.83171903938705
"15148A","conflict.trained","Retest",5,6.79349695586893,-0.634286818543126
"15148A","conflict.trained","T4_C1",6,-0.208233077829808,-0.0323992498110133
"15148A","conflict.trained","T5_C2",7,1.48628113721615,0.27023058776717
"15148A","conflict.trained","T6_C3",8,1.48803145514938,0.609883272544171
"15148A","conflict.trained","Retention",9,-0.155440703606241,-0.072322842412781
"15148B","conflict.yoked","Pre",1,-2.48141284778963,-4.718774837424
"15148B","conflict.yoked","T1",2,-3.50420239279755,-0.158723141444663
"15148B","conflict.yoked","T2",3,-2.77370804199182,-0.080560916610417
"15148B","conflict.yoked","T3",4,-1.17995146396245,0.698645998624287
"15148B","conflict.yoked","Retest",5,-2.26044406295353,0.526383902816775
"15148B","conflict.yoked","T4_C1",6,-0.445295510437523,-1.83420070421373
"15148B","conflict.yoked","T5_C2",7,-3.42775329648831,0.381985967215303
"15148B","conflict.yoked","T6_C3",8,-4.14645490686048,0.412731608076278
"15148B","conflict.yoked","Retention",9,-1.69991712199111,2.86451259226846
"15148C","conflict.trained","Pre",1,-2.61759035700462,-1.88592457980737
"15148C","conflict.trained","T1",2,0.953769441941367,0.410342498234832
"15148C","conflict.trained","T2",3,2.9271998196579,0.00072528348347807
"15148C","conflict.trained","T3",4,0.370869566137562,-0.480791697108691
"15148C","conflict.trained","Retest",5,3.3231166788251,-0.0353981716446877
"15148C","conflict.trained","T4_C1",6,-1.98182263673911,-0.57683285757468
"15148C","conflict.trained","T5_C2",7,-1.22776259644441,0.386214034102904
"15148C","conflict.trained","T6_C3",8,-0.190258557953028,0.0277971352957412
"15148C","conflict.trained","Retention",9,-1.42343425246291,1.66258076608787
"15148D","conflict.yoked","Pre",1,-3.21143090412646,-2.52190185614844
"15148D","conflict.yoked","T1",2,-1.60998902361268,1.20001607038448
"15148D","conflict.yoked","T2",3,-2.53202795355779,2.56940745281599
"15148D","conflict.yoked","T3",4,-2.61354597626651,-0.00155825221858789
"15148D","conflict.yoked","Retest",5,-0.714399323616212,1.12846546763046
"15148D","conflict.yoked","T4_C1",6,-2.02617618415115,-1.79237905715218
"15148D","conflict.yoked","T5_C2",7,-1.68728005605889,-0.437752649454203
"15148D","conflict.yoked","T6_C3",8,-1.03767056625951,0.32902187527636
"15148D","conflict.yoked","Retention",9,-2.30254930105179,3.58910242774596
