"","net$colors","gene"
"1","black","0610009B22Rik"
"2","black","0610010F05Rik"
"3","black","0610030E20Rik"
"4","black","1110051M20Rik"
"5","black","1500011B03Rik"
"6","black","2200002D01Rik"
"7","black","2210017I01Rik"
"8","black","2310011J03Rik"
"9","black","2510002D24Rik"
"10","black","2610044O15Rik8"
"11","black","2810428I15Rik"
"12","black","3110002H16Rik"
"13","black","4931428F04Rik"
"14","black","4932438A13Rik"
"15","black","6030419C18Rik"
"16","black","9330159F19Rik"
"17","black","A830080D01Rik"
"18","black","Abca3"
"19","black","Abca9"
"20","black","Abcb10"
"21","black","Abcc8"
"22","black","Abhd6"
"23","black","Abi2"
"24","black","Acad12"
"25","black","Acad8"
"26","black","Acadsb"
"27","black","Acat1"
"28","black","Acat3"
"29","black","Acbd3"
"30","black","Actn2"
"31","black","Adck5"
"32","black","Adgrl3"
"33","black","Adipor2"
"34","black","Aen"
"35","black","Agpat5"
"36","black","Ahcyl1"
"37","black","AI413582"
"38","black","AI593442"
"39","black","AK010878"
"40","black","Akap10"
"41","black","Akap8l"
"42","black","Akirin1"
"43","black","Alg12"
"44","black","Alg13"
"45","black","Alg2"
"46","black","Alkbh6"
"47","black","Alkbh8"
"48","black","Anapc2"
"49","black","Ankib1"
"50","black","Ankrd13b"
"51","black","Ankrd35"
"52","black","Ankrd40"
"53","black","Ankrd44"
"54","black","Anks6"
"55","black","Ankzf1"
"56","black","Antxr2"
"57","black","Ap5z1"
"58","black","Apba1"
"59","black","Apc"
"60","black","Aplf"
"61","black","Apoa1bp"
"62","black","Apopt1"
"63","black","Arap3"
"64","black","Arel1"
"65","black","Arf2"
"66","black","Arhgap10"
"67","black","Arhgap18"
"68","black","Arhgef6"
"69","black","Arih2"
"70","black","Arl6"
"71","black","Armc7"
"72","black","Armcx3"
"73","black","Arrb1"
"74","black","Ascc3"
"75","black","Ash2l"
"76","black","Atcay"
"77","black","Atf1"
"78","black","Atf7"
"79","black","Atm"
"80","black","Atp6v0e2"
"81","black","Babam1"
"82","black","BC048403"
"83","black","Begain"
"84","black","Bet1l"
"85","black","Bhlhb9"
"86","black","Bhlhe22"
"87","black","Blm"
"88","black","Bloc1s2"
"89","black","Bmp5"
"90","black","Bnip3"
"91","black","Bod1"
"92","black","Bod1l"
"93","black","Brsk1"
"94","black","Bsdc1"
"95","black","Cadm4"
"96","black","Cage1"
"97","black","Camta1"
"98","black","Car5a"
"99","black","Car5b"
"100","black","Cbx2"
"101","black","Ccdc130"
"102","black","Ccdc148"
"103","black","Ccdc77"
"104","black","Ccdc8"
"105","black","Ccdc86"
"106","black","Ccdc90b"
"107","black","Ccna2"
"108","black","Cd209c"
"109","black","Cd300c2"
"110","black","Cd300lg"
"111","black","Cdh10"
"112","black","Cdh2"
"113","black","Cdh4"
"114","black","Cdk12"
"115","black","Cdk13"
"116","black","Cdk17"
"117","black","Cdkal1"
"118","black","Cdkn2aip"
"119","black","Celsr2"
"120","black","Cenpb"
"121","black","Cfap97"
"122","black","Chgb"
"123","black","Chst15"
"124","black","Chtf8"
"125","black","Chuk"
"126","black","Cirh1a"
"127","black","Ckb"
"128","black","Clasp2"
"129","black","Clcn7"
"130","black","Cldn19"
"131","black","Clp1"
"132","black","Clpp"
"133","black","Clrn1"
"134","black","Clstn3"
"135","black","Cmtm6"
"136","black","Cnbd2"
"137","black","Col1a1"
"138","black","Commd3"
"139","black","Commd5"
"140","black","Copb2"
"141","black","Coq10a"
"142","black","Coro1a"
"143","black","Coro1b"
"144","black","Cox6a1"
"145","black","Cox8a"
"146","black","Cpsf7"
"147","black","Crat"
"148","black","Crbn"
"149","black","Crebrf"
"150","black","Crp"
"151","black","Crtc1"
"152","black","Csrp2bp"
"153","black","Cul4b"
"154","black","Cxcl14"
"155","black","Cxcl9"
"156","black","Cyb5d2"
"157","black","Cyb5rl"
"158","black","Cyhr1"
"159","black","D430019H16Rik"
"160","black","D7Ertd443e"
"161","black","Dcc"
"162","black","Dclre1b"
"163","black","Dctn6"
"164","black","Dcxr"
"165","black","Ddb1"
"166","black","Ddx24"
"167","black","Ddx3y"
"168","black","Ddx5"
"169","black","Dennd5b"
"170","black","Dfna5"
"171","black","Dhrs1"
"172","black","Dkk2"
"173","black","Dlat"
"174","black","Dlgap2"
"175","black","Dlx1"
"176","black","Dmtf1"
"177","black","Dnaja4"
"178","black","Dnajc17"
"179","black","Dnajc30"
"180","black","Dnase2a"
"181","black","Dner"
"182","black","Dnph1"
"183","black","Dolk"
"184","black","Dpp8"
"185","black","Dr1"
"186","black","Dus1l"
"187","black","Dvl1"
"188","black","Dync1li2"
"189","black","Eed"
"190","black","Efcab12"
"191","black","Ehhadh"
"192","black","Eif2b3"
"193","black","Eif3j1"
"194","black","Eif4a1"
"195","black","Eif4a2"
"196","black","Eif4ebp2"
"197","black","Eif4h"
"198","black","Elp5"
"199","black","Eml1"
"200","black","Enpp4"
"201","black","Epha3"
"202","black","Eps8l3"
"203","black","Eri3"
"204","black","Esf1"
"205","black","Esyt3"
"206","black","Etv5"
"207","black","Evc2"
"208","black","Evi2a"
"209","black","Fam118a"
"210","black","Fam13c"
"211","black","Fam151b"
"212","black","Fam169b"
"213","black","Fam174b"
"214","black","Fam199x"
"215","black","Fam19a1"
"216","black","Fam19a5"
"217","black","Fam20c"
"218","black","Fam222b"
"219","black","Fam69a"
"220","black","Fam84b"
"221","black","Fastkd5"
"222","black","Faxc"
"223","black","Fbxl12"
"224","black","Fbxl16"
"225","black","Fbxl19"
"226","black","Fbxo32"
"227","black","Fbxo45"
"228","black","Fbxw4"
"229","black","Fer1l5"
"230","black","Fermt3"
"231","black","Fez1"
"232","black","Ffar1"
"233","black","Fgd4"
"234","black","Fgfr1"
"235","black","Fis1"
"236","black","Fkbp5"
"237","black","Flt3"
"238","black","Fndc10"
"239","black","Fndc9"
"240","black","Fntb"
"241","black","Focad"
"242","black","Foxa3"
"243","black","Foxc1"
"244","black","Frmpd4"
"245","black","Fstl1"
"246","black","Furin"
"247","black","Fyttd1"
"248","black","Fzd2"
"249","black","G0s2"
"250","black","Gak"
"251","black","Galnt4"
"252","black","Galnt5"
"253","black","Gapdhs"
"254","black","Gcdh"
"255","black","Gck"
"256","black","Gcn1l1"
"257","black","Gcnt2"
"258","black","Glod4"
"259","black","Glp2r"
"260","black","Glt8d1"
"261","black","Glyctk"
"262","black","Gm10521"
"263","black","Gm20604"
"264","black","Gm21319"
"265","black","Gm29394"
"266","black","Gm42641"
"267","black","Gm43517"
"268","black","Gm4924"
"269","black","Gm5141"
"270","black","Gm996"
"271","black","Gmeb1"
"272","black","Gmppb"
"273","black","Gmpr"
"274","black","Gnb5"
"275","black","Gng10"
"276","black","Gnptg"
"277","black","Gosr1"
"278","black","Gpalpp1"
"279","black","Gpatch11"
"280","black","Gpbp1"
"281","black","Gpc3"
"282","black","Gpc5"
"283","black","Gpr155"
"284","black","Gpr75"
"285","black","Gpr84"
"286","black","Grasp"
"287","black","Gsr"
"288","black","Gstz1"
"289","black","Gtf2h1"
"290","black","Gtf2ird1"
"291","black","H1f0"
"292","black","Hal"
"293","black","Haus2"
"294","black","Hax1"
"295","black","Hbs1l"
"296","black","Hcfc1r1"
"297","black","Hcn1"
"298","black","Hdac8"
"299","black","Hdac9"
"300","black","Hddc2"
"301","black","Hdhd3"
"302","black","Herc2"
"303","black","Hes5"
"304","black","Hes6"
"305","black","Hey1"
"306","black","Hey2"
"307","black","Hibch"
"308","black","Hid1"
"309","black","Higd2a"
"310","black","Hip1r"
"311","black","Hist1h2bc"
"312","black","Hist4h4"
"313","black","Hltf"
"314","black","Hnrnpdl"
"315","black","Hnrnpk"
"316","black","Hook1"
"317","black","Hsbp1l1"
"318","black","Hsd17b12"
"319","black","Hspa9"
"320","black","Hunk"
"321","black","Ifi203"
"322","black","Ifi27"
"323","black","Ifnar2"
"324","black","Igfbpl1"
"325","black","Il6ra"
"326","black","Imp4"
"327","black","Inpp5j"
"328","black","Iqcc"
"329","black","Iqce"
"330","black","Irak1bp1"
"331","black","Itga3"
"332","black","Jag1"
"333","black","Kcna3"
"334","black","Kcnab3"
"335","black","Kctd2"
"336","black","Kdm5b"
"337","black","Kif17"
"338","black","Kif22"
"339","black","Kif2a"
"340","black","Kif5a"
"341","black","Klc4"
"342","black","Klf13"
"343","black","Klhdc10"
"344","black","Klhl4"
"345","black","Kmo"
"346","black","L2hgdh"
"347","black","Lag3"
"348","black","Larp1b"
"349","black","Lca5"
"350","black","Leprotl1"
"351","black","Lgals3bp"
"352","black","Lgalsl"
"353","black","Lgi2"
"354","black","Lims1"
"355","black","Lmtk3"
"356","black","Lpin2"
"357","black","Lrch2"
"358","black","Lrfn2"
"359","black","Lrrc3b"
"360","black","Lrrc61"
"361","black","Lrrfip2"
"362","black","Lrrtm1"
"363","black","Lrtm1"
"364","black","Lsm3"
"365","black","Lsm7"
"366","black","Lyrm7"
"367","black","Lzts1"
"368","black","Maff"
"369","black","Maml1"
"370","black","Man2a1"
"371","black","Mansc1"
"372","black","Map2k5"
"373","black","Map2k7"
"374","black","Map9"
"375","black","Mapk6"
"376","black","Mapk8"
"377","black","Mapk8ip2"
"378","black","Mapk8ip3"
"379","black","Mapk9"
"380","black","March2"
"381","black","March8"
"382","black","Mark3"
"383","black","Mcam"
"384","black","Me3"
"385","black","Med13"
"386","black","Med17"
"387","black","Med19"
"388","black","Men1"
"389","black","Mettl14"
"390","black","Mettl6"
"391","black","Mfsd14a"
"392","black","Mfsd3"
"393","black","Mfsd7b"
"394","black","Micu1"
"395","black","Mid1"
"396","black","Miip"
"397","black","Mlph"
"398","black","Mmp14"
"399","black","Mmp23"
"400","black","Morn2"
"401","black","Mov10"
"402","black","Mphosph6"
"403","black","Mpi"
"404","black","Mpzl3"
"405","black","Mrpl37"
"406","black","Mrpl48"
"407","black","Mrpl53"
"408","black","Mrps16"
"409","black","Mrps33"
"410","black","Msl2"
"411","black","Msl3l2"
"412","black","Mtmr1"
"413","black","Mtmr12"
"414","black","Mtmr14"
"415","black","Mtpap"
"416","black","Mturn"
"417","black","Mycbp"
"418","black","Mydgf"
"419","black","Mylip"
"420","black","Mylk"
"421","black","Mylk4"
"422","black","Naa30"
"423","black","Naip2"
"424","black","Nat14"
"425","black","Natd1"
"426","black","Ncbp1"
"427","black","Ndor1"
"428","black","Ndufb5"
"429","black","Necap1"
"430","black","Nf2"
"431","black","Nicn1"
"432","black","Nip7"
"433","black","Nkiras1"
"434","black","Nkrf"
"435","black","Nmd3"
"436","black","Nmnat1"
"437","black","Nol4"
"438","black","Nomo1"
"439","black","Nop16"
"440","black","Nos1ap"
"441","black","Npdc1"
"442","black","Npy"
"443","black","Nr2c2"
"444","black","Nsmce2"
"445","black","Nsun2"
"446","black","Ntrk2"
"447","black","Ntrk3"
"448","black","Nudt2"
"449","black","Nup210"
"450","black","Nupl2"
"451","black","Nusap1"
"452","black","Nyap1"
"453","black","Oas1b"
"454","black","Oaz3"
"455","black","Ogdh"
"456","black","Olfr287"
"457","black","Onecut2"
"458","black","Osbpl8"
"459","black","Oscp1"
"460","black","Otub1"
"461","black","Oxa1l"
"462","black","Pacsin1"
"463","black","Pacsin3"
"464","black","Paip2b"
"465","black","Palm2"
"466","black","Pcca"
"467","black","Pcdhb19"
"468","black","Pcdhb3"
"469","black","Pcdhb8"
"470","black","Pcdhgb2"
"471","black","Pdcd11"
"472","black","Pdcd2l"
"473","black","Pdcd6ip"
"474","black","Pdia6"
"475","black","Pdpn"
"476","black","Pex26"
"477","black","Pfdn5"
"478","black","Pggt1b"
"479","black","Phf8"
"480","black","Pin1"
"481","black","Plagl2"
"482","black","Plekhg2"
"483","black","Plekhh2"
"484","black","Plk1"
"485","black","Pls1"
"486","black","Pm20d1"
"487","black","Pnkp"
"488","black","Pnpla2"
"489","black","Pnrc1"
"490","black","Pole3"
"491","black","Pou6f1"
"492","black","Pou6f2"
"493","black","Ppib"
"494","black","Ppif"
"495","black","Ppil2"
"496","black","Ppil4"
"497","black","Ppp1r14c"
"498","black","Ppp1r26"
"499","black","Ppp4r1"
"500","black","Ppp4r2"
"501","black","Ppp5c"
"502","black","Prkcd"
"503","black","Prkcz"
"504","black","Prmt5"
"505","black","Prmt7"
"506","black","Prosc"
"507","black","Prrc2a"
"508","black","Prrc2b"
"509","black","Prrg3"
"510","black","Prss12"
"511","black","Prtg"
"512","black","Psma6"
"513","black","Psma7"
"514","black","Psmb2"
"515","black","Psmb4"
"516","black","Psmc3ip"
"517","black","Psmc5"
"518","black","Ptger1"
"519","black","Ptges3"
"520","black","Ptgr2"
"521","black","Ptpn2"
"522","black","Pvr"
"523","black","Pxdc1"
"524","black","Pycr2"
"525","black","Qdpr"
"526","black","Rab1b"
"527","black","Ralgds"
"528","black","Ranbp6"
"529","black","Rap2a"
"530","black","Rasgrp4"
"531","black","Rasip1"
"532","black","Rbm11"
"533","black","Rbm4"
"534","black","Rbmx"
"535","black","Rchy1"
"536","black","Reep6"
"537","black","Rer1"
"538","black","Rfc2"
"539","black","Rfx1"
"540","black","Rgs9"
"541","black","Rhpn2"
"542","black","Rlim"
"543","black","Rnaseh2b"
"544","black","Rnf115"
"545","black","Rnf126"
"546","black","Rnf214"
"547","black","Rnf223"
"548","black","Rnf40"
"549","black","Rpl31"
"550","black","Rpl32"
"551","black","Rprd1b"
"552","black","Rps27"
"553","black","Rps27a"
"554","black","Rps3a1"
"555","black","Rps8"
"556","black","Rraga"
"557","black","Rrp8"
"558","black","Rsu1"
"559","black","Rtf1"
"560","black","Rufy3"
"561","black","Rundc3b"
"562","black","Rwdd4a"
"563","black","Ryr3"
"564","black","S1pr5"
"565","black","Safb2"
"566","black","Sap30"
"567","black","Sash1"
"568","black","Scn2a1"
"569","black","Sco1"
"570","black","Sdhaf3"
"571","black","Sec22b"
"572","black","Sec24d"
"573","black","Sec61a2"
"574","black","Sec62"
"575","black","Secisbp2"
"576","black","Sema3e"
"577","black","Sema6a"
"578","black","Senp2"
"579","black","Sepp1"
"580","black","Serinc1"
"581","black","Serpinb8"
"582","black","Sertad1"
"583","black","Setd5"
"584","black","Setd7"
"585","black","Sf3a2"
"586","black","Sf3b2"
"587","black","Sgpp2"
"588","black","Sgtb"
"589","black","Sh3bgrl"
"590","black","Shoc2"
"591","black","Sin3a"
"592","black","Sipa1l3"
"593","black","Skap2"
"594","black","Slc15a2"
"595","black","Slc17a7"
"596","black","Slc22a21"
"597","black","Slc22a5"
"598","black","Slc24a4"
"599","black","Slc25a12"
"600","black","Slc25a42"
"601","black","Slc35a3"
"602","black","Slc35e1"
"603","black","Slc35f3"
"604","black","Slc39a14"
"605","black","Smad9"
"606","black","Smarca5"
"607","black","Smdt1"
"608","black","Smim17"
"609","black","Smoc1"
"610","black","Smpd4"
"611","black","Snai2"
"612","black","Snrpb2"
"613","black","Snta1"
"614","black","Snx3"
"615","black","Snx32"
"616","black","Socs4"
"617","black","Sorcs1"
"618","black","Sord"
"619","black","Sox2"
"620","black","Spats2"
"621","black","Spcs3"
"622","black","Spg11"
"623","black","Spock3"
"624","black","Spr"
"625","black","Srp9"
"626","black","Sstr4"
"627","black","Ssu72"
"628","black","Ssx2ip"
"629","black","St3gal4"
"630","black","Stambpl1"
"631","black","Stk39"
"632","black","Stk4"
"633","black","Stpg1"
"634","black","Strn"
"635","black","Stum"
"636","black","Stx1b"
"637","black","Stx8"
"638","black","Suds3"
"639","black","Sugt1"
"640","black","Supt5"
"641","black","Suv39h2"
"642","black","Suz12"
"643","black","Syncrip"
"644","black","Syne3"
"645","black","Syngr1"
"646","black","Tada2b"
"647","black","Taf10"
"648","black","Taf13"
"649","black","Taldo1"
"650","black","Tbc1d30"
"651","black","Tbc1d32"
"652","black","Tbc1d9"
"653","black","Tbrg1"
"654","black","Tbx2"
"655","black","Tceal1"
"656","black","Tceal5"
"657","black","Tdg"
"658","black","Tectb"
"659","black","Tex261"
"660","black","Tex9"
"661","black","Tfap2b"
