"","gene","pvalue","lfc","direction"
"72","Arl4d",2.50339987694259,1.82290967609823,"consistent"
"73","Per1",4.71090245418867,1.82273176771818,"consistent"
"74","Pcdh8",1.63685095374544,1.81414694221601,"consistent"
"75","Lbh",2.29332746870802,1.7821355343454,"consistent"
"76","Cxadr",1.6532605198809,1.77232814980505,"consistent"
"77","Cwc25",1.61187982786871,1.73389496732002,"consistent"
"78","Hmgcr",3.20910467247197,1.73099901756267,"consistent"
"79","Arl4a",1.07409667826981,1.72205128068346,"consistent"
"80","Zfp275",1.2560571561585,1.71809757138366,"consistent"
"81","Cited2",1.27724974753888,1.6944699669811,"consistent"
"82","Sik1",1.40494641461352,1.68626717046829,"consistent"
"83","Per2",1.96535371221107,1.68095926101036,"consistent"
"84","Rgs4",3.32036331016526,1.64585844368598,"consistent"
"85","Ankrd28",1.90389595027941,1.64293123246985,"consistent"
"86","Irs1",1.58175436372367,1.60248192422232,"consistent"
"87","Lemd3",1.82809543995635,1.60131523572226,"consistent"
"88","Gadd45g",1.61601633484372,1.59654894881573,"consistent"
"89","Armcx5",1.0441144111087,1.59452935610823,"consistent"
"90","Bdnf",2.2425688764971,1.57421226901577,"consistent"
"91","Vcl",1.0762536860973,1.57389787448479,"consistent"
"92","Jund",3.26420763572853,1.57262187163294,"consistent"
"93","Spty2d1",1.52026012524108,1.54653241199201,"consistent"
"94","Tsc22d2",1.83596375832727,1.54448786351797,"consistent"
"95","Peli1",2.35209084106357,1.51012632547069,"consistent"
"96","Syt4",2.62438024797953,1.49039422796458,"consistent"
"97","Mn1",1.07782839880334,1.44182261741367,"consistent"
"98","Sat1",1.61187982786871,1.43438079893054,"consistent"
"99","Erf",3.528922662517,1.43313362046515,"consistent"
"100","Egr3",1.70228415685559,1.39827214403785,"consistent"
"101","Zfand5",2.42320053456718,1.34555282171309,"consistent"
"102","Ctnnd1",1.12404057348834,1.32149184049876,"consistent"
"103","Kdm6b",2.79486187767885,1.29984663823296,"consistent"
"104","Cyp51",1.0610025042349,1.28222027036197,"consistent"
"105","Jun",2.30406792229333,1.25017775430441,"consistent"
"106","Odc1",2.15845953056456,1.22511193535035,"consistent"
"107","Pak6",1.06115193765562,1.16909211184021,"consistent"
"108","Fbxw7",1.40494641461352,1.13042227238581,"consistent"
"109","Nap1l5",1.15851682355214,1.12410191073755,"consistent"
"110","Srf",1.25328203630453,1.10789556006921,"consistent"
"111","Ubc",3.57900335716155,1.10227175200421,"consistent"
"112","P4ha1",1.0762536860973,1.05967383037265,"consistent"
"113","Slc25a25",1.59224229377175,1.04002415491944,"consistent"
"114","Gm12258",1.07435904536678,-1.94552434017281,"yoked_consistent"
"115","Hdhd3",1.10735980268742,-3.93255267897982,"yoked_consistent"
"116","Dll3",1.02013462375625,-3.97215625517586,"yoked_consistent"
"117","Mycbp",1.22206202518804,-4.06381695781519,"yoked_consistent"
"118","Gm29394",1.1136833657755,-5.19605756276878,"yoked_consistent"
"119","Gm1818",1.32493812568286,-6.12741954601803,"yoked_consistent"
