"","143A-CA3-1","143A-DG-1","143B-CA1-1","143B-DG-1","143C-CA1-1","143D-CA1-3","143D-DG-3","144A-CA1-2","144A-CA3-2","144A-DG-2","144B-CA1-1","144B-CA3-1","144C-CA1-2","144C-CA3-2","144C-DG-2","144D-CA3-2","144D-DG-2","145A-CA1-2","145A-CA3-2","145A-DG-2","145B-CA1-1","145B-DG-1","146A-CA1-2","146A-CA3-2","146A-DG-2","146B-CA1-2","146B-CA3-2","146B-DG-2","146C-CA1-4","146C-DG-4","146D-CA1-3","146D-CA3-3","146D-DG-3","147C-CA1-3","147C-CA3-3","147C-DG-3","147D-CA3-1","147D-DG-1","148A-CA1-3","148A-CA3-3","148A-DG-3","148B-CA1-4","148B-CA3-4","148B-DG-4"
"1110002E22Rik",-1.17062964877259,1.16379382669833,0.133655729275282,1.61901392711446,-0.678220001058242,-0.546963683053701,1.30636058814177,-0.553239577413794,-0.494506976618714,1.40934973840495,-0.903315909340612,-0.798727073248367,-0.608237819088567,-0.342010334952731,1.41619566031496,-1.04515942055258,0.945910388868723,-0.681414932023854,0.00314958126890419,0.112940804511181,-1.00877760481538,1.54580682453903,-0.972312078384133,0.470347665128354,1.24339239797215,0.872735723515189,-1.03834593385243,0.364046253880762,0.689254691481997,-0.583341511675859,-0.482963917395884,-1.13129592617645,-0.120940791903356,-0.273269319706396,-0.646544470307794,1.89557580191902,-1.2475068174654,1.22326591498658,-0.943520263122291,-0.235739268361643,1.61172630070086,-0.403617248356062,-1.16990159511092,0.0539803040352531
"1110008P14Rik",0.369279308096974,0.0852773702845671,0.193288166996276,0.334560278106286,-0.230591179762592,0.0896860505349046,-0.204205648205431,0.185429060971157,1.1511066666972,-0.966571549765678,-0.911259395641066,0.324564365362063,-0.21269379193321,0.987123645112203,-0.437409927194509,0.576483019642586,-0.0829271994164902,-0.0139645018454075,0.865795418103693,-0.103769066701466,-0.913387694616485,0.104118150842291,-0.108764136135251,0.808134934220586,-0.0283331145937904,-1.33761664689515,0.627949949170206,-0.184909034059966,-0.826712765369677,-0.900663180048308,0.257807894451633,-0.431077964175193,-0.857924269692992,-0.571733577865862,0.203865924235366,-0.42571529060127,0.830818172360114,-0.171567967123818,-0.0256118273569426,1.04656762206576,0.0914939556976533,0.137738991329849,0.495511579910727,0.180809204808456
"1110012L19Rik",-1.01406114694147,0.151908752599101,-0.499994152268785,1.45208093234742,0.137207655625155,-0.755697588620685,-0.135654388247095,0.868149474740445,0.847444335759775,-1.00486472018723,0.0551395846281162,0.0675400698630675,0.620295568482703,-0.158761657652697,0.259665241072815,-0.143713778321567,0.349847613139187,0.013431341149122,1.18109395919372,-0.292159333940277,-0.897601330190577,0.250077842206049,0.695907079723301,0.285144523141787,0.475247301846409,-0.112967645596835,-0.919563111957843,-0.162453675270857,-0.804184611103233,0.280047639701004,-0.464478578420247,-0.387494096325929,-0.127759257967984,-0.129632132848811,-0.582951704925867,0.321280918490158,-0.0671739590695792,0.356725663919141,0.0187176289963742,-0.235890116550758,-0.183459831463372,-0.392840414286967,-0.0967413488599567,0.883145454393775
"1190002N15Rik",-1.7109406844305,0.874391786236968,0.888682607246157,-0.828768642101568,1.32053454706125,0.826414257118333,0.374347271682921,0.983687446314839,-2.03964392988744,2.04385414122177,1.03636092499126,-1.22646311327677,0.339625374459016,-1.08812703789214,1.7848510052368,-0.997883017009586,-0.315650033829881,0.980768451116006,-1.10028056833025,0.59610779336653,0.599139068243336,-0.00886139645234607,0.776552636766395,-0.876673170987574,0.825316050527968,1.38221578999194,-0.906071535811719,1.10018086847579,1.27444992609092,1.25630167396527,-0.179467082499171,-2.12651222674201,-1.05634819118636,0.952717603867247,-1.0217795261377,1.14391325035037,-1.86266574633103,-0.392384552743658,1.16426444926236,-2.18577660417987,0.274089300516406,-0.191878052259341,-1.31171728358372,-1.37087382843723
"1700001L19Rik",-0.388802770315807,0.0466620539150431,0.0797948012920573,-0.824994557403053,0.100988319073324,1.57735012721891,0.174261209286826,0.161412132177417,-0.165167507175329,0.181071220110204,0.231957264888775,-0.549422427714588,0.0897595461143901,-0.830042446559028,-0.268346600375193,-0.15054695316203,0.161478258786645,0.689299783859101,-0.0733166374738552,-0.69685749057868,0.547220314160648,0.0632939673994506,0.361847974594458,-0.59154780176998,0.287725014255205,0.925148622535659,0.0858509587552967,-0.203151252940715,0.685013733853286,-0.284546617431648,-0.511553827902204,-0.476134179874197,-0.168123988606406,0.304098421850256,-0.184920574973618,0.213927565293116,-0.307616520205113,-0.11218596054596,0.691083553384043,0.0835963816340644,-0.447460935495217,-0.43532801871276,-0.318801656378179,0.246027501155394
"1700001O22Rik",0.0309549191191136,-0.344409290941237,1.42389376752481,-1.03456353884343,1.01265389114496,1.18417460841308,0.360448813636843,1.30264808742766,-0.513294792360271,0.0076786192646221,0.807368186734941,-0.316184490770008,0.549935010793404,-0.846431438136968,-0.859181331430214,-0.0117499869102802,0.11631714518448,0.765951948380608,-0.0379953974037259,-0.6998789920959,0.834500922515508,-0.518189707482583,1.47298289239443,0.56556736123191,-0.247864508912924,0.391691288660766,-0.521586000223559,-0.182439727103374,1.16535597830136,-0.256201748357441,-0.501916944583847,-1.10618205959696,-0.146714187976668,0.433384526309622,-1.23969081900129,-0.392483052607918,-1.20579228195924,-0.835227496330257,0.740356227136705,-0.89759923328231,-1.05861890539738,-0.42307474705089,-0.0226911905807912,1.05409767516468
"1700017B05Rik",1.30797640724536,-0.231078791666001,-0.835840325682944,-1.15538422312018,-0.650375053764018,0.0359603869287008,-1.25260702477634,-0.556363354833614,0.952114176888805,0.00362548280699659,-0.442996329785975,-0.295875605810474,-0.469598592904047,1.20880662524735,0.0572401048699698,0.874429676170796,-0.252628285096766,-0.926737199831841,-0.0793176110458838,0.277917467196554,-0.306392527736589,-0.597225480337891,-0.105954729100219,0.568393533020704,-0.591833427478952,0.390892636253163,1.05162898187119,-0.315997662003256,0.183085335579301,-0.280287898170799,-1.42955415245857,1.73124588063539,-0.687227700081787,-0.751170551168665,0.707012740168632,-0.254473037235916,0.527453206472798,0.142196691463359,-0.4034918143998,0.773928200033081,-0.446192467765391,1.00248213420051,1.11591630278445,0.406297876418798
"1700025G04Rik",-0.436581603912401,0.593854099544095,-0.345911924491847,0.00328402544828599,-0.103768106277784,-0.805322165177016,0.318955543982661,-0.789147066703296,0.392493871054024,0.724987642705739,-0.990218001568144,-0.312656858713987,-0.0773603504930511,0.016447265077705,0.581954664632485,0.123964778582626,0.724332018272889,-0.769055243119557,0.954681517427209,0.251357548394498,-0.343893727161002,0.483381437345098,-0.316921513980384,0.136765354771324,0.354135141642433,-0.363085030923374,0.0673707904073009,0.175587436864088,-0.852454359425827,0.601738200130075,-0.855440454910043,-0.0907420294942254,0.776436892100657,-0.486389972294046,0.298620251222041,0.70906294335133,0.557892969019864,0.288854824089344,-0.282649972519234,-0.210100185297306,0.584985110139232,-1.11190430542317,-0.0940820120193635,-0.0834594422999588
"1700028J19Rik",-0.155951459271749,-0.0620354693579671,-0.14189853010723,-0.148055120910717,0.0544707206862136,-0.128573399642867,-0.128808735130667,0.00764169762685632,-0.0257193171751357,-0.155162066436784,0.11245107206521,0.232298406720012,-0.0782838221089167,0.545389086596684,0.0534952514791601,0.376651254498747,-0.161764443512878,-0.161042216508975,0.000926705339980329,0.00920124971955696,-0.144969737253132,0.00672693533144016,-0.142057706448854,-0.149949163130704,0.0351742280153342,0.0616589191114447,-0.0331848944403052,0.121753774518625,0.0275778157274011,-0.0597982245367238,-0.0210995896499067,0.220122606284971,0.137274891075513,-0.0720132434139017,0.119112399725071,-0.0414125965173756,0.158099339558725,-0.169333446867448,-0.0178395935430891,0.115120119684042,-0.159530285914007,0.012293582098355,0.0633884129869221,-0.112345406970931
"1700030K09Rik",-0.0674012942278979,0.204995960211911,0.301780289382817,0.636908771061663,-0.188064815541675,0.848095521132704,-0.0139450471357083,0.295470391443079,0.0728809744074148,0.149648569915761,-0.19560000132883,0.168165761076791,-0.134133344355666,-0.49580444278062,0.483424937438228,-0.787114644467996,0.220441493563375,-0.82512326224278,0.194633856496476,0.177736619839162,0.210682839616276,0.948190773044752,0.0826203363421336,-0.586758663417267,0.0206853096508741,-0.121970515505758,-0.140039156323435,1.38243332092598,-0.974167241622623,-0.0837892569438359,-0.570466158731098,-0.493926387072257,-0.203466311989204,0.0181505709225429,-0.201937309356448,-0.269702300184178,0.0541933580088583,0.493758323937519,-0.761910111040267,0.117788549462296,0.217614794200965,-0.485225951822089,0.116580113350759,0.1836647806573
