"rowname","PC1","gene","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146B-DG-2","146C-DG-4","146D-DG-3","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"CPEB4","0.755748433813377","CPEB4",0.0329980382487758,-0.391286776093382,-0.409719512735446,0.785850467946528,0.608419363067666,-0.45527557124729,0.0717123162103306,-0.26276886619571,-0.0988368252069005,-0.577952990035067,0.424587771702479,0.0165783010935741,0.437066777243292,-0.0208344669844394,0.161105994897442,-0.321644021911847
"DUSP8","0.703119355683613","DUSP8",0.157007165782625,-0.313118274425094,-0.0441357978080585,0.710844032505729,0.691128461347031,-0.31321631818173,0.0808200323437944,-0.333904464007308,-0.0852240456401923,0.238702693212533,0.405825951637551,-0.621718905932749,0.298020984898532,-0.239524968245744,-0.0273659470041778,-0.604140600482754
"EGR1","0.706953333581833","EGR1",0.852209162511771,-0.036741242033477,-0.136079422858787,1.08423965498578,1.60215901868217,-2.25043208858094,-0.0354839150107722,-0.306604312132542,0.443252591816947,-0.378145421828037,1.26637202525587,-0.900509020889679,0.721130898180698,-1.89303739117113,0.487251841316409,-0.519582378244278
"EGR4","0.731749105854713","EGR4",0.939790772763306,0.0829277709451599,-0.283040488198097,1.21064479709481,1.91289470213474,-1.90562788026768,-0.0396530519431906,-0.658085151758886,0.9720176625116,-1.83290546230578,2.06277266887868,-1.8493269680214,0.984132851220213,-1.508429083496,0.441352103422075,-0.529465242979562
"ERRFI1","0.708256406962834","ERRFI1",0.516840975992356,-0.186531888401618,-0.0562172775485692,1.28397943364717,1.18116652682207,-0.947847299711001,0.215874446687607,-0.355834760376009,0.956184590199136,-0.853555785863803,0.963521441436878,-2.87558662092132,0.96477264496685,-0.706053113198085,0.0742589871056634,-0.174972300837317
"FBXO33","0.728343422071878","FBXO33",0.512565789438092,-0.373666412179759,-0.036751852820716,2.00754484599867,1.50453003608773,-1.40429423916182,-0.208030734442897,-0.980388496019059,0.431285861310457,-0.718778063008205,2.15014529814871,-2.37754676986679,1.27486465109084,-1.18864315891736,-0.0752241299970802,-0.517612625660791
"FOSL2","0.759277135465781","FOSL2",0.552494424195608,-0.231178479336249,-0.39404897265594,1.91578213799832,1.5681575129325,-1.09995962523272,-0.0566677867103582,-0.305255500559415,0.480797238832794,-2.28651220695988,1.45538263294779,-0.838998678816827,1.21126644913199,-1.34714357399708,0.0390294768429111,-0.663145048613464
"FRMD6","0.752800151426487","FRMD6",0.475078853818295,-0.393591543000969,-0.311051893496831,1.74986710281441,1.27664554481906,-1.3381248969485,0.147650243230857,-0.822935694110623,-0.242573481951182,-0.965678290149844,1.92532158964786,-1.14795752006875,1.45775509685678,-1.19643102607581,0.029797694206172,-0.643771779590921
"FZD5","0.796818852152135","FZD5",0.729125271725214,-0.119073604612241,-0.537216703400725,0.9704994846232,1.20648952003783,-0.435251808140682,0.44499381389905,-0.380236279258033,0.382070702105612,-1.09254661393588,0.700091476237082,-1.09254661393588,0.916041242242708,-0.66666671631058,0.0667734426592199,-1.09254661393588
"HOMER1","0.721820472445643","HOMER1",0.0860300208449338,-0.387717276301546,-0.496469585827386,1.69867876416368,1.10296746184527,-1.3822878589381,-0.521330674236685,-0.915013859447855,0.217333439332275,-0.520502843188046,1.93103200541486,-0.373386379518051,1.57673946399178,-1.80782665550298,0.46110795390287,-0.669353976535008
"MEST","0.710461577437969","MEST",-0.0274714486826912,-0.151659992217291,-0.268438263796186,1.2162199753209,1.02850540566823,-0.303162557561584,0.22978224849644,-0.422137347199369,0.0804890482270677,-0.3239373510744,0.930507200225146,-1.80743630170238,0.482667678892309,-0.666816956305041,0.24323435770665,-0.240345695997799
"NAF1","0.858901508608825","NAF1",-0.136846879000494,-0.155059569018768,-0.0963115035775832,0.644800505923312,0.388793381434242,-0.170047274406772,0.343298759202549,-0.322231838016162,0.00556649104846585,-0.171488697874788,0.293295279486268,-0.353767927793694,0.309412742386611,-0.281655763743939,-0.0852655896915184,-0.212492116357737
"NFIL3","0.713957764708183","NFIL3",0.935971993232646,-0.18019043015586,-0.0230795002180395,1.46659397809043,1.23937849934203,-1.0870932901939,0.276959736168885,0.0643034906729696,0.622526070987377,-1.25887715721216,0.568066349341001,-2.32993273382592,1.10474359409801,-0.851415585351901,-0.194886368727562,-0.353068646247999
"NPAS4","0.798317714665574","NPAS4",1.26340562359035,-0.566295914047464,-0.415091023693202,2.30496067354856,2.17892991623157,-1.96796337375418,0.882011408036769,-0.27618776934562,1.42957310454995,-1.65042915866795,1.56504219271583,-3.89190171555145,1.75012150818121,-1.57379512969811,-0.254609669610371,-0.777770672485884
"NR4A3","0.720817167998637","NR4A3",0.928409128172103,-0.120014548024429,0.237054783646663,2.03849502114487,2.16819296132729,-2.19456169989128,-0.0181288161831148,-0.732340186105158,0.445571937004859,-1.84461772892429,2.095833403042,-1.94910879410677,1.29969420185973,-2.41719728477717,0.486419556613107,-0.423701934798421
"PCDH8","0.734756100228092","PCDH8",0.49598105782831,-0.313637719879761,-0.185851838857653,1.50929395338872,1.17666365718121,-0.426476324321994,0.121437341099902,-0.547385349155547,0.71753007363446,-1.5644749978691,1.51813400557189,-1.83374200302192,0.649620285169179,-0.379347966736965,-0.128480762169781,-0.809263411860943
"PELI1","0.737443360431373","PELI1",-0.173940389462542,-0.323301897086513,-0.500647572978414,1.18484194786202,0.586401229521392,-0.57757126555627,-0.0935809217801324,-0.613732028104355,-0.0327679757799242,0.0219247482083667,0.968573051559813,-0.0175978290027894,0.600853134692209,-0.533739509462888,0.115698482130298,-0.611413204760268
"PER1","0.731314966033042","PER1",0.232763062423114,-0.133818903471219,-0.0542948868510713,0.996811645842659,0.826414219310308,-0.863352808800419,-0.150531954964869,0.028411209886519,0.25071037268275,-0.507859643268455,1.294185274397,-0.76808236895809,0.77497755369906,-1.24082767172867,0.030777839595272,-0.71628293979389
"PLK2","0.738679418423689","PLK2",0.782837107307648,-0.219814079428913,-0.2538240420287,1.38501952847466,1.42972800154612,-1.40405013054518,0.0818969829643503,-0.51984118971153,0.76991362494651,-0.492410406971771,1.3759604081499,-2.49996094469916,0.884988473470907,-0.82366905186616,-0.193781891449769,-0.302992390158924
"PTGS2","0.839362661587441","PTGS2",0.547590364782197,-0.826728941891449,-0.132969480793843,1.91278345533879,1.57333405467932,-1.1940988526093,0.112107105289748,-0.211933250603841,0.911897747618367,-1.10583938627454,0.994525642160109,-1.72932046837039,1.10405441906861,-1.11466015983838,-0.258859596137669,-0.581882652417715
"RASD1","0.744140159450464","RASD1",0.704127492676359,-0.354861805863385,-0.45618601912789,1.43703059500779,1.25116287762647,-0.824430643930156,0.201219570291516,-0.56251638430503,0.431532470659517,-0.392984705432522,0.837004167984412,-1.8764836560605,0.511991779688082,-1.04919110185234,-0.201363655494384,0.34394901813206
"RGS2","0.832768306363063","RGS2",0.560490031672413,-0.396303997353555,-0.385819700083972,1.7289639014203,1.46815214962234,-1.28899232367891,-0.162396151110342,-0.673874878560253,1.14564426298288,-1.3255241795684,1.36615298061949,-0.726071439155619,1.02582237995043,-0.948861576537062,-0.666576592471457,-0.720804867748297
"SGK1","0.716497936565598","SGK1",0.925387471165868,-0.113814160056732,-0.471041356425179,1.3480842880021,1.33516868275988,-1.06817878047087,0.109111365457842,-0.456495405419149,0.452044431508599,-0.471737247622683,1.55551296023929,-2.35272695485436,0.824813817348568,-0.759756069547313,0.0514037382755692,-0.907776780361447
"SLC16A1","0.724047877041084","SLC16A1",0.622981191912416,-0.320079895403339,-0.0375128674138523,1.31449701994101,0.855035462352497,-0.329021476367342,0.446527771088209,-0.393823189466979,0.57817929639038,-1.60432790789622,0.372926253415233,-1.60432790789622,0.773568273702565,-0.579059332960643,0.103157206045636,-0.19871989744334
"SLC25A25","0.735908925218771","SLC25A25",0.415351553707783,-0.166011340711236,-0.519125895474023,0.596923627528803,0.510685210572994,-0.289074744913738,0.0169691436733022,-0.0186266680774239,0.109427472686282,0.0700355403605242,0.445807385522578,-0.588020344362523,0.370774496721102,-0.267892766512971,-0.270190083075866,-0.417032587645583
"SMAD7","0.752081184619137","SMAD7",1.02744508257693,-0.402875823102527,-0.97404695903635,1.57772336271576,1.46850477915194,-1.13640528874349,0.156312413357545,-0.585185374517616,0.635658646292588,-0.0416448351714953,1.65643694433916,-2.59455641328971,1.01121744828692,-0.992630464646148,-0.0761415036980058,-0.729812014515489
"SPTY2D1","0.719242885859468","SPTY2D1",-0.0311410520893602,-0.297579023098937,-0.44113251144302,0.898856716847072,0.520857818750403,-0.348124503614556,0.0776867392220018,-0.327177359001635,0.432307180467037,0.529530281907603,0.714063811836643,-1.00318567279607,0.498960161405184,-0.364464092373453,0.197574139817215,-1.05703263583613
"SYT4","0.779068670365397","SYT4",0.166714298297535,-0.581499762760001,-0.348374236378793,0.862313113562751,0.797160155727926,-0.365151651989238,0.0329463671012187,-0.19880461353008,0.060936736500655,-0.338610490194426,0.75793381510681,-0.509603847633329,0.36550900398486,-0.784151987216878,-0.18582692377529,0.268510023196276
"TIPARP","0.709669800973541","TIPARP",0.88203886709017,0.251751768460728,-0.29726420551272,1.21857081088335,1.35523020243651,-1.55969567538659,0.480073705057719,-0.367147546018181,0.667197094461745,-1.42214239583994,1.10462249768719,-2.4931979724537,0.948075054970515,-0.946384051515567,0.429009572654291,-0.250737726975505
"TRIB1","0.715031277212565","TRIB1",1.13433795569612,0.168403112678485,-0.0441104539829489,1.44379122284748,1.70179193541497,-1.8442079170936,-0.159091221869215,0.0513852820812604,0.860097390121231,-1.55393075724221,1.16901885583028,-1.46600193568529,1.09480407325354,-1.98900654765078,-0.0466666513688097,-0.520614343030519
"UBC","0.752325109973092","UBC",0.386902162646201,-0.0176609303319371,-0.220526178862032,0.713687270079326,0.781034899146022,-0.650224131104297,-0.128438053316062,-0.485804031393391,0.172939033521089,-0.243951299657821,0.652181030033944,-0.244254155612609,0.399132491471734,-0.639665421567303,-0.078581937847785,-0.396770747205073
