"rowname","PC1","gene","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146B-DG-2","146C-DG-4","146D-DG-3","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"ACAN","0.7886430116776","ACAN",0.668206108678977,-0.476805955183021,-0.493064288179634,0.87940214262371,0.427126302290836,-0.54970502376054,0.423357459555063,-0.15102699471604,0.00343654622260026,-0.635366283594596,0.608736516467887,-0.547437462037676,0.847147570504227,-0.781054213458738,0.216995954421693,-0.439948379834749
"ADAMTS1","0.727284638538301","ADAMTS1",0.65710384095872,0.0494095971161324,-0.315802233008341,2.18067685297015,1.10227700846668,-1.54243720107698,-0.0478179888281822,-0.0778838054499316,0.339521942406702,-1.12353094651299,0.38496260656689,-0.975267340539694,0.978086926210028,-1.39233844762506,0.341464754271416,-0.558425565925543
"AMIGO2","0.718116159173985","AMIGO2",0.263839433754378,-0.643110512264785,-0.464566296356359,0.838503843810379,0.596699230253929,-0.543904491251507,-0.228767516083166,-0.247849127604001,0.51587334743374,-0.0279031507203431,-0.205702251881144,-0.352417703177641,0.676538490478234,-0.438234079308272,-0.092341514509342,0.353342297425899
"ARC","0.806065379799369","ARC",1.17562232665214,-0.748179993813567,-0.366604302427911,1.40236261590047,2.04553523727886,-1.72812195555946,0.0781037397820494,-0.364777905619462,0.970788666878478,-0.922955198859766,0.936992488820561,-1.24673379724064,1.07659086188555,-2.14716642758358,0.121546548677244,-0.283002904770944
"ARL4D","0.737404219089855","ARL4D",0.468183400330521,-0.215581386910507,-0.494816990704656,0.394220870929061,1.27336918221582,-0.615610571519475,-0.25686450623989,-0.36444871411533,0.786575314028021,-0.35178891782991,0.183013388797796,0.190788138413499,0.360060024399385,-0.767223533147145,-0.270935177548465,-0.318940521098726
"ARL5B","0.725283806300672","ARL5B",0.0678228114020438,-0.0393557395190074,-0.384427052988131,0.858375060186875,0.691482272179766,-0.560640227039167,0.00114431180152152,-0.114430641085658,0.121064029432809,-0.814323740306352,1.32846602848291,-0.0321813292719595,0.49751802400449,-0.855986202529925,-0.0614677526651137,-0.703059852085098
"ARMCX5","0.777883220000291","ARMCX5",0.278018180363576,-0.186238446617542,-0.697543700423974,0.652150762909955,0.355080587663752,-0.528289269838792,0.134876023220153,-0.384643282042789,0.233058074172895,-0.468033542163487,0.349273776258846,0.0610971315703761,0.441019439981434,-0.161569219182204,-0.179136232112509,0.100879716240316
"ATF3","0.772613673979652","ATF3",0.75869062973246,-0.587805738145788,0.124498044476447,1.07477690959087,1.32588528046474,-1.79911382433648,0.205967680845843,-0.261007828483358,0.631170763990044,-0.382936215428153,1.12183544173348,-0.751615884788328,1.04988999627883,-2.2087194071381,0.111821403610916,-0.413337252403426
"BDNF","0.704663321969813","BDNF",0.391587725739782,-0.268497748549392,-0.259146736295763,1.25041289603232,0.984298429705207,-0.639065796033244,-0.294462991180528,-0.718538430554137,0.409673809468275,-1.4133852715557,1.15504560524148,0.319474257373077,0.7244882168406,-0.78102520511785,-0.314819856324485,-0.54603890478965
"BTG2","0.702170625427901","BTG2",0.655798044362676,-0.0927786634641716,-0.0340187802266385,1.17118242028231,1.65423072484174,-1.50193971752748,-0.251001692746526,-0.216734218619369,1.18319105666769,-0.35874033932801,1.35902435684872,-2.60021289621151,0.666805841557435,-1.34567385561348,0.212776583721226,-0.501908864544609
