"APA2","TrainSessionComboNum","m","se"
"yoked-consistent",1,0.0502548157522737,0.0101360681862296
"yoked-consistent",2,0.0358306397848948,0.00655153123665199
"yoked-consistent",3,0.0197171688466369,0.00290278889644026
"yoked-consistent",4,0.0179925407745908,0.00463416178559375
"yoked-consistent",5,0.0103128195708683,0.00344638840316242
"yoked-consistent",6,0.0187381627305689,0.00321163797719972
"yoked-consistent",7,0.0137349121290667,0.00359427976891917
"yoked-consistent",8,0.0159869896447038,0.0043744642872556
"yoked-consistent",9,0.0138520650451625,0.00426297012007279
"yoked-conflict",1,0.0544262626649448,0.00889011718173222
"yoked-conflict",2,0.0325206812336949,0.00858781234149131
"yoked-conflict",3,0.0219643406973416,0.00233132686957407
"yoked-conflict",4,0.0204537754935749,0.00307008801768415
"yoked-conflict",5,0.0154383492899651,0.0032197613721152
"yoked-conflict",6,0.0377111249083785,0.0048344177866395
"yoked-conflict",7,0.0169059584242918,0.00369555890486151
"yoked-conflict",8,0.020031057428791,0.00400973014337621
"yoked-conflict",9,0.0224116179162272,0.00218718824288487
"consistent",1,0.0468528504367619,0.0151271652130006
"consistent",2,0.0443463021329869,0.00915843871172234
"consistent",3,0.021867858145378,0.00161648239012246
"consistent",4,0.0217700441740773,0.00144456938880651
"consistent",5,0.0288559126283003,0.0033357750314096
"consistent",6,0.0256213386747775,0.00155915796560846
"consistent",7,0.0190593025064481,0.00452569141649057
"consistent",8,0.0229751649847716,0.00118292964254356
"consistent",9,0.026994097944903,0.00185452848814043
"conflict",1,0.0455236400950839,0.00875072042277135
"conflict",2,0.0449822185668268,0.00797692089155321
"conflict",3,0.0231598834345028,0.0022485614893575
"conflict",4,0.0260516792696753,0.000796106210313336
"conflict",5,0.0265261091650809,0.00114344447656259
"conflict",6,0.0143288838011953,0.00479348624704349
"conflict",7,0.0294599427874138,0.00488721069660358
"conflict",8,0.0256515071756748,0.00115210449241236
"conflict",9,0.0329800287596158,0.00437792704359843
