"gene","padj","logpadj","lfc","direction"
"0610007P14Rik",0.902691500325914,0.0444606468046111,-0.176716533273843,"NS"
"0610009B22Rik",0.612735512045775,0.212726948722086,1.20802849227112,"NS"
"0610009O20Rik",0.608877206623705,0.215470283496524,0.877184355470306,"NS"
"0610010F05Rik",0.895821405240788,0.0477785645002914,-0.179323758424747,"NS"
"0610010K14Rik",0.408033580346637,0.389304093873058,-1.11889890704805,"NS"
"0610012G03Rik",0.77220730052445,0.112266096829431,0.368818190559724,"NS"
"0610030E20Rik",0.953754323887104,0.0205634801394977,0.122877692026534,"NS"
"0610037L13Rik",0.807613343868984,0.092796513996859,0.316155079303018,"NS"
"1110004E09Rik",0.968823291473393,0.0137554288691563,-0.0778601192165741,"NS"
"1110004F10Rik",0.296321978384104,0.52823613543542,-0.794610418392371,"NS"
"1110008F13Rik",0.792916856161505,0.100772349634924,-0.378446760099096,"NS"
"1110008L16Rik",0.720069181248643,0.142625776358746,-0.926671436655833,"NS"
"1110008P14Rik",0.455607931817938,0.341408723761558,-0.834764274883895,"NS"
"1110012L19Rik",0.53120716227234,0.274736078003018,2.56132068805408,"NS"
"1110032A03Rik",0.57722566356227,0.238654368334417,-0.933789011207447,"NS"
"1110032F04Rik",0.12421152253467,0.905838114778517,3.73459556978125,"NS"
"1110034G24Rik",0.56091109144384,0.251105972175845,-1.60106131989466,"NS"
"1110037F02Rik",0.643416676380525,0.191507687036501,-0.481191047186799,"NS"
"1110038F14Rik",0.294352988887746,0.531131549962684,1.38982068657841,"NS"
"1110051M20Rik",0.344928591168856,0.462270805423191,0.987984633959258,"NS"
"1110059E24Rik",0.63368683024245,0.198125318616382,-0.822517612933835,"NS"
"1110059G10Rik",0.991494693890111,0.00370960563458505,-0.0252616326918681,"NS"
"1110065P20Rik",0.486109498726186,0.313265892597412,-0.719651363089169,"NS"
"1190002N15Rik",0.633036300684182,0.198571385188327,0.437803526473324,"NS"
"1190007I07Rik",0.657123155668397,0.182353228895583,1.10220714814655,"NS"
"1500009C09Rik",0.80977134422021,0.0916375958897028,0.393633515280759,"NS"
"1500009L16Rik",0.372974600880094,0.428320742114102,2.4589608639755,"NS"
"1500011B03Rik",0.986392421150066,0.00595027325878692,-0.0245976483071378,"NS"
"1500011K16Rik",0.822970784248488,0.0846155821205152,-0.365777027530096,"NS"
"1600002H07Rik",0.494439220104316,0.305887087273379,1.57240326756084,"NS"
"1600002K03Rik",0.11304655506647,0.946742667625726,-4.52329816095067,"NS"
"1600012H06Rik",0.901447096545866,0.0450597557439981,0.269257260948586,"NS"
"1600014C10Rik",0.897935489876938,0.0467548631064542,0.264802631202912,"NS"
"1700001L19Rik",0.567568158016921,0.245981977530018,-1.11799882265784,"NS"
"1700001O22Rik",0.960522309624295,0.0174925435204516,0.134960865110797,"NS"
"1700003E16Rik",0.506491703660805,0.295427663993417,-0.918738514415368,"NS"
"1700017B05Rik",0.654819021396647,0.183878713549011,0.878899199641511,"NS"
"1700019D03Rik",0.821888471812724,0.0851871111247774,0.874291501381931,"NS"
"1700021F05Rik",0.960522309624295,0.0174925435204516,0.168088817866355,"NS"
"1700025G04Rik",0.623846398309698,0.204922327910857,0.519950182116484,"NS"
"1700028J19Rik",0.590003926663115,0.229145097980825,2.48328681644287,"NS"
"1700029J07Rik",0.839294396816127,0.0760856762553682,-0.948900444040431,"NS"
"1700030J22Rik",0.609911957443591,0.214732852130308,1.7341985393395,"NS"
"1700030K09Rik",0.823796477444525,0.0841800694197515,-0.65105937717473,"NS"
"1700037H04Rik",0.623675764451875,0.205041131961884,-0.577387564701978,"NS"
"1700047I17Rik2",0.157054031481718,0.803950911046486,5.00338065309771,"NS"
"1700048O20Rik",0.678450965303778,0.168481535281375,-1.26144884239464,"NS"
"1700066M21Rik",0.888395623189966,0.0513935897331185,-0.192568049584095,"NS"
"1700123O20Rik",0.792022884869005,0.101262269636845,0.612380554131058,"NS"
"1700128F08Rik",0.80262860486012,0.0954853665165426,-0.496447633378358,"NS"
"1810009A15Rik",0.965304540206735,0.0153356511474108,-0.167268361480666,"NS"
"1810010H24Rik",0.789826168326037,0.102468481423317,1.25041345222679,"NS"
"1810013L24Rik",0.291334754688705,0.535607703257036,0.879417152335942,"NS"
"1810022K09Rik",0.794019335405366,0.100168921807648,-0.52614781833343,"NS"
"1810026J23Rik",0.681057119826703,0.166816462558215,-0.342200720942607,"NS"
"1810030O07Rik",0.15377302635828,0.813119838339064,-1.76133396870424,"NS"
"1810032O08Rik",0.515212170325581,0.288013886636569,2.74593913354234,"NS"
"1810037I17Rik",0.561190512987271,0.250889679397248,-1.01435505494258,"NS"
