Year,ID,Genotype,TrainProtocol,TrainSequence,TrainGroup,Day,TrainSession,ShockOnOff,PairedPartner,Experimenter,Housing,TestLocation,       filename,p-miss ,TotalTime(s),TotalPath(Arena),Speed (Arena),sd Speed(Arena),Linearity(Arena),TotalPath(m),#Entrances,Time1stEntr,Path1stEntr,Speed1stEntr(cm/s),Entr/Dist(1/m),#Shock,Time1stShock,Path1stShock,Speed (cm/s),SdSpeed,Linearity,MaxTimeAvoid,MaxPathAvoid,Time2ndEntr,Path2ndEntr,Speed2ndEntr,TimeTarget,pTimeTarget,pTimeCCW  ,pTimeOPP,pTimeCW,RayleigLength,RayleigAngle,PolarAvgVal,PolarSdVal,PolarMinVal,PolarMinBin,Min50%RngLoBin    ,Min50%RngHiBin    ,PolarMaxVal,PolarMaxBin,Max50%RngLoBin    ,Max50%RngHiBin    ,AnnularMinVal,AnnularMinBin,AnnularMaxVal,AnnularMaxBin,AnnularAvg,AnnularSd,AnnularSkewnes,AnnularKurtosis
2013,bl3,WT,2-day,train,trained,1,T1,On,N/A,JuanMarcos,AnimalRoom,MBL,bl3D1Train1_Room_Train,0.00000,600,14.37,2.39,2.47,0.4011,16.67,3,47.37,1.56,8.82,0.18,3,47.37,1.56,2.78,2.24,0.5403,305,4.93,208.93,6.21,8.53,2.4,0.0059,0.1438,0.6072,0.2431,0.64,190.96,261.44,56.1,2.00E-04,0,240,180,0.093,190,150,240,0.0018,19.4,0.4677,16.6,15.53,13.62,2.22,9.29
2013,bl3,WT,2-day,train,trained,1,T2,On,N/A,JuanMarcos,AnimalRoom,MBL,bl3D1Train2_Room_Train,0.00000,600,17.59,2.93,3.05,0.3707,16.30,2,171.60,4.24,1.34,0.12,2,171.6,4.24,2.72,2.26,0.561,295,7.69,467.37,12.92,6.68,1.633,0.0041,0.2089,0.6468,0.1402,0.62,177.62,247.54,59.69,0,0,210,160,0.0915,190,140,220,0.0013,3.5,0.4501,16.6,16.37,11.06,2.19,10.11
2013,bl3,WT,2-day,train,trained,1,T3,On,N/A,JuanMarcos,AnimalRoom,MBL,bl3D1Train3_Room_Train,0.00000,600,15.63,2.61,2.84,0.3408,14.98,0,599.97,14.98,-1,0,0,599.97,14.98,2.5,2.41,0.572,599,14.98,599.97,14.98,-1,0,0,0.3315,0.6616,0.0069,0.77,150.26,239.41,41.28,0,0,180,130,0.0954,150,120,200,0.0021,3.5,0.7426,16.6,16.55,7.23,4.53,33.72
2013,bl3,WT,2-day,train,trained,2,Retest,On,N/A,JuanMarcos,AnimalRoom,MBL,bl3D2Retest_Room_Train,0.00672,600,10.87,1.81,2.37,0.2893,15.43,1,162.90,4.16,4.06,0.06,1,162.9,4.16,2.57,2.17,0.537,437,4.16,599.97,15.43,-1,1.7,0.0043,0.0563,0.7445,0.195,0.71,195.95,260.93,54.75,0,0,210,170,0.0965,190,160,230,2.00E-04,3.5,0.4547,18,16.92,8.64,1.92,9.99
2013,bl4,WT,2-day,N/A,control,1,Hab,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl4D1Hab_Room_Control,0.00000,600,26.67,4.44,3.53,0.5357,27.58,24,1.23,0.06,5.11,0.87,47,1.23,0.06,4.6,3.45,0.6131,61,3.9,7.07,0.36,7.85,85.529,0.214,0.2837,0.2865,0.2158,0.1,168.9,190.02,101.43,0.0175,40,220,90,0.0446,210,150,340,3.00E-04,19.4,0.2751,13.2,13.57,19.95,1.35,5.49
2013,bl4,WT,2-day,N/A,control,1,T1,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl4D1Train1_Room_Control,0.00000,600,19.43,3.24,2.79,0.4403,23.19,26,15.47,0.61,3.96,1.12,54,15.47,0.61,3.87,2.93,0.6658,44,1.87,45.83,1.89,7.48,96.738,0.2496,0.1177,0.3389,0.2937,0.18,242.41,186.7,111.72,0.0092,80,320,190,0.0461,320,180,340,0.0022,19.4,0.262,15,13.9,22.01,1.38,4.96
2013,bl4,WT,2-day,N/A,control,1,T2,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl4D1Train2_Room_Control,0.00000,600,15.39,2.56,2.36,0.3804,18.25,18,0.53,0,-1,0.99,45,0.53,0,3.04,2.38,0.6207,86,2.68,75.73,2.4,7.99,87.595,0.2133,0.1116,0.3089,0.3663,0.26,249.63,190.79,117.33,0.009,80,290,180,0.0497,260,190,340,0.0919,8.5,0.2033,13.2,12.75,25.85,0.92,3.36
2013,bl4,WT,2-day,N/A,control,1,T3,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl4D1Train3_Room_Control,0.00000,600,12.95,2.16,2.02,0.3416,16.31,17,0.53,0,-1,1.04,41,0.53,0,2.72,2.1,0.6212,143,3.2,17.77,0.56,2.13,77.269,0.179,0.1661,0.4046,0.2502,0.25,207.21,199.75,105.75,0.0075,70,220,100,0.0629,180,140,280,0.0318,18,0.2248,16.6,12.81,23.75,1.02,3.57
2013,bl4,WT,2-day,N/A,control,2,Retest,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl4D2Retest_Room_Control,0.00000,600,22.35,3.73,3.15,0.4809,24.00,24,4.73,0.32,11.86,1,61,4.73,0.32,4,3.11,0.6156,84,4.3,18.53,1.24,4.68,110.564,0.2667,0.2303,0.1691,0.334,0.15,313.94,167.14,110.06,0.0124,180,0,240,0.0421,280,220,10,0.0028,19.4,0.2032,11.1,13.38,21.86,0.89,3.58
2013,bl5,WT,2-day,train,trained,1,Hab,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl5D1Hab_Room_Train,0.00000,600,32.00,5.33,4.46,0.5256,32.88,31,21.83,2.05,20.71,0.94,61,21.83,2.05,5.48,4.45,0.5806,67,5.41,30.3,2.72,0,115.501,0.288,0.1751,0.2439,0.2931,0.2,284.63,178.05,114.26,0.0101,120,330,210,0.0497,320,210,0,0.0036,19.4,0.3196,15,14.11,19.02,1.55,5.95
