"APA2","TrainSessionComboNum","m","se"
"yoked-consistent",1,12.47375,4.17249237673702
"yoked-consistent",2,16.53625,7.7299371503405
"yoked-consistent",3,41.47,11.4986073690935
"yoked-consistent",4,31.17125,6.93973276489911
"yoked-consistent",5,15.1075,4.70743854750876
"yoked-consistent",6,42.3,3.95956707590254
"yoked-consistent",7,19.45875,3.81676912617203
"yoked-consistent",8,28.89875,5.28912342099331
"yoked-consistent",9,25.2475,6.14058098402981
"consistent",1,6.14125,2.26826273791514
"consistent",2,4.64,1.33308584012541
"consistent",3,125.60375,59.7308759573634
"consistent",4,178.42125,75.828111387285
"consistent",5,226.39625,73.9178444031301
"consistent",6,278.57625,77.7323004644213
"consistent",7,175.8125,93.2551417531112
"consistent",8,317.98,106.741674834287
"consistent",9,359.21625,88.8664763028842
"yoked-conflict",1,10.9511111111111,2.03834794519459
"yoked-conflict",2,9.85111111111111,3.71997552427897
"yoked-conflict",3,41.7077777777778,9.64855483965486
"yoked-conflict",4,26.69,8.89109526436423
"yoked-conflict",5,33.6366666666667,11.603675423474
"yoked-conflict",6,20.5477777777778,4.67008499142794
"yoked-conflict",7,11.1988888888889,2.99192034414003
"yoked-conflict",8,40.3477777777778,14.9897055209546
"yoked-conflict",9,55.2555555555556,16.0356139326666
"conflict",1,9.90222222222222,3.00489728876868
"conflict",2,7.32222222222222,1.63218818510763
"conflict",3,83.1344444444444,47.7819395248151
"conflict",4,267.055555555556,64.9587569605838
"conflict",5,314.502222222222,72.996279143715
"conflict",6,7.99222222222222,3.74519647080607
"conflict",7,131.384444444444,59.9256923454908
"conflict",8,254.692222222222,61.2560983308278
"conflict",9,244.701111111111,89.7227702804039
