"ID","Day","treatment","training","trial","trialNum","ShockOnOff","PairedPartner","TotalPath","Speed","sdSpeed","Linearity","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr","EntrPerDist","NumShock","MaxTimeAvoid","MaxPathAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeShockZone","pTimeShockZone","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","Min50%RngLoBin","AnnularSkewnes","AnnularKurtosis","ShockPerEntrance"
"15140B",2,"conflict.yoked","yoked","Retest",5,"On","15140A",10.32,1.72,1.74,0.3427,24,0.53,0,-1,1.54,1,63,0.88,51.07,0.73,1.26,133.164,0.333,0.207,0.1815,0.2785,0.16,340.18,30,1.09,4.28,0.0416666666666667
"15140B",2,"conflict.yoked","yoked","T4_C1",6,"On","15140A",12.6,2.1,2.82,0.2826,23,21.83,0.4,1.61,1.37,13,87,2.67,73.3,2.19,1.61,164.066,0.429,0.3221,0.1077,0.1411,0.39,46.81,140,2.28,11.91,0.565217391304348
"15140B",2,"conflict.yoked","yoked","T5_C2",7,"On","15140A",20.27,3.38,3.32,0.4089,15,31.03,0.74,2.35,0.65,6,105,5.7,47.63,1.89,10.97,58.601,0.1179,0.2319,0.3962,0.2539,0.17,146.96,200,1.5,5.75,0.4
"15140B",2,"conflict.yoked","yoked","T6_C3",8,"On","15140A",9.2,1.53,1.89,0.2762,9,61.77,0.19,0.49,0.76,2,224,0.41,78.83,0.24,1.13,62.799,0.1123,0.2088,0.4883,0.1905,0.36,158.2,200,0.57,1.82,0.222222222222222
"15140B",3,"conflict.yoked","yoked","Retention",9,"Off","15140A",17.31,2.89,2.95,0.3889,12,65.8,2.22,23.87,0.61,0,111,3.1,69.8,2.42,7.08,59.036,0.1094,0.2551,0.3921,0.2434,0.27,152.05,200,1.38,4.8,0
"15140C",1,"standard.trained","trained","Hab",1,"Off","15140D",22.76,3.79,3.19,0.4678,28,0.53,0,-1,1.14,0,62,4.36,11.3,0.8,9.86,114.934,0.2772,0.2821,0.2146,0.2261,0.1,46.7,150,1.14,3.89,0
"15140C",1,"standard.trained","trained","T1",2,"On","15140D",14.69,2.45,2.34,0.3655,6,1.73,0.02,2.39,0.37,6,408,11.56,70.67,1.73,5.04,6.333,0.0166,0.1955,0.5633,0.2246,0.59,180.96,230,0.88,3.33,1
"15140C",1,"standard.trained","trained","T2",3,"On","15140D",14.95,2.49,2.85,0.3184,7,9.8,0.2,9.37,0.38,7,288,8.32,48.47,1.06,2.04,5.766,0.0142,0.2915,0.4241,0.2702,0.45,181.11,260,2.13,10.34,1
"15140C",1,"standard.trained","trained","T3",4,"On","15140D",13.99,2.33,2.94,0.2868,6,4.27,0.08,1.89,0.32,8,269,7.86,18.47,0.61,1.91,10.334,0.0268,0.774,0.1992,0,0.79,108.38,130,0.59,2.58,1.33333333333333
"15140C",2,"standard.trained","trained","Retest",5,"On","15140D",15.98,2.66,3.41,0.3059,7,17.57,0.72,1.34,0.34,10,206,8.95,29,1.17,16.91,12.901,0.031,0.211,0.5442,0.2138,0.52,183.62,230,2.3,9.84,1.42857142857143
"15140C",2,"standard.trained","trained","T4_C1",6,"On","15140D",16.29,2.72,3.21,0.3341,3,257.83,8.59,9.54,0.15,3,257,8.59,321.23,10.95,1.61,4.5,0.0107,0.1974,0.4619,0.33,0.52,198.38,250,0.8,3.78,1
"15140C",2,"standard.trained","trained","T5_C2",7,"On","15140D",15.23,2.54,2.9,0.3321,7,71.33,1.69,2.1,0.38,8,184,4.88,144.73,3.7,2.03,9.968,0.0241,0.7447,0.1949,0.0363,0.72,108.51,120,2.37,10.02,1.14285714285714
"15140C",2,"standard.trained","trained","T6_C3",8,"On","15140D",13.06,2.18,2.37,0.3426,0,599.97,15.48,-1,0,0,599,15.48,599.97,15.48,-1,0,0,0.0573,0.6194,0.3233,0.78,213,230,1.58,6.58,0
"15140C",3,"standard.trained","trained","Retention",9,"Off","15140D",13.97,2.33,2.39,0.352,0,599.97,16.06,-1,0,0,599,16.06,599.97,16.06,-1,0.833,0.0021,0.0389,0.6373,0.3218,0.72,206.02,240,1.43,6.63,0
"15140D",1,"standard.yoked","yoked","Hab",1,"Off","15140C",30.73,5.12,4.18,0.5405,35,8.8,0.47,9.58,1.08,0,45,3.29,18.47,1.41,12.52,107.802,0.2634,0.2157,0.2261,0.2948,0.04,278.87,260,1.27,4.8,0
"15140D",1,"standard.yoked","yoked","T1",2,"On","15140C",18.23,3.04,2.74,0.421,25,21.8,1.02,12.26,1.18,6,81,3.16,48.3,1.95,4.42,97.999,0.2556,0.1097,0.2727,0.362,0.21,257.84,300,1.24,4.63,0.24
"15140D",1,"standard.yoked","yoked","T2",3,"On","15140C",13.22,2.2,2.23,0.3193,12,33.7,0.87,2.17,0.68,7,145,3.82,47.57,1.17,10.35,55.268,0.1431,0.2354,0.3438,0.2776,0.2,170.52,240,1.98,7.6,0.583333333333333
"15140D",1,"standard.yoked","yoked","T3",4,"On","15140C",14.14,2.36,2.67,0.3477,8,66.5,2.39,1.22,0.42,8,215,4.49,159.07,5.38,19.72,41.531,0.1044,0.2692,0.4637,0.1628,0.35,165.06,200,1.75,7.46,1
"15140D",2,"standard.yoked","yoked","Retest",5,"On","15140C",13.85,2.31,3.06,0.2782,15,14.97,0.32,1.57,0.77,10,87,3.37,35.6,1.39,9.5,83.503,0.2176,0.3692,0.2663,0.1468,0.27,103.06,160,1.87,6.93,0.666666666666667
"15140D",2,"standard.yoked","yoked","T4_C1",6,"On","15140C",13.03,2.17,2.61,0.3044,15,53.23,0.91,2.25,0.77,3,122,2.67,140.43,2.97,1.69,79.828,0.2272,0.3163,0.2521,0.2044,0.11,99.16,190,2.08,9.3,0.2
"15140D",2,"standard.yoked","yoked","T5_C2",7,"On","15140C",5.78,0.96,1.5,0.1659,14,40.27,0.7,1.82,1.06,8,60,1.2,55.8,1.11,2.73,109.5,0.2808,0.2616,0.2123,0.2453,0.09,15.17,70,2.13,10.9,0.571428571428571
"15140D",2,"standard.yoked","yoked","T6_C3",8,"On","15140C",5.77,0.96,1.25,0.1722,14,36.43,0.59,1.69,1.08,0,64,1.03,100,1.62,1.56,103.202,0.2547,0.2791,0.2649,0.2013,0.08,92.25,160,1.64,6.21,0
"15140D",3,"standard.yoked","yoked","Retention",9,"Off","15140C",10.36,1.73,1.98,0.2509,14,48.93,0.86,1.96,0.82,0,115,2.21,102.03,1.96,1.96,82.302,0.1617,0.2329,0.3298,0.2755,0.1,143.83,230,1.69,5.95,0
"15141C",1,"standard.trained","trained","Hab",1,"Off","15141D",26.98,4.5,3.96,0.4678,23,14.3,0.84,17.47,0.81,0,90,5.47,25.57,1.58,17.5,83.731,0.2069,0.3228,0.1702,0.3001,0.05,11.68,50,1.45,5.19,0
"15141C",1,"standard.trained","trained","T1",2,"On","15141D",17.09,2.85,2.53,0.3778,8,1.37,0.04,6.92,0.43,8,249,7.59,56.47,1.92,2.87,8.001,0.0201,0.3376,0.4619,0.1804,0.48,163.4,190,1.89,7.59,1
"15141C",1,"standard.trained","trained","T2",3,"On","15141D",15.19,2.53,3.1,0.2832,19,33.1,0.52,1.99,0.95,19,131,3.53,61.53,1.31,1.91,18.398,0.047,0.5266,0.278,0.1484,0.42,116.8,120,1.05,3.99,1
"15141C",1,"standard.trained","trained","T3",4,"On","15141D",13.04,2.17,2.85,0.2624,10,32,0.52,1.81,0.54,11,118,3.46,77.23,1.96,1.89,9.433,0.0231,0.5831,0.2738,0.1199,0.51,118.61,130,2.18,9.96,1.1
"15141C",2,"standard.trained","trained","Retest",5,"On","15141D",20.36,3.39,4.03,0.2666,7,41.17,0.84,1.96,0.31,7,355,13.05,70.4,2.24,2.18,8.133,0.0196,0.2927,0.5434,0.1443,0.54,154.94,200,2.55,13.39,1
"15141C",2,"standard.trained","trained","T4_C1",6,"On","15141D",13.38,2.23,2.82,0.2786,10,39.7,0.92,2.04,0.57,10,195,5.86,55,1.37,1.97,8.064,0.0203,0.5017,0.392,0.0861,0.61,129.33,160,2.48,12.38,1
"15141C",2,"standard.trained","trained","T5_C2",7,"On","15141D",13.17,2.19,2.84,0.2529,7,0.33,0,-1,0.39,7,234,7.05,35,1.12,14,3.901,0.0095,0.3852,0.4381,0.1671,0.46,151.12,190,2.59,14.43,1
"15141C",2,"standard.trained","trained","T6_C3",8,"On","15141D",12.15,2.02,3.08,0.2133,12,3.13,0.06,2.1,0.68,12,113,3.16,28.37,0.78,2.17,6,0.016,0.6278,0.3118,0.0443,0.67,116.37,140,3.93,24.59,1
"15141C",3,"standard.trained","trained","Retention",9,"Off","15141D",12.29,2.05,2.2,0.2746,8,30.53,0.79,1.91,0.51,0,172,3.07,83.57,1.84,1.69,35.798,0.0909,0.2891,0.2836,0.3365,0.3,186.05,270,1.78,6.91,0
"15141D",1,"standard.yoked","yoked","Hab",1,"Off","15141C",28.76,4.79,3.92,0.5142,29,2.13,0.15,3.76,0.97,0,77,5.1,12.07,0.76,7.28,102.096,0.2473,0.2709,0.2433,0.2385,0.07,150.85,230,1.22,4.2,0
"15141D",1,"standard.yoked","yoked","T1",2,"On","15141C",17.48,2.91,2.63,0.4043,20,1.07,0.04,4.3,1.02,8,97,2.52,47.5,1.03,3.8,106.666,0.2772,0.2291,0.1665,0.3273,0.15,312.12,350,1.32,4.21,0.4
"15141D",1,"standard.yoked","yoked","T2",3,"On","15141C",17.96,2.99,3.43,0.2981,19,16.23,0.25,1.19,0.89,19,68,1.64,32,0.47,15.63,109.302,0.2636,0.2876,0.1872,0.2615,0.03,53.78,120,1.41,6.26,1
"15141D",1,"standard.yoked","yoked","T3",4,"On","15141C",13.96,2.33,3.42,0.2437,11,43.47,1.44,31.73,0.54,11,188,7.26,65.7,2.04,27.18,57.465,0.1422,0.3332,0.3802,0.1444,0.25,132.91,180,2.42,13.12,1
"15141D",2,"standard.yoked","yoked","Retest",5,"On","15141C",10.23,1.71,3,0.1948,15,35.43,0.7,1.69,0.84,7,58,1.56,89.27,2.79,1.89,106.466,0.2665,0.221,0.2514,0.2611,0.05,291.95,340,2.38,10,0.466666666666667
"15141D",2,"standard.yoked","yoked","T4_C1",6,"On","15141C",14.6,2.43,3.39,0.2827,14,48.2,0.94,1.96,0.71,10,87,1.7,106.57,2.1,1.34,95.93,0.2485,0.1486,0.3068,0.2961,0.15,272.34,320,1.8,7.68,0.714285714285714
"15141D",2,"standard.yoked","yoked","T5_C2",7,"On","15141C",14.81,2.47,3.66,0.2506,16,28.77,0.67,31.15,0.76,7,113,4.1,90.27,3.62,24.41,69.502,0.1776,0.1501,0.3236,0.3487,0.23,241.93,280,2.09,7.92,0.4375
"15141D",2,"standard.yoked","yoked","T6_C3",8,"On","15141C",14.94,2.49,3.7,0.2555,13,41.1,1.7,21.9,0.61,12,112,3.99,61.4,2.33,1.47,75.6,0.2022,0.3302,0.2668,0.2008,0.14,128.75,180,2.47,11.61,0.923076923076923
"15141D",3,"standard.yoked","yoked","Retention",9,"Off","15141C",8.98,1.5,1.88,0.2241,19,19.13,0.52,1.61,1.29,0,66,1.35,78.2,1.55,1.75,133.5,0.3379,0.2615,0.169,0.2315,0.18,0.71,80,1.45,4.27,0
"15142A",1,"conflict.trained","trained","Hab",1,"Off","15142B",29.26,4.88,4.07,0.4975,34,17.43,0.95,18.08,1.09,0,40,2.21,41.2,2.33,13.86,97.965,0.2498,0.2483,0.2645,0.2374,0.05,176.15,160,1.73,6.39,0
"15142A",1,"conflict.trained","trained","T1",2,"On","15142B",15.14,2.52,2.47,0.3297,7,3.83,0.29,14.99,0.41,7,220,3.88,6.6,0.66,12.19,4.668,0.0124,0.4574,0.4672,0.063,0.65,140.21,160,1.16,4.26,1
"15142A",1,"conflict.trained","trained","T2",3,"On","15142B",13.89,2.32,2.32,0.3474,3,8.17,0.31,11.25,0.2,4,537,1.5,49.2,1.65,1.69,4.434,0.0121,0.1849,0.6363,0.1667,0.65,189.32,240,3.03,23.97,1.33333333333333
"15142A",1,"conflict.trained","trained","T3",4,"On","15142B",13.93,2.32,2.87,0.2641,2,94.27,2.34,1.75,0.12,2,502,2.34,97.93,2.54,10.66,2.798,0.0067,0.2291,0.7642,0,0.79,154.8,180,0.93,12.45,1
"15142A",2,"conflict.trained","trained","Retest",5,"On","15142B",14.42,2.4,2.86,0.2981,0,599.97,15.84,-1,0,0,599,15.84,599.97,15.84,-1,0.067,2e-04,0.0359,0.6028,0.3611,0.74,207.36,250,3.14,65.45,0
"15142A",2,"conflict.trained","trained","T4_C1",6,"On","15142B",13.56,2.26,3.01,0.2628,7,33.77,0.84,1.75,0.39,7,322,6.15,41.87,1.1,1.91,8.499,0.0158,0.0872,0.0212,0.8758,0.66,263.5,270,-0.58,2.37,1
"15142A",2,"conflict.trained","trained","T5_C2",7,"On","15142B",19.17,3.2,4.15,0.2791,3,5.1,0.34,1.82,0.17,3,334,5.57,100.97,3.46,1.82,3.067,0.0052,0.0426,0.6602,0.292,0.76,192.45,210,-0.09,2.72,1
"15142A",2,"conflict.trained","trained","T6_C3",8,"On","15142B",14.34,2.39,2.56,0.3225,3,322.7,9.21,7.19,0.16,3,322,9.21,491.4,14.34,1.34,2.867,0.0049,0.1,0.6342,0.261,0.71,184.58,210,0.78,6.01,1
"15142A",3,"conflict.trained","trained","Retention",9,"Off","15142B",14.77,2.46,2.43,0.3674,3,140.2,3.34,1.91,0.19,0,308,7.72,171.77,4.06,1.89,11.268,0.0203,0.5307,0.4368,0.0122,0.76,113.26,120,1.47,7.21,0
"15142B",1,"conflict.yoked","yoked","Hab",1,"Off","15142A",25.03,4.17,3.49,0.4905,30,16.17,1.11,18.95,1.12,0,58,3.54,29.1,1.81,10.13,109.031,0.2565,0.291,0.2232,0.2293,0.1,67.03,150,1.5,5.29,0
"15142B",1,"conflict.yoked","yoked","T1",2,"On","15142A",17.14,2.86,2.71,0.3821,17,2.87,0.22,14.88,0.94,7,109,3.87,11.17,0.93,3.07,115.865,0.286,0.2517,0.0342,0.4281,0.27,340.96,40,1.52,6.82,0.411764705882353
"15142B",1,"conflict.yoked","yoked","T2",3,"On","15142A",13.66,2.28,2.71,0.3264,3,11.73,0.42,20.17,0.19,4,481,12.53,37.43,1.32,1.82,32.301,0.085,0.0393,0.6757,0.2,0.68,205.55,220,0.79,3.88,1.33333333333333
