"ID","Day","treatment","training","trial","trialNum","ShockOnOff","PairedPartner","TotalPath","Speed","sdSpeed","Linearity","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr","EntrPerDist","NumShock","MaxTimeAvoid","MaxPathAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeShockZone","pTimeShockZone","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","Min50%RngLoBin","AnnularSkewnes","AnnularKurtosis","ShockPerEntrance"
"15143A",2,"conflict.trained","trained","T5_C2",7,"On","15143B",11.6,1.93,2.7,0.2416,2,278.13,7.88,2.03,0.12,2,317,7.88,282.47,8.09,4.69,2.1,0.0036,0.0129,0.3765,0.607,0.75,222.68,240,1.66,8.24,1
"15143A",2,"conflict.trained","trained","T6_C3",8,"On","15143B",14.06,2.34,2.5,0.3203,1,487.9,13.89,5.16,0.06,1,487,13.89,599.97,17.18,-1,0.9,0.0016,0.0211,0.452,0.5253,0.7,214.88,230,1.78,7.19,1
"15143A",3,"conflict.trained","trained","Retention",9,"Off","15143B",6.64,1.11,1.43,0.1823,8,44.2,0.92,1.75,0.61,0,130,2.8,88.87,1.95,2.17,61.634,0.1122,0.2187,0.4063,0.2628,0.29,159.69,210,1.85,7.9,0
"15143B",1,"conflict.yoked","yoked","Hab",1,"Off","15143A",25.64,4.27,3.67,0.4991,36,8.43,0.56,16.22,1.23,0,36,2.51,19,1.24,18.41,134.705,0.3323,0.3049,0.182,0.1808,0.19,43.44,90,1.59,5.85,0
"15143B",1,"conflict.yoked","yoked","T1",2,"On","15143A",15.64,2.61,2.72,0.387,26,0.53,0,-1,1.56,10,64,1.79,10.43,0.53,6.85,212.139,0.5451,0.0921,0.0638,0.299,0.51,335.83,10,3.11,14.39,0.384615384615385
"15143B",1,"conflict.yoked","yoked","T2",3,"On","15143A",14.38,2.4,2.43,0.358,12,30.93,0.9,5.87,0.75,3,130,3.09,109.8,2.38,1.96,117.163,0.3078,0.1843,0.2333,0.2746,0.13,299.31,10,1.72,9.01,0.25
"15143B",1,"conflict.yoked","yoked","T3",4,"On","15143A",12.96,2.16,2.22,0.3251,16,19.23,0.34,1.61,0.99,1,125,2.23,75.93,1.34,1.69,99.7,0.2509,0.2331,0.3324,0.1837,0.11,140.83,290,1.9,7.94,0.0625
"15143B",2,"conflict.yoked","yoked","Retest",5,"On","15143A",14.64,2.44,2.44,0.3713,16,25.1,0.44,1.69,0.93,2,131,2.66,80.27,1.51,1.75,126.597,0.3261,0.1978,0.2345,0.2416,0.09,26.21,320,3.62,21.37,0.125
"15143B",2,"conflict.yoked","yoked","T4_C1",6,"On","15143A",15.58,2.6,3.51,0.2661,12,44.8,1.6,1.88,0.58,14,144,4.62,106.93,2.75,1.75,66.133,0.1286,0.2156,0.3605,0.2953,0.16,164.98,240,2.2,9.2,1.16666666666667
"15143B",2,"conflict.yoked","yoked","T5_C2",7,"On","15143A",11.24,1.87,1.98,0.3072,16,10.4,0.18,1.96,0.97,2,72,1.48,36.37,0.85,1.82,99.234,0.1956,0.1506,0.3253,0.3285,0.09,239.96,300,1.61,6.88,0.125
"15143B",2,"conflict.yoked","yoked","T6_C3",8,"On","15143A",11.41,1.9,2.13,0.2938,24,35.93,0.78,1.96,1.48,1,61,1.25,96.97,1.93,1.55,220.395,0.4508,0.1008,0.1914,0.257,0.34,338.63,20,1.73,6.53,0.0416666666666667
"15143B",3,"conflict.yoked","yoked","Retention",9,"Off","15143A",14.42,2.4,2.38,0.3698,23,94.93,2.33,9.06,1.3,0,94,2.33,113.77,2.86,20.73,153.8,0.3177,0.1513,0.1644,0.3666,0.26,330.88,30,1.26,4.68,0
"15143C",1,"standard.trained","trained","Hab",1,"Off","15143D",25.78,4.3,3.44,0.5004,31,0.53,0,-1,1.15,0,46,2.28,7.3,0.31,3.93,96.04,0.2497,0.3902,0.1998,0.1603,0.21,72.85,160,1.58,5.59,0
"15143C",1,"standard.trained","trained","T1",2,"On","15143D",19.91,3.32,3.32,0.3674,10,4.13,0.3,6.01,0.45,10,161,3.38,112.03,3.5,10.43,9.198,0.024,0.2208,0.5306,0.2246,0.48,173.35,200,2.02,8.46,1
"15143C",1,"standard.trained","trained","T2",3,"On","15143D",12.26,2.04,2.39,0.2837,3,25.37,0.44,2.04,0.19,3,441,2.09,112.2,2.58,1.96,2.499,0.0061,0.4628,0.494,0.0372,0.69,140.58,170,2.42,14.46,1
"15143C",1,"standard.trained","trained","T3",4,"On","15143D",13.11,2.18,2.31,0.3188,1,306.87,7.95,5.34,0.06,1,306,7.95,599.97,15.47,-1,0.733,0.0018,0.28,0.6767,0.0415,0.77,154.03,170,2.14,11.23,1
"15143C",2,"standard.trained","trained","Retest",5,"On","15143D",13.9,2.32,2.54,0.3435,2,275.53,6.7,4.68,0.13,2,275,6.7,519.2,13.36,4.71,1.3,0.0034,0.1367,0.704,0.1558,0.7,185.73,230,3.58,19.76,1
"15143C",2,"standard.trained","trained","T4_C1",6,"On","15143D",13.88,2.31,2.64,0.3168,0,599.97,16.08,-1,0,0,599,16.08,599.97,16.08,-1,0,0,0.1639,0.7016,0.1346,0.7,179.86,200,3,18.48,0
"15143C",2,"standard.trained","trained","T5_C2",7,"On","15143D",12.53,2.09,2.54,0.3004,1,18.77,0.7,2.92,0.06,1,581,0.7,599.97,15.42,-1,1.233,0.003,0.0763,0.8419,0.0788,0.8,180.36,200,2.23,12.12,1
"15143C",2,"standard.trained","trained","T6_C3",8,"On","15143D",13.46,2.24,2.32,0.3549,0,599.97,14.58,-1,0,0,599,14.58,599.97,14.58,-1,0,0,0.0995,0.5978,0.3027,0.68,198.78,220,1.81,7.4,0
"15143C",3,"standard.trained","trained","Retention",9,"Off","15143D",13.1,2.18,2.23,0.3409,1,516.47,12,0.78,0.07,0,516,12,599.97,14.7,-1,1.633,0.0039,0.2769,0.6295,0.0896,0.69,162.03,190,2.54,10.83,0
"15143D",1,"standard.yoked","yoked","Hab",1,"Off","15143C",29.94,4.99,3.85,0.5556,38,30.47,1.81,15.95,1.22,0,30,1.81,45.27,3.02,13.07,95.336,0.2326,0.2924,0.2684,0.2066,0.09,107.35,180,1.2,3.98,0
"15143D",1,"standard.yoked","yoked","T1",2,"On","15143C",18.24,3.04,3.07,0.3823,26,2.13,0.13,10.33,1.21,10,71,1.86,43.17,1.21,7.37,92.534,0.2426,0.2798,0.1887,0.2889,0.04,45.72,130,1.31,5.04,0.384615384615385
"15143D",1,"standard.yoked","yoked","T2",3,"On","15143C",8.47,1.41,1.76,0.2306,8,82.33,1.96,1.96,0.55,3,123,2.87,205.8,4.98,8.46,54.271,0.1405,0.2578,0.3586,0.2432,0.26,163.3,220,2.25,8.76,0.375
"15143D",1,"standard.yoked","yoked","T3",4,"On","15143C",12.48,2.08,2.06,0.3285,21,0.53,0,-1,1.35,1,87,2.37,18.63,0.45,1.82,146.434,0.3797,0.1786,0.1816,0.2601,0.17,348.77,50,1.56,6.08,0.0476190476190476
"15143D",2,"standard.yoked","yoked","Retest",5,"On","15143C",7.83,1.31,1.75,0.2216,16,23.07,0.41,2.56,1.09,2,68,1.41,78,1.65,5.39,120.099,0.3007,0.1794,0.2367,0.2832,0.15,312.89,20,1.12,4.08,0.125
"15143D",2,"standard.yoked","yoked","T4_C1",6,"On","15143C",8.19,1.37,1.56,0.2414,13,29.27,0.51,1.82,0.9,0,77,1.37,88.03,1.55,2.17,140.201,0.3443,0.2512,0.2124,0.1921,0.14,45.71,120,1.91,8.99,0
"15143D",2,"standard.yoked","yoked","T5_C2",7,"On","15143C",14.07,2.35,2.54,0.3241,15,6.83,0.21,11.61,0.81,1,104,2.97,12.3,0.4,5.49,85.102,0.2168,0.3341,0.2991,0.15,0.2,127.66,190,1.11,5.13,0.0666666666666667
"15143D",2,"standard.yoked","yoked","T6_C3",8,"On","15143C",5.7,0.95,1.04,0.1928,12,49.87,0.94,1.89,1,0,97,1.89,106.27,2.04,1.82,103.236,0.26,0.281,0.2174,0.2417,0.07,53.71,120,0.93,4.09,0
"15143D",3,"standard.yoked","yoked","Retention",9,"Off","15143C",15.49,2.58,2.36,0.3964,20,23.13,0.37,2.6,1.14,0,94,2.53,33.27,0.55,1.93,131.1,0.3186,0.2691,0.2341,0.1782,0.09,56.01,120,0.85,3.27,0
"15144A",1,"conflict.trained","trained","Hab",1,"Off","15144B",32.31,5.39,4.22,0.5421,33,20.23,0.99,8.1,1.02,0,48,3.28,33,1.9,9.99,122.296,0.3015,0.2639,0.2049,0.2298,0.07,10.31,140,1.93,8.16,0
"15144A",1,"conflict.trained","trained","T1",2,"On","15144B",13.96,2.33,2.73,0.2865,12,7.97,0.23,12.04,0.67,12,97,2.75,31.57,1.33,3.65,9.498,0.0246,0.6286,0.334,0.0128,0.68,115.51,140,2.02,12.41,1
"15144A",1,"conflict.trained","trained","T2",3,"On","15144B",14.99,2.5,2.41,0.3628,4,7.7,0.16,2.31,0.24,4,360,10.26,60.83,1.61,2.39,4.2,0.0107,0.194,0.5808,0.2144,0.57,185.52,230,2.79,14.25,1
"15144A",1,"conflict.trained","trained","T3",4,"On","15144B",16.01,2.67,2.31,0.3982,1,400.93,10.96,2.99,0.06,1,400,10.96,599.97,16.08,-1,1.3,0.0032,0.0464,0.5718,0.3786,0.73,211.05,240,3.62,28.76,1
"15144A",2,"conflict.trained","trained","Retest",5,"On","15144B",13.35,2.23,3.22,0.2413,1,375.97,11.65,10,0.06,1,375,11.65,599.97,17.96,-1,1.3,0.0033,0.1066,0.7817,0.1084,0.71,175.21,190,2.73,14.14,1
"15144A",2,"conflict.trained","trained","T4_C1",6,"On","15144B",12.58,2.1,2.52,0.2998,23,7.73,0.22,26.53,1.22,26,87,3.82,12.63,0.55,1.96,27.469,0.0575,0.2195,0.3776,0.3455,0.17,153.4,160,4.05,22.95,1.1304347826087
"15144A",2,"conflict.trained","trained","T5_C2",7,"On","15144B",14.54,2.42,2.63,0.3584,3,48.6,1.07,1.96,0.19,3,479,1.41,62.27,1.5,1.96,2.567,0.0045,0.3047,0.6393,0.0515,0.75,134.18,160,2.93,20.61,1
"15144A",2,"conflict.trained","trained","T6_C3",8,"On","15144B",15.91,2.65,2.64,0.3564,1,388.47,9.84,2.52,0.06,1,388,9.84,599.97,16.09,-1,0.934,0.0016,0.1818,0.7246,0.0921,0.77,153.52,160,3.79,24.56,1
"15144A",3,"conflict.trained","trained","Retention",9,"Off","15144B",14.51,2.42,2.59,0.3379,0,599.97,16.51,-1,0,0,599,16.51,599.97,16.51,-1,0.034,1e-04,0.1796,0.6695,0.1508,0.71,158.34,170,1.59,8.64,0
"15144B",1,"conflict.yoked","yoked","Hab",1,"Off","15144A",29.93,4.99,4.01,0.5125,33,11.63,0.7,14.26,1.08,0,47,2.95,22.63,1.43,13,110.933,0.2744,0.21,0.2393,0.2764,0.06,313.08,0,1.05,3.81,0
"15144B",1,"conflict.yoked","yoked","T1",2,"On","15144A",13.91,2.32,2.29,0.3401,22,20.13,0.8,1.56,1.32,12,86,2.24,77.83,2.14,4.94,117.771,0.2963,0.126,0.1818,0.396,0.31,286.11,310,1.06,3.74,0.545454545454545
"15144B",1,"conflict.yoked","yoked","T2",3,"On","15144A",12.76,2.13,2.16,0.3138,10,1.57,0.02,1.78,0.64,4,120,3.07,116.83,3,0.99,60.734,0.1659,0.1072,0.2833,0.4436,0.32,250.4,320,2.13,8.86,0.4
"15144B",1,"conflict.yoked","yoked","T3",4,"On","15144A",15.38,2.56,2.37,0.3837,17,1.17,0.02,1.68,1.01,1,80,2.21,19.73,0.38,9.92,131.365,0.326,0.2534,0.246,0.1745,0.15,96.3,140,1.45,5.52,0.0588235294117647
"15144B",2,"conflict.yoked","yoked","Retest",5,"On","15144A",15.68,2.61,2.42,0.4029,22,49.07,1.28,2,1.23,1,82,2.49,66.4,1.91,13.67,106.532,0.2784,0.2218,0.2471,0.2527,0.04,57.56,140,1,3.37,0.0454545454545455
"15144B",2,"conflict.yoked","yoked","T4_C1",6,"On","15144A",19.99,3.33,3.76,0.3724,14,12.07,0.68,18.86,0.61,26,117,5.75,17.63,0.84,1.14,67.968,0.1305,0.2278,0.3831,0.2585,0.2,143.21,220,1.27,4.7,1.85714285714286
"15144B",2,"conflict.yoked","yoked","T5_C2",7,"On","15144A",9.81,1.64,1.88,0.2589,18,13.6,0.24,1.96,1.27,3,80,2.18,49,1.08,15.1,138.605,0.2939,0.1557,0.2077,0.3427,0.24,317.82,10,0.94,3.81,0.166666666666667
"15144B",2,"conflict.yoked","yoked","T6_C3",8,"On","15144A",10.62,1.77,1.85,0.3028,20,16.03,0.27,3.31,1.37,1,56,1.07,66.07,1.47,1.77,130.833,0.2593,0.2453,0.2717,0.2237,0.16,51.28,110,1.08,3.75,0.05
"15144B",3,"conflict.yoked","yoked","Retention",9,"Off","15144A",14.74,2.46,2.35,0.3735,20,67.2,1.38,9.33,1.14,0,67,1.38,84.07,1.91,1.41,107.065,0.2115,0.2063,0.2866,0.2955,0.03,29.31,170,0.92,2.66,0
"15144C",1,"standard.trained","trained","Hab",1,"Off","15144D",30.25,5.04,4.14,0.5015,42,1.33,0.15,11.79,1.33,0,33,2.42,5.77,0.33,6.2,115.464,0.2997,0.3136,0.2083,0.1785,0.18,32.8,70,1.79,8.03,0
"15144C",1,"standard.trained","trained","T1",2,"On","15144D",13.26,2.21,2.38,0.2976,9,2.8,0.08,19.17,0.53,9,128,3.88,32.87,1,1.26,8.767,0.0213,0.3202,0.5451,0.1134,0.57,152.28,190,1.68,6.18,1
"15144C",1,"standard.trained","trained","T2",3,"On","15144D",13.42,2.24,2.41,0.32,3,57.33,1.12,1.91,0.19,3,394,10.24,452.03,11.57,2.31,2.965,0.0076,0.3059,0.6191,0.0674,0.66,156.97,190,2.24,10.28,1
"15144C",1,"standard.trained","trained","T3",4,"On","15144D",13.26,2.21,2.44,0.3175,2,28.97,0.56,2.04,0.13,2,505,1.55,94.8,2.17,1.69,1.4,0.0034,0.3051,0.6626,0.029,0.76,149.44,180,1.1,8.55,1
"15144C",2,"standard.trained","trained","Retest",5,"On","15144D",14.94,2.49,2.45,0.3688,1,593.9,15.03,7.72,0.06,1,593,15.03,599.97,15.51,-1,0.934,0.0022,0.0963,0.7887,0.1127,0.74,178.52,200,2.5,11.68,1
"15144C",2,"standard.trained","trained","T4_C1",6,"On","15144D",15.27,2.54,2.88,0.3158,2,249.4,7.75,13.37,0.11,3,293,8.98,543.07,15.88,1.82,4.601,0.0116,0.4724,0.4281,0.0878,0.68,141.08,150,3.5,20.92,1.5
"15144C",2,"standard.trained","trained","T5_C2",7,"On","15144D",13.18,2.2,2.31,0.3247,0,599.97,14.64,-1,0,0,599,14.64,599.97,14.64,-1,0,0,0.5809,0.413,0.0061,0.87,134.5,140,2.18,10.81,0
"15144C",2,"standard.trained","trained","T6_C3",8,"On","15144D",12.84,2.14,2.33,0.2937,1,46.53,0.96,1.47,0.07,1,553,0.96,599.97,14.83,-1,0.667,0.002,0.8173,0.1807,0,0.92,120.99,140,1.31,5.26,1
"15144C",4,"standard.trained","trained","Retention",9,"Off","15144D",20.2,3.37,3.23,0.377,0,599.97,15.8,-1,0,0,599,15.8,599.97,15.8,-1,0,0,0.3502,0.6323,0.0175,0.83,145.1,150,2.55,16.46,0
"15144D",1,"standard.yoked","yoked","Hab",1,"Off","15144C",26.34,4.39,3.57,0.5157,37,0.57,0,-1,1.34,0,33,2.09,18.7,1.33,3.98,135.666,0.3363,0.2732,0.1923,0.1983,0.18,29.57,100,1.29,4.47,0
"15144D",1,"standard.yoked","yoked","T1",2,"On","15144C",12.38,2.06,2.22,0.3268,28,2.8,0.1,30,1.84,9,52,1.63,35.33,1.33,2.52,198.165,0.494,0.2061,0.0957,0.2042,0.38,358.16,40,0.57,2.33,0.321428571428571
"15144D",1,"standard.yoked","yoked","T2",3,"On","15144C",9.26,1.54,1.82,0.2515,20,31.83,0.6,1.61,1.39,3,79,1.76,57.17,1.21,18.25,156.436,0.3838,0.2182,0.1496,0.2484,0.24,348.23,50,1.81,7.19,0.15
"15144D",1,"standard.yoked","yoked","T3",4,"On","15144C",8.16,1.36,1.37,0.249,12,34.37,0.42,1.91,0.99,2,71,1.03,80.47,1.3,4.85,103.066,0.2619,0.2502,0.188,0.2999,0.02,8.08,140,1.03,3.35,0.166666666666667
"15144D",2,"standard.yoked","yoked","Retest",5,"On","15144C",8.31,1.38,1.34,0.2851,19,24.57,0.14,2.18,1.88,1,80,0.66,28.13,0.19,0.49,123.568,0.3225,0.1968,0.2319,0.2488,0.15,342.27,110,-0.24,2.48,0.0526315789473684
"15144D",2,"standard.yoked","yoked","T4_C1",6,"On","15144C",12.81,2.14,2.22,0.3235,17,26.83,0.98,16.74,1.18,3,67,1.85,76.33,1.99,3.28,125.6,0.2914,0.2154,0.2792,0.214,0.04,52.51,160,0.15,2.2,0.176470588235294
"15144D",2,"standard.yoked","yoked","T5_C2",7,"On","15144C",6.49,1.08,1.15,0.2159,13,19.33,0.25,0.56,1.3,0,70,1.14,70.17,1.11,1.68,113.267,0.2805,0.3083,0.1958,0.2153,0.13,69.63,140,0.31,1.97,0
"15144D",2,"standard.yoked","yoked","T6_C3",8,"On","15144C",3.8,0.63,0.68,0.1615,13,0.53,0,-1,1.95,1,63,0.4,16.57,0.08,0.31,120.931,0.2946,0.2705,0.2598,0.1752,0.09,74.69,160,-0.44,2.31,0.0769230769230769
"15144D",3,"standard.yoked","yoked","Retention",9,"Off","15144C",13.54,2.26,2.14,0.3408,22,0.53,0,-1,1.47,0,68,0.8,68.37,0.8,0.56,111.768,0.2812,0.224,0.2203,0.2745,0.04,312.63,10,0.28,1.89,0
"15145A",1,"conflict.trained","trained","Hab",1,"Off","15145B",34.95,5.83,4.66,0.5416,39,3.1,0.17,6.23,1.11,0,44,4.7,13.2,1.27,16.78,116.634,0.2874,0.3077,0.1949,0.21,0.16,44.06,100,1.8,6.79,0
"15145A",1,"conflict.trained","trained","T1",2,"On","15145B",14.91,2.48,2.78,0.3086,6,17.5,0.82,10.98,0.32,6,245,6.22,22.73,1.19,1.22,4.798,0.0122,0.14,0.6341,0.2136,0.62,187.87,210,2.15,8.45,1
"15145A",1,"conflict.trained","trained","T2",3,"On","15145B",12.24,2.04,2.3,0.2943,2,51.63,0.98,1.88,0.12,2,500,0.98,99.33,2.48,2.04,3.867,0.0088,0.2049,0.7546,0.0317,0.73,164.57,200,2.99,15.26,1
"15145A",1,"conflict.trained","trained","T3",4,"On","15145B",15.41,2.57,2.44,0.3682,1,324.37,8.84,4.21,0.06,1,324,8.84,599.97,16.36,-1,0.633,0.0015,0.1797,0.7551,0.0637,0.76,166.51,190,1.54,7.27,1
"15145A",2,"conflict.trained","trained","Retest",5,"On","15145B",20.23,3.37,4.11,0.3278,6,50,1.63,1.82,0.33,6,168,5.2,70.93,2.31,1.91,4.834,0.0108,0.9787,0.0105,0,0.9,87.19,100,1.73,9.22,1
"15145A",2,"conflict.trained","trained","T4_C1",6,"On","15145B",13.04,2.17,2.58,0.3167,27,0.53,0,-1,1.07,29,115,5.72,10.77,0.44,7.56,30.201,0.0701,0.7473,0.146,0.0366,0.76,74.34,80,3.4,22.49,1.07407407407407
"15145A",2,"conflict.trained","trained","T5_C2",7,"On","15145B",13.61,2.27,2.58,0.3284,4,102.37,2.85,2.24,0.24,4,205,5.51,292.8,7.85,1.75,3.534,0.0065,0.8266,0.1669,0,0.9,92.89,100,1.17,6.4,1
"15145A",2,"conflict.trained","trained","T6_C3",8,"On","15145B",12.84,2.14,2.91,0.2486,4,183.37,5.41,2.04,0.25,4,187,5.41,282.6,7.89,1.96,5.834,0.0103,0.5997,0.3841,0.0059,0.86,108.31,130,1.97,17.18,1
"15145A",3,"conflict.trained","trained","Retention",9,"Off","15145B",12.85,2.14,2.33,0.33,0,600,15.06,-1,0,0,599,15.06,600,15.06,-1,0,0,0.395,0.5949,0.0101,0.86,128.17,150,2.44,16.61,0
"15145B",1,"conflict.yoked","yoked","Hab",1,"Off","15145A",24.44,4.07,3.29,0.4684,34,0.53,0,-1,1.31,0,44,2.66,8.9,0.53,4.07,108.667,0.2898,0.2351,0.2174,0.2577,0.06,349.09,30,1.12,3.67,0
"15145B",1,"conflict.yoked","yoked","T1",2,"On","15145A",21.69,3.62,3.16,0.4649,23,6.43,0.28,9.87,1.02,6,114,4.33,11.27,0.49,2.47,102.293,0.2585,0.3466,0.228,0.167,0.15,75.25,150,0.95,3.24,0.260869565217391
"15145B",1,"conflict.yoked","yoked","T2",3,"On","15145A",8.53,1.42,1.56,0.2468,16,77.8,1.41,1.69,1.24,2,99,1.97,99.23,1.87,9.71,105.634,0.2654,0.3194,0.1519,0.2634,0.16,23.88,80,2.52,11.45,0.125
"15145B",1,"conflict.yoked","yoked","T3",4,"On","15145A",11.67,1.94,1.88,0.335,20,11.47,0.3,1.34,1.28,1,69,1.52,46.23,1.02,1.26,118.933,0.2896,0.2498,0.2352,0.2254,0.05,345.15,30,1.3,3.76,0.05
"15145B",2,"conflict.yoked","yoked","Retest",5,"On","15145A",9.61,1.6,2.1,0.234,16,13.53,0.19,1.4,1.07,6,80,1.88,53.83,1.04,2.65,115.799,0.2836,0.2143,0.2242,0.2779,0.12,314.34,40,1.23,6.02,0.375
"15145B",2,"conflict.yoked","yoked","T4_C1",6,"On","15145A",14.96,2.49,3.22,0.29,18,14.57,0.37,13.8,0.9,29,67,2.31,23.27,0.75,2.04,73.268,0.1409,0.2191,0.3731,0.2669,0.16,157.38,230,1.94,7.44,1.61111111111111
"15145B",2,"conflict.yoked","yoked","T5_C2",7,"On","15145A",6.99,1.17,1.7,0.1902,16,13.43,0.44,1.75,1.22,4,80,1.58,73.07,1.46,1.54,128.033,0.2673,0.1862,0.2258,0.3207,0.16,346.65,50,1.87,8.25,0.25
"15145B",2,"conflict.yoked","yoked","T6_C3",8,"On","15145A",6.04,1.01,1.5,0.1731,14,30.47,0.68,4.9,1.16,4,121,2.04,51.17,0.86,6,123.635,0.2504,0.1975,0.3043,0.2477,0.07,37.65,120,1.75,6.68,0.285714285714286
"15145B",3,"conflict.yoked","yoked","Retention",9,"Off","15145A",10.44,1.74,1.8,0.2934,14,20.17,0.56,5.37,0.98,0,116,2.69,136.67,3.11,0.78,68.462,0.1381,0.2631,0.3341,0.2646,0.1,131.23,210,0.61,2.38,0
"15145C",1,"standard.trained","trained","Hab",1,"Off","15145D",28.82,4.8,3.98,0.5037,31,9.27,0.72,11.98,0.99,0,42,3.04,18.27,1.26,9.85,113.835,0.2874,0.2815,0.2088,0.2224,0.06,63.19,120,1.58,6.01,0
"15145C",1,"standard.trained","trained","T1",2,"On","15145D",14.53,2.42,2.71,0.3253,10,2.9,0.09,12.86,0.56,10,150,4.62,20,0.76,2.54,9.601,0.0225,0.4252,0.4304,0.1219,0.52,142.7,170,1.52,8.24,1
"15145C",1,"standard.trained","trained","T2",3,"On","15145D",15.64,2.61,2.69,0.3448,6,14.83,0.4,1.75,0.33,7,252,7.71,38.87,1.44,12.6,8,0.0208,0.5325,0.3843,0.0624,0.6,127.9,170,1.82,8.61,1.16666666666667
"15145C",1,"standard.trained","trained","T3",4,"On","15145D",13.18,2.2,2.38,0.3169,5,18.03,0.45,1.63,0.31,5,361,9.92,57.73,1.76,1.98,5.033,0.0136,0.6351,0.3433,0.008,0.79,123.55,140,0.89,4.06,1
"15145C",2,"standard.trained","trained","Retest",5,"On","15145D",18.11,3.02,2.89,0.4172,5,28,1.3,6.44,0.26,6,280,5.09,65.73,2.4,1.96,7.368,0.0168,0.6344,0.2927,0.056,0.63,116.24,120,1.25,5.3,1.2
"15145C",2,"standard.trained","trained","T4_C1",6,"On","15145D",15.16,2.53,2.5,0.3732,4,135.2,3.19,2.38,0.24,5,161,3.19,238.93,5.79,2.47,4.599,0.0124,0.4618,0.4756,0.0502,0.67,139.01,160,1.85,7.14,1.25
"15145C",2,"standard.trained","trained","T5_C2",7,"On","15145D",12.85,2.14,2.44,0.3142,9,0.53,0,-1,0.55,9,224,6.14,39.53,1,2.52,7.2,0.0186,0.5915,0.341,0.049,0.61,120.4,140,1.41,5.05,1
"15145C",2,"standard.trained","trained","T6_C3",8,"On","15145D",12.2,2.03,2.55,0.301,13,31.9,0.63,1.96,0.84,13,86,2.37,67.13,1.48,1.56,9.401,0.0258,0.7546,0.1982,0.0213,0.72,100.7,120,1.3,4.7,1
"15145C",3,"standard.trained","trained","Retention",9,"Off","15145D",16.79,2.8,2.7,0.4011,10,68.53,1.59,2.52,0.56,0,128,2.91,87.8,2.01,1.1,52.701,0.1336,0.4494,0.2779,0.1391,0.38,106.49,140,1.41,5.23,0
"15145D",1,"standard.yoked","yoked","Hab",1,"Off","15145C",29.95,4.99,4.15,0.5281,34,23.33,1.85,12.72,1.1,0,50,4.05,29.73,2.53,16.03,105.238,0.2601,0.3029,0.216,0.221,0.07,73.23,140,1.47,5.19,0
"15145D",1,"standard.yoked","yoked","T1",2,"On","15145C",20.49,3.42,2.76,0.4711,26,40,1.17,11.82,1.24,10,71,2.38,78.53,2.75,7.2,118.369,0.2751,0.2582,0.2366,0.2302,0.05,85.85,130,0.72,2.43,0.384615384615385
"15145D",1,"standard.yoked","yoked","T2",3,"On","15145C",12.9,2.15,2.7,0.2485,18,100.9,3.36,12.25,1.01,7,100,3.36,136.57,4.31,1.63,144.063,0.3704,0.2991,0.1797,0.1508,0.24,44.74,100,2.17,11.33,0.388888888888889
"15145D",1,"standard.yoked","yoked","T3",4,"On","15145C",15.37,2.56,2.74,0.345,25,22,0.53,1.69,1.36,5,54,1.36,60.47,1.7,2.52,151.999,0.3875,0.4875,0.0797,0.0454,0.57,50.06,100,1.68,8.43,0.2
"15145D",2,"standard.yoked","yoked","Retest",5,"On","15145C",12.63,2.11,2.22,0.3345,16,0.53,0,-1,1.01,6,194,4.92,9.3,0.31,1.54,99.998,0.2405,0.4573,0.1622,0.14,0.35,73.31,130,0.54,2.39,0.375
"15145D",2,"standard.yoked","yoked","T4_C1",6,"On","15145C",9.95,1.66,1.87,0.2797,25,48.1,0.88,2.31,1.85,5,70,1.34,73.07,1.37,2.59,180.968,0.4421,0.3298,0.0784,0.1497,0.39,26.04,60,0.74,2.85,0.2
"15145D",2,"standard.yoked","yoked","T5_C2",7,"On","15145C",8.73,1.46,2.17,0.2201,22,16.07,0.02,0.16,1.6,9,89,1.65,37.8,0.28,1.47,188.667,0.4561,0.2604,0.1427,0.1408,0.36,25.47,60,1.44,4.06,0.409090909090909
"15145D",2,"standard.yoked","yoked","T6_C3",8,"On","15145C",11.28,1.88,2.13,0.291,26,19.53,0.24,0.49,1.71,13,73,1.5,28.07,0.41,3.57,117.532,0.3078,0.1832,0.2162,0.2927,0.16,312.09,30,0.5,1.81,0.5
"15145D",3,"standard.yoked","yoked","Retention",9,"Off","15145C",4.75,0.79,1,0.1554,15,19.43,0.09,0.35,1.29,0,60,0.92,41.07,0.47,1.4,127.67,0.3163,0.2426,0.223,0.2182,0.09,17.85,110,1.54,4.03,0
"15146A",1,"conflict.trained","trained","Hab",1,"Off","15146B",34.4,5.73,4.73,0.5499,37,1.97,0.01,7.27,1,0,50,5.71,10.83,0.87,21.44,112.933,0.2949,0.2624,0.2254,0.2173,0.05,44.77,140,1.77,7.29,0
"15146A",1,"conflict.trained","trained","T1",2,"On","15146B",14.19,2.36,2.56,0.3233,15,9.17,0.32,7.64,0.88,25,98,3.2,46.17,1.31,2.31,35.934,0.0939,0.6312,0.2368,0.0381,0.61,102.76,140,1.6,6,1.66666666666667
