"ID","Year","Genotype","TrainProtocol","TrainSequence","TrainGroup","Day","TrainSession","ShockOnOff","PairedPartner","Experimenter","Housing","TestLocation","APA","APA2","TrainSessionCombo","pair1","pair2","TrainSessionComboNum","SdevSpeedArena","Linearity.Arena.","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr.cm.s.","Dist1stEntr.m.","NumShock","MaxTimeAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeTarget","pTimeTarget","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAvgVal","PolarSdVal","PolarMinVal","PolarMinBin","Min50.RngLoBin","Min50.RngHiBin","PolarMaxVal","PolarMaxBin","Max50.RngLoBin","Max50.RngHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSd","AnnularSkewnes","AnnularKurtosis","Speed1","Speed2"
"15140C",2015,"WT","3-day","train-train","trained",1,"Hab","Off","15140D","Maddy","AnimalRoom","MBL","Same","standard-trained","Hab","15140C_Hab","15140D_Hab",1,3.19,0.4678,28,0.53,0,-1,1.14,62,62,11.3,0.8,9.86,114.934,0.2772,0.2821,0.2146,0.2261,0.1,46.7,174.07,99.19,0.0179,170,150,10,0.041,10,310,120,0.0069,18,0.3405,13.2,11.95,22.62,1.14,3.89,0,0.0707964601769911
"15140C",2015,"WT","3-day","train-train","trained",1,"T1","On","15140D","Maddy","AnimalRoom","MBL","Same","standard-trained","T1","15140C_T1","15140D_T1",2,2.34,0.3655,6,1.73,0.02,2.39,0.37,6,408,70.67,1.73,5.04,6.333,0.0166,0.1955,0.5633,0.2246,0.59,180.96,250.18,60.99,1e-04,340,230,160,0.0697,210,120,220,0.0421,3.5,0.2551,15,13.43,20.05,0.88,3.33,0.0115606936416185,0.0244799773595585
"15140C",2015,"WT","3-day","train-train","trained",1,"T2","On","15140D","Maddy","AnimalRoom","MBL","Same","standard-trained","T2","15140C_T2","15140D_T2",3,2.85,0.3184,7,9.8,0.2,9.37,0.38,7,288,48.47,1.06,2.04,5.766,0.0142,0.2915,0.4241,0.2702,0.45,181.11,243.45,72.57,1e-04,350,260,180,0.0607,200,160,270,0.0061,11.1,0.448,18,16.85,12.74,2.13,10.34,0.0204081632653061,0.0218691974417165
"15140C",2015,"WT","3-day","train-train","trained",1,"T3","On","15140D","Maddy","AnimalRoom","MBL","Same","standard-trained","T3","15140C_T3","15140D_T3",4,2.94,0.2868,6,4.27,0.08,1.89,0.32,8,269,18.47,0.61,1.91,10.334,0.0268,0.774,0.1992,0,0.79,108.38,198.75,39.29,0,0,130,90,0.1141,120,70,140,3e-04,11.1,0.3241,18,17.12,10.48,0.59,2.58,0.0187353629976581,0.0330265295073092
"15140C",2015,"WT","3-day","train-train","trained",2,"Retest","On","15140D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retest","15140C_Retest","15140D_Retest",5,3.41,0.3059,7,17.57,0.72,1.34,0.34,10,206,29,1.17,16.91,12.901,0.031,0.211,0.5442,0.2138,0.52,183.62,246.97,68.39,0.001,10,230,160,0.0716,200,150,250,0.003,19.4,0.3993,16.6,15.95,14.95,2.3,9.84,0.0409789413773477,0.0403448275862069
"15140C",2015,"WT","3-day","train-train","trained",2,"T4","On","15140D","Maddy","AnimalRoom","MBL","Same","standard-trained","T4_C1","15140C_T4_C1","15140D_T4_C1",6,3.21,0.3341,3,257.83,8.59,9.54,0.15,3,257,321.23,10.95,1.61,4.5,0.0107,0.1974,0.4619,0.33,0.52,198.38,247,73.08,1e-04,10,250,180,0.0733,200,160,260,6e-04,3.5,0.357,18,16.18,11.21,0.8,3.78,0.03331652639336,0.0340877253058556
"15140C",2015,"WT","3-day","train-train","trained",2,"T5","On","15140D","Maddy","AnimalRoom","MBL","Same","standard-trained","T5_C2","15140C_T5_C2","15140D_T5_C2",7,2.9,0.3321,7,71.33,1.69,2.1,0.38,8,184,144.73,3.7,2.03,9.968,0.0241,0.7447,0.1949,0.0363,0.72,108.51,199.12,48.46,1e-04,330,120,80,0.102,90,70,140,0.0112,11.1,0.2904,18,16.01,19.31,2.37,10.02,0.0236926959203701,0.0255648448835763
"15140C",2015,"WT","3-day","train-train","trained",2,"T6","On","15140D","Maddy","AnimalRoom","MBL","Same","standard-trained","T6_C3","15140C_T6_C3","15140D_T6_C3",8,2.37,0.3426,0,599.97,15.48,-1,0,0,599,599.97,15.48,-1,0,0,0.0573,0.6194,0.3233,0.78,213,280,46.61,0,0,230,200,0.1322,210,180,240,0.009,3.5,0.3004,16.6,15.67,14.93,1.58,6.58,0.0258012900645032,0.0258012900645032
"15140C",2015,"WT","3-day","train-train","trained",3,"Retention","Off","15140D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retention","15140C_Retention","15140D_Retention",9,2.39,0.352,0,599.97,16.06,-1,0,0,599,599.97,16.06,-1,0.833,0.0021,0.0389,0.6373,0.3218,0.72,206.02,264.76,55.44,1e-04,0,240,190,0.0895,220,170,250,0.0015,19.4,0.2642,15,14.95,17.11,1.43,6.63,0.02676800506692,0.02676800506692
"15141C",2015,"WT","3-day","train-train","trained",1,"Hab","Off","15141D","Maddy","AnimalRoom","MBL","Same","standard-trained","Hab","15141C_Hab","15141D_Hab",1,3.96,0.4678,23,14.3,0.84,17.47,0.81,44,90,25.57,1.58,17.5,83.731,0.2069,0.3228,0.1702,0.3001,0.05,11.68,175.07,104.81,0.0136,180,50,250,0.0456,250,210,40,0.0024,18,0.327,13.2,12.88,19.02,1.45,5.19,0.0587412587412587,0.0617911615174032
