"","conflict_Hab","conflict_Retention","conflict_Retest","conflict_T1","conflict_T2","conflict_T3","conflict_T4_C1","conflict_T5_C2","conflict_T6_C3","consistent_Hab","consistent_Retention","consistent_Retest","consistent_T1","consistent_T2","consistent_T3","consistent_T4_C1","consistent_T5_C2","consistent_T6_C3","control_Hab","control_Retention","control_Retest","control_T1","control_T2","control_T3","control_T4_C1","control_T5_C2","control_T6_C3"
"SdevSpeedArena",2.32494679356757,-0.341529611301719,1.2673569958557,0.25702121038202,-0.343779802360679,-0.0310032451650424,0.243520064028252,0.443787068275818,-0.0602557289315401,2.34660488251007,-0.02790923245897,0.326495859327454,0.00246834683700944,-0.146888084701555,-0.106384645640249,0.141698918610247,-0.207643243293514,-0.336747955301425,1.73950002569778,-1.47694954681766,-1.16245225528282,-0.313071312614853,-1.10884476240756,-0.94683100616234,0.21704722804047,-1.09693198621306,-1.60322497447938
"Linearity.Arena.",2.51658967695772,-0.207092353118024,-0.478761345285744,-0.0592348413732563,-0.164116467351378,-0.0928310695321021,-0.493427718999758,-0.63224665159519,-0.214255000745797,2.42138615223856,0.531598318303496,0.278155706260023,0.311922473648101,-0.0412855874965127,-0.15083572487488,-0.120522376878765,-0.222014535675887,-0.264031138278098,2.48785883269169,-0.548622238954959,-0.637643716614437,0.441267701266672,-0.671771625899715,-0.505646353188313,-0.685224161570366,-1.36706006348151,-1.43215589045157
"NumEntrances",2.19021500580107,-0.645655792263093,-0.994131441177757,-0.333229348408566,-0.95808223611762,-0.95808223611762,0.760263205082278,-0.561540980456105,-0.597590185516243,2.13163504757835,-0.882979725575666,-0.869461273678115,-0.463907716751565,-0.66668449521484,-0.869461273678115,-0.774832110395253,-0.842424369883011,-0.774832110395253,2.21354096201646,0.432286123750829,0.546795363353619,1.04300206829904,0.324138508570416,0.400478001638943,0.381393128371811,0.298692010880907,0.470455870285093
"Time1stEntr",-0.913110541790681,1.03723359787165,1.61703271294283,-0.934541170803197,-0.304811089772621,1.22291956906149,-0.928975852416226,0.095974898542848,1.12022421633872,-0.94435085203131,1.98844734122225,0.885185269345345,-0.956820903118535,0.0479578760336995,0.48668355350214,1.31861558790081,0.465014114185706,1.64592068400621,-0.898446136859407,-0.653684509152162,-0.788390622067361,-0.887403450683327,-0.649848885856488,-0.756146955662072,-0.739656218562838,-0.87005275218277,-0.7049694799947
"Path1stEntr",-0.833082933575123,1.12491639169171,1.71174367484917,-0.888903089777906,-0.324976383524153,1.28450478698941,-0.931483849958234,0.119795758527505,1.21616087779242,-0.867970531201863,1.99858234610594,0.831592205491514,-0.926742714896138,0.0212606590766,0.431458297326375,1.35128322706213,0.360609637530535,1.44467464224756,-0.7941856301578,-0.724663014796642,-0.835293007632926,-0.862192766165036,-0.698331561022252,-0.783198404841868,-0.748721249540149,-0.913908499117614,-0.762928868483165
"Speed1stEntr.cm.s.",1.0447461440275,0.00596976242974098,-0.69769178648399,1.69427988148633,-0.596998137233326,-0.772117527234481,-0.55640227864215,-1.04196058728172,-0.465260596118821,1.5612985947042,-0.571774975093955,-0.387302617672284,1.97412265670124,-0.482673035465527,-0.595057893991836,-0.428943222624264,-1.49592775596369,-1.56085127981355,1.55437166295065,0.204594482318751,-1.34872387166475,1.05773962817866,0.0431943386465639,0.252213845856499,0.868315699769652,0.717029403220526,0.0238094649940297
"Dist1stEntr.m.",1.10214288955562,-0.656572436731474,-1.15456932494988,-0.383984666338244,-1.09428549111291,-1.12049585365072,0.677535016443087,-0.612014820417196,-0.651330364223912,1.0628273457489,-1.00713603567469,-1.04252002510074,-0.541246841565107,-0.785986101761914,-1.00123870410368,-0.900984067396558,-0.968803380463143,-0.865600077970514,1.34728686858573,1.18493679945447,1.20713851831002,1.39030269886837,0.779755430340548,0.892151632046807,0.7270263480586,1.03507519717946,1.38058944686907
"NumShock",1.31451343362768,-0.359739129392498,-0.985844658499767,-0.675110803313196,-0.962655564829127,-0.958017746094999,-0.211328929900404,-0.814245365337034,-0.832796640273545,1.217119240211,-0.729025446097433,-0.916857104829614,-0.781200906856372,-0.854246551918887,-0.922074650905508,-0.890769374450145,-0.922074650905508,-0.901204466601932,1.37917008303876,0.954400449565985,1.08453218698828,1.5142124520619,0.878285659752944,1.04770244998197,0.895472870355889,1.04279181838113,1.38899134624044
"MaxTimeAvoid",-1.33702237004415,0.669445450278341,1.01007458711563,-0.256741393217329,1.22499535202487,1.20066469939363,-0.286749198129186,0.569689774490279,0.345036748528544,-1.36652328635953,1.40899591254858,0.864293426766813,0.279445364143507,0.70097392097965,1.0458609220274,0.559552002560598,1.27122359202421,1.22834081676166,-1.37666702168446,-1.04305083766441,-1.03832782862423,-1.10702614193595,-0.753229828380585,-0.854130476057176,-0.91982323816151,-1.01771833463071,-1.0215826147545
"Time2ndEntr",-1.06145433910907,0.612297447969346,1.57328514385937,-1.00808670991442,0.22983515433343,1.69687911354033,-1.09940358629246,-0.0723733635401743,1.05017126663592,-1.11323074738441,1.56629868951052,1.04247150635773,-0.914959133869582,0.635349575166777,0.829693719375909,0.96345915726091,0.860249276253193,1.28149929447503,-1.04585601680116,-0.718219837051398,-0.711945326976062,-0.961589491732694,-0.56784219801208,-0.724556075524465,-0.69438178228023,-0.897391958091531,-0.750198778158735
