"","conflict_Hab","conflict_Retention","conflict_Retest","conflict_T1","conflict_T2","conflict_T3","conflict_T4_C1","conflict_T5_C2","conflict_T6_C3","consistent_Hab","consistent_Retention","consistent_Retest","consistent_T1","consistent_T2","consistent_T3","consistent_T4_C1","consistent_T5_C2","consistent_T6_C3","control_Hab","control_Retention","control_Retest","control_T1","control_T2","control_T3","control_T4_C1","control_T5_C2","control_T6_C3"
"Path2ndEntr",-0.890728592701191,0.687303982799108,1.68802037971258,-0.927237668599085,0.264691730139324,1.77338332695586,-1.09218514819532,-0.0244916695986633,1.14353610391163,-0.962794619316187,1.62774100619771,0.993625635791323,-0.848736589038057,0.605651040570637,0.761963729734188,0.978260305287533,0.710253482846435,1.08374920893855,-0.887932087099195,-0.873887757860437,-0.81367791072794,-0.928674547168066,-0.684775997813796,-0.826331712319296,-0.708554020584366,-0.963715843882591,-0.88445576798069
"Speed2ndEntr",2.52774163379105,1.10596142248117,-1.01439194670013,-0.0036668882851118,-0.730182972471386,-1.03976118243335,0.386798739956702,0.864769847973988,-1.10079441622633,2.15133938622744,-0.792457092794792,-0.358974064831423,0.140689578088186,-0.550484219361041,-1.24662156293199,-0.967835722428827,-0.703940520290822,-1.36202401026193,1.45366918282479,0.00801204376598956,-0.0170976601438779,0.102027446777353,0.302905078056292,0.279352565086572,0.464074340361488,0.584951287090384,-0.484060293320404
"TimeTarget",1.17130905360218,-0.307236249158409,-0.929891798767094,-0.758710690562712,-0.906800911183805,-0.900503806462908,-0.526236560189601,-0.853510083696215,-0.868837850058398,1.08980586627307,-0.63147737391959,-0.879697367283694,-0.826423455371107,-0.86288751462505,-0.890785526697774,-0.879547664444923,-0.897296331516201,-0.904654606642249,1.25163627679068,1.03213101926177,1.23335909750396,1.51950614835295,0.978253519831744,1.11964105994541,0.932179075646946,1.07067703753667,1.42599963583434
"pTimeTarget",1.26931672871295,-0.444263203101762,-0.919100617362524,-0.733516013933122,-0.891424908422179,-0.882353940274507,-0.568017125687851,-0.862268225090378,-0.875041629216691,1.16967492043776,-0.60534230839753,-0.869002030526532,-0.811209318922426,-0.846509731956285,-0.875666415288086,-0.861712859693582,-0.883267979156734,-0.88680843356131,1.32881160803444,0.863970770916014,1.31136660086449,1.59151577499543,1.05846299972932,1.20973473325079,0.836235169628956,0.93482886183666,1.24158657218469
"pTimeCCW",-0.651490929587901,-0.996463682284119,1.75929030047182,1.82863011148082,0.717179115929953,0.576053898917864,0.689989853936798,-0.206104923604794,0.0486685313681004,-0.177279270843533,-1.15204668146717,-0.45354159359541,0.0214612870588126,0.397903092987848,1.6160791347883,1.28705669650209,0.999627355431595,1.48320780088128,-0.406931430178572,-1.10227586154413,-0.886284973553688,-1.28803107163181,-0.780878983081625,-0.321022501527932,-0.834115101101836,-1.06556654983348,-1.10311362591927
"pTimeOPP",-1.19284941208006,0.813998132020028,0.519378177612802,0.325588616364982,1.13097236562887,1.13986684995909,-1.34846353173357,0.595256787297164,0.681525414075235,-1.23657406734942,1.18291261206608,1.51427150949216,0.843849753101765,0.956486983867658,0.869972381306119,0.547025855674661,0.987479932584689,0.490530137727617,-1.19346521968856,-0.790629810952376,-1.18892305980935,-1.42111493913882,-0.890890697827233,-1.08816211863587,-0.560938203116043,-0.794296875808979,-0.892807572638639
"pTimeCW",0.773835686465147,0.179613576308774,-1.15320652856541,-1.15657616321406,-1.26038683065905,-1.16033460186064,2.39424114846845,0.413025576394189,0.059473140951095,0.558146668618311,-0.0622387105648493,-0.868229398255686,-0.272921876938449,-0.747797359899566,-1.66241016450966,-0.853795049832858,-1.28974153250211,-0.9024927505725,0.471300434435569,1.08483314315537,0.919751539802667,1.2721451868598,0.688253065275649,0.38731877088457,0.504028582731178,0.958792035358646,0.725372411665429
"RayleigLength",-1.45625387217668,0.275179036530692,1.11957242550621,0.671788052564647,0.953252515556486,1.0811909078255,0.492674303388023,0.966046354783388,0.95751712863212,-1.32298471356312,0.533721204240999,0.821582586846289,0.327420546707208,0.581698101341881,1.03747862380026,0.778403379455495,0.936727139888405,1.10464627974149,-1.33935330198577,-1.26484800295852,-1.14970344991641,-0.971342279517835,-0.964569070515358,-0.912641134829698,-0.937476234505448,-1.13841476824561,-1.18131175859464
"RayleigAngle",-1.15000197090989,0.425485611230959,-0.322532469845249,-0.558241338287233,0.0751281643970876,-0.0477704485759931,0.192646320034606,0.0683577555831744,-0.15134425228552,-2.78601409343273,0.676108434849949,0.269194534919061,0.374870079775291,0.021525358191572,-0.497520635398218,-0.24823732147006,-0.175197613139835,-0.1939619580976,-0.462063025935016,-0.0796311959355821,2.19205327819859,2.38503762292551,0.570866095933604,-1.10069166191694,-0.988271753352769,1.39948817535885,0.110718307184364
"PolarAvgVal",-0.630076000916128,-1.92959002491049,0.886697059044655,0.692494456005875,1.13554857227689,1.04496321919357,-0.114905979809502,-1.70865532572371,-1.89368395940261,-0.576820653121296,1.12606323475165,1.13317154213646,1.0754165446349,1.05269046573635,0.894291404541244,0.882535357712524,1.01708057970285,0.966536413250297,-0.553986019754772,-0.61654555759844,-0.651122165918205,-0.725855886319111,-0.413235100678223,-0.447763462567774,-0.812586885699806,-0.437583465792699,-0.395078360774494
"PolarSdVal",1.12354119705231,0.195623225511171,-1.36586154947182,-0.856007555810829,-1.19143655342666,-1.30105731900931,0.847068710877957,0.255202854553251,0.105414969793395,0.986599121289459,-0.583872926779122,-0.985873651897625,-0.495923472363524,-0.803827448275886,-1.33540667674244,-0.959343221748959,-1.2174217556748,-1.35050529552624,0.98936508674733,1.06881681012894,1.14113792531182,1.16996486806541,0.899382393961899,0.737053210163702,0.937370011305326,0.950210181229022,1.03978686073623
"PolarMinVal",1.53811771279114,-0.180560860265596,-0.867335056801451,-0.809813360137281,-0.860362729933067,-0.83247342245953,-0.759263990341494,-0.855133484781779,-0.860362729933067,1.44878477478996,-0.692591114662569,-0.829858799883886,-0.810249130566555,-0.841624601474284,-0.863195237723348,-0.865156204655081,-0.857312336928149,-0.867117171586814,1.36873118357686,1.28752408240391,1.21093102107034,0.608337418048358,0.974692181294493,0.703386638739421,0.852881529535073,1.21831348481333,1.44071020507106
"PolarMinBin",1.18803730629488,-0.0703402244942553,-1.27018856780483,2.09523971221263,-0.245927786929949,-1.4018792396316,-0.0264433338853318,-1.24092397406554,-0.933645739803081,0.783820105271045,-0.533086612996656,-1.71830265943759,-1.17507863815216,-0.615393282888387,-0.64831595084508,-0.714161286758465,-0.121553263537999,-0.697699952780118,1.12176160870886,1.15274764913869,0.285138517103497,0.393589658607896,1.02105697731192,0.734436103336006,1.37739644225494,0.67246402247635,0.587252411294322
"Min50.RngLoBin",-2.24905770110528,1.43745653552988,-0.111947998708088,-0.0585202561481584,0.956606852490508,0.42232942689121,0.529184912011069,0.475757169451139,-0.0585202561481584,-0.692974699047326,1.53095508500975,0.929892981210544,1.59106129538968,0.809680560450701,-0.272231226387878,0.0884060358916482,0.20861845665149,-0.031806384868194,-1.23393059246662,-0.187375399969167,0.519756486853435,-0.97936311321048,-1.17736004152081,-0.724795633954343,1.17031782273023,-1.48849807172275,-1.40364224530404
"Min50.RngHiBin",2.11464046088763,-0.501446704201619,-0.673557701904859,-1.05220189685199,-0.0883803097138422,-0.260491307417083,-0.707979901445507,-0.226069107876435,-0.776824300526803,0.152575087070694,-0.195949683278368,-0.234674657761597,-0.5057494791442,-0.660649377077116,-0.854274249493261,-0.776824300526803,-0.660649377077116,-0.621924402593887,-0.558142091680333,0.316586743705546,0.881515783225593,2.84965566284382,1.51933889236113,0.498821917744271,-0.922612439757783,0.298363226301674,1.64690351418824
"PolarMaxVal",-1.32375713045073,0.271711580265429,1.07108652041602,0.243821638792756,0.98085435682796,1.21504783595879,0.781113158339844,1.36844251405849,1.03458350878267,-1.2905352884024,0.442537471785554,0.855964839498122,-0.264810915160169,0.210907406393021,0.958398852480477,0.823204411922684,0.999464740567998,1.18679901656276,-1.2329941894298,-1.14570542796948,-1.11096363236338,-1.00500115576478,-0.929654886544056,-0.905987038287401,-1.00391547465209,-1.16763618644583,-1.06297652718246
"PolarMaxBin",1.71908708551479,0.657000256913471,-0.657964388021496,-0.860266641088415,0.252395750779635,0.201820187512906,0.0500934977127166,0.0500934977127166,-0.556813261488037,0.201820187512906,0.884590291613754,0.201820187512906,-0.139564864537519,-0.310257390562731,-0.537847425263014,-0.879232477313438,-0.594744933938084,-0.480949916587943,-1.19049531888882,1.0050791335139,2.02254046511517,1.86188867591497,-0.547888162088026,-2.28828254509019,-1.40469770448909,0.683775555113505,0.657000256913471
"Max50.RngLoBin",0.720037974116662,-0.637366069815399,-0.985418388772338,-1.26386024393789,-0.358924214649848,-0.46333991033693,-0.637366069815399,-0.428534678441236,-0.91580792498095,0.946271981438673,-0.306716366806307,-0.385028138571618,-0.737431111515519,-0.81574288328083,-0.894054655046142,-0.894054655046142,-0.776586997398175,-0.81574288328083,1.32401111583606,1.1028955249693,0.236859460741147,2.8165413541867,1.6372582028973,0.457975051607908,0.550106547802392,0.439548752369012,1.0844692257304
"Max50.RngHiBin",-2.22693317492152,1.52936537153688,-0.267125237638878,-0.103807909531992,0.821656949740367,0.386144074788669,0.930535168478292,0.440583184157631,0.00507030920593295,-1.40354164571597,1.65865825628816,0.984974277847254,1.59741425824808,0.862486281767089,-0.0561736888341496,0.188802303326181,0.311290299406346,-0.0561736888341496,-1.17657859415566,-0.657805904874961,-0.225495330474379,-1.86827551319659,-0.657805904874961,-0.542523085034806,0.667946523286827,-0.110212510634222,-1.03247506935547
"AnnularMinVal",0.182221195539858,0.317424431179964,-0.672538243337427,0.335757073300657,-0.535043427432234,-1.10793849370387,-1.19501854377716,-1.21793434642803,-1.09189743184827,0.360678008683473,0.788630623188387,-0.94638208501527,1.04901143080885,-1.06754939153172,-1.07786150272461,-1.05981530813705,-0.64217480482503,-0.335389496836567,-0.229993654497476,1.41145180950011,1.76934272737098,0.894633060303531,0.306236127532777,1.43207603188589,0.394798964836416,-0.221501327632744,2.15877657359657
"AnnularMinBin",1.8630182088116,-0.661628284465593,-1.69245280421199,-0.207366631695995,-0.716955024225993,-0.766457896643193,-0.0210028767135964,-1.08385866684759,-0.813048835388793,1.7407169946044,-0.00535123322874658,-0.083973442361946,-0.496740040311245,-0.604845577869394,-0.798125175321843,-0.169147502256246,-1.39761951996249,-1.24037510169609,1.76229956181743,0.755626962523719,0.416472334890308,1.74534183043576,0.56292546955019,0.137440573064639,0.726336335591742,0.778751141680541,0.270019200230426
"AnnularMaxVal",-0.873718952414631,0.104644561756195,1.01754633874764,-0.904668549244341,0.609857764681458,1.29253016669506,1.5545997743826,1.34218311700459,0.929818704568457,-1.15329512161826,-0.499262229620642,1.0795846942633,-0.822145568488865,1.24390701412176,0.463125503452834,0.824083526190699,0.145502482750811,0.749687597840146,-1.79330049850601,-0.607680776026538,-0.570784874939236,-2.00536352104931,-0.713417591602604,-0.778604279466112,0.251887628857168,-0.0577786080640467,-0.82893830427211
"AnnularMaxBin",-0.997682127167996,0.148166385063272,0.947244952803497,0.600475008312457,1.15832231031978,0.826629319937048,0.721090641178906,0.841706274045354,0.947244952803497,-1.21818258100197,0.0878585686300473,0.732398356760135,0.223551155604802,0.851129370363046,1.10555297094071,0.851129370363046,0.851129370363046,0.868090943734892,-1.36085934524749,-2.0672589892043,-1.12140183882145,-1.0455736284532,-0.33119206761552,-0.574640532481993,-0.574640532481993,-0.51078519743505,-1.95950311131258
"AnnularAvg",-1.22940103629236,0.404309222488971,0.919478248191635,0.289567030400649,1.05139274113671,0.968653473372345,0.887475323867682,0.985045215099248,0.926503280360307,-1.46415419459551,0.180581461894991,0.862887711277327,0.00319939963600384,0.873425259530337,1.07363867633751,0.915575452542372,0.789124873506264,0.797906163717104,-1.79732667612447,-1.81261645202099,-0.897709321347971,-1.32169067458669,-0.196032578853486,-0.700181946252351,-0.636543419547904,-0.786961755394778,-1.08614547834296
"AnnularSd",0.862465847316396,-0.784876276937538,-0.883843482415787,0.495627405677023,-0.731829854801198,-1.03902406060568,-1.05433098838632,-1.31586832339683,-1.07649964241344,1.07894011476582,0.00979739398430186,-0.755911874800904,0.0103911972171717,-0.770460054006207,-1.14247777939894,-0.961961596606617,-0.725924811540996,-0.933162139812447,1.25536953413192,1.8532246008257,1.11956324181448,1.34828227527503,0.448356011060353,1.19137850338975,0.689090827586031,0.577595538214301,1.23608839386463
"AnnularSkewnes",-0.482363693354668,-0.220798244270029,1.83669426147611,0.335028335034831,2.5116265363463,1.12906630547035,0.573239726165486,0.591922972528674,0.858159233204112,-0.675326597199475,0.562146548637342,0.929972961412617,-0.097313662838329,0.785469727822331,-0.60176131464442,0.570028543196813,0.254748760818006,0.0393075761924873,-1.2321663304891,-1.50911798246108,-1.10976359144792,-1.27173085219939,-0.247998852945847,-0.479204026690305,-0.763574026482955,-0.936668808965438,-1.3496235043165
"AnnularKurtosis",-0.822528425132985,-0.09908636651453,2.67913775863466,-0.250517116852929,2.07395849426612,1.14090582790816,0.870940414827314,1.00143729124102,1.24775014547188,-0.966652709734679,0.186715386256102,0.506636634839066,-0.437222804096906,0.476051429429604,-0.335374070083401,0.435984810343211,0.0319542468842282,-0.0163703776627204,-1.20080944409005,-1.12884425489132,-0.886753358426787,-1.08091543888497,-0.408760571768808,-0.603786234497372,-0.668554904776231,-0.746853030624451,-0.998443332063219
"Speed1",1.66410567702096,0.4939794857867,-0.108072040820439,1.613599367971,-0.422089175727875,-0.152329059925367,-1.24588574350694,0.165609554567364,-0.189658967211874,1.78810057712273,-0.064415878824632,0.109262822308875,1.55427813624818,-0.542615281815609,-0.551739822318858,-0.192473224773442,-0.80461036638571,-0.439320568685933,2.31146267099708,-0.867643676985913,-1.36739350315963,0.596432136081509,-0.632262755645864,-0.782572348863587,0.102430608195329,-1.14468893615893,-0.891489685489118
"Speed2",2.66798814563787,0.0490396933685318,-0.323397724519838,1.19369306124038,-0.372855958561335,-0.381353633338757,0.349901734975286,-0.123136751632254,-0.416530154252813,2.72392777929424,-0.44522020057388,-0.189505136987489,0.385254767976336,-0.445978818851313,-0.390912493394793,-0.435806828232683,-0.476129659741635,-0.519372527821449,1.92372148184744,-0.984892094758396,-0.811718664461616,0.341830100409565,-0.729601617276596,-0.721881863180136,-0.287372445338924,-0.58514656648204,-0.994543625343695
"Time1stEntrLog",-1.11454200389036,0.990314231538895,1.42905097628181,-1.11014996695961,0.117459078603323,1.28900324653981,-1.58176031472752,0.341997148336671,1.20563347090358,-1.62512351378822,1.45620025814165,1.03323198639757,-1.41093747299174,0.468808745535288,0.586309257011078,1.33144357018859,-0.0615766326428085,0.99535520722173,-0.946705793586095,-0.081160750787093,-0.805265352328952,-1.18554004497047,0.0337758542147698,-0.297741804405208,-0.0794019883318368,-0.679321903544861,-0.299355487960005
