"","gene","padj","tissue","comparison"
"77","Armc1",0.0880001448613267,"CA1","consistent-yoked_consistent"
"78","Armc7",0.0770488874418785,"CA1","consistent-yoked_consistent"
"79","Arntl2",0.0902327485300217,"CA1","consistent-yoked_consistent"
"80","Arrdc3",0.0902327485300217,"CA1","consistent-yoked_consistent"
"81","Arrdc4",0.0475602920475161,"CA1","consistent-yoked_consistent"
"82","Asap1",0.0705532795715202,"CA1","consistent-yoked_consistent"
"83","Asb3",0.0307582939273495,"CA1","consistent-yoked_consistent"
"84","Ascc1",0.0827839865016426,"CA1","consistent-yoked_consistent"
"85","Asxl3",0.0528731464395985,"CA1","consistent-yoked_consistent"
"86","Atf5",0.0964829694715684,"CA1","consistent-yoked_consistent"
"87","Atf6b",0.0404114909261722,"CA1","consistent-yoked_consistent"
"88","Atp13a4",0.0576381661407861,"CA1","consistent-yoked_consistent"
"89","Atp2b2",0.0819593046423781,"CA1","consistent-yoked_consistent"
"90","Atp5e",0.0663582133664104,"CA1","consistent-yoked_consistent"
"91","Atp6v1b2",0.0487676869081087,"CA1","consistent-yoked_consistent"
"92","Atp6v1g2",0.0467754474859671,"CA1","consistent-yoked_consistent"
"93","Atpaf2",0.0899172061140718,"CA1","consistent-yoked_consistent"
"94","Atxn10",0.00348455815644432,"CA1","consistent-yoked_consistent"
"95","Atxn7l2",0.0557769902550423,"CA1","consistent-yoked_consistent"
"96","Atxn7l3",0.0596236371397107,"CA1","consistent-yoked_consistent"
"97","AU019823",0.0268276638073166,"CA1","consistent-yoked_consistent"
"98","AU040320",0.0574395049557861,"CA1","consistent-yoked_consistent"
"99","Azin2",0.0827839865016426,"CA1","consistent-yoked_consistent"
"100","Bag3",0.062104329072406,"CA1","consistent-yoked_consistent"
"101","Bahcc1",0.0253205032511947,"CA1","consistent-yoked_consistent"
"102","Bap1",0.0673914135602202,"CA1","consistent-yoked_consistent"
"103","Basp1",0.0560869784250237,"CA1","consistent-yoked_consistent"
"104","Bax",0.0442131372396869,"CA1","consistent-yoked_consistent"
"105","Baz2a",0.0967956750172379,"CA1","consistent-yoked_consistent"
"106","Baz2b",0.0908523109042983,"CA1","consistent-yoked_consistent"
"107","Bbs5",0.0794085200818998,"CA1","consistent-yoked_consistent"
"108","BC024978",0.0770488874418785,"CA1","consistent-yoked_consistent"
"109","BC030500",0.0902986243200686,"CA1","consistent-yoked_consistent"
"110","Bloc1s5",0.0827839865016426,"CA1","consistent-yoked_consistent"
"111","Bmpr2",0.0615540132101413,"CA1","consistent-yoked_consistent"
"112","Bop1",0.0770488874418785,"CA1","consistent-yoked_consistent"
"113","Bri3bp",0.0514338384452124,"CA1","consistent-yoked_consistent"
"114","Btbd10",0.0880001448613267,"CA1","consistent-yoked_consistent"
"115","Bud31",0.023924907379866,"CA1","consistent-yoked_consistent"
"116","C1galt1c1",0.0259826229135241,"CA1","consistent-yoked_consistent"
"117","C2cd3",0.0673914135602202,"CA1","consistent-yoked_consistent"
"118","Cabp1",0.0899172061140718,"CA1","consistent-yoked_consistent"
"119","Camk2d",0.0394029552272985,"CA1","consistent-yoked_consistent"
"120","Camk2g",0.0773066859115259,"CA1","consistent-yoked_consistent"
"121","Camkk2",0.0782100166098225,"CA1","consistent-yoked_consistent"
"122","Camkmt",0.0673914135602202,"CA1","consistent-yoked_consistent"
"123","Camsap1",0.0651108574551202,"CA1","consistent-yoked_consistent"
"124","Capn10",0.0475602920475161,"CA1","consistent-yoked_consistent"
"125","Capn5",0.0576381661407861,"CA1","consistent-yoked_consistent"
"126","Cbx3",0.0773066859115259,"CA1","consistent-yoked_consistent"
"127","Cbx4",0.0770488874418785,"CA1","consistent-yoked_consistent"
"128","Ccdc107",0.0368273254672628,"CA1","consistent-yoked_consistent"
"129","Ccdc167",0.0819593046423781,"CA1","consistent-yoked_consistent"
"130","Ccdc190",0.0815743313218967,"CA1","consistent-yoked_consistent"
"131","Ccdc43",0.0898322249610531,"CA1","consistent-yoked_consistent"
"132","Ccny",0.0829147919239184,"CA1","consistent-yoked_consistent"
"133","Ccr5",0.0873729434792686,"CA1","consistent-yoked_consistent"
"134","Cct3",0.0353960744308593,"CA1","consistent-yoked_consistent"
"135","Cct7",0.0853372339133398,"CA1","consistent-yoked_consistent"
"136","Cd200",0.0827839865016426,"CA1","consistent-yoked_consistent"
"137","Cd93",0.0992361379402916,"CA1","consistent-yoked_consistent"
"138","Cdc14b",0.0353960744308593,"CA1","consistent-yoked_consistent"
"139","Cdc73",0.066775644011548,"CA1","consistent-yoked_consistent"
"140","Cdh10",0.0514338384452124,"CA1","consistent-yoked_consistent"
"141","Cdh12",0.0356779182900007,"CA1","consistent-yoked_consistent"
"142","Cdh20",0.0514338384452124,"CA1","consistent-yoked_consistent"
"143","Cdh7",0.0388252446259294,"CA1","consistent-yoked_consistent"
"144","Cdk15",0.0880836642843458,"CA1","consistent-yoked_consistent"
"145","Cdkl4",0.090848134571436,"CA1","consistent-yoked_consistent"
"146","Cdon",0.0662960766962174,"CA1","consistent-yoked_consistent"
"147","Cds2",0.0536646039275641,"CA1","consistent-yoked_consistent"
"148","Cend1",0.0558349426371973,"CA1","consistent-yoked_consistent"
"149","Cep131",0.0673914135602202,"CA1","consistent-yoked_consistent"
"150","Cfap20",0.0758880865423759,"CA1","consistent-yoked_consistent"
"151","Chchd4",0.0340189552568579,"CA1","consistent-yoked_consistent"
"152","Chpf",0.0750396396526025,"CA1","consistent-yoked_consistent"
"153","Chrd",0.0647062683248802,"CA1","consistent-yoked_consistent"
"154","Chrm3",0.0662337956240831,"CA1","consistent-yoked_consistent"
"155","Chuk",0.0770488874418785,"CA1","consistent-yoked_consistent"
"156","Cib2",0.0985336121778088,"CA1","consistent-yoked_consistent"
"157","Cic",0.0283324656364763,"CA1","consistent-yoked_consistent"
"158","Clcn5",0.0773066859115259,"CA1","consistent-yoked_consistent"
"159","Clip4",0.062104329072406,"CA1","consistent-yoked_consistent"
"160","Clock",0.0759176920674553,"CA1","consistent-yoked_consistent"
"161","Clpp",0.0958445565441069,"CA1","consistent-yoked_consistent"
"162","Clybl",0.0823056507737565,"CA1","consistent-yoked_consistent"
"163","Cnot6",0.0368273254672628,"CA1","consistent-yoked_consistent"
"164","Cnot8",0.0499912898651349,"CA1","consistent-yoked_consistent"
"165","Cnr1",0.0218700468814591,"CA1","consistent-yoked_consistent"
"166","Cntnap2",0.0378094478966755,"CA1","consistent-yoked_consistent"
"167","Cntnap5b",0.0601065658165086,"CA1","consistent-yoked_consistent"
"168","Cntrl",0.0880836642843458,"CA1","consistent-yoked_consistent"
"169","Coasy",0.0353960744308593,"CA1","consistent-yoked_consistent"
"170","Cog3",0.0536646039275641,"CA1","consistent-yoked_consistent"
"171","Coil",0.040432722576817,"CA1","consistent-yoked_consistent"
"172","Col11a2",0.0897662177370042,"CA1","consistent-yoked_consistent"
"173","Colgalt2",0.0353960744308593,"CA1","consistent-yoked_consistent"
"174","Commd4",0.030274379921191,"CA1","consistent-yoked_consistent"
"175","Coq2",0.0815608569249279,"CA1","consistent-yoked_consistent"
