"","gene","padj","tissue","comparison"
"388","Kansl2",0.0811987869635181,"CA1","consistent-yoked_consistent"
"389","Kat6a",0.0538441447733751,"CA1","consistent-yoked_consistent"
"390","Kbtbd3",0.0857039215677497,"CA1","consistent-yoked_consistent"
"391","Kcna1",0.0750904492260426,"CA1","consistent-yoked_consistent"
"392","Kcna4",0.0356779182900007,"CA1","consistent-yoked_consistent"
"393","Kcnb2",0.0368273254672628,"CA1","consistent-yoked_consistent"
"394","Kcnc1",0.0919491342859464,"CA1","consistent-yoked_consistent"
"395","Kcnc2",0.0758880865423759,"CA1","consistent-yoked_consistent"
"396","Kcnd3",0.0747458597841911,"CA1","consistent-yoked_consistent"
"397","Kcnip1",0.0356779182900007,"CA1","consistent-yoked_consistent"
"398","Kcnj10",0.0514338384452124,"CA1","consistent-yoked_consistent"
"399","Kctd5",0.0574395049557861,"CA1","consistent-yoked_consistent"
"400","Kdm4a",0.0748414610106904,"CA1","consistent-yoked_consistent"
"401","Kdm5d",0.0220550089631092,"CA1","consistent-yoked_consistent"
"402","Khnyn",0.0268276638073166,"CA1","consistent-yoked_consistent"
"403","Kif13b",0.0536646039275641,"CA1","consistent-yoked_consistent"
"404","Kif1a",0.063703755689134,"CA1","consistent-yoked_consistent"
"405","Kif1b",0.0253205032511947,"CA1","consistent-yoked_consistent"
"406","Kif26b",0.0823056507737565,"CA1","consistent-yoked_consistent"
"407","Kif5c",0.0416096136692667,"CA1","consistent-yoked_consistent"
"408","Klhl24",0.0815608569249279,"CA1","consistent-yoked_consistent"
"409","Klkb1",0.0186831865899933,"CA1","consistent-yoked_consistent"
"410","Kmt2e",0.0522750703023774,"CA1","consistent-yoked_consistent"
"411","Kmt5a",0.0328661150573643,"CA1","consistent-yoked_consistent"
"412","Kri1",0.00926971385455188,"CA1","consistent-yoked_consistent"
"413","Krt222",0.0475602920475161,"CA1","consistent-yoked_consistent"
"414","Lamtor3",0.040432722576817,"CA1","consistent-yoked_consistent"
"415","Lancl3",0.0509025430763787,"CA1","consistent-yoked_consistent"
"416","Large",0.00555638262964442,"CA1","consistent-yoked_consistent"
"417","Larp4b",0.0253205032511947,"CA1","consistent-yoked_consistent"
"418","Lats2",0.0021043170978812,"CA1","consistent-yoked_consistent"
"419","Lefty1",0.0992361379402916,"CA1","consistent-yoked_consistent"
"420","Lemd3",0.0508064287245582,"CA1","consistent-yoked_consistent"
"421","Letm2",0.0723671985792401,"CA1","consistent-yoked_consistent"
"422","Lhfpl3",0.0905066871449392,"CA1","consistent-yoked_consistent"
"423","Lhfpl4",0.00118205130313565,"CA1","consistent-yoked_consistent"
"424","Lhx6",0.0450666024317916,"CA1","consistent-yoked_consistent"
"425","Lin7a",0.0499912898651349,"CA1","consistent-yoked_consistent"
"426","Lnpep",0.0666915336455457,"CA1","consistent-yoked_consistent"
"427","Lonrf2",0.0450666024317916,"CA1","consistent-yoked_consistent"
"428","Lpcat1",0.0935650874606001,"CA1","consistent-yoked_consistent"
"429","Lpcat4",0.0908523109042983,"CA1","consistent-yoked_consistent"
"430","Lpin1",0.0557769902550423,"CA1","consistent-yoked_consistent"
"431","Lrfn4",0.0815743313218967,"CA1","consistent-yoked_consistent"
"432","Lrrc16a",0.0608631852762809,"CA1","consistent-yoked_consistent"
"433","Lrrc42",0.00555638262964442,"CA1","consistent-yoked_consistent"
"434","Lrrc58",0.0880836642843458,"CA1","consistent-yoked_consistent"
"435","Lrwd1",0.0624794888333942,"CA1","consistent-yoked_consistent"
"436","Lsamp",0.0978712772626037,"CA1","consistent-yoked_consistent"
"437","Ltbp3",0.0356779182900007,"CA1","consistent-yoked_consistent"
"438","Ltv1",0.0658135996196911,"CA1","consistent-yoked_consistent"
"439","Lurap1l",0.030274379921191,"CA1","consistent-yoked_consistent"
"440","Lzts3",0.09019462164615,"CA1","consistent-yoked_consistent"
"441","Man1a2",0.0958445565441069,"CA1","consistent-yoked_consistent"
"442","Manba",0.0992361379402916,"CA1","consistent-yoked_consistent"
"443","Map1lc3a",0.0406498630265697,"CA1","consistent-yoked_consistent"
"444","Map3k12",0.0908523109042983,"CA1","consistent-yoked_consistent"
"445","Mapkapk2",0.0983993086123908,"CA1","consistent-yoked_consistent"
"446","Marf1",0.0459456724411416,"CA1","consistent-yoked_consistent"
"447","Mark2",0.0958445565441069,"CA1","consistent-yoked_consistent"
"448","Mark3",0.0710180776881066,"CA1","consistent-yoked_consistent"
"449","Mars2",0.014925826534419,"CA1","consistent-yoked_consistent"
"450","Mbd5",0.0908523109042983,"CA1","consistent-yoked_consistent"
"451","Mcc",0.0475602920475161,"CA1","consistent-yoked_consistent"
"452","Mdc1",0.0406498630265697,"CA1","consistent-yoked_consistent"
"453","Med26",0.030274379921191,"CA1","consistent-yoked_consistent"
"454","Med8",0.0624210033261751,"CA1","consistent-yoked_consistent"
"455","Mettl16",0.0568853014070555,"CA1","consistent-yoked_consistent"
"456","Mettl17",0.0508064287245582,"CA1","consistent-yoked_consistent"
"457","Mettl21e",0.0439117967232988,"CA1","consistent-yoked_consistent"
"458","Mettl3",0.0253205032511947,"CA1","consistent-yoked_consistent"
"459","Mettl4",0.096206060476047,"CA1","consistent-yoked_consistent"
"460","Mfsd13a",0.0710995800504889,"CA1","consistent-yoked_consistent"
"461","Mfsd3",0.0558298275531505,"CA1","consistent-yoked_consistent"
"462","Mga",8.69406606829079e-06,"CA1","consistent-yoked_consistent"
"463","Mina",0.0368273254672628,"CA1","consistent-yoked_consistent"
"464","Mis18a",0.0506195978902684,"CA1","consistent-yoked_consistent"
"465","Mknk2",0.0905066871449392,"CA1","consistent-yoked_consistent"
"466","Mmadhc",0.0829147919239184,"CA1","consistent-yoked_consistent"
"467","Mmgt1",0.0401572243454925,"CA1","consistent-yoked_consistent"
"468","Mn1",0.0141399017754145,"CA1","consistent-yoked_consistent"
"469","Mpdz",0.0899172061140718,"CA1","consistent-yoked_consistent"
"470","Mphosph9",0.0660395942744009,"CA1","consistent-yoked_consistent"
"471","Mpped1",0.0823056507737565,"CA1","consistent-yoked_consistent"
"472","Mpv17l",0.0218700468814591,"CA1","consistent-yoked_consistent"
"473","Mrfap1",0.0356779182900007,"CA1","consistent-yoked_consistent"
"474","Mrgpre",0.0899172061140718,"CA1","consistent-yoked_consistent"
"475","Mrpl11",0.0935650874606001,"CA1","consistent-yoked_consistent"
"476","Mrpl17",0.0613216057423428,"CA1","consistent-yoked_consistent"
"477","Mrpl28",0.0710336727382427,"CA1","consistent-yoked_consistent"
"478","Mrpl43",0.0339748747560336,"CA1","consistent-yoked_consistent"
"479","Mrpl44",0.0508064287245582,"CA1","consistent-yoked_consistent"
"480","Mrpl48",0.0614755474785656,"CA1","consistent-yoked_consistent"
"481","Msl3l2",0.0614755474785656,"CA1","consistent-yoked_consistent"
"482","Mtfmt",0.0641953932090039,"CA1","consistent-yoked_consistent"
"483","Mtmr1",0.0581796642933268,"CA1","consistent-yoked_consistent"
"484","Mturn",0.0353960744308593,"CA1","consistent-yoked_consistent"
"485","Mvb12a",0.019268528212236,"CA1","consistent-yoked_consistent"
"486","Mxra7",0.0834301647079367,"CA1","consistent-yoked_consistent"
"487","Myo5a",0.0556976843109107,"CA1","consistent-yoked_consistent"
"488","Nabp1",0.0925287066872539,"CA1","consistent-yoked_consistent"
"489","Nacc2",0.0827839865016426,"CA1","consistent-yoked_consistent"
"490","Nanos2",0.0666915336455457,"CA1","consistent-yoked_consistent"
"491","Nap1l4",0.0894511037559013,"CA1","consistent-yoked_consistent"
"492","Narf",0.010874985764397,"CA1","consistent-yoked_consistent"
"493","Nat9",0.0758880865423759,"CA1","consistent-yoked_consistent"
"494","Ncam2",0.0512361088751598,"CA1","consistent-yoked_consistent"
"495","Ncoa1",0.0896130020372893,"CA1","consistent-yoked_consistent"
"496","Ncoa2",0.0538441447733751,"CA1","consistent-yoked_consistent"
"497","Ncoa4",0.00144587739970123,"CA1","consistent-yoked_consistent"
"498","Ndufs7",0.0830116422428192,"CA1","consistent-yoked_consistent"
"499","Nefm",0.0614755474785656,"CA1","consistent-yoked_consistent"
"500","Nek7",0.0748414610106904,"CA1","consistent-yoked_consistent"
"501","Nek9",0.00710149278281145,"CA1","consistent-yoked_consistent"
"502","Nes",0.09019462164615,"CA1","consistent-yoked_consistent"
"503","Net1",0.0453744761274538,"CA1","consistent-yoked_consistent"
"504","Neto2",0.0575966735224789,"CA1","consistent-yoked_consistent"
"505","Nf2",0.0958445565441069,"CA1","consistent-yoked_consistent"
"506","Nfkb2",0.0873729434792686,"CA1","consistent-yoked_consistent"
"507","Ngef",0.0624210033261751,"CA1","consistent-yoked_consistent"
"508","Nkap",0.0958445565441069,"CA1","consistent-yoked_consistent"
"509","Nkrf",0.0996887533419206,"CA1","consistent-yoked_consistent"
"510","Nle1",0.0908523109042983,"CA1","consistent-yoked_consistent"
"511","Nlgn3",0.0842017538575962,"CA1","consistent-yoked_consistent"
"512","Nlrx1",0.0356779182900007,"CA1","consistent-yoked_consistent"
"513","Nme1",0.0778003736291283,"CA1","consistent-yoked_consistent"
"514","Nme5",0.0880836642843458,"CA1","consistent-yoked_consistent"
"515","Nol4l",0.0958445565441069,"CA1","consistent-yoked_consistent"
"516","Nolc1",0.0873729434792686,"CA1","consistent-yoked_consistent"
"517","Nos1",0.00555638262964442,"CA1","consistent-yoked_consistent"
"518","Notch2",0.023924907379866,"CA1","consistent-yoked_consistent"
"519","Nov",0.0709117426885119,"CA1","consistent-yoked_consistent"
"520","Npas4",0.0722605609704989,"CA1","consistent-yoked_consistent"
"521","Npm3",0.0899000389127978,"CA1","consistent-yoked_consistent"
"522","Npr2",0.00619893109277648,"CA1","consistent-yoked_consistent"
"523","Nptx2",0.00631024131199148,"CA1","consistent-yoked_consistent"
"524","Nr2c1",0.0548031457309276,"CA1","consistent-yoked_consistent"
"525","Nrde2",0.0499912898651349,"CA1","consistent-yoked_consistent"
"526","Nrgn",0.0710180776881066,"CA1","consistent-yoked_consistent"
"527","Nt5dc3",0.0356779182900007,"CA1","consistent-yoked_consistent"
"528","Ntng1",0.0970124465911924,"CA1","consistent-yoked_consistent"
"529","Ntpcr",0.0307582939273495,"CA1","consistent-yoked_consistent"
"530","Ntrk3",0.0355434069427837,"CA1","consistent-yoked_consistent"
"531","Nudt16l1",0.0815996843195868,"CA1","consistent-yoked_consistent"
"532","Nudt19",0.084452733671104,"CA1","consistent-yoked_consistent"
"533","Nudt6",0.0703541187290824,"CA1","consistent-yoked_consistent"
"534","Numb",0.0614755474785656,"CA1","consistent-yoked_consistent"
"535","Nxt2",0.0368273254672628,"CA1","consistent-yoked_consistent"
"536","Olfm3",0.0442131372396869,"CA1","consistent-yoked_consistent"
"537","Oprd1",0.0528297391025685,"CA1","consistent-yoked_consistent"
"538","Ovca2",0.0253205032511947,"CA1","consistent-yoked_consistent"
"539","Papd5",0.024735488474234,"CA1","consistent-yoked_consistent"
"540","Parp10",0.0366734326448747,"CA1","consistent-yoked_consistent"
"541","Patz1",0.0819593046423781,"CA1","consistent-yoked_consistent"
"542","Pcdh10",0.0643090404362944,"CA1","consistent-yoked_consistent"
"543","Pcdh15",0.00555638262964442,"CA1","consistent-yoked_consistent"
"544","Pcdh17",0.0499912898651349,"CA1","consistent-yoked_consistent"
"545","Pcdh19",0.0459456724411416,"CA1","consistent-yoked_consistent"
"546","Pcdhb12",0.0356779182900007,"CA1","consistent-yoked_consistent"
"547","Pcdhgb5",0.0614755474785656,"CA1","consistent-yoked_consistent"
"548","Pcdhgc5",0.0514338384452124,"CA1","consistent-yoked_consistent"
"549","Pck2",0.0514338384452124,"CA1","consistent-yoked_consistent"
"550","Pcnt",0.0193225224712183,"CA1","consistent-yoked_consistent"
"551","Pdcd2l",0.0710995800504889,"CA1","consistent-yoked_consistent"
"552","Pde6a",0.0494873323001494,"CA1","consistent-yoked_consistent"
"553","Pdp1",0.0388252446259294,"CA1","consistent-yoked_consistent"
"554","Pdxk",0.00555638262964442,"CA1","consistent-yoked_consistent"
"555","Pebp1",0.0374177213070518,"CA1","consistent-yoked_consistent"
"556","Peli2",0.0908523109042983,"CA1","consistent-yoked_consistent"
"557","Pex26",0.0253205032511947,"CA1","consistent-yoked_consistent"
"558","Pgbd5",0.0893080338245149,"CA1","consistent-yoked_consistent"
"559","Pgk1",0.0791061069474716,"CA1","consistent-yoked_consistent"
"560","Phka1",0.0770488874418785,"CA1","consistent-yoked_consistent"
"561","Phlpp2",0.0126763190721593,"CA1","consistent-yoked_consistent"
"562","Pias4",0.0881545092376168,"CA1","consistent-yoked_consistent"
"563","Pick1",0.0652992213539766,"CA1","consistent-yoked_consistent"
"564","Pigp",0.0925287066872539,"CA1","consistent-yoked_consistent"
"565","Pik3cb",0.0758880865423759,"CA1","consistent-yoked_consistent"
"566","Pitpnc1",0.0139873008803049,"CA1","consistent-yoked_consistent"
"567","Pknox1",0.0453744761274538,"CA1","consistent-yoked_consistent"
"568","Pla2g15",0.0930311682922226,"CA1","consistent-yoked_consistent"
"569","Plagl2",0.0795967469037644,"CA1","consistent-yoked_consistent"
"570","Plau",0.066755148893215,"CA1","consistent-yoked_consistent"
"571","Plekha8",0.0896130020372893,"CA1","consistent-yoked_consistent"
"572","Plxdc1",0.0770488874418785,"CA1","consistent-yoked_consistent"
"573","Plxdc2",0.0666915336455457,"CA1","consistent-yoked_consistent"
"574","Plxna4",0.0103370246199599,"CA1","consistent-yoked_consistent"
"575","Pmpca",0.0182694140830273,"CA1","consistent-yoked_consistent"
"576","Pnpla3",0.0710180776881066,"CA1","consistent-yoked_consistent"
"577","Podxl",0.0508064287245582,"CA1","consistent-yoked_consistent"
"578","Podxl2",0.0880836642843458,"CA1","consistent-yoked_consistent"
"579","Polr2h",0.0873729434792686,"CA1","consistent-yoked_consistent"
"580","Polrmt",0.0880836642843458,"CA1","consistent-yoked_consistent"
"581","Ppfibp1",0.088662657618416,"CA1","consistent-yoked_consistent"
"582","Ppil2",0.0218700468814591,"CA1","consistent-yoked_consistent"
"583","Ppm1d",0.0499912898651349,"CA1","consistent-yoked_consistent"
"584","Ppp1r3f",0.0614755474785656,"CA1","consistent-yoked_consistent"
"585","Ppp1r3g",0.0558298275531505,"CA1","consistent-yoked_consistent"
"586","Ppp2r5d",0.0859663575564385,"CA1","consistent-yoked_consistent"
"587","Ppp3r1",0.0935650874606001,"CA1","consistent-yoked_consistent"
"588","Ppp5c",0.0929441057999276,"CA1","consistent-yoked_consistent"
"589","Praf2",0.0581082875948985,"CA1","consistent-yoked_consistent"
"590","Prdm11",0.0624528169438793,"CA1","consistent-yoked_consistent"
"591","Prkar1b",0.0219561384553725,"CA1","consistent-yoked_consistent"
"592","Prom1",0.0873729434792686,"CA1","consistent-yoked_consistent"
"593","Prpf39",0.0662960766962174,"CA1","consistent-yoked_consistent"
"594","Prpf6",0.0356779182900007,"CA1","consistent-yoked_consistent"
"595","Prpf8",0.0643090404362944,"CA1","consistent-yoked_consistent"
"596","Prps2",0.023924907379866,"CA1","consistent-yoked_consistent"
"597","Prr18",0.0568317187459949,"CA1","consistent-yoked_consistent"
"598","Prrt2",0.030274379921191,"CA1","consistent-yoked_consistent"
"599","Psg28",0.0819593046423781,"CA1","consistent-yoked_consistent"
"600","Psmb2",0.0925520117360525,"CA1","consistent-yoked_consistent"
"601","Psmc4",0.0974732857775257,"CA1","consistent-yoked_consistent"
"602","Psmg2",0.0575966735224789,"CA1","consistent-yoked_consistent"
"603","Ptbp3",0.0475602920475161,"CA1","consistent-yoked_consistent"
"604","Ptcd2",0.0643090404362944,"CA1","consistent-yoked_consistent"
"605","Ptk7",0.077753551921182,"CA1","consistent-yoked_consistent"
"606","Ptpn11",0.0709488559483829,"CA1","consistent-yoked_consistent"
"607","Ptpn4",0.0929441057999276,"CA1","consistent-yoked_consistent"
"608","Ptprm",0.0862947179145406,"CA1","consistent-yoked_consistent"
"609","Ptprn2",0.0773066859115259,"CA1","consistent-yoked_consistent"
"610","Pura",0.0307582939273495,"CA1","consistent-yoked_consistent"
"611","Pygo1",0.0827839865016426,"CA1","consistent-yoked_consistent"
"612","Qrsl1",0.0819593046423781,"CA1","consistent-yoked_consistent"
"613","Rab1b",0.0453744761274538,"CA1","consistent-yoked_consistent"
"614","Rab3c",0.0666915336455457,"CA1","consistent-yoked_consistent"
"615","Rabep2",0.00631024131199148,"CA1","consistent-yoked_consistent"
"616","Rai2",0.0893080338245149,"CA1","consistent-yoked_consistent"
"617","Ralgps2",0.0359751381497335,"CA1","consistent-yoked_consistent"
"618","Rasal2",0.0466458124961876,"CA1","consistent-yoked_consistent"
"619","Rasip1",0.04493581943318,"CA1","consistent-yoked_consistent"
"620","Rbak",0.0574395049557861,"CA1","consistent-yoked_consistent"
"621","Rbbp4",0.0278455805125989,"CA1","consistent-yoked_consistent"
"622","Rbmx2",0.014652807648877,"CA1","consistent-yoked_consistent"
"623","Rcan2",0.079752393019556,"CA1","consistent-yoked_consistent"
"624","Rdh1",0.0548031457309276,"CA1","consistent-yoked_consistent"
"625","Relt",0.0581796642933268,"CA1","consistent-yoked_consistent"
"626","Rest",0.0862947179145406,"CA1","consistent-yoked_consistent"
"627","Rfesd",0.0929953192775715,"CA1","consistent-yoked_consistent"
"628","Rfwd3",0.0558349426371973,"CA1","consistent-yoked_consistent"
"629","Rgs2",0.050618805567966,"CA1","consistent-yoked_consistent"
"630","Rgs8",0.030274379921191,"CA1","consistent-yoked_consistent"
"631","Rhbdl3",0.0797147649654357,"CA1","consistent-yoked_consistent"
"632","Rhobtb1",0.0710995800504889,"CA1","consistent-yoked_consistent"
"633","Rlim",0.0673914135602202,"CA1","consistent-yoked_consistent"
"634","Rltpr",0.0356779182900007,"CA1","consistent-yoked_consistent"
"635","Rnaseh1",0.0253205032511947,"CA1","consistent-yoked_consistent"
"636","Rnaseh2c",0.00619893109277648,"CA1","consistent-yoked_consistent"
"637","Rnf11",0.0827839865016426,"CA1","consistent-yoked_consistent"
"638","Rnf112",0.0514338384452124,"CA1","consistent-yoked_consistent"
"639","Rnf121",0.0556976843109107,"CA1","consistent-yoked_consistent"
"640","Rnf165",0.0794085200818998,"CA1","consistent-yoked_consistent"
"641","Rnf180",0.0985336121778088,"CA1","consistent-yoked_consistent"
"642","Rnf182",0.0873729434792686,"CA1","consistent-yoked_consistent"
"643","Rnf216",0.0983993086123908,"CA1","consistent-yoked_consistent"
"644","Rnf25",0.0283324656364763,"CA1","consistent-yoked_consistent"
"645","Rnpep",0.00555638262964442,"CA1","consistent-yoked_consistent"
"646","Robo1",0.0387539042966037,"CA1","consistent-yoked_consistent"
"647","Rpl10",0.0259635955206545,"CA1","consistent-yoked_consistent"
"648","Rpl10-ps3",0.023924907379866,"CA1","consistent-yoked_consistent"
"649","Rpl36",0.0508064287245582,"CA1","consistent-yoked_consistent"
"650","Rpl7",0.00671640422581886,"CA1","consistent-yoked_consistent"
"651","Rplp2",0.0815996843195868,"CA1","consistent-yoked_consistent"
"652","Rps23",0.0217535916679861,"CA1","consistent-yoked_consistent"
"653","Rps6",0.0536646039275641,"CA1","consistent-yoked_consistent"
"654","Rps6kb2",0.010874985764397,"CA1","consistent-yoked_consistent"
"655","Rps9",0.0475602920475161,"CA1","consistent-yoked_consistent"
"656","Rrbp1",0.0710180776881066,"CA1","consistent-yoked_consistent"
"657","Rreb1",0.0568853014070555,"CA1","consistent-yoked_consistent"
"658","Rsc1a1",0.0499912898651349,"CA1","consistent-yoked_consistent"
"659","Rsph3a",0.0758880865423759,"CA1","consistent-yoked_consistent"
"660","Rtel1",0.0526196579178403,"CA1","consistent-yoked_consistent"
"661","Rundc1",0.0748414610106904,"CA1","consistent-yoked_consistent"
"662","S100a1",0.0905066871449392,"CA1","consistent-yoked_consistent"
"663","S1pr1",0.0368273254672628,"CA1","consistent-yoked_consistent"
"664","Samd1",0.0285669920143051,"CA1","consistent-yoked_consistent"
"665","Samhd1",0.0522474141951778,"CA1","consistent-yoked_consistent"
"666","Sash1",0.0964257703451919,"CA1","consistent-yoked_consistent"
"667","Scd2",0.0216084523908142,"CA1","consistent-yoked_consistent"
"668","Scn4b",0.000443979689509145,"CA1","consistent-yoked_consistent"
"669","Scyl1",0.0897662177370042,"CA1","consistent-yoked_consistent"
"670","Sdc3",0.00523596526328783,"CA1","consistent-yoked_consistent"
"671","Sdhaf2",0.00016791386571541,"CA1","consistent-yoked_consistent"
"672","Sdhaf4",0.0700043661466814,"CA1","consistent-yoked_consistent"
"673","Sec61a2",0.0218700468814591,"CA1","consistent-yoked_consistent"
"674","Selt",0.0905066871449392,"CA1","consistent-yoked_consistent"
"675","Sema4a",0.0556976843109107,"CA1","consistent-yoked_consistent"
"676","Sema4b",0.0437307068776351,"CA1","consistent-yoked_consistent"
"677","Sept9",0.023924907379866,"CA1","consistent-yoked_consistent"
"678","Serinc5",0.013101865260834,"CA1","consistent-yoked_consistent"
"679","Setd7",0.0328661150573643,"CA1","consistent-yoked_consistent"
"680","Sf3b2",0.0388252446259294,"CA1","consistent-yoked_consistent"
"681","Sgcb",0.0617706202492356,"CA1","consistent-yoked_consistent"
"682","Sgms2",0.0902327485300217,"CA1","consistent-yoked_consistent"
"683","Sh3bgrl3",0.0750904492260426,"CA1","consistent-yoked_consistent"
"684","Sh3pxd2b",0.0608631852762809,"CA1","consistent-yoked_consistent"
"685","Sh3rf1",0.0499912898651349,"CA1","consistent-yoked_consistent"
"686","Shoc2",0.0406498630265697,"CA1","consistent-yoked_consistent"
"687","Sipa1l1",0.023924907379866,"CA1","consistent-yoked_consistent"
"688","Sirt3",0.0538441447733751,"CA1","consistent-yoked_consistent"
"689","Skap2",0.0514338384452124,"CA1","consistent-yoked_consistent"
"690","Slc12a4",0.0366408792513476,"CA1","consistent-yoked_consistent"
"691","Slc19a2",0.0770488874418785,"CA1","consistent-yoked_consistent"
"692","Slc1a2",0.0307582939273495,"CA1","consistent-yoked_consistent"
"693","Slc24a2",0.0408881614818625,"CA1","consistent-yoked_consistent"
"694","Slc25a28",0.066775644011548,"CA1","consistent-yoked_consistent"
"695","Slc25a38",0.0790490150540105,"CA1","consistent-yoked_consistent"
"696","Slc25a39",0.0890545462341403,"CA1","consistent-yoked_consistent"
"697","Slc25a46",0.0353960744308593,"CA1","consistent-yoked_consistent"
"698","Slc26a2",0.0819593046423781,"CA1","consistent-yoked_consistent"
"699","Slc2a13",0.0958445565441069,"CA1","consistent-yoked_consistent"
"700","Slc30a1",0.0506195978902684,"CA1","consistent-yoked_consistent"
"701","Slc30a6",0.0888872126546492,"CA1","consistent-yoked_consistent"
"702","Slc31a2",0.0778003736291283,"CA1","consistent-yoked_consistent"
"703","Slc35b4",0.0494873323001494,"CA1","consistent-yoked_consistent"
"704","Slc35f4",0.0356779182900007,"CA1","consistent-yoked_consistent"
"705","Slc38a1",0.0508064287245582,"CA1","consistent-yoked_consistent"
"706","Slc39a13",0.0356779182900007,"CA1","consistent-yoked_consistent"
"707","Slc44a1",0.0536646039275641,"CA1","consistent-yoked_consistent"
"708","Slc45a4",0.04493581943318,"CA1","consistent-yoked_consistent"
"709","Slc4a3",0.04729675031036,"CA1","consistent-yoked_consistent"
"710","Slc50a1",0.00450527457043854,"CA1","consistent-yoked_consistent"
"711","Slc7a11",0.0584273041231363,"CA1","consistent-yoked_consistent"
"712","Slc7a2",0.0450666024317916,"CA1","consistent-yoked_consistent"
"713","Slc8a1",0.077847561906141,"CA1","consistent-yoked_consistent"
"714","Slc9a2",0.0705805013755289,"CA1","consistent-yoked_consistent"
"715","Slc9a7",0.0180261366282233,"CA1","consistent-yoked_consistent"
"716","Slco1a4",0.0368273254672628,"CA1","consistent-yoked_consistent"
"717","Slitrk5",0.0958445565441069,"CA1","consistent-yoked_consistent"
"718","Slx1b",0.0642971728724176,"CA1","consistent-yoked_consistent"
"719","Smad4",0.0888457989901286,"CA1","consistent-yoked_consistent"
"720","Smc6",0.0690733176626993,"CA1","consistent-yoked_consistent"
"721","Smek2",0.0941821427499051,"CA1","consistent-yoked_consistent"
"722","Smim13",0.0401572243454925,"CA1","consistent-yoked_consistent"
"723","Smim3",0.073184046465099,"CA1","consistent-yoked_consistent"
"724","Smo",0.0827839865016426,"CA1","consistent-yoked_consistent"
"725","Smpd3",0.0137651157179889,"CA1","consistent-yoked_consistent"
"726","Snap29",0.0322899949008957,"CA1","consistent-yoked_consistent"
"727","Sned1",0.0235464448354963,"CA1","consistent-yoked_consistent"
"728","Snx1",0.0983993086123908,"CA1","consistent-yoked_consistent"
"729","Snx12",0.00618729204672242,"CA1","consistent-yoked_consistent"
"730","Snx2",0.0710336727382427,"CA1","consistent-yoked_consistent"
"731","Snx24",0.0899172061140718,"CA1","consistent-yoked_consistent"
"732","Sorcs1",0.0873729434792686,"CA1","consistent-yoked_consistent"
"733","Sowahc",0.0253205032511947,"CA1","consistent-yoked_consistent"
"734","Sox10",0.0564871802295672,"CA1","consistent-yoked_consistent"
"735","Sox5",0.0624528169438793,"CA1","consistent-yoked_consistent"
"736","Spast",0.0902327485300217,"CA1","consistent-yoked_consistent"
"737","Spats2",0.0509025430763787,"CA1","consistent-yoked_consistent"
"738","Specc1l",0.0702010169683055,"CA1","consistent-yoked_consistent"
"739","Spg20",0.0612361619872122,"CA1","consistent-yoked_consistent"
"740","Sphkap",0.0548031457309276,"CA1","consistent-yoked_consistent"
"741","Spin1",0.0353960744308593,"CA1","consistent-yoked_consistent"
"742","Sptb",0.030274379921191,"CA1","consistent-yoked_consistent"
"743","Sptbn1",0.0564871802295672,"CA1","consistent-yoked_consistent"
"744","Srek1",0.0983993086123908,"CA1","consistent-yoked_consistent"
"745","Srp14",0.0985711915462641,"CA1","consistent-yoked_consistent"
"746","Srprb",0.00926971385455188,"CA1","consistent-yoked_consistent"
"747","Srr",0.0935650874606001,"CA1","consistent-yoked_consistent"
"748","Srrd",0.0475602920475161,"CA1","consistent-yoked_consistent"
"749","Srxn1",0.0773066859115259,"CA1","consistent-yoked_consistent"
"750","Ssbp3",0.0705805013755289,"CA1","consistent-yoked_consistent"
"751","St5",0.0902327485300217,"CA1","consistent-yoked_consistent"
"752","St6galnac4",0.0958445565441069,"CA1","consistent-yoked_consistent"
"753","St8sia4",0.0700043661466814,"CA1","consistent-yoked_consistent"
"754","Stam2",0.084452733671104,"CA1","consistent-yoked_consistent"
"755","Stard13",0.0614755474785656,"CA1","consistent-yoked_consistent"
"756","Stk25",0.0873729434792686,"CA1","consistent-yoked_consistent"
"757","Stk3",0.0978712772626037,"CA1","consistent-yoked_consistent"
"758","Stmn4",0.0499912898651349,"CA1","consistent-yoked_consistent"
"759","Stox2",0.0690733176626993,"CA1","consistent-yoked_consistent"
"760","Strip1",0.0815743313218967,"CA1","consistent-yoked_consistent"
"761","Stt3b",0.0548031457309276,"CA1","consistent-yoked_consistent"
"762","Stx3",0.063703755689134,"CA1","consistent-yoked_consistent"
"763","Stxbp2",0.0974732857775257,"CA1","consistent-yoked_consistent"
"764","Surf2",0.0576381661407861,"CA1","consistent-yoked_consistent"
"765","Surf6",0.0548031457309276,"CA1","consistent-yoked_consistent"
"766","Tagln2",0.0608631852762809,"CA1","consistent-yoked_consistent"
"767","Taz",0.0548031457309276,"CA1","consistent-yoked_consistent"
"768","Tbc1d30",0.0307582939273495,"CA1","consistent-yoked_consistent"
"769","Tbc1d9",0.0536646039275641,"CA1","consistent-yoked_consistent"
"770","Tbcb",0.0666915336455457,"CA1","consistent-yoked_consistent"
"771","Tdrd7",0.0880001448613267,"CA1","consistent-yoked_consistent"
"772","Tenm3",0.0253205032511947,"CA1","consistent-yoked_consistent"
"773","Tet1",0.0658135996196911,"CA1","consistent-yoked_consistent"
"774","Tet3",0.0538441447733751,"CA1","consistent-yoked_consistent"
