"ID","treatment","trialNum","Day","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"15140A","conflict.trained",1,1,-2.96345287824567,-2.39264594434175,-1.77880758781554,-0.57997000140099,-0.384172550921754,-0.800532395054923,1.6983796371804,1.37824140165315,-0.0498384933344591,0.504967343062986
"15140A","conflict.trained",2,1,0.903696622603176,-2.06478484602682,2.49114754818063,-0.170875280966349,1.20943574449696,-1.29135608135787,-0.606641470640269,0.763440550196436,0.217752353018747,1.30513398221583
"15140A","conflict.trained",3,1,2.48039590666675,-0.148906408683528,2.09508015000375,-0.954795312413713,0.809987840085075,-0.135590087927963,0.34590445370323,0.665672489681009,0.429313146739754,0.880273600821469
"15140A","conflict.trained",4,1,3.82365123368143,-0.256448737380846,1.58417315125849,-1.07754877296263,-0.561490336760261,-0.29140554694455,-0.135585990590226,0.0244838555196758,0.175397346415426,0.865996694564919
"15140A","conflict.trained",5,2,5.43901156127526,-0.285501565840906,-0.608005455484098,-0.681373160904092,-0.538420447038679,-0.790285179822601,-0.8662319329984,-0.241613165096059,-0.34292215734066,0.28863862723748
"15140A","conflict.trained",6,2,-0.665892630141946,0.47372546345608,-1.67836684416293,4.26178394443077,1.57805003700975,-0.106827431975592,2.035942479619,-0.285817768844657,2.39390222663586,0.62542905146541
"15140A","conflict.trained",7,2,1.06553512400017,0.290207179815864,-1.20424941026603,2.10001115995799,1.28426911983737,0.0761259759728837,0.9832205120834,-0.542945963192862,0.875886010855281,0.599242921538411
"15140A","conflict.trained",8,2,4.54652119327387,-0.285051636073033,-3.35546696662291,0.217596154356615,0.773449747401653,-1.0701605197015,0.174578846680225,-0.984719097814535,0.603710316767764,0.910654793479298
"15140A","conflict.trained",9,3,2.09853639324853,-1.22683753492101,-1.94810327828702,2.63016986446673,0.82734579368346,-0.526545592685057,-1.94096011272654,0.841213777450406,1.99025460139271,1.00855563864238
"15140B","conflict.yoked",1,1,-3.45649123498971,-2.40415009474463,-1.70093164411061,-1.2089611549314,-0.581783216350215,-0.951671384404669,1.33757007553435,1.18636334422064,-0.964131856020296,0.0454826578809475
"15140B","conflict.yoked",2,1,-3.31565446669849,-0.841949991106744,0.49719065620014,-2.04533085896135,-1.77979457101892,-0.0244063710087224,-0.452080296377774,-0.603158440916729,-0.436898632549403,-0.496725947460773
"15140B","conflict.yoked",3,1,0.369852503710555,0.918980696631185,0.52330892245097,0.415212037985861,0.0275370560275777,0.836086260447917,0.117880432137722,0.116480166600078,-0.496121323654048,0.0269561043813621
"15140B","conflict.yoked",4,1,-2.63582490361247,-0.687063807067901,0.250123044454085,-1.27394752163096,-0.772412219396325,0.875476214590386,-0.0732353909165972,-0.650003890004777,-0.0263691195578957,-0.0872840605438493
"15140B","conflict.yoked",5,2,-3.36981454546522,1.84916912787241,-1.47283435506787,-0.901926477878001,-1.26703933809488,-0.668341918550391,1.61337403013504,1.33081478645651,-0.460345248731297,-0.0526024769685619
"15140B","conflict.yoked",6,2,-2.63186884821984,0.577528318920656,1.12028752886296,-0.783819839763856,-1.90757987647443,0.27435370426807,-0.0148067225581997,-1.74507984953417,-0.167616104998174,-0.550558907785086
