"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.StdT.StdY"
"418","Rnf207",0,1,0,0,0,0,0,0
"419","Rnf25",0,0,1,0,0,0,0,0
"420","Rnpep",0,1,1,0,0,0,0,0
"421","Robo1",0,0,1,0,0,0,0,0
"422","RP23-220F20.2",0,1,0,0,0,0,0,0
"423","Rpl10",0,0,1,0,0,0,0,0
"424","Rpl10-ps3",0,1,1,0,0,0,0,0
"425","Rpl7",0,1,1,0,0,0,0,0
"426","Rps23",0,1,1,0,0,0,0,0
"427","Rps6kb2",0,0,1,0,0,0,0,0
"428","Rreb1",0,1,1,0,0,0,0,0
"429","Rsc1a1",0,0,1,0,0,0,0,0
"430","S1pr1",0,1,1,0,0,0,0,0
"431","Samd1",0,0,1,0,0,0,0,0
"432","Sbsn",0,1,0,0,0,0,0,0
"433","Scn4b",0,1,1,0,0,0,0,0
"434","Sdad1",0,1,0,0,0,0,0,0
"435","Sdc3",0,1,1,0,0,0,0,0
"436","Sdhaf2",0,1,1,0,0,0,0,0
"437","Sdhaf4",0,1,0,0,0,0,0,0
"438","Sec61a2",0,1,1,0,0,0,0,0
"439","Selt",0,1,0,0,0,0,0,0
"440","Sema4b",0,0,1,0,0,0,0,0
"441","Serinc5",0,1,1,0,0,0,0,0
"442","Setd7",0,1,1,0,0,0,0,0
"443","Sh3rf1",0,0,1,0,0,0,0,0
"444","Shisa5",0,1,0,0,0,0,0,0
"445","Shtn1",0,1,0,0,0,0,0,0
"446","Sipa1l1",0,1,1,0,0,0,0,0
"447","Sirt3",0,1,1,0,0,0,0,0
"448","Slc12a4",0,1,1,0,0,0,0,0
"449","Slc19a2",0,1,0,0,0,0,0,0
"450","Slc24a2",0,0,1,0,0,0,0,0
"451","Slc24a3",0,1,0,0,0,0,0,0
"452","Slc25a46",0,0,1,0,0,0,0,0
"453","Slc30a1",0,1,1,0,0,0,0,0
"454","Slc30a6",0,1,0,0,0,0,0,0
"455","Slc35b4",0,0,1,0,0,0,0,0
"456","Slc35f4",0,0,1,0,0,0,0,0
"457","Slc39a13",0,1,1,0,0,0,0,0
"458","Slc45a4",0,1,1,0,0,0,0,0
"459","Slc50a1",0,0,1,0,0,0,0,0
"460","Slc7a11",0,0,1,0,0,0,0,0
"461","Slc7a2",0,1,1,0,0,0,0,0
"462","Slc9a2",0,1,0,0,0,0,0,0
"463","Slc9a7",0,1,1,0,0,0,0,0
"464","Slco1a4",0,1,1,0,0,0,0,0
"465","Smpd3",0,1,1,0,0,0,0,0
"466","Snap29",0,0,1,0,0,0,0,0
"467","Sned1",0,1,1,0,0,0,0,0
"468","Snrpd2",0,1,0,0,0,0,0,0
"469","Snx12",0,0,1,0,0,0,0,0
"470","Socs4",0,1,0,0,0,0,0,0
"471","Sowahc",0,0,1,0,0,0,0,0
"472","Spg20",0,1,0,0,0,0,0,0
"473","Sphkap",0,0,1,0,0,0,0,0
"474","Spin1",0,1,1,0,0,0,0,0
"475","Sptb",0,0,1,0,0,0,0,0
"476","Srprb",0,1,1,0,0,0,0,0
"477","Srrd",0,0,1,0,0,0,0,0
"478","Ssbp3",0,1,0,0,0,0,0,0
"479","St5",0,1,0,0,0,0,0,0
"480","Stox2",0,0,1,0,0,0,0,0
"481","Stt3b",0,1,0,0,0,0,0,0
"482","Taz",0,1,0,0,0,0,0,0
"483","Tbc1d30",0,0,1,0,0,0,0,0
"484","Tbc1d9",0,0,1,0,0,0,0,0
"485","Tceal3",0,1,0,0,0,0,0,0
"486","Tenm3",0,1,1,0,0,0,0,0
"487","Tgoln1",0,1,1,0,0,0,0,0
"488","Thap4",0,1,0,0,0,0,0,0
"489","Thoc7",0,1,0,0,0,0,0,0
"490","Timm9",0,1,1,0,0,0,0,0
"491","Timp3",0,1,1,0,0,0,0,0
"492","Tm9sf3",0,1,0,0,0,0,0,0
"493","Tmem175",0,0,1,0,0,0,0,0
"494","Tmem199",0,1,1,0,0,0,0,0
"495","Tmem231",0,1,1,0,0,0,0,0
"496","Tmem242",0,1,0,0,0,0,0,0
"497","Tmem254a",0,1,0,0,0,0,0,0
"498","Tmem254b",0,1,0,0,0,0,0,0
"499","Tmem87b",0,1,0,0,0,0,0,0
"500","Tmem8b",0,0,1,0,0,0,0,0
"501","Tmem94",0,1,0,0,0,0,0,0
"502","Tmtc2",0,0,1,0,0,0,0,0
"503","Tnnt1",0,1,0,0,0,0,0,0
"504","Tomm40l",0,1,0,0,0,0,0,0
"505","Trim26",0,1,1,0,0,0,0,0
"506","Trp53i11",0,1,0,0,0,0,0,0
"507","Tshz3",0,1,0,0,0,0,0,0
"508","Ttc7b",0,1,0,0,0,0,0,0
"509","Ttll7",0,1,1,0,0,0,0,0
"510","Tubgcp5",0,0,1,0,0,0,0,0
"511","Tysnd1",0,0,1,0,0,0,0,0
"512","Uba6",0,1,1,0,0,0,0,0
"513","Ubac2",0,1,0,0,0,0,0,0
"514","Ubash3a",0,1,0,0,0,0,0,0
"515","Ubiad1",0,1,1,0,0,0,0,0
"516","Ubr2",0,1,1,0,0,0,0,0
"517","Ubtd2",0,1,0,0,0,0,0,0
"518","Uqcrh",0,0,1,0,0,0,0,0
"519","Urb1",0,1,0,0,0,0,0,0
"520","Usmg5",0,0,1,0,0,0,0,0
"521","Usp36",0,1,0,0,0,0,0,0
"522","Uvssa",0,1,1,0,0,0,0,0
"523","Vcan",0,1,1,0,0,0,0,0
"524","Vcp",0,1,0,0,0,0,0,0
"525","Wdr61",0,1,1,0,0,0,0,0
"526","Wls",0,1,0,0,0,0,0,0
"527","Wnk1",0,0,1,0,0,0,0,0
"528","Ythdf2",0,1,0,0,0,0,0,0
"529","Zc3h13",0,0,1,0,0,0,0,0
"530","Zdbf2",0,1,1,0,0,0,0,0
"531","Zeb1",0,1,1,0,0,0,0,0
"532","Zfp113",0,0,1,0,0,0,0,0
"533","Zfp13",0,1,1,0,0,0,0,0
"534","Zfp395",0,0,1,0,0,0,0,0
"535","Zfp420",0,1,0,0,0,0,0,0
"536","Zfp536",0,1,1,0,0,0,0,0
"537","Zfp622",0,1,1,0,0,0,0,0
"538","Zfp760",0,1,1,0,0,0,0,0
"539","Zfp78",0,1,0,0,0,0,0,0
"540","Zfp81",0,1,0,0,0,0,0,0
"541","Zfp937",0,1,0,0,0,0,0,0
"542","Zfyve21",0,1,1,0,0,0,0,0
"543","Zgpat",0,1,1,0,0,0,0,0
"544","Zic3",0,1,0,0,0,0,0,0
"545","Zmpste24",0,1,1,0,0,0,0,0
"546","Zscan26",0,1,1,0,0,0,0,0
"547","Sco2",0,0,0,1,1,0,0,0
"548","Tbc1d16",0,0,0,1,0,0,0,0
