"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.StdT.StdY"
"245","Grm1",0,0,1,0,0,0,0,0
"246","Gsta4",0,1,1,0,0,0,0,0
"247","Gstm4",0,0,1,0,0,0,0,0
"248","Gstm5",0,1,1,0,0,0,0,0
"249","Gstz1",0,1,0,0,0,0,0,0
"250","Gxylt1",0,1,0,0,0,0,0,0
"251","H2afv",0,0,1,0,0,0,0,0
"252","Hadh",0,1,0,0,0,0,0,0
"253","Hadhb",0,1,1,0,0,0,0,0
"254","Hcn1",0,0,1,0,0,0,0,0
"255","Hdac10",0,1,0,0,0,0,0,0
"256","Hlf",0,1,0,0,0,0,0,0
"257","Hmgn3",0,1,0,0,0,0,0,0
"258","Hnrnpr",0,1,1,0,0,0,0,0
"259","Homer3",0,1,0,0,0,0,0,0
"260","Hprt",0,1,1,0,0,0,0,0
"261","Hr",0,0,1,0,0,0,0,0
"262","Hsd17b11",0,1,1,0,0,0,0,0
"263","Hspa1a",0,1,1,0,0,0,0,0
"264","Hspa1b",0,0,1,0,0,0,0,0
"265","Hspb1",0,1,0,0,0,0,0,0
"266","Hypk",0,1,1,0,0,0,0,0
"267","Ice2",0,1,1,0,0,0,0,0
"268","Id4",0,1,0,0,0,0,0,0
"269","Ifitm10",0,1,0,0,0,0,0,0
"270","Ift140",0,1,0,0,0,0,0,0
"271","Ift81",0,1,0,0,0,0,0,0
"272","Ik",0,1,0,0,0,0,0,0
"273","Il1rapl1",0,1,1,0,0,0,0,0
"274","Il4ra",1,0,0,0,0,0,0,0
"275","Ina",0,1,0,0,0,0,0,0
"276","Inhbb",0,0,1,0,0,0,0,0
"277","Intu",0,1,0,0,0,0,0,0
"278","Ipo5",0,1,0,0,0,0,0,0
"279","Iqcc",0,1,0,0,0,0,0,0
"280","Irf9",0,1,1,0,0,0,0,0
"281","Itgb1",0,0,1,0,0,0,0,0
"282","Jade3",0,1,0,0,0,0,0,0
"283","Kank1",0,1,0,0,0,0,0,0
"284","Kcna4",0,0,1,0,0,0,0,0
"285","Kcnb2",0,1,1,0,0,0,0,0
"286","Kcnip1",0,1,1,0,0,0,0,0
"287","Kcnj10",0,1,0,0,0,0,0,0
"288","Kcnu1",0,1,0,0,0,0,0,0
"289","Kdelr2",0,1,0,0,0,0,0,0
"290","Kdm5d",0,0,1,0,0,0,0,0
"291","Khnyn",0,0,1,0,0,0,0,0
"292","Kif13b",0,1,1,0,0,0,0,0
"293","Klkb1",0,0,1,0,0,0,0,0
"294","Kmt5a",0,0,1,0,0,0,0,0
"295","Kri1",0,0,1,0,0,0,0,0
