"","gene","padj","logpadj","lfc","direction"
"1","Ncoa2",0.0875225094490018,1.05788023872282,1.04092936443709,"conflict.yoked"
"2","Kcnb2",0.0316814640025964,1.49919475784143,2.42171671825262,"conflict.yoked"
"3","Rpl7",0.0456428652835497,1.34062710006067,-0.870754762665492,"standard.yoked"
"4","Sdhaf4",0.00998722307062427,2.00055524978731,-2.85474779182289,"standard.yoked"
"5","Adgrb3",0.0684960327624731,1.16433458178146,1.0712881501843,"conflict.yoked"
"6","Lonrf2",0.0731545975266809,1.13575837469623,0.99795515308387,"conflict.yoked"
"7","Slc9a2",0.042585249546501,1.37074080347656,-1.11494537239551,"standard.yoked"
"8","Nabp1",0.0777150689153454,1.10949476353797,4.90144582502278,"conflict.yoked"
"9","Rftn2",0.0302196540141003,1.51971051222159,3.42806143694951,"conflict.yoked"
"10","Mars2",0.00335910466196164,2.47377646433211,-2.11922444747706,"standard.yoked"
"11","Tyw5",0.0673177495475319,1.17187041104775,4.73245684173832,"conflict.yoked"
"12","Bmpr2",0.0896341801126132,1.04752634967191,1.0170249968941,"conflict.yoked"
"13","Zdbf2",0.0297169973832355,1.52699507397503,2.09049618350763,"conflict.yoked"
"14","Fastkd2",0.0826852054161346,1.08257219033767,3.05109029329074,"conflict.yoked"
"15","Erbb4",0.0241616186435661,1.61687397466921,2.41364629649018,"conflict.yoked"
"16","Pecr",0.0765081579951669,1.11629225395245,-3.32219911513002,"standard.yoked"
"17","Fam134a",0.0886186643008891,1.05247480013069,0.89459281309173,"conflict.yoked"
"18","Ankzf1",0.0197920802941067,1.70350855583052,-2.20414374880194,"standard.yoked"
"19","Mrpl44",0.0671024710902727,1.17326148637185,-2.01227089692937,"standard.yoked"
"20","Sphkap",0.0994757593368311,1.00228273703167,0.640151355555707,"conflict.yoked"
"21","Agap1",3.23205097236673e-06,5.49052179862671,2.68968364863864,"conflict.yoked"
"22","Sned1",0.0104369158247505,1.98142781916701,-3.55547290790132,"standard.yoked"
"23","Bok",0.0606985957463285,1.21682135615168,2.88183114775393,"conflict.yoked"
"24","Thap4",0.0311095105734276,1.5071068213224,-1.97233280923273,"standard.yoked"
"25","Atg4b",0.0584087831720825,1.23352184130618,-0.936977128421366,"standard.yoked"
"26","Cntnap5b",0.0383377263952836,1.41637364636826,5.42351378211685,"conflict.yoked"
"27","Lypd1",0.0889129627735135,1.05103491787559,1.2464857340207,"conflict.yoked"
"28","Rabif",0.067206338530229,1.1725897647604,-1.55205070111779,"standard.yoked"
"29","Rnpep",0.00223141458805304,2.65141973201286,2.6082496958312,"conflict.yoked"
"30","Nek7",0.069846551720682,1.1558550298597,1.73314720769482,"conflict.yoked"
"31","2310009B15Rik",0.0761494310116096,1.11833333736328,4.97118490488877,"conflict.yoked"
"32","Cdc73",0.0802171407409896,1.09573282206692,1.9238850067824,"conflict.yoked"
"33","Rgs8",0.00252321135047473,2.59804637037002,1.63652221744897,"conflict.yoked"
"34","Rgs16",0.0777150689153454,1.10949476353797,5.09376499554517,"conflict.yoked"
"35","Tor1aip2",0.084029101846383,1.07557027843278,1.39412527547517,"conflict.yoked"
"36","Soat1",0.0777150689153454,1.10949476353797,1.5200342773887,"conflict.yoked"
"37","Fam20b",0.0886186643008891,1.05247480013069,0.796437053619485,"conflict.yoked"
"38","Ralgps2",0.050464411036424,1.29701479097556,1.39534526342282,"conflict.yoked"
"39","Rasal2",0.042585249546501,1.37074080347656,1.33411854333883,"conflict.yoked"
"40","Astn1",0.0682792263200793,1.16571140857113,0.879330057856636,"conflict.yoked"
"41","Slc19a2",0.0464965606288778,1.33257917087656,3.13514313599517,"conflict.yoked"
"42","Uhmk1",0.042585249546501,1.37074080347656,0.858112219781013,"conflict.yoked"
"43","Fcgr3",0.0562364811886757,1.24998186167513,5.15291420801103,"conflict.yoked"
"44","Pcp4l1",0.0852966424078468,1.06906806393733,2.55668863137132,"conflict.yoked"
