"gene","pvalue","lfc","direction","logp"
"AW549877",0.999672520971589,-0.000233417764306194,"NS",0.00014224562747942
"Emc2",0.999672520971589,0.000394299451176702,"NS",0.00014224562747942
"Sox7",0.999672520971589,0.00112901482624387,"NS",0.00014224562747942
"Srp72",0.999672520971589,0.000240033927476788,"NS",0.00014224562747942
"Vps26b",0.999672520971589,-0.000159446135636999,"NS",0.00014224562747942
"Tuba1a",0.999529974860772,-0.000336578992271961,"NS",0.000204177312317348
"Prune",0.999457666904103,0.00123773406473766,"NS",0.000235596162475897
"Tchp",0.999457666904103,-0.001156339615698,"NS",0.000235596162475897
"Plcxd3",0.999340377338171,0.00308070373250442,"NS",0.000286565004950171
"Adprh",0.999117153600609,-0.000922746702680291,"NS",0.000383584667720615
"BC005561",0.999117153600609,-0.00213690056190208,"NS",0.000383584667720615
"Nek11",0.999117153600609,0.00344319955912891,"NS",0.000383584667720615
"Rasal2",0.999117153600609,-0.000806909775259079,"NS",0.000383584667720615
"Rpl22",0.999117153600609,-0.001230573123942,"NS",0.000383584667720615
"Srek1ip1",0.999117153600609,0.00201228104465359,"NS",0.000383584667720615
"Stk39",0.999117153600609,-0.00115582665487984,"NS",0.000383584667720615
"Nckap1",0.99904902556403,-0.000551583899851352,"NS",0.000413199452185379
"Cplx1",0.998936476598738,-0.00106240217194473,"NS",0.000462128130165254
"Cul9",0.998936476598738,0.00175404547007599,"NS",0.000462128130165254
"Gpr84",0.998936476598738,-0.00553382458000372,"NS",0.000462128130165254
"Kif26a",0.998936476598738,-0.00589288737812643,"NS",0.000462128130165254
"Mrpl3",0.998936476598738,0.00187828412371884,"NS",0.000462128130165254
"Pard6b",0.998936476598738,-0.00487000484686774,"NS",0.000462128130165254
"Pmpca",0.998936476598738,-0.00134939492806778,"NS",0.000462128130165254
"Rpl24",0.998936476598738,-0.0019136808409284,"NS",0.000462128130165254
"Slc35g2",0.998936476598738,0.0040660765701941,"NS",0.000462128130165254
"Fut11",0.998883878356619,0.00274731541492444,"NS",0.000484996178595041
"Lss",0.998700267918789,-0.00325843093448924,"NS",0.000564833616575064
"Hmgcl",0.998458268868027,-0.00414231071372394,"NS",0.000670081999164766
"Med14",0.998458268868027,-0.00189066737128856,"NS",0.000670081999164766
"Cd59b",0.998412596107215,0.00888124688420127,"NS",0.000689948509659077
"Chn2",0.998412596107215,-0.00456684870073103,"NS",0.000689948509659077
"Evi5",0.998412596107215,-0.00271559526021418,"NS",0.000689948509659077
"Paip2",0.998412596107215,-0.00251915399031123,"NS",0.000689948509659077
"Plcxd2",0.998412596107215,0.00674665785150569,"NS",0.000689948509659077
"Sertad4",0.998412596107215,0.00334602588046282,"NS",0.000689948509659077
"Ssr1",0.998412596107215,0.00202864470563352,"NS",0.000689948509659077
"Tmem86b",0.998412596107215,0.00476829998663196,"NS",0.000689948509659077
"Wrap73",0.998412596107215,-0.00389777353608562,"NS",0.000689948509659077
"Lpcat4",0.998356625963815,0.00281184819611711,"NS",0.000714295363734828
"Mlh1",0.998254940013921,0.00603015113553584,"NS",0.000758531957087851
"1810010H24Rik",0.998154456023793,-0.00972957179544101,"NS",0.000802250086801786
"Ascc2",0.998154456023793,0.00385111430592953,"NS",0.000802250086801786
"B630019K06Rik",0.998154456023793,0.00512915130934775,"NS",0.000802250086801786
"Cxx1a",0.998154456023793,0.00379599555672106,"NS",0.000802250086801786
"Kif16b",0.998154456023793,-0.00821442380077567,"NS",0.000802250086801786
"Lsm6",0.998154456023793,0.00549667022828779,"NS",0.000802250086801786
"Nkain2",0.998154456023793,0.00454553314897127,"NS",0.000802250086801786
"Nrxn2",0.998154456023793,0.00187736133187778,"NS",0.000802250086801786
"Pak6",0.998154456023793,-0.00345704762141577,"NS",0.000802250086801786
"Pask",0.998154456023793,0.0109071268036393,"NS",0.000802250086801786
