"net$colors"
"green"
"blue"
"brown"
"tan"
"blue"
"blue"
"white"
"blue"
"blue"
"brown"
"yellow"
"brown"
"darkturquoise"
"turquoise"
"cyan"
"yellow"
"turquoise"
"green"
"darkturquoise"
"blue"
"lightgreen"
"blue"
"blue"
"blue"
"green"
"green"
"yellow"
"plum1"
"turquoise"
"orange"
"salmon"
"yellow"
"turquoise"
"blue"
"turquoise"
"salmon"
"magenta"
"turquoise"
"turquoise"
"brown"
"yellow"
"darkred"
"brown"
"turquoise"
"brown"
"salmon"
"turquoise"
"brown"
"midnightblue"
"darkgrey"
"royalblue"
"red"
"magenta"
"lightcyan"
"greenyellow"
"lightcyan"
"purple"
"purple"
"yellowgreen"
"black"
"brown"
"brown"
"yellow"
"lightyellow"
"tan"
"turquoise"
"lightcyan"
"midnightblue"
"brown"
"green"
"magenta"
"turquoise"
"lightcyan"
"black"
"brown"
"yellow"
"black"
"yellowgreen"
"pink"
"brown"
"greenyellow"
"magenta"
"brown"
"pink"
"brown"
"green"
"magenta"
"purple"
"cyan"
"turquoise"
"magenta"
"yellow"
"turquoise"
"salmon"
"black"
"darkgreen"
"brown"
"brown"
"salmon"
"brown"
"salmon"
"brown"
"brown"
"magenta"
"green"
"pink"
"royalblue"
"salmon"
"turquoise"
"yellow"
"darkred"
"turquoise"
"paleturquoise"
"lightyellow"
"blue"
"turquoise"
"lightyellow"
"red"
"turquoise"
"turquoise"
"blue"
"red"
"yellow"
"turquoise"
"turquoise"
"blue"
"grey60"
"turquoise"
"blue"
"black"
"blue"
"blue"
"turquoise"
"yellow"
"blue"
"pink"
"blue"
"blue"
"blue"
"blue"
"turquoise"
"red"
"brown"
"turquoise"
"blue"
"blue"
"yellow"
"royalblue"
"turquoise"
"yellow"
"blue"
"brown"
"black"
"turquoise"
"yellow"
"green"
"turquoise"
"blue"
"yellow"
"turquoise"
"yellow"
"turquoise"
"brown"
"blue"
"yellow"
"yellow"
"blue"
"yellow"
"turquoise"
"greenyellow"
"yellow"
"brown"
"blue"
"turquoise"
"orangered4"
"skyblue"
"turquoise"
"lightyellow"
"yellow"
"steelblue"
"white"
"red"
"brown"
"blue"
"green"
"turquoise"
"turquoise"
"blue"
"greenyellow"
"magenta"
"blue"
"yellow"
"orange"
"turquoise"
"blue"
"turquoise"
"turquoise"
"turquoise"
"blue"
"brown"
"yellowgreen"
"brown"
"black"
"brown"
"turquoise"
"blue"
"lightyellow"
"purple"
"turquoise"
"brown"
"brown"
"brown"
"black"
"brown"
"brown"
"green"
"yellow"
"darkgrey"
"brown"
"magenta"
"tan"
"greenyellow"
"purple"
"brown"
"turquoise"
"magenta"
"greenyellow"
"red"
"midnightblue"
"red"
"blue"
"greenyellow"
"darkgreen"
"magenta"
"purple"
"tan"
"yellow"
"brown"
"grey60"
"tan"
"green"
"salmon"
"blue"
"sienna3"
"salmon"
"turquoise"
"blue"
"yellow"
"black"
"salmon"
"brown"
"greenyellow"
"ivory"
"turquoise"
"magenta"
"greenyellow"
"blue"
"brown"
"yellowgreen"
"turquoise"
"grey60"
"salmon"
"midnightblue"
"tan"
"brown"
