"","gene","padj","logpadj","lfc","direction"
"1","1110032F04Rik",0.0753734674696516,1.12278150505066,3.7000001669533,"conflict.yoked"
"2","1600002K03Rik",0.0570589115975224,1.24367651679563,-4.50563249136204,"standard.yoked"
"3","1810030O07Rik",0.0685751665677089,1.16383312882954,-1.72910162048287,"standard.yoked"
"4","2010107G23Rik",0.0175843476633024,1.75487373832134,-2.13828515963421,"standard.yoked"
"5","2210013O21Rik",0.0516538312697117,1.28689746044474,-2.38028995752111,"standard.yoked"
"6","2210016L21Rik",0.0956742806056194,1.01920479463975,-0.848263492588666,"standard.yoked"
"7","2310009B15Rik",0.0761494310116088,1.11833333736329,4.97118490488876,"conflict.yoked"
"8","2410002F23Rik",0.00138963846149339,2.85709817427945,2.1050374615282,"conflict.yoked"
"9","2410004P03Rik",0.0312162111221998,1.50561981070916,-3.01736438792967,"standard.yoked"
"10","3632451O06Rik",0.0456428652835494,1.34062710006068,2.8151828351428,"conflict.yoked"
"11","5730409E04Rik",0.0387969434570227,1.41120248811809,-1.07841436675526,"standard.yoked"
"12","6330408A02Rik",0.0316814640025966,1.49919475784143,5.6943845178362,"conflict.yoked"
"13","Abcc4",0.0786211842893182,1.10446041858713,4.08320727380414,"conflict.yoked"
"14","Abcd4",0.0248971230649141,1.60385083399735,4.98327473425046,"conflict.yoked"
"15","Abce1",0.0647367003784634,1.18884944030486,-1.09206242052753,"standard.yoked"
"16","Abcf1",0.0133172875129563,1.87558422397334,1.71181137213588,"conflict.yoked"
"17","Abhd14b",0.0672063385302249,1.17258976476043,5.11750681463034,"conflict.yoked"
"18","Abhd4",0.0948281485320258,1.0230627287213,1.64569798805929,"conflict.yoked"
"19","Ablim1",0.0635343399408346,1.19699147761011,1.67239561272417,"conflict.yoked"
"20","Ablim2",0.084900812467289,1.07108815370926,-0.885905077621612,"standard.yoked"
"21","Ache",0.0996592968926346,1.00148218114977,1.45298635931984,"conflict.yoked"
"22","Acin1",0.00721212729748556,2.14193661637731,-1.47529802853887,"standard.yoked"
"23","Acp1",0.0222762707288787,1.65215751266486,-1.60557837563495,"standard.yoked"
"24","Actr6",0.0502005444479616,1.29929157270631,5.09320020842659,"conflict.yoked"
"25","Acvr1b",0.0437973031001708,1.35855263115741,0.889779742531263,"conflict.yoked"
"26","Adamts1",0.000198619143555594,3.70197889511615,2.88221002504138,"conflict.yoked"
"27","Adcy5",0.0476139444393671,1.32226583916626,1.02993850233454,"conflict.yoked"
"28","Adcy6",0.0886186643008867,1.0524748001307,1.77203470240321,"conflict.yoked"
"29","Adgrb3",0.0684960327624734,1.16433458178146,1.0712881501843,"conflict.yoked"
"30","Adgrf5",0.0143935142891832,1.84183315671915,6.32383435687083,"conflict.yoked"
"31","Adgrl4",0.0339870120614194,1.46868701436007,5.74831402724696,"conflict.yoked"
"32","Adpgk",0.0693045155371961,1.15923846800004,-1.72147320586307,"standard.yoked"
"33","Adrb1",0.075286799373979,1.12328116538777,1.77753710281355,"conflict.yoked"
"34","Aff4",0.0404716262123944,1.39284934463537,0.979628356845053,"conflict.yoked"
"35","Afg3l1",0.0797863862724611,1.09807120477865,-1.44089748171436,"standard.yoked"
"36","Agap1",3.23205097236711e-06,5.49052179862666,2.68968364863864,"conflict.yoked"
"37","Ahcyl1",0.0755793688607052,1.12159673905909,0.622299425271297,"conflict.yoked"
"38","Ahnak",0.0143935142891832,1.84183315671915,6.28797193831395,"conflict.yoked"
"39","AK010878",0.0956742806056194,1.01920479463975,4.49213716485939,"conflict.yoked"
"40","Akt2",0.0564181410449941,1.24858122777303,-1.05432267167754,"standard.yoked"
"41","Alg9",0.0489226230984144,1.31049026531879,2.2363722586527,"conflict.yoked"
"42","Amotl1",0.0982323994504033,1.00774524763252,3.80552144480678,"conflict.yoked"
"43","Amotl2",0.0628553518290933,1.20165773832981,4.98315703336953,"conflict.yoked"
"44","Ampd3",0.0700199154132815,1.15477841821491,3.95958031336993,"conflict.yoked"
"45","Ank",0.0994757593368318,1.00228273703166,0.859272952346953,"conflict.yoked"
"46","Ankrd26",0.0713142488645783,1.14682368774975,4.65961163861423,"conflict.yoked"
"47","Ankrd40",0.0883329573417287,1.05387722936504,0.943719269673627,"conflict.yoked"
"48","Ankrd50",0.0582588104569858,1.23463838715156,1.86397143212339,"conflict.yoked"
"49","Ankrd9",0.0326252145949696,1.48644662303743,5.52129338415214,"conflict.yoked"
"50","Ankzf1",0.0197920802941057,1.70350855583054,-2.20414374880195,"standard.yoked"
"51","Ap3m2",0.0780984933156223,1.10735734449687,-0.639914469501105,"standard.yoked"
"52","Ap4m1",0.0957631135887041,1.01880174196244,2.40322892214117,"conflict.yoked"
"53","Apcdd1",0.0571728990203349,1.24280978580543,5.12757666252789,"conflict.yoked"
"54","Aph1c",0.0951014367085922,1.0218129220752,-1.48698453681145,"standard.yoked"
"55","Apmap",0.0247455500626556,1.60650288792189,-1.51943796649204,"standard.yoked"
"56","Arfgap3",0.0495666139938242,1.30481074770821,-1.40702235183646,"standard.yoked"
"57","Arhgap29",0.0950917484940731,1.02185716696341,3.96583249321565,"conflict.yoked"
"58","Arhgap31",0.0777150689153492,1.10949476353795,2.06530241384681,"conflict.yoked"
"59","Arhgap4",0.0567301383290569,1.24618615746345,5.21270064406669,"conflict.yoked"
"60","Arhgef10l",0.0977418691745456,1.00991935996276,1.53811701620445,"conflict.yoked"
"61","Arhgef11",0.0326252145949696,1.48644662303743,1.19768070478868,"conflict.yoked"
"62","Arhgef19",0.0783098235382254,1.10618375466185,4.16647915948392,"conflict.yoked"
"63","Arid1b",0.0721249248052617,1.1419146266151,1.03532900178082,"conflict.yoked"
"64","Arid3b",0.0789084081554716,1.10287671769087,-2.90351508668248,"standard.yoked"
"65","Armc1",0.0674322393156287,1.1711324178664,-0.973886284614777,"standard.yoked"
"66","Armc7",0.0263173213208315,1.57975831698757,5.86683626896126,"conflict.yoked"
"67","Armt1",0.0727668267108735,1.13806656381713,1.61362988559038,"conflict.yoked"
"68","Arrdc4",0.0203932610430328,1.69051332156108,-2.17818126005959,"standard.yoked"
"69","Arvcf",0.0564181410449941,1.24858122777303,-1.29961709726474,"standard.yoked"
"70","Asb3",0.0420603217984228,1.37612740890256,5.28462668914084,"conflict.yoked"
"71","Ascc1",0.0895902336753743,1.04773933065113,-2.32296415926944,"standard.yoked"
"72","Asph",0.0731960965520701,1.13551207865606,1.23479310523696,"conflict.yoked"
"73","Astn1",0.0682792263200764,1.16571140857115,0.879330057856633,"conflict.yoked"
"74","Atg4b",0.0584087831720825,1.23352184130618,-0.936977128421366,"standard.yoked"
"75","Atp13a4",0.0979956996894485,1.00879298188016,-2.28949543146596,"standard.yoked"
"76","Atp1a2",0.0531563520323568,1.27444483108858,0.954962890286451,"conflict.yoked"
"77","Atp2a2",0.0941291667600214,1.02627578570936,0.520420828040654,"conflict.yoked"
"78","Atp5d",0.0493357494953519,1.30683826972734,-1.17713709564307,"standard.yoked"
"79","Atp6v1b2",0.0706376206919604,1.15096393765465,-0.639620735460853,"standard.yoked"
"80","Atxn10",0.0361003861367034,1.44248815277183,-0.609457774737749,"standard.yoked"
"81","Atxn7l2",0.0583018428154854,1.23431771776332,1.99232920621283,"conflict.yoked"
"82","AU019823",0.062561090072585,1.20369569267864,3.07580293618861,"conflict.yoked"
"83","AU040320",0.0906226556634783,1.04276321513084,1.01259909583734,"conflict.yoked"
"84","Axl",0.0326252145949696,1.48644662303743,2.15121429054838,"conflict.yoked"
"85","Azin2",0.0958070717354946,1.01860243348562,2.71437727856462,"conflict.yoked"
"86","B4galt7",0.0919474233403363,1.03646043657004,-1.660624306631,"standard.yoked"
"87","Bag3",0.0904453798640107,1.04361361289276,3.96324223012296,"conflict.yoked"
"88","Bahcc1",0.0606985957463285,1.21682135615168,1.92109060510265,"conflict.yoked"
"89","Bap1",0.0516538312697117,1.28689746044474,-0.796751300137067,"standard.yoked"
"90","Basp1",0.0516090013046691,1.28727454496159,-0.620143225315097,"standard.yoked"
"91","Bax",0.0234170802385226,1.63046725594801,-1.67718231350409,"standard.yoked"
"92","Bbof1",0.0592722833918197,1.22714834177793,-2.52890616635962,"standard.yoked"
"93","Bbs5",0.092494177088412,1.03388560713092,2.77778886118216,"conflict.yoked"
"94","Bbs9",0.0420603217984228,1.37612740890256,-2.48847902150524,"standard.yoked"
"95","BC024978",0.0538718622619697,1.26863801134623,2.20883154716907,"conflict.yoked"
"96","Bcl6",0.0883329573417287,1.05387722936504,1.07495291029069,"conflict.yoked"
"97","Bhlhb9",0.0516538312697117,1.28689746044474,1.18170963089727,"conflict.yoked"
"98","Bin3",0.087552081346969,1.05773352511727,-2.67553431906737,"standard.yoked"
"99","Bmpr2",0.0896341801126152,1.0475263496719,1.0170249968941,"conflict.yoked"
"100","Bnip2",0.0948281485320258,1.0230627287213,-1.39249076164182,"standard.yoked"
"101","Bod1",0.0446429935912309,1.35024669093961,-1.29686500315839,"standard.yoked"
"102","Bok",0.0606985957463285,1.21682135615168,2.88183114775393,"conflict.yoked"
"103","Braf",0.0674831723179105,1.17080450984432,1.0597826214842,"conflict.yoked"
"104","Bri3bp",0.0881484311198798,1.05478541293973,0.944097275360456,"conflict.yoked"
"105","Bud31",0.016526218554015,1.78182650813439,-1.88660569085543,"standard.yoked"
"106","C130074G19Rik",0.0777150689153492,1.10949476353795,-2.31215516465614,"standard.yoked"
"107","C1galt1c1",0.0614338115070299,1.21159253913071,-1.51553530075111,"standard.yoked"
"108","C1ql3",0.0956742806056194,1.01920479463975,-1.04396043112609,"standard.yoked"
"109","C1qtnf6",0.0271884647235416,1.56561531543269,-5.37812440835096,"standard.yoked"
"110","C77370",0.0797663553373968,1.09818025116073,1.97457835737226,"conflict.yoked"
"111","Cacfd1",0.0889129627735153,1.05103491787558,-1.33272626688211,"standard.yoked"
"112","Cacna1c",0.0584087831720825,1.23352184130618,-1.18962224547876,"standard.yoked"
"113","Cacnb1",0.085296642407848,1.06906806393732,-0.643381835694495,"standard.yoked"
"114","Camk1g",0.0582588104569858,1.23463838715156,-1.25572263695889,"standard.yoked"
"115","Camk2d",0.0425852495465006,1.37074080347657,5.55001285529204,"conflict.yoked"
"116","Camk2g",0.0567301383290569,1.24618615746345,1.09555141188356,"conflict.yoked"
"117","Camkmt",0.0682792263200764,1.16571140857115,4.85749677868866,"conflict.yoked"
"118","Capn5",0.029211992775587,1.53443881543587,-1.66192201723794,"standard.yoked"
"119","Carm1",0.0338603736651719,1.47030825355647,1.17749540993242,"conflict.yoked"
"120","Carnmt1",0.0727668267108735,1.13806656381713,5.2637318813567,"conflict.yoked"
"121","Ccdc107",0.0504644110364217,1.29701479097558,-3.00591571636903,"standard.yoked"
"122","Ccdc167",0.0317965805231754,1.49761958252395,-2.497057940094,"standard.yoked"
"123","Ccdc53",0.0966657260587265,1.014727482712,-1.93131545048604,"standard.yoked"
"124","Ccdc59",0.0562364811886774,1.24998186167512,-2.0302833688661,"standard.yoked"
"125","Ccng1",0.084900812467289,1.07108815370926,1.13340970145568,"conflict.yoked"
"126","Ccr2",0.0420603217984228,1.37612740890256,-5.69632656327921,"standard.yoked"
"127","Cct3",0.0370802675482156,1.43085714091658,-1.03199214136809,"standard.yoked"
"128","Cd200",0.0822000112389133,1.08512812308042,1.98060994769732,"conflict.yoked"
"129","Cd63",0.0370802675482156,1.43085714091658,2.55230221870988,"conflict.yoked"
"130","Cd93",0.069846551720682,1.1558550298597,4.11301460367117,"conflict.yoked"
"131","Cdadc1",0.0931595067444201,1.03077281960863,-1.3013305744746,"standard.yoked"
"132","Cdc123",0.0956742806056194,1.01920479463975,-1.05532347979512,"standard.yoked"
"133","Cdc14b",0.0886186643008867,1.0524748001307,4.41927797042075,"conflict.yoked"
"134","Cdc42bpg",0.0921215368910761,1.03563882518299,4.78341800329218,"conflict.yoked"
"135","Cdc73",0.0802171407409903,1.09573282206692,1.9238850067824,"conflict.yoked"
"136","Cdh10",0.0562364811886774,1.24998186167512,1.50349389081668,"conflict.yoked"
"137","Cdh12",0.0464237741533453,1.3332595552342,5.26595935356618,"conflict.yoked"
"138","Cdk8",0.0871650403426358,1.05965766450078,-0.971079155882846,"standard.yoked"
"139","Cdkal1",0.0771001218790629,1.11294493542034,4.15375867587264,"conflict.yoked"
"140","Cdkl4",0.0383006554836203,1.41679379338168,3.04786120707394,"conflict.yoked"
"141","Cdon",0.0431260231940285,1.36526058786652,-2.20972493994193,"standard.yoked"
"142","Cds2",0.0584087831720825,1.23352184130618,0.970641661582276,"conflict.yoked"
"143","Cep135",0.0895053109623416,1.0481511942572,2.54568577790543,"conflict.yoked"
"144","Cers1",0.0516273486861748,1.28712017750032,0.955381205085294,"conflict.yoked"
"145","Ces2b",0.0595096828241555,1.22541236444006,-2.40044148068534,"standard.yoked"
"146","Cfp",0.0921215368910761,1.03563882518299,-1.76297218721131,"standard.yoked"
"147","Chchd4",0.0678418007136633,1.16850263319196,-1.30424998434828,"standard.yoked"
"148","Chd6",0.0891632604448841,1.04981405899696,1.42677720611724,"conflict.yoked"
"149","Chmp7",0.0850719246504421,1.07021374169126,-0.890471819567035,"standard.yoked"
"150","Chrm3",0.0417973159403846,1.37885160601699,1.14117598136749,"conflict.yoked"
"151","Ciao1",0.0647367003784634,1.18884944030486,-1.12215238730892,"standard.yoked"
"152","Cib2",0.071291736270533,1.14696080815797,4.74550182192076,"conflict.yoked"
"153","Cic",0.0755793688607052,1.12159673905909,0.671440239051965,"conflict.yoked"
"154","Cirh1a",0.0895902336753743,1.04773933065113,1.63831353926769,"conflict.yoked"
"155","Clcn5",0.0579174710271894,1.23719040991373,4.94512207244282,"conflict.yoked"
"156","Clcn7",0.0924957845700758,1.03387805947363,-0.966693389304708,"standard.yoked"
"157","Clec11a",0.092494177088412,1.03388560713092,-2.709507794932,"standard.yoked"
"158","Clip4",0.0829003617057449,1.0814435745587,-0.84846750023858,"standard.yoked"
"159","Clpp",0.0516538312697117,1.28689746044474,1.9385852528161,"conflict.yoked"
"160","Clybl",0.0234170802385226,1.63046725594801,-2.59614794887399,"standard.yoked"
"161","Cnbd2",0.0693045155371961,1.15923846800004,1.51255448811539,"conflict.yoked"
"162","Cnot6",0.0271884647235416,1.56561531543269,2.20067384140343,"conflict.yoked"
"163","Cnot8",0.0406987010085476,1.39041945204806,-1.2361046766249,"standard.yoked"
"164","Cnr1",0.00252321135047479,2.59804637037001,1.95091323103639,"conflict.yoked"
"165","Cntnap2",0.0948281485320258,1.0230627287213,0.779227979456522,"conflict.yoked"
"166","Cntnap5b",0.0383377263952871,1.41637364636822,5.42351378211685,"conflict.yoked"
"167","Cntrob",0.0732575625729215,1.13514753528573,3.1425885924513,"conflict.yoked"
"168","Coasy",0.0445185512962733,1.35145897673336,-1.86596996072911,"standard.yoked"
"169","Cog3",0.012115819134328,1.91664721846477,1.85870765252447,"conflict.yoked"
"170","Coil",0.0263173213208315,1.57975831698757,-2.38782329875505,"standard.yoked"
"171","Col11a2",0.030219654014098,1.51971051222162,2.03497061833683,"conflict.yoked"
"172","Commd4",0.0840291018463832,1.07557027843278,-1.11920563630192,"standard.yoked"
"173","Commd9",0.092494177088412,1.03388560713092,2.44547750482426,"conflict.yoked"
"174","Cpne6",0.0570589115975224,1.24367651679563,-0.504910352570236,"standard.yoked"
"175","Cpne7",0.0974435841898475,1.01124675010893,-1.03691401865456,"standard.yoked"
"176","Crnkl1",0.029566497529119,1.52920011929764,-2.48448506837815,"standard.yoked"
"177","Crocc",0.0370802675482156,1.43085714091658,-1.49636424287652,"standard.yoked"
"178","Crtc3",0.0570589115975224,1.24367651679563,2.81452514811871,"conflict.yoked"
"179","Csf3r",0.0449957453779391,1.34682854947442,5.28578563406693,"conflict.yoked"
"180","Csmd3",0.0630713590056775,1.20016781111374,1.92478755486791,"conflict.yoked"
"181","Ctf2",0.0900199031676894,1.04566145855774,-2.61188221671298,"standard.yoked"
