"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"1500011K16Rik",6.56380361520674,6.83815198390189,7.50696380166105,6.68430092586366,6.67504700178932,7.06242298335718,7.00228892198559,6.68480099902571,6.85351428849125,7.1229929838886,6.86463279990671,6.98226634418857
"1520401A03Rik",5.97135139674534,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,6.02197511661528,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009
"1600002H07Rik",6.64752807415449,6.5272639655662,6.38674697910088,5.74601471773009,6.46057228151526,6.54295089637861,6.80986130569711,6.0779228008653,6.71438296148632,6.45062518334473,6.82576963083976,6.73552773210109
"1600002K03Rik",5.74601471773009,6.2007163041327,5.74601471773009,5.74601471773009,6.46057228151526,6.253848272637,6.2603486507478,5.74601471773009,6.51101242505696,6.19838463573641,6.4251023322401,6.46871194211158
"1600012H06Rik",7.12805270877414,6.83815198390189,7.10998468997024,6.27277285307284,6.59646374677035,6.97210451197133,6.84212641297254,7.16625406684374,6.80949864811724,7.0810381277767,6.91407002848777,6.90069052705899
"1600014C10Rik",7.32376965486912,6.83815198390189,7.3471579253175,7.11975615356629,7.20251239796265,7.39518034941198,6.93274010563282,7.01437741605778,7.2237065787207,7.23989187146999,7.56221638388507,6.92864514170194
"1700001C02Rik",5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,6.21651083794126,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009
"1700001C19Rik",5.74601471773009,5.74601471773009,5.74601471773009,6.11951744560923,5.74601471773009,5.74601471773009,5.74601471773009,6.0779228008653,6.21787974708343,5.74601471773009,5.92286684183806,5.90163489457776
"1700001J03Rik",5.74601471773009,6.2007163041327,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.96598844840126
"1700001K19Rik",6.33863055119901,6.2007163041327,6.03443910866163,5.74601471773009,5.93880281262351,6.28431077563994,6.54167555151999,6.3849361907878,6.27645869648312,6.08073118812346,5.74601471773009,6.09332148405594
"1700001L19Rik",6.16651959640838,6.2007163041327,6.03443910866163,5.74601471773009,6.25383794328405,6.05799775503962,6.35939184734644,6.11689602129963,6.23321165437591,6.19838463573641,6.35451166444358,6.18469651090124
"1700001O22Rik",6.31735601409434,5.74601471773009,6.15323483203576,5.74601471773009,6.28850587039984,6.52325198610858,6.08373963483239,5.74601471773009,5.74601471773009,5.74601471773009,5.92286684183806,6.28226779076496
"1700001P01Rik",6.22234554721018,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009
