"","gene","padj","logpadj","lfc","direction"
"1","Ahdc1",0.0650203882596328,1.18695044150688,-1.60737786218022,"yoked"
"2","Bmt2",0.0566256621961535,1.24698670618964,-2.47817880956962,"yoked"
"3","Ctcfl",0.0363254357303014,1.43978916755629,-2.61207245898358,"yoked"
"4","Fn3krp",0.0480138873382015,1.31863313091511,-1.42745080869793,"yoked"
"5","Glcci1",0.00143873897497547,2.84201799133828,1.98275767136008,"trained"
"6","Gnaz",0.0112083934063577,1.95045663403814,-3.11102225995498,"yoked"
"7","Igf2bp2",0.00956196466367509,2.01945286557636,-3.85162178226654,"yoked"
"8","Il4ra",0.0375740644476198,1.42511182405561,-4.00242708821766,"yoked"
"9","Inhbb",0.0363254357303014,1.43978916755629,-2.36098717574673,"yoked"
"10","Khnyn",0.0980153770346831,1.00870578515,-1.88787340165502,"yoked"
"11","Klkb1",0.0276794285563631,1.55784288016109,-2.58655463973368,"yoked"
"12","Mx1",0.0787223974805251,1.10390168799253,-3.19829754256497,"yoked"
"13","Pde6a",0.0108291598219097,1.96540523671381,-3.38908219974529,"yoked"
"14","Stac3",0.0566256621961535,1.24698670618964,-2.20637515929014,"yoked"
"15","Stox2",0.0108291598219097,1.96540523671381,-3.79057173334957,"yoked"
"16","Tmem170",0.0480138873382015,1.31863313091511,-2.60827388831696,"yoked"
