"","143D-DG-3","144C-DG-2","144D-DG-2","146C-DG-4","146D-DG-3","147C-DG-3","147D-DG-1"
"0610007P14Rik",6.67299636443284,6.17908579932362,6.45943526059442,6.78434786437866,7.24065422361183,6.05696186606407,6.26787052491803
"0610009B22Rik",4.84749918505457,5.48782372348324,5.30662582988316,5.77229363256891,4.48114237758222,5.59487099471306,5.5716328425729
"0610009L18Rik",4.99787582377013,5.10530968109573,5.1053685118849,4.48114237758222,4.48114237758222,4.79713065626228,5.35949257266102
"0610009O20Rik",6.56079681100709,6.64127567184821,6.46514664642354,6.11540792158192,6.55936500434315,6.51078693070122,6.4424454170106
"0610010F05Rik",7.01266595282282,6.76450375194291,6.40085549851839,7.16113610006396,6.22117097060691,6.73212584434758,6.58974447113611
"0610010K14Rik",5.71564312830548,5.70244017988258,5.80778384504775,5.66595045214649,4.48114237758222,5.41463342181392,5.86122682008505
"0610012G03Rik",6.51304326642089,6.16341411671718,6.44214501068141,6.54672855414621,6.55936500434315,6.25024844832341,6.40103977972618
"0610030E20Rik",6.35798016033377,6.16341411671718,6.58992152129985,6.86859030378025,4.48114237758222,6.2796333466721,6.34116265423848
"0610037L13Rik",7.16999697553601,6.56363733567486,6.99229395280053,6.74013876144211,8.67832371233402,6.80154317192462,6.93231037948209
"0610040J01Rik",5.43553928835585,5.10530968109573,4.87011862769163,4.48114237758222,4.48114237758222,5.2265310359935,4.82492990460849
"1110002E22Rik",5.97236545523652,6.02988813933126,5.70255056760989,4.48114237758222,4.48114237758222,6.36378927156751,5.86122682008505
"1110004E09Rik",5.89343885982503,6.09856295566363,6.11904280332946,4.48114237758222,4.48114237758222,6.14136796543943,6.08539785399486
"1110004F10Rik",7.51082258100176,7.29310482729492,7.37614729555864,6.74013876144211,7.81741108317343,7.27720382138005,7.11284358416417
"1110008F13Rik",6.96169244849897,6.7546633103796,6.44214501068141,6.59783920870977,4.48114237758222,6.70642399184517,6.81012845836362
"1110008L16Rik",5.29183559736315,4.99208236639355,5.30662582988316,5.54652580915904,4.48114237758222,5.13463880768724,5.10233240125397
"1110008P14Rik",6.7763406395548,6.60856890817873,6.91366985189421,6.11540792158192,4.48114237758222,6.60389021195169,6.81863009012409
"1110012L19Rik",5.11235073402636,5.3572255041407,5.40489992252618,5.40883401515833,4.48114237758222,5.38051233506133,5.39676008889072
"1110017D15Rik",4.48114237758222,4.99208236639355,4.87011862769163,4.48114237758222,4.48114237758222,5.02629562053467,4.59008905617298
"1110032A03Rik",5.66590455830475,5.28288151433726,5.91249255143789,5.02283326233534,6.55936500434315,5.44739360520354,5.35310696977617
"1110032F04Rik",4.48114237758222,5.32096734327121,5.43514492816486,4.48114237758222,4.48114237758222,5.15887140715934,5.54138496551157
"1110034G24Rik",5.49890589926785,5.32096734327121,5.34078286072173,4.48114237758222,5.74651935471639,5.3977524685588,5.38452987505147
"1110037F02Rik",7.47549654005995,7.23197512698125,7.10230079219834,6.74013876144211,8.22571964453287,7.20377166258206,6.95852730564339
"1110038F14Rik",5.80831515200524,6.01205721790899,6.04892091261487,5.77229363256891,7.40862008450898,5.97531294313401,6.20644017288931
"1110051M20Rik",7.02924049735002,7.27302694829387,7.10581925385301,7.69992667384178,5.74651935471639,7.09934284719812,7.19617001210159
"1110059E24Rik",5.85172568428268,5.79424222919932,6.07276931548723,5.40883401515833,5.74651935471639,5.98468146661417,5.93299335884916
"1110059G10Rik",5.76302627007316,5.28288151433726,5.60954686360596,5.02283326233534,4.48114237758222,5.32641216238413,5.37834417036568
"1110065P20Rik",6.00982443712206,5.91839640387279,6.17803354441094,6.25482373064756,7.93100545092415,6.12496736580604,5.76821321056537
"1190002N15Rik",6.89059341246869,8.15088313720691,6.40085549851839,7.67738521607881,4.48114237758222,7.53451308674993,6.33624561607884
"1190005I06Rik",4.48114237758222,4.48114237758222,4.9069886627187,5.54652580915904,4.48114237758222,4.88854240323439,5.04380759126075
"1190007I07Rik",5.11235073402636,5.54632354678016,5.3893477570295,4.48114237758222,4.48114237758222,5.43117457464848,5.49401634131684
