"","143D-DG-3","144C-DG-2","144D-DG-2","146C-DG-4","146D-DG-3","147C-DG-3","147D-DG-1"
"1300017J02Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.76897905789545
"1500009C09Rik",6.83468785147257,6.6304644169025,6.87256916744916,6.82713339535511,5.74651935471639,6.28687033020588,6.93697402975764
"1500009L16Rik",5.29183559736315,5.15446282183989,5.43514492816486,5.54652580915904,4.48114237758222,4.96255124309908,5.55663425137845
"1500011B03Rik",7.01266595282282,6.98955180941373,6.85577001315101,6.74013876144211,8.61214328695034,7.05603602747875,6.99469536902214
"1500011K16Rik",5.71564312830548,5.62757787482324,5.9569403565955,5.40883401515833,7.04937980105134,5.59487099471306,5.90128288267442
"1500015O10Rik",4.48114237758222,4.99208236639355,4.72759858780529,4.48114237758222,4.48114237758222,4.96255124309908,4.48114237758222
"1520401A03Rik",4.99787582377013,4.7376117387579,4.78280567329118,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222
"1600002H07Rik",5.97236545523652,5.83725322913101,5.58481030816652,5.24283920151751,6.55936500434315,5.66058513407151,5.87961845272187
"1600002K03Rik",4.84749918505457,5.10530968109573,4.82926288892582,5.40883401515833,4.48114237758222,5.15887140715934,4.80736464248158
"1600012H06Rik",6.35798016033377,6.16341411671718,5.93937540101165,5.40883401515833,4.48114237758222,6.05696186606407,6.06703924658627
"1600014C10Rik",6.18074084781831,6.22490467824555,6.40683761505847,5.77229363256891,4.48114237758222,5.98468146661417,6.12714080221084
"1700001C19Rik",5.20811078417914,4.7376117387579,4.94083347955081,5.24283920151751,4.48114237758222,4.88854240323439,5.11152930566515
"1700001K19Rik",5.11235073402636,5.20004192909509,5.02959695359712,4.48114237758222,4.48114237758222,5.49427327742348,5.17227933673072
"1700001L19Rik",5.36696224789153,5.10530968109573,5.35730687770143,5.02283326233534,4.48114237758222,5.38051233506133,5.19662965115854
"1700001O22Rik",5.43553928835585,4.7376117387579,5.28894549180862,5.02283326233534,4.48114237758222,5.02629562053467,4.8416250019492
"1700001P01Rik",4.48114237758222,4.48114237758222,4.87011862769163,4.48114237758222,4.48114237758222,4.73931711642061,4.97805744437965
"1700003E16Rik",6.14849617344773,5.67811811561708,6.08839913108713,6.11540792158192,4.48114237758222,5.85621813605782,5.82730300887207
"1700003F12Rik",5.29183559736315,4.7376117387579,5.00176142036958,4.48114237758222,4.48114237758222,4.96255124309908,4.96619470899813
"1700006E09Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.66975405085236
"1700008O03Rik",4.48114237758222,4.48114237758222,4.82926288892582,4.48114237758222,4.48114237758222,4.48114237758222,4.59008905617298
"1700010I14Rik",4.99787582377013,5.10530968109573,4.48114237758222,4.48114237758222,4.48114237758222,4.79713065626228,4.66975405085236
"1700011E24Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.87284433364672
"1700011H14Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.99545335296559,4.48114237758222
"1700011M02Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.91539149705292
"1700013F07Rik",4.99787582377013,5.10530968109573,4.48114237758222,4.48114237758222,4.48114237758222,4.84577269627103,4.48114237758222
"1700014D04Rik",4.48114237758222,4.92420233896636,4.65551905307965,4.48114237758222,4.48114237758222,4.84577269627103,4.48114237758222
"1700015E13Rik",4.48114237758222,4.7376117387579,4.94083347955081,4.48114237758222,4.48114237758222,4.48114237758222,4.59008905617298
"1700016D06Rik",4.48114237758222,5.10530968109573,5.12855149426636,4.48114237758222,4.48114237758222,5.52417977185021,5.30686003972357
"1700016K19Rik",4.48114237758222,4.48114237758222,5.05602548254552,4.48114237758222,4.48114237758222,4.73931711642061,4.48114237758222
"1700017B05Rik",5.29183559736315,6.11511441404671,5.92152676345263,5.86865822055955,4.48114237758222,5.90742529923996,6.15892854830815
"1700019A02Rik",4.48114237758222,4.48114237758222,4.72759858780529,4.48114237758222,4.48114237758222,4.48114237758222,4.72452373983201
"1700019B03Rik",4.48114237758222,4.7376117387579,4.48114237758222,4.48114237758222,4.48114237758222,4.88854240323439,4.48114237758222
"1700019D03Rik",5.36696224789153,5.48782372348324,5.21352095181721,5.95707996155806,4.48114237758222,5.47892869173049,5.89770203704145
"1700019O17Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.76897905789545
"1700020A23Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.76897905789545
"1700020D05Rik",5.36696224789153,4.48114237758222,5.19330098087698,4.48114237758222,4.48114237758222,5.05541048505707,5.28613492623588
"1700020L24Rik",4.84749918505457,4.48114237758222,4.78280567329118,4.48114237758222,4.48114237758222,4.48114237758222,4.66975405085236
"1700020N01Rik",4.99787582377013,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222
"1700021F05Rik",5.36696224789153,5.62757787482324,5.73527830437144,5.40883401515833,4.48114237758222,5.62170306022735,5.78828493700185
"1700022I11Rik",4.48114237758222,4.48114237758222,4.72759858780529,4.48114237758222,4.48114237758222,4.92713304501927,5.12058576465167
"1700023F06Rik",4.48114237758222,4.48114237758222,4.94083347955081,4.48114237758222,4.48114237758222,5.05541048505707,5.00094035136802
"1700024P16Rik",4.48114237758222,4.84337041193037,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222
"1700025G04Rik",7.61175241205124,7.8810652770954,8.02412008282378,7.92669902706884,8.31181132427555,7.9839822527341,7.56772704338493
"1700028J19Rik",4.48114237758222,5.05165608635757,4.48114237758222,4.48114237758222,4.48114237758222,4.88854240323439,4.48114237758222
"1700028K03Rik",4.84749918505457,4.48114237758222,4.65551905307965,5.40883401515833,4.48114237758222,4.48114237758222,4.78878015924908
"1700028P14Rik",4.48114237758222,4.92420233896636,4.78280567329118,4.48114237758222,4.48114237758222,4.66382111242884,4.85756576568992
"1700029F12Rik",4.48114237758222,4.48114237758222,4.72759858780529,4.48114237758222,4.48114237758222,4.84577269627103,4.48114237758222
"1700029H14Rik",5.20811078417914,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222
"1700029I15Rik",5.43553928835585,4.84337041193037,5.17244114845099,4.48114237758222,4.48114237758222,5.36289169989581,5.22776659720822
"1700029J07Rik",5.11235073402636,4.92420233896636,4.87011862769163,6.18714888139034,4.48114237758222,5.18220854407828,5.44392962234589
"1700030J22Rik",5.11235073402636,5.10530968109573,5.37348902221181,4.48114237758222,4.48114237758222,5.26815759046373,5.29310820865315
"1700030K09Rik",5.55799536784169,6.02988813933126,5.79773211883472,5.40883401515833,4.48114237758222,5.43117457464848,6.01013627469595
"1700034I23Rik",5.29183559736315,4.84337041193037,4.82926288892582,4.48114237758222,4.48114237758222,4.79713065626228,5.00094035136802
"1700034J05Rik",4.48114237758222,4.48114237758222,4.82926288892582,4.48114237758222,4.48114237758222,4.79713065626228,4.48114237758222
"1700037C18Rik",5.11235073402636,5.10530968109573,5.05602548254552,5.24283920151751,4.48114237758222,5.18220854407828,4.59008905617298
"1700037H04Rik",5.36696224789153,5.91839640387279,5.73527830437144,6.11540792158192,4.48114237758222,5.47892869173049,5.65689745112941
"1700040L02Rik",5.11235073402636,4.7376117387579,4.48114237758222,4.48114237758222,4.48114237758222,4.73931711642061,4.63517968257991
"1700047I17Rik2",5.20811078417914,5.48782372348324,5.65716340526205,5.24283920151751,4.48114237758222,5.59487099471306,5.75597953724874
"1700048O20Rik",5.29183559736315,5.60127154304512,5.19330098087698,5.24283920151751,4.48114237758222,5.69797094145895,5.48859272705208
"1700057G04Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.84577269627103,4.48114237758222
"1700061G19Rik",4.84749918505457,5.24269149727611,4.78280567329118,4.48114237758222,4.48114237758222,4.92713304501927,5.17227933673072
"1700064H15Rik",4.48114237758222,4.48114237758222,4.78280567329118,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222
"1700066B19Rik",4.99787582377013,4.7376117387579,5.08123326162291,4.48114237758222,4.48114237758222,4.99545335296559,5.10233240125397
"1700066M21Rik",6.04608455530815,5.99394145536932,6.07276931548723,5.24283920151751,4.48114237758222,5.94672658057123,5.81186972998037
"1700067K01Rik",4.48114237758222,4.48114237758222,4.9069886627187,4.48114237758222,4.48114237758222,4.48114237758222,4.98963292037431
"1700088E04Rik",4.84749918505457,4.48114237758222,4.97227930749859,4.48114237758222,4.48114237758222,5.36289169989581,4.95402307076531
"1700092M07Rik",4.48114237758222,4.48114237758222,4.78280567329118,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222
"1700093K21Rik",5.20811078417914,4.7376117387579,4.72759858780529,4.48114237758222,4.48114237758222,4.92713304501927,4.85756576568992
"1700102P08Rik",4.99787582377013,4.84337041193037,4.87011862769163,4.48114237758222,4.48114237758222,5.05541048505707,5.02281791720149
"1700109H08Rik",5.71564312830548,4.99208236639355,5.15088139062031,4.48114237758222,4.48114237758222,5.24765303024125,4.90170065322977
"1700112E06Rik",4.48114237758222,4.7376117387579,4.72759858780529,4.48114237758222,4.48114237758222,4.84577269627103,4.78878015924908
"1700113H08Rik",4.48114237758222,4.48114237758222,4.72759858780529,5.02283326233534,4.48114237758222,4.66382111242884,4.85756576568992
"1700123L14Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.73931711642061,4.48114237758222
"1700123O20Rik",5.29183559736315,5.48782372348324,5.70255056760989,6.03898224639047,4.48114237758222,5.32641216238413,5.61994625689566
"1700128F08Rik",6.2427337445048,5.95681025612235,5.93048723350587,5.86865822055955,4.48114237758222,6.36378927156751,5.80797572693917
"1810009A15Rik",5.43553928835585,5.15446282183989,5.27082791347383,5.86865822055955,4.48114237758222,5.20473720719494,5.42068161578485
"1810010H24Rik",6.04608455530815,5.91839640387279,5.43514492816486,6.37986127970252,4.48114237758222,5.56724592522343,5.76821321056537
"1810011H11Rik",4.48114237758222,4.7376117387579,4.48114237758222,4.48114237758222,4.48114237758222,4.79713065626228,4.48114237758222
"1810011O10Rik",4.48114237758222,4.7376117387579,4.72759858780529,4.48114237758222,4.48114237758222,4.92713304501927,4.72452373983201
"1810013L24Rik",6.41181519067764,7.27302694829387,6.85577001315101,6.94785100063921,4.48114237758222,7.19656992860402,7.13851060267619
"1810022K09Rik",5.76302627007316,5.39187624963198,5.79773211883472,5.77229363256891,4.48114237758222,5.56724592522343,5.58149780766447
"1810024B03Rik",4.48114237758222,4.84337041193037,4.78280567329118,4.48114237758222,4.48114237758222,4.84577269627103,4.76897905789545
"1810026J23Rik",7.58994248526264,7.66933121677101,7.64592515423675,7.67738521607881,7.04937980105134,7.56254319278709,7.48370462913736
"1810030O07Rik",6.60684505006987,6.43129855480207,6.22735727345083,6.37986127970252,4.48114237758222,6.46157145828199,6.24154382200585
"1810032O08Rik",5.49890589926785,5.28288151433726,5.23315292275555,5.24283920151751,4.48114237758222,5.46330669298422,5.37834417036568
"1810037I17Rik",5.76302627007316,5.89867396889442,5.4643329927992,5.66595045214649,7.55849686324826,5.81341226546102,5.38452987505147
"1810041L15Rik",7.85921827939849,8.23167930717883,8.23716196460773,8.21844520147656,7.24065422361183,8.17089372074116,8.13333316530081
"1810043G02Rik",6.14849617344773,6.28341182877247,6.28795151325939,6.03898224639047,4.48114237758222,6.30832839944457,6.33377975468076
"1810043H04Rik",5.43553928835585,5.32096734327121,5.42016093032363,5.66595045214649,4.48114237758222,5.28809208089408,5.75597953724874
"1810049J17Rik",5.29183559736315,5.54632354678016,5.35730687770143,4.48114237758222,5.74651935471639,5.36289169989581,5.60091893755298
"1810055G02Rik",6.11534743320377,6.39267450285779,5.81773998004566,5.86865822055955,7.04937980105134,6.24278992747581,6.32883323641773
"2010005H15Rik",4.48114237758222,4.7376117387579,4.48114237758222,4.48114237758222,4.48114237758222,4.79713065626228,4.48114237758222
"2010107E04Rik",6.69432374169068,6.46877505633765,6.44214501068141,5.86865822055955,4.48114237758222,6.22773365299485,6.23085103820788
"2010107G23Rik",5.93360823384542,6.04744464630303,6.17803354441094,6.64701171559657,7.69389159758633,5.80243368223762,5.85003854593487
"2010109A12Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.63517968257991
"2010109I03Rik",4.99787582377013,5.32096734327121,5.37348902221181,4.48114237758222,4.48114237758222,5.2265310359935,4.88753542981899
"2010111I01Rik",6.65131622332528,6.97286939587926,5.8755877474906,7.42952000200462,4.48114237758222,7.15998497114419,5.96043422744918
"2010300C02Rik",10.8944834166898,11.0216357675397,10.9214290080367,10.8488827209898,10.6445760484924,10.9520231391522,11.1865980977453
"2010315B03Rik",6.21213673306179,5.77205329854898,5.58481030816652,4.48114237758222,4.48114237758222,5.80243368223762,5.49940649928057
"2200002D01Rik",4.48114237758222,5.05165608635757,4.65551905307965,4.48114237758222,5.74651935471639,4.73931711642061,4.66975405085236
"2210010C04Rik",4.48114237758222,4.48114237758222,4.65551905307965,5.02283326233534,4.48114237758222,4.92713304501927,4.48114237758222
"2210013O21Rik",6.04608455530815,5.79424222919932,5.77733257800268,5.40883401515833,4.48114237758222,5.43117457464848,5.70119316533819
"2210016F16Rik",5.61348946339325,5.54632354678016,5.23315292275555,5.40883401515833,6.55936500434315,5.41463342181392,5.61994625689566
"2210016L21Rik",7.43925461157697,7.55296602259734,7.40474297421423,7.69992667384178,8.46984090372148,7.23220817082312,7.58044274006961
"2210017I01Rik",4.99787582377013,4.99208236639355,4.72759858780529,4.48114237758222,5.74651935471639,4.99545335296559,4.91539149705292
"2210408I21Rik",5.29183559736315,5.15446282183989,5.12855149426636,5.24283920151751,4.48114237758222,5.28809208089408,5.08349135000268
"2210418O10Rik",5.76302627007316,5.70244017988258,5.86616145153876,6.03898224639047,6.22117097060691,5.80243368223762,5.38452987505147
"2300009A05Rik",5.29183559736315,5.67811811561708,5.66870869999001,4.48114237758222,4.48114237758222,5.3977524685588,5.53107399747312
"2310009B15Rik",5.76302627007316,5.57420652112637,5.51989653381712,5.54652580915904,4.48114237758222,5.59487099471306,5.65235540458494
"2310011J03Rik",6.33016429910226,5.79424222919932,6.27474428211508,4.48114237758222,7.24065422361183,5.91738319590078,6.25477845981904
"2310022A10Rik",6.00982443712206,6.36624756776753,6.23424128284857,6.82713339535511,7.81741108317343,6.17350179014615,6.1212679331523
"2310022B05Rik",7.07778715480038,6.59748126423874,6.55852136245938,6.98580137065019,4.48114237758222,6.78207740417931,6.85210541350768
"2310030G06Rik",4.48114237758222,4.7376117387579,4.65551905307965,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222
"2310033P09Rik",5.71564312830548,5.85811987627384,5.84705657238027,6.11540792158192,4.48114237758222,5.84567745039186,5.72261906830763
"2310035C23Rik",7.48737128252398,7.25947802179913,7.50044924711896,6.94785100063921,8.22571964453287,7.64080198810005,7.43270636959906
"2310036O22Rik",7.15505277326673,7.05430474594694,7.03736812158318,6.78434786437866,7.93100545092415,6.90827908750595,6.75261239948627
"2310039H08Rik",5.11235073402636,5.32096734327121,5.08123326162291,4.48114237758222,4.48114237758222,5.05541048505707,4.97805744437965
"2310057J18Rik",4.48114237758222,4.84337041193037,4.65551905307965,4.48114237758222,4.48114237758222,4.66382111242884,4.8416250019492
"2310057M21Rik",5.93360823384542,6.09856295566363,6.254661514228,6.31892692874396,4.48114237758222,6.18140124877621,6.25477845981904
"2310061I04Rik",6.71531059050479,6.54057155882517,6.74109698502366,6.74013876144211,7.81741108317343,6.78207740417931,6.89760820491384
"2410002F23Rik",7.72601462447802,6.92155120092641,6.99610778712079,6.69439986356864,6.22117097060691,6.92600545996565,7.30709373813547
"2410004B18Rik",5.97236545523652,5.99394145536932,5.93048723350587,5.24283920151751,7.24065422361183,5.69797094145895,6.07319119466822
"2410004P03Rik",5.43553928835585,5.20004192909509,5.42016093032363,5.95707996155806,7.40862008450898,5.53876420686761,5.24281786444998
"2410015M20Rik",6.27257714169501,5.81596779482922,6.03274242469251,6.59783920870977,4.48114237758222,5.75732108105174,6.05774939779648
"2410016O06Rik",6.11534743320377,6.32552414182353,5.9569403565955,5.66595045214649,4.48114237758222,6.22013455957125,6.48253767977756
"2410089E03Rik",7.88620060199539,7.6994652389253,7.74926272704515,7.34570036685754,9.21227523517661,8.05232750305854,7.64792946361545
"2410131K14Rik",5.85172568428268,6.54057155882517,6.4821283201544,6.18714888139034,4.48114237758222,6.22773365299485,5.96043422744918
"2410141K09Rik",4.48114237758222,4.7376117387579,4.65551905307965,4.48114237758222,4.48114237758222,4.79713065626228,4.97805744437965
"2510002D24Rik",5.36696224789153,5.51755510752467,5.74595550615229,6.11540792158192,4.48114237758222,5.52417977185021,5.71837043962253
"2510009E07Rik",6.27257714169501,6.73476022444243,6.43048542606002,6.31892692874396,4.48114237758222,6.7623221803971,6.61965223908265
"2510039O18Rik",6.53714186989944,6.37953092818211,6.38273589707285,6.37986127970252,5.74651935471639,6.42981413818835,6.77030607170629
"2610001J05Rik",5.85172568428268,5.89867396889442,5.93048723350587,5.66595045214649,4.48114237758222,5.60838248708637,5.59610139136091
"2610002M06Rik",6.51304326642089,6.56363733567486,6.91771169647685,7.02271829413181,4.48114237758222,6.40381989054499,6.71649894506277
"2610008E11Rik",6.75630836965484,6.43129855480207,6.42461498241711,5.95707996155806,4.48114237758222,6.54061113996969,7.04146732825235
"2610020H08Rik",4.48114237758222,4.48114237758222,4.72759858780529,4.48114237758222,4.48114237758222,5.13463880768724,4.48114237758222
"2610021A01Rik",6.43789055377109,6.19455416690341,6.01633141796775,5.95707996155806,4.48114237758222,6.21248724206119,6.26787052491803
"2610042L04Rik",4.48114237758222,4.48114237758222,4.9069886627187,4.48114237758222,4.48114237758222,4.96255124309908,4.8416250019492
"2610044O15Rik8",6.33016429910226,6.37953092818211,6.67012264194471,7.02271829413181,4.48114237758222,6.54061113996969,6.34606025876769
"2610301B20Rik",6.83468785147257,6.51708437918722,6.64062235917762,6.49350345534362,5.74651935471639,6.58693711987197,6.64115561753421
"2610318N02Rik",4.48114237758222,4.84337041193037,4.65551905307965,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222
"2610507B11Rik",9.34559800216448,9.16270668697034,9.13076546357451,9.04426512127463,7.81741108317343,9.37787635910862,9.25684688130987
"2610524H06Rik",5.61348946339325,5.60127154304512,5.54642111359373,5.24283920151751,7.24065422361183,5.55311646062792,6.01337311481583
"2700049A03Rik",5.43553928835585,5.85811987627384,6.1038215099111,6.03898224639047,7.69389159758633,6.09992858788155,6.2730682117186
"2700060E02Rik",6.87221604758566,6.6304644169025,6.93774112920502,7.22543675713217,6.22117097060691,6.75233309374635,6.8371451892667
"2700062C07Rik",5.61348946339325,5.3572255041407,5.51989653381712,5.77229363256891,5.74651935471639,5.55311646062792,6.12420803873716
"2700081O15Rik",7.83171188602798,7.78618726007014,7.65778853915245,7.72211337310629,7.40862008450898,7.63817470062212,7.67002876089806
"2700094K13Rik",5.11235073402636,4.99208236639355,5.15088139062031,4.48114237758222,4.48114237758222,5.26815759046373,5.17227933673072
"2700097O09Rik",5.36696224789153,5.20004192909509,5.12855149426636,5.24283920151751,4.48114237758222,5.3977524685588,5.29310820865315
"2810004N23Rik",5.89343885982503,5.6531778823856,5.81773998004566,5.02283326233534,4.48114237758222,5.62170306022735,5.70551529497822
"2810006K23Rik",5.71564312830548,5.54632354678016,5.75652174597453,5.66595045214649,4.48114237758222,5.75732108105174,5.45531638003964
"2810021J22Rik",5.43553928835585,5.42509844563896,5.51989653381712,5.40883401515833,4.48114237758222,5.49427327742348,5.97724725488765
"2810403A07Rik",7.70591711158083,7.28644449712138,7.28047473106271,7.09367788717345,7.40862008450898,7.43173713406657,7.40649103413214
"2810408A11Rik",4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.73931711642061,4.48114237758222
"2810417H13Rik",5.61348946339325,5.05165608635757,4.82926288892582,4.48114237758222,4.48114237758222,5.24765303024125,5.13830055212233
"2810428I15Rik",6.51304326642089,6.04744464630303,6.31394664570041,5.24283920151751,7.81741108317343,5.83503134857982,5.75597953724874
"2810459M11Rik",5.29183559736315,4.92420233896636,5.50633271182445,5.02283326233534,4.48114237758222,5.69797094145895,5.61522522861376
"2810474O19Rik",5.93360823384542,5.93777032308386,5.84705657238027,4.48114237758222,4.48114237758222,5.90742529923996,6.19266125550803
"2900011O08Rik",7.93867163543502,8.21795257201247,8.42799327095676,8.5616634681333,8.91618083031709,8.14170389236112,8.31148030125167
"2900026A02Rik",7.32450721493959,7.37689925324658,7.37614729555864,7.31659886660946,6.82677212959115,7.68473157415926,7.21021509094923
"2900055J20Rik",6.04608455530815,6.23979798539715,5.88493232767054,6.18714888139034,4.48114237758222,6.13319622147423,6.21190774399781
"3010026O09Rik",5.11235073402636,5.32096734327121,5.3893477570295,6.11540792158192,4.48114237758222,4.96255124309908,5.05400018153876
"3110001I22Rik",5.29183559736315,5.05165608635757,5.00176142036958,5.54652580915904,4.48114237758222,5.13463880768724,5.32036292073366
"3110002H16Rik",6.81552124885587,6.09856295566363,6.34568798546368,5.86865822055955,8.22571964453287,6.37727580762521,6.24950191228903
"3110009E18Rik",4.48114237758222,4.7376117387579,4.78280567329118,4.48114237758222,4.48114237758222,4.66382111242884,4.87284433364672
"3110018I06Rik",4.48114237758222,4.84337041193037,4.48114237758222,4.48114237758222,4.48114237758222,4.48114237758222,4.91539149705292
"3110021N24Rik",4.48114237758222,4.99208236639355,4.87011862769163,4.48114237758222,4.48114237758222,5.05541048505707,4.94151800347466
"3110035E14Rik",7.12466738134003,6.7546633103796,6.87673627773218,7.42952000200462,7.40862008450898,6.83493849068855,6.87016599718005
"3110040N11Rik",5.49890589926785,5.20004192909509,5.37348902221181,4.48114237758222,4.48114237758222,4.96255124309908,4.95402307076531
"3110043O21Rik",6.33016429910226,6.44391444196519,6.44214501068141,6.18714888139034,7.55849686324826,6.49866001681567,6.79468747024175
"3110062M04Rik",4.99787582377013,5.24269149727611,5.28894549180862,4.48114237758222,5.74651935471639,5.02629562053467,5.22011571383325
"3110070M22Rik",4.48114237758222,4.84337041193037,4.72759858780529,4.48114237758222,4.48114237758222,4.66382111242884,5.00094035136802
"3110079O15Rik",4.48114237758222,4.84337041193037,4.48114237758222,4.48114237758222,4.48114237758222,4.99545335296559,4.48114237758222
"3110082I17Rik",4.84749918505457,6.19455416690341,5.60954686360596,5.86865822055955,4.48114237758222,5.68566628241322,5.792252992352
"3110082J24Rik",4.48114237758222,4.84337041193037,4.72759858780529,4.48114237758222,4.48114237758222,4.66382111242884,4.8416250019492
"3300002I08Rik",4.48114237758222,4.84337041193037,4.72759858780529,4.48114237758222,4.48114237758222,4.88854240323439,4.80736464248158
"3425401B19Rik",4.48114237758222,4.92420233896636,5.05602548254552,4.48114237758222,4.48114237758222,4.79713065626228,4.87284433364672
"3632451O06Rik",4.84749918505457,4.48114237758222,5.19330098087698,4.48114237758222,4.48114237758222,4.99545335296559,4.72452373983201
"3830406C13Rik",5.55799536784169,5.60127154304512,5.58481030816652,4.48114237758222,4.48114237758222,5.73399845565416,5.63397034671236
"3830408C21Rik",4.48114237758222,4.48114237758222,5.12855149426636,4.48114237758222,4.48114237758222,4.99545335296559,4.92865152933594
"4430402I18Rik",5.43553928835585,5.67811811561708,5.43514492816486,6.11540792158192,6.55936500434315,5.67320604292992,6.09747750863712
