RNAseqID,Tube,Mouse,Genotype,Conflict,APA,Group,Behavior,E.phy,Punch,Slice,Date,jobnumber
100-CA1-1,AEA,15-100,WT,NA,NA,WT NA NA,NA,NA,CA1,1,9/28/15,JA16444
100-CA3-1,AEC,15-100,WT,NA,NA,WT NA NA,NA,NA,CA3,1,9/28/15,JA16444
100-CA1-2,AEF ,15-100,WT,NA,NA,WT NA NA,NA,NA,CA1,2,9/28/15,JA16444
100-DG-2,AEJ,15-100,WT,NA,NA,WT NA NA,NA,NA,DG,2,9/28/15,JA16444
100-CA1-3,AEK,15-100,WT,NA,NA,WT NA NA,NA,NA,CA1,3,9/28/15,JA16444
100-DG-3,AEO,15-100,WT,NA,NA,WT NA NA,NA,NA,DG,3,9/28/15,JA16444
100-CA3-4,AER,15-100,WT,NA,NA,WT NA NA,NA,NA,CA3,4,9/28/15,JA16444
101-CA1-1,AFA,15-101,WT,NA,NA,WT NA NA,NA,NA,CA1,1,9/28/15,JA16444
101-CA3-1,AFC,15-101,WT,NA,NA,WT NA NA,NA,NA,CA3,1,9/28/15,JA16444
101-CA1-2,AFF ,15-101,WT,NA,NA,WT NA NA,NA,NA,CA1,2,9/28/15,JA16444
101-CA1-3,AFK,15-101,WT,NA,NA,WT NA NA,NA,NA,CA1,3,9/28/15,JA16444
101-DG-3,AFO,15-101,WT,NA,NA,WT NA NA,NA,NA,DG,3,9/28/15,JA16444
101-CA3-4,AFR,15-101,WT,NA,NA,WT NA NA,NA,NA,CA3,4,9/28/15,JA16444
101-DG-4,AFT,15-101,WT,NA,NA,WT NA NA,NA,NA,DG,4,9/28/15,JA16444
143A-CA3-1,JG,15-143A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,CA3,1,7/9/15,JA16444
143A-DG-1,JH,15-143A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,DG,1,7/9/15,JA16444
143B-CA1-1,JY ,15-143B,WT,Conflict,Yoked,WT Conflict Yoked,Good,Yes,CA1,1,7/9/15,JA16444
143B-DG-1,JZ,15-143B,WT,Conflict,Yoked,WT Conflict Yoked,Good,Yes,DG,1,7/9/15,JA16444
143C-CA1-1,KX,15-143C,WT,NoConflict,Trained,WT NoConflict Trained,Good,Yes,CA1,1,7/10/15,JA16444
143D-CA1-3,KF,15-143D,WT,NoConflict,Yoked,WT NoConflict Yoked,Good,Yes,CA1,3,7/10/15,JA16444
143D-DG-3,KO,15-143D,WT,NoConflict,Yoked,WT NoConflict Yoked,Good,Yes,DG,3,7/10/15,JA16444
144A-DG-2,MH,15-144A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,DG,2,7/15/15,JA16444
144A-CA3-2,ML,15-144A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,CA3,2,7/15/15,JA16444
144A-CA1-2,MP,15-144A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,CA1,2,7/15/15,JA16444
144B-CA3-1,LN,15-144B,WT,Conflict,Yoked,WT Conflict Yoked,Good,Yes,CA3,1,7/15/15,JA16444
144B-CA1-1,LV,15-144B,WT,Conflict,Yoked,WT Conflict Yoked,Good,Yes,CA1,1,7/15/15,JA16444
144C-CA1-2,NH,15-144C,WT,NoConflict,Trained,WT NoConflict Trained,Good,Yes,CA1,2,7/18/15,JA16444
144C-CA3-2,NK,15-144C,WT,NoConflict,Trained,WT NoConflict Trained,Good,Yes,CA3,2,7/18/15,JA16444
144C-DG-2,NN,15-144C,WT,NoConflict,Trained,WT NoConflict Trained,Good,Yes,DG,2,7/18/15,JA16444
144D-CA3-2,MU,15-144D,WT,NoConflict,Yoked,WT NoConflict Yoked,Good,Yes,CA3,2,7/17/15,JA16444
144D-DG-2,NB,15-144D,WT,NoConflict,Yoked,WT NoConflict Yoked,Good,Yes,DG,2,7/17/15,JA16444
145A-CA3-2,NX,15-145A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,CA3,2,7/18/15,JA16444
145A-DG-2,OA,15-145A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,DG,2,7/18/15,JA16444
145A-CA1-2,OD,15-145A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,CA1,2,7/18/15,JA16444
145B-CA1-1,OP,15-145B,WT,Conflict,Yoked,WT Conflict Yoked,Good,Yes,CA1,1,7/18/15,JA16444
145B-CA3-1,OS,15-145B,WT,Conflict,Yoked,WT Conflict Yoked,Good,Yes,CA3,1,7/18/15,JA16444
145B-DG-1,OV,15-145B,WT,Conflict,Yoked,WT Conflict Yoked,Good,Yes,DG,1,7/18/15,JA16444
146A-DG-2,RJ,15-146A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,DG,2,7/23/15,JA16444
146A-CA3-2,RM,15-146A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,CA3,2,7/23/15,JA16444
146A-CA1-2,RS,15-146A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,CA1,2,7/23/15,JA16444
146B-CA3-2,QO,15-146B,WT,Conflict,Yoked,WT Conflict Yoked,Good,Yes,CA3,2,7/23/15,JA16444
146B-CA1-2,RB,15-146B,WT,Conflict,Yoked,WT Conflict Yoked,Good,Yes,CA1,2,7/23/15,JA16444
146B-DG-2,RF,15-146B,WT,Conflict,Yoked,WT Conflict Yoked,Good,Yes,DG,2,7/23/15,JA16444
146C-CA1-4,SB,15-146C,WT,NoConflict,Trained,WT NoConflict Trained,Good,Yes,CA1,4,7/24/15,JA16444
146C-CA3-4,SF,15-146C,WT,NoConflict,Trained,WT NoConflict Trained,Good,Yes,CA3,4,7/24/15,JA16444
146C-DG-4,SR,15-146C,WT,NoConflict,Trained,WT NoConflict Trained,Good,Yes,DG,4,7/24/15,JA16444
146D-CA3-3,SU,15-146D,WT,NoConflict,Yoked,WT NoConflict Yoked,Good,Yes,CA3,3,7/24/15,JA16444
146D-CA1-3,TC,15-146D,WT,NoConflict,Yoked,WT NoConflict Yoked,Good,Yes,CA1,3,7/24/15,JA16444
146D-DG-3,TG,15-146D,WT,NoConflict,Yoked,WT NoConflict Yoked,Good,Yes,DG,3,7/24/15,JA16444
147-CA1-4,VM,15-147,WT,NA,NA,WT NA NA,Cage,Yes,CA1,4,7/27/15,JA16444
147-DG-4,VQ,15-147,WT,NA,NA,WT NA NA,Cage,Yes,DG,4,7/27/15,JA16444
147-CA3-4,WC,15-147,WT,NA,NA,WT NA NA,Cage,Yes,CA3,4,7/27/15,JA16444
147C-DG-3,XE,15-147C,WT,NoConflict,Trained,WT NoConflict Trained,Good,Yes,DG,3,7/29/15,JA16444
147C-CA3-3,XI,15-147C,WT,NoConflict,Trained,WT NoConflict Trained,Good,Yes,CA3,3,7/29/15,JA16444
147C-CA1-3,XL,15-147C,WT,NoConflict,Trained,WT NoConflict Trained,Good,Yes,CA1,3,7/29/15,JA16444
147D-CA3-1,YI,15-147D,WT,NoConflict,Yoked,WT NoConflict Yoked,Good,Yes,CA3,1,7/29/15,JA16444
147D-DG-1,YM,15-147D,WT,NoConflict,Yoked,WT NoConflict Yoked,Good,Yes,DG,1,7/29/15,JA16444
147D-CA1-1,YQ,15-147D,WT,NoConflict,Yoked,WT NoConflict Yoked,Good,Yes,CA1,1,7/29/15,JA16444
148-CA3-2,WI,15-148,WT,NA,NA,WT NA NA,Cage,Yes,CA3,2,7/28/15,JA16444
148-CA1-2,WS,15-148,WT,NA,NA,WT NA NA,Cage,Yes,CA1,2,7/28/15,JA16444
148-DG-2,WW,15-148,WT,NA,NA,WT NA NA,Cage,Yes,DG,2,7/28/15,JA16444
148A-DG-3,AAA,15-148A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,DG,3,7/30/15,JA16444
148A-CA1-3,AAD,15-148A,WT,Conflict,Trained,WT Conflict Trained,Good,Yes,CA1,3,7/30/15,JA16444
