"","rowname","PC1","PC2","Camk2a","Gria2","Igf2","Nsf","Pick1","Prkcb","Prkci","Prkcz","Wwc1"
"1","Igf2",0.486338734561794,-0.241442403882411,-0.185745201592962,-0.148182878113967,NA,-0.492665814396064,0.330949040375766,-0.00752944379207998,0.568589151803201,-0.0666070933771406,-0.112044558322931
"2","Pick1",-0.0649004682420399,0.117883403936465,-0.0146025065002969,-0.0393617691290081,0.330949040375766,-0.18692313083658,NA,0.0152538476886287,0.519454628396546,-0.116960477476527,-0.0868576873927433
"3","Prkci",-0.160986582451153,0.299838450015024,0.340383906045809,0.345698055209352,0.568589151803201,-0.217753109418835,0.519454628396546,0.675941069979667,NA,0.19816130338749,0.53853720516785
"4","Prkcz",-0.387155115137091,0.24330380983526,0.785393101127049,0.011777576072151,-0.0666070933771406,0.160475813361261,-0.116960477476527,0.411637272316768,0.19816130338749,NA,0.39975051427641
"5","Prkcb",-0.450238572962816,0.490930776526937,0.615388684800959,0.556256557196426,-0.00752944379207998,0.187455251749396,0.0152538476886287,NA,0.675941069979667,0.411637272316768,0.810309776068046
"6","Camk2a",-0.460101432362163,0.381110021289911,NA,0.12240135131519,-0.185745201592962,-0.0982990363448492,-0.0146025065002969,0.615388684800959,0.340383906045809,0.785393101127049,0.643938969901774
"7","Wwc1",-0.4986588753051,0.351653259967879,0.643938969901774,0.588014331509756,-0.112044558322931,-0.023703954772014,-0.0868576873927433,0.810309776068046,0.53853720516785,0.39975051427641,NA
"8","Nsf",-0.566366616171863,0.379287535051331,-0.0982990363448492,0.449761796067782,-0.492665814396064,NA,-0.18692313083658,0.187455251749396,-0.217753109418835,0.160475813361261,-0.023703954772014
"9","Gria2",-0.698156627639968,0.727505928028092,0.12240135131519,NA,-0.148182878113967,0.449761796067782,-0.0393617691290081,0.556256557196426,0.345698055209352,0.011777576072151,0.588014331509756
"10","PC2",-0.701671470212704,NA,0.381110021289911,0.727505928028092,-0.241442403882411,0.379287535051331,0.117883403936465,0.490930776526937,0.299838450015024,0.24330380983526,0.351653259967879
"11","PC1",NA,-0.701671470212704,-0.460101432362163,-0.698156627639968,0.486338734561794,-0.566366616171863,-0.0649004682420399,-0.450238572962816,-0.160986582451153,-0.387155115137091,-0.4986588753051
