"","padjPunchCA1DG","padjPunchCA1CA3","padjPunchCA3DG","padjAPAConsistentControl","padjAPAConflictControl","padjAPAConflictConsistent"
"2410015M20Rik",0.995988468926685,0.918856437759361,0.764428660976336,1,1,1
"2410016O06Rik",0.956432876453626,0.640201620709875,0.25262409440984,1,1,1
"2410089E03Rik",0.329218351352752,0.223764400743111,0.00168440498407429,1,1,1
"2410131K14Rik",0.420655781499294,0.986051649979111,0.591376242114981,1,1,1
"2410137M14Rik",0.995988468926685,1,0.984492478717084,1,1,1
"2410141K09Rik",0.995988468926685,1,0.94855079465412,1,1,1
"2510002D24Rik",0.995988468926685,0.491886231970963,0.266615616378751,1,1,1
"2510009E07Rik",0.0677058615379579,0.984005778009704,0.145461938932645,1,1,1
"2510039O18Rik",0.969480567994042,0.745806678213662,0.890835730327838,1,1,1
"2610001J05Rik",0.995988468926685,0.986051649979111,0.989960592838474,1,1,1
"2610002M06Rik",0.0616887872631648,0.983621640877834,0.015005858231309,1,1,1
"2610008E11Rik",0.697154392946847,0.961311613074115,0.332672250319519,1,1,1
"2610020H08Rik",0.995988468926685,0.998480285282291,0.94855079465412,1,1,1
"2610021A01Rik",0.641248118196725,0.346790641372591,0.0166180727750168,1,1,1
"2610042L04Rik",0.995988468926685,0.885011660500488,0.622266468234456,1,1,1
"2610044O15Rik8",0.932882345208164,0.973174281945592,0.512061774815111,1,1,1
"2610301B20Rik",0.454184610729975,0.998480285282291,0.461503675222744,1,1,1
"2610318N02Rik",0.996198336402647,0.968006002350837,0.847296210527652,1,1,1
"2610507B11Rik",0.995988468926685,0.998480285282291,0.993900821178461,1,1,1
"2610524H06Rik",0.0201443844264069,0.165123066264543,0.751649046256261,1,1,1
"2610528A11Rik",0.995988468926685,0.998480285282291,0.94855079465412,1,1,1
"2700049A03Rik",0.451513698589473,0.945818282395107,0.111810744903535,1,1,1
"2700060E02Rik",0.995988468926685,0.945839406430205,0.944478646534291,1,1,1
"2700062C07Rik",0.074662226158982,0.757702399464788,0.32385013063263,1,1,1
"2700081O15Rik",0.995988468926685,0.0263158161967885,0.023481813523124,1,1,1
"2700094K13Rik",0.995988468926685,0.878744464745498,0.851153722655688,1,1,1
"2700097O09Rik",0.509055756836377,0.633578535124956,0.978672372244537,1,1,1
"2810004N23Rik",0.76512929695386,0.986051649979111,0.505778723566684,1,1,1
"2810006K23Rik",1,0.986051649979111,0.908059388883125,1,1,1
"2810021J22Rik",0.995988468926685,0.898391526121416,0.711880057484511,1,1,1
"2810403A07Rik",0.211700349289248,1,0.155717199163607,1,1,1
"2810417H13Rik",0.988541511209066,0.986051649979111,0.712982605320065,1,1,1
"2810428I15Rik",0.995988468926685,0.902285185614132,0.846560103984097,1,1,1
"2810459M11Rik",0.557027352773137,0.44568692880088,0.920837234518724,1,1,1
"2810474O19Rik",1,0.66731624461379,0.469874234413445,1,1,1
"2900011O08Rik",0.995988468926685,0.793737990200078,0.466722061340895,1,1,1
"2900026A02Rik",6.13484996226209e-09,0.800856914830503,9.28902200443941e-12,1,1,1
"2900055J20Rik",0.65901151123213,0.257692575982665,0.0143790168099536,1,1,1
"3010026O09Rik",0.995988468926685,0.589269737533553,0.644397330151806,1,1,1
"3100002H09Rik",0.00479972901499913,0.00117179556154336,1,1,1,1
"3110001I22Rik",0.472866938772446,0.72048896012272,0.0632082667155818,1,1,1
"3110002H16Rik",0.705270299734914,0.351284590470798,0.751498386666883,1,1,1
"3110009E18Rik",1,0.998480285282291,0.94855079465412,1,1,1
"3110018I06Rik",0.995988468926685,0.986051649979111,0.999212988699261,1,1,1
"3110021N24Rik",0.350784795533134,0.794353340560748,0.808134191743087,1,1,1
"3110035E14Rik",5.88188407546197e-21,0.000878340459032359,6.58596899131585e-07,1,1,1
"3110040N11Rik",0.526519359488104,0.31996743390208,0.869816324801778,1,1,1
"3110043O21Rik",0.0100821837592916,0.97087630953692,0.0202462987420859,1,1,1
"3110062M04Rik",0.870472730768248,0.770298305173118,0.931966990636756,1,1,1
"3110070M22Rik",0.156657445055619,0.986051649979111,0.231361742965011,1,1,1
"3110079O15Rik",0.995988468926685,0.986051649979111,0.860900426251173,1,1,1
"3110082I17Rik",0.811408776365974,0.366208619489348,0.642392007973176,1,1,1
"3110082J24Rik",0.865797450269211,0.955800866159137,0.981396385055707,1,1,1
"3300002I08Rik",0.995988468926685,0.986051649979111,0.990381542643198,1,1,1
"3425401B19Rik",0.822576007055387,0.372983104064322,0.0610047763199093,1,1,1
"3632451O06Rik",0.0017230882755924,0.0112619690618112,6.76048964243566e-11,1,1,1
"3830403N18Rik",0.995988468926685,0.986051649979111,1,1,1,1
"3830406C13Rik",0.995988468926685,0.412380023743402,0.144257156167075,1,1,1
"3830408C21Rik",0.79639756284991,1,0.78892508007833,1,1,1
"4430402I18Rik",0.995988468926685,0.820796022498629,0.569263510123125,1,1,1
"4833420G17Rik",0.568462455313732,0.0685441210670469,0.000819568203657184,1,1,1
"4833423E24Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"4833439L19Rik",0.318804919325208,0.998480285282291,0.291050154992079,1,1,1
"4921501E09Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"4921507P07Rik",0.995988468926685,0.389036134204075,0.189826382166844,1,1,1
"4921509C19Rik",0.995988468926685,1,0.920230992485012,1,1,1
"4921513D11Rik",0.906641262954059,0.990090798424614,0.920230992485012,1,1,1
"4921513I03Rik",0.497501461368988,0.998480285282291,0.499716326328555,1,1,1
"4921524J17Rik",0.935844372087649,0.326650346717276,0.0676191197068162,1,1,1
"4921528I07Rik",0.995988468926685,0.986051649979111,0.889336441820846,1,1,1
"4921530L21Rik",0.995988468926685,1,0.920230992485012,1,1,1
"4921536K21Rik",0.995988468926685,0.99386424674868,1,1,1,1
"4922502D21Rik",0.995988468926685,1,0.920230992485012,1,1,1
"4930402H24Rik",0.892463611154259,0.837447996907723,0.966837887742247,1,1,1
"4930404N11Rik",0.0165392689989868,0.246461009946039,0.496257328518674,1,1,1
"4930408O17Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"4930415F15Rik",1,0.998480285282291,0.94855079465412,1,1,1
"4930415O20Rik",0.999671719819159,0.998480285282291,0.985069158867999,1,1,1
"4930426L09Rik",0.995988468926685,0.956827438064048,0.688655626401497,1,1,1
"4930427A07Rik",0.765664030189757,0.702684172652646,0.947432013163865,1,1,1
"4930430A15Rik",0.990548474167585,0.973918862845041,0.982742342313658,1,1,1
"4930430F08Rik",0.99002930023108,0.997038081996374,0.94855079465412,0.595497479824061,1,1
"4930432K21Rik",0.976605529772264,0.865664862622539,0.476524467859646,1,1,1
"4930442H23Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"4930444G20Rik",0.995988468926685,1,1,1,1,1
"4930444P10Rik",0.935844372087649,0.686780138575884,0.854668961070925,1,1,1
"4930447A16Rik",0.995988468926685,1,0.920230992485012,1,1,1
"4930447C04Rik",0.185210847533981,0.598884004379962,0.00303815919359218,1,1,1
"4930451G09Rik",0.77977844822444,0.690868021028244,0.169379008049026,1,1,1
"4930451I11Rik",0.995988468926685,1,0.920230992485012,1,1,1
"4930452B06Rik",0.999760727738228,0.111036640697696,0.0480356195012845,1,1,1
"4930453N24Rik",0.936754713424451,0.808383273487856,0.920230992485012,1,1,1
"4930455H04Rik",0.851517530862264,0.986051649979111,0.553714944299709,1,1,1
"4930467E23Rik",1,0.986051649979111,0.920230992485012,1,1,1
"4930470P17Rik",0.995988468926685,1,0.940852365587959,1,1,1
"4930474N05Rik",0.995988468926685,0.580604748351714,0.339505006014083,1,1,1
"4930486L24Rik",0.995988468926685,0.986051649979111,0.987672289507331,1,1,1
"4930502E18Rik",0.995988468926685,0.991712881148639,0.993294908181927,1,1,1
"4930503L19Rik",0.0958219838691459,0.986051649979111,0.0850291959267478,1,1,1
"4930505A04Rik",0.995988468926685,1,0.996934261165933,1,1,1
"4930507D05Rik",0.995988468926685,0.986051649979111,0.981396385055707,1,1,1
"4930512M02Rik",0.115966801209171,0.97724347584559,0.185870289910285,1,1,1
"4930518I15Rik",0.0736349250503109,0.285378478179856,0.829324772839163,1,1,1
"4930519G04Rik",0.995988468926685,1,0.984492478717084,1,1,1
"4930519P11Rik",1,0.986051649979111,0.920230992485012,1,1,1
"4930522L14Rik",0.995988468926685,0.967608699658469,0.839880620271938,1,1,1
"4930523C07Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"4930524B15Rik",0.995988468926685,0.986051649979111,0.876331402640934,1,1,1
"4930524J08Rik",0.486406613983767,1,0.463551855396614,1,1,1
"4930535I16Rik",1,0.986051649979111,0.920230992485012,1,1,1
"4930538K18Rik",0.781749699420604,0.313857137225709,0.610787637008069,1,1,1
"4930539E08Rik",0.928857649575749,1,0.827587385776254,1,1,1
"4930544D05Rik",0.995988468926685,1,0.920230992485012,1,1,1
"4930548H24Rik",0.995988468926685,1,0.920230992485012,1,1,1
"4930550C14Rik",0.995988468926685,1,0.970362479022252,1,1,1
"4930556J24Rik",1,0.986051649979111,0.920230992485012,1,1,1
"4930562C15Rik",0.587227518152478,0.986051649979111,0.30263641164579,1,1,1
"4930563I02Rik",0.995988468926685,1,0.920230992485012,1,1,1
"4930563M21Rik",0.995988468926685,0.933168136953089,0.920230992485012,1,1,1
"4930578C19Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"4930578G10Rik",0.0574177301045296,0.986051649979111,0.0704801202176127,1,1,1
"4930579G24Rik",0.598558486482626,0.885505245040332,0.920230992485012,1,1,1
"4930590J08Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"4930595D18Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"4931406B18Rik",0.951392249009792,0.986051649979111,1,1,1,1
"4931406C07Rik",0.995988468926685,0.986051649979111,0.990381542643198,1,1,1
"4931406P16Rik",0.995988468926685,0.843498605466215,0.88500990076177,1,1,1
"4931414P19Rik",0.323709424571503,0.0385413366360596,0.458630524731274,1,1,1
"4931422A03Rik",0.859326780615546,1,0.856770513737204,1,1,1
"4931423N10Rik",0.995988468926685,0.986051649979111,0.812866559582223,1,1,1
"4931428F04Rik",0.876293017443647,0.986051649979111,0.920230992485012,1,1,1
"4931428L18Rik",0.297295275631311,0.844608138863862,0.608868831620416,1,1,1
"4931429L15Rik",1,0.925266528958598,0.807065556583668,1,1,1
"4931440F15Rik",0.743474585395906,0.803503107050705,0.214256528822445,1,1,1
"4932411E22Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"4932411N23Rik",0.654872440967221,0.889198709885803,0.926188793105846,1,1,1
"4932414N04Rik",0.965766553299563,0.971054549414024,0.600862708405513,1,1,1
"4932415D10Rik",1,1,0.996934261165933,1,1,1
"4932438A13Rik",0.73843859476295,0.398809349376049,0.782966721565879,1,1,1
"4932438H23Rik",0.995988468926685,1,0.996079898084284,1,1,1
"4932443I19Rik",1,0.986051649979111,0.920230992485012,1,1,1
"4933402D24Rik",0.832914499969923,0.948374604078025,0.971910248663464,1,1,1
"4933402N03Rik",0.995988468926685,1,0.983636122919738,1,1,1
"4933405L10Rik",0.995988468926685,0.983621640877834,0.920230992485012,1,1,1
"4933406P04Rik",0.995988468926685,0.998480285282291,0.992748872195981,1,1,1
"4933407L21Rik",0.652523329299957,0.986051649979111,0.779586814420027,1,1,1
"4933408B17Rik",0.989472420574236,1,0.920230992485012,1,1,1
"4933408J17Rik",0.963440845279411,0.954484829733279,0.594159733064727,1,1,1
"4933411K16Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"4933413G19Rik",0.893154041221395,0.986051649979111,0.960218254649604,1,1,1
"4933415A04Rik",0.188600655945205,0.233112324497479,1,1,1,1
"4933416C03Rik",0.995988468926685,1,0.920230992485012,1,1,1
"4933424G06Rik",0.846876604981473,0.834205146521769,0.32369625557852,1,1,1
"4933427D14Rik",0.859326780615546,0.213442876769892,0.408091369984436,1,1,1
"4933427I04Rik",0.279910550235014,0.470069848859123,0.926356429607865,1,1,1
"4933428G20Rik",0.98121531502963,1,0.920230992485012,1,1,1
"4933430I17Rik",0.995988468926685,1,0.937676853014024,1,1,1
"4933434E20Rik",0.995988468926685,0.988149502149243,0.979131699326022,1,1,1
"5031414D18Rik",0.995988468926685,0.986051649979111,1,1,1,1
"5031439G07Rik",0.995988468926685,0.266776686771635,0.275406640305736,0.884558369751546,1,1
"5330417C22Rik",0.154061121150374,0.823712961312391,0.00872513280189296,1,1,1
"5430403G16Rik",0.995988468926685,0.404629805698854,0.384215583053032,1,1,1
"5430416O09Rik",0.270314253732936,0.421196295859467,0.954654094783534,1,1,1
"5430427O19Rik",0.951392249009792,0.434003185762338,0.592738526423343,1,1,1
"5730409E04Rik",0.0135068958873548,0.935314645103468,0.00130460030128726,1,1,1
"5730455P16Rik",0.792090300028273,0.926356177653863,0.95796400029917,1,1,1
"5730480H06Rik",0.953786895683379,0.711459253973245,0.867439641416231,1,1,1
"5730507C01Rik",0.995988468926685,0.986051649979111,0.897292353613684,1,1,1
"5730508B09Rik",0.190381594799668,0.190216138329637,0.000204859775472766,1,1,1
"5730522E02Rik",0.986886980878129,0.809822439837004,0.912432220980005,1,1,1
"5730559C18Rik",0.979561862349489,0.946441379777501,0.973611504262412,1,1,1
"5830411N06Rik",0.941811862656299,0.998480285282291,0.920230992485012,1,1,1
"5830454E08Rik",0.995988468926685,1,0.982966247132461,1,1,1
"5930422O12Rik",0.923353204425336,0.79694151361663,0.920230992485012,1,1,1
"6030419C18Rik",1.02624426737761e-06,0.00157578079537887,0.415497768292965,1,1,1
"6030445D17Rik",0.5769777534583,0.989455948082995,0.408012765315495,1,1,1
"6030458C11Rik",0.710266110281091,0.0236345841047755,0.118830405583686,1,1,1
"6030468B19Rik",0.894590343083413,0.66731624461379,0.883980782618187,1,1,1
"6330408A02Rik",0.721975363185108,0.986051649979111,0.895572588650968,1,1,1
"6330409D20Rik",0.995988468926685,0.977152032952513,0.920230992485012,1,1,1
"6430531B16Rik",0.993582736835247,0.986051649979111,0.781588984838731,1,1,1
"6430548M08Rik",0.0420665594506359,3.81797366664221e-11,7.38683984945013e-06,1,1,1
"6430550D23Rik",0.667961556361655,0.986051649979111,0.798123889383672,1,1,1
"6430571L13Rik",0.980369848275815,1,0.920230992485012,1,1,1
"6430573F11Rik",0.256201149932237,0.755313294538501,0.70388394745637,1,1,1
"6430628N08Rik",1,0.986051649979111,0.920230992485012,1,1,1
"6720489N17Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
