"gene","padj","logpadj","lfc","direction"
"1110032F04Rik",0.0753757510191323,1.1227683476632,3.70000760960732,"yoked
consistent"
"1600002K03Rik",0.0570585674110782,1.24367913652181,-4.50565274142211,"yoked
conflict"
"2010107G23Rik",0.0175842074271743,1.75487720185724,-2.1382871407268,"yoked
conflict"
"2210013O21Rik",0.0516530761744233,1.28690380917253,-2.38029377574888,"yoked
conflict"
"2310009B15Rik",0.0761509679030237,1.11832457227185,4.97121267938831,"yoked
consistent"
"5730409E04Rik",0.0387966827717896,1.41120540624845,-1.07841513726914,"yoked
conflict"
"Abcc4",0.0786241365114736,1.10444411115382,4.0832217206863,"yoked
consistent"
"Abhd4",0.0948289328538397,1.02305913669475,1.64569757226832,"yoked
consistent"
"Ache",0.0996608634095374,1.00147535464867,1.45298586078883,"yoked
consistent"
"Adcy5",0.0476142367079558,1.32226317334541,1.02993812852059,"yoked
consistent"
"Adcy6",0.0886178519374821,1.05247878130739,1.77203463973684,"yoked
consistent"
"Adgrb3",0.0684964844593226,1.16433171783746,1.07128767379627,"yoked
consistent"
"Adpgk",0.0693039937755564,1.15924173761462,-1.72147547211281,"yoked
conflict"
"Afg3l1",0.0797858179279647,1.09807429841116,-1.44089921111751,"yoked
conflict"
"Alg9",0.0489230387114892,1.3104865758662,2.23637257447904,"yoked
consistent"
"Apcdd1",0.0571740551525087,1.24280100372939,5.12760456044952,"yoked
consistent"
"Arfgap3",0.0495662950490624,1.3048135422585,-1.40702357314155,"yoked
conflict"
"Arhgap4",0.0567304736911688,1.24618359012467,5.21272845693165,"yoked
consistent"
"Arhgef10l",0.0977424438069783,1.00991680671753,1.53811669324371,"yoked
consistent"
"Arid3b",0.0789078793632808,1.10287962805626,-2.9035221786909,"yoked
conflict"
"Armt1",0.072768218953343,1.13805825457149,1.61362952144387,"yoked
consistent"
"Arvcf",0.0564177489714299,1.24858424587986,-1.29961816232892,"yoked
conflict"
"Asph",0.0731965499913173,1.1355093882728,1.2347927099423,"yoked
consistent"
"Atp5d",0.0493353816779513,1.30684150757544,-1.17713817050077,"yoked
conflict"
"Axl",0.0326249693973207,1.48644988702779,2.1512139157094,"yoked
consistent"
"B4galt7",0.0919466686390194,1.03646400125897,-1.66062695954858,"yoked
conflict"
"Bbof1",0.0592718467672748,1.22715154098535,-2.52891191134823,"yoked
conflict"
"Bbs9",0.0420607196478844,1.37612330092142,-2.48848309775433,"yoked
conflict"
"Bcl6",0.0883334233704441,1.05387493811191,1.07495243655322,"yoked
consistent"
"Bhlhb9",0.0516530761744233,1.28690380917253,1.18170927267358,"yoked
consistent"
"Bin3",0.0875509646822937,1.05773906427055,-2.67554266904449,"yoked
conflict"
"Bnip2",0.0948289328538397,1.02305913669475,-1.39249252539063,"yoked
conflict"
"Bod1",0.0446426652020626,1.35024988557592,-1.29686617329654,"yoked
conflict"
"Bok",0.0606991063619794,1.21681770274547,2.88183320581802,"yoked
consistent"
"Braf",0.0674841598353588,1.17079815462678,1.05978205969402,"yoked
consistent"
"C130074G19Rik",0.0777156640427123,1.10949143780532,-2.31215946335233,"yoked
conflict"
"C1ql3",0.0956753350432024,1.01920000825518,-1.04396149281133,"yoked
conflict"
"C1qtnf6",0.0271881293719742,1.56562067219833,-5.37814737169586,"yoked
conflict"
"C77370",0.0797670684807659,1.09817636841036,1.97457798999081,"yoked
consistent"
"Cacfd1",0.0889136333527502,1.05103164245033,-1.33272793199748,"yoked
conflict"
"Cacna1c",0.0584093406732753,1.23351769606427,-1.18962334280853,"yoked
conflict"
"Camk1g",0.0582592971026314,1.23463475943183,-1.25572373471004,"yoked
conflict"
"Carm1",0.0338606163933548,1.47030514032643,1.17749506028236,"yoked
consistent"
"Carnmt1",0.072768218953343,1.13805825457149,5.26376514585807,"yoked
consistent"
"Ccdc53",0.0966651235319317,1.01473018971984,-1.93131875817142,"yoked
conflict"
"Ccdc59",0.0562378850528341,1.24997102026339,-2.03028635674159,"yoked
conflict"
"Ccng1",0.0849013122321507,1.07108559726161,1.13340928234282,"yoked
consistent"
"Ccr2",0.0420607196478844,1.37612330092142,-5.69636043302009,"yoked
conflict"
"Cd63",0.0370799317282398,1.43086107415203,2.55230315244329,"yoked
consistent"
"Cdadc1",0.0931601149668442,1.03076998418378,-1.30133213707001,"yoked
conflict"
"Cdc123",0.0956753350432024,1.01920000825518,-1.05532457299062,"yoked
conflict"
"Cdc42bpg",0.0921234155125158,1.03562996876751,4.78344426861771,"yoked
consistent"
"Cdkal1",0.077099653448114,1.11294757403607,4.15377345264463,"yoked
consistent"
"Cep135",0.0895065955620649,1.04814496121291,2.54568713835414,"yoked
consistent"
"Ces2b",0.0595112117432653,1.22540120671629,-2.40044657445242,"yoked
conflict"
"Cfp",0.0921234155125158,1.03562996876751,-1.76297550064047,"yoked
conflict"
"Chd6",0.0891639657150114,1.04981062379605,1.42677660353794,"yoked
consistent"
"Ciao1",0.064736292844014,1.18885217431074,-1.12215334792228,"yoked
conflict"
"Cirh1a",0.0895891754923834,1.04774446029227,1.63831337523255,"yoked
consistent"
"Clec11a",0.0924934476661779,1.03388903205247,-2.70951598005841,"yoked
conflict"
"Cnbd2",0.0693039937755564,1.15924173761462,1.51255394284139,"yoked
consistent"
"Cntrob",0.073259303171427,1.13513721657843,3.14259271919543,"yoked
consistent"
"Commd9",0.0924934476661779,1.03388903205247,2.44547930408351,"yoked
consistent"
"Crocc",0.0370799317282398,1.43086107415203,-1.49636584687393,"yoked
conflict"
"Csmd3",0.0630704540798415,1.20017404226402,1.9247873970186,"yoked
consistent"
"Ctsh",0.0852970667829911,1.06906590320369,-2.90590222542895,"yoked
conflict"
"Cuedc1",0.0232735794999332,1.6331368166481,3.92824380576042,"yoked
consistent"
"Cxcl9",0.0291040996953295,1.5360458306137,-6.37463465041177,"yoked
conflict"
"Cyb561",0.0953627425443425,1.02062126751631,1.18484979128173,"yoked
consistent"
"Cyb561d2",0.0488330233033442,1.31128638725972,-2.28892827897432,"yoked
conflict"
"Cyp4v3",0.0756540791820647,1.12116765034403,4.99149136116693,"yoked
consistent"
"Daglb",0.0765073394683428,1.11629690030121,-1.31136248987911,"yoked
conflict"
"Dclre1b",0.0896347674671924,1.04752350383769,-2.0580196574923,"yoked
conflict"
"Ddx47",0.040773653982113,1.38962036695941,-1.37539725003484,"yoked
conflict"
"Ddx51",0.0570585674110782,1.24367913652181,1.69937174400658,"yoked
consistent"
"Decr2",0.0951220271428436,1.02171890305326,1.25051310351855,"yoked
consistent"
"Det1",0.0584093406732753,1.23351769606427,5.1784258958513,"yoked
consistent"
"Dhtkd1",0.0910181524127469,1.04087198453049,-1.9186120270512,"yoked
conflict"
