tissue,gene,lfc,padj,logpadj,comparison,direction
CA1,Ank2,-0.58,9.38e-02,1.03,standard.trained vs. conflict.trained,standard.trained
CA1,Arhgap35,-0.51,9.38e-02,1.03,standard.trained vs. conflict.trained,standard.trained
CA1,Arpc2,0.43,9.38e-02,1.03,standard.trained vs. conflict.trained,conflict.trained
CA1,Atp6v0c,0.59,2.33e-02,1.63,standard.trained vs. conflict.trained,conflict.trained
CA1,Atp6v1e1,0.47,9.67e-02,1.01,standard.trained vs. conflict.trained,conflict.trained
CA1,Atxn10,0.43,8.26e-02,1.08,standard.trained vs. conflict.trained,conflict.trained
CA1,Braf,-0.65,9.38e-02,1.03,standard.trained vs. conflict.trained,standard.trained
CA1,Cck,0.76,6.10e-02,1.22,standard.trained vs. conflict.trained,conflict.trained
CA1,Chd5,-0.5,9.82e-02,1.01,standard.trained vs. conflict.trained,standard.trained
CA1,Cox8a,0.74,8.26e-02,1.08,standard.trained vs. conflict.trained,conflict.trained
CA1,Ctxn1,0.52,9.38e-02,1.03,standard.trained vs. conflict.trained,conflict.trained
CA1,Fam131a,0.4,8.26e-02,1.08,standard.trained vs. conflict.trained,conflict.trained
CA1,Fam168a,-0.47,8.26e-02,1.08,standard.trained vs. conflict.trained,standard.trained
CA1,Hivep2,-0.56,8.26e-02,1.08,standard.trained vs. conflict.trained,standard.trained
CA1,Hpca,0.41,9.38e-02,1.03,standard.trained vs. conflict.trained,conflict.trained
CA1,Huwe1,-0.6,9.38e-02,1.03,standard.trained vs. conflict.trained,standard.trained
CA1,Kidins220,-0.43,8.26e-02,1.08,standard.trained vs. conflict.trained,standard.trained
CA1,Kif1a,-0.38,9.67e-02,1.01,standard.trained vs. conflict.trained,standard.trained
CA1,Kmt2a,-0.67,9.38e-02,1.03,standard.trained vs. conflict.trained,standard.trained
CA1,Lsamp,-0.53,9.38e-02,1.03,standard.trained vs. conflict.trained,standard.trained
CA1,Macf1,-0.57,8.26e-02,1.08,standard.trained vs. conflict.trained,standard.trained
CA1,Megf8,-0.49,9.38e-02,1.03,standard.trained vs. conflict.trained,standard.trained
CA1,mt-Nd3,0.7,9.38e-02,1.03,standard.trained vs. conflict.trained,conflict.trained
CA1,Ncor2,-0.42,9.38e-02,1.03,standard.trained vs. conflict.trained,standard.trained
CA1,Nrgn,0.46,9.38e-02,1.03,standard.trained vs. conflict.trained,conflict.trained
CA1,Olfm1,0.36,9.38e-02,1.03,standard.trained vs. conflict.trained,conflict.trained
CA1,Pebp1,0.59,2.33e-02,1.63,standard.trained vs. conflict.trained,conflict.trained
CA1,Peg3,-0.51,9.38e-02,1.03,standard.trained vs. conflict.trained,standard.trained
CA1,Ppia,0.53,9.38e-02,1.03,standard.trained vs. conflict.trained,conflict.trained
CA1,Scn1b,0.45,9.38e-02,1.03,standard.trained vs. conflict.trained,conflict.trained
CA1,Smg1,-0.62,9.38e-02,1.03,standard.trained vs. conflict.trained,standard.trained
CA1,2410002F23Rik,1.74,4.25e-02,1.37,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,4933434E20Rik,-1.35,5.22e-02,1.28,standard.yoked vs. conflict.yoked,standard.yoked
CA1,6330408A02Rik,6.77,9.69e-02,1.01,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Abcb6,-1.87,7.84e-02,1.11,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Abcd4,6.96,8.10e-02,1.09,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Abcf1,1.09,9.85e-02,1.01,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Adamts1,3.33,1.33e-03,2.88,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Adcy6,3.32,4.32e-02,1.36,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Adcyap1r1,2.83,1.99e-03,2.7,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Adgrf5,7.12,8.25e-02,1.08,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Agap1,3.13,3.05e-05,4.52,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ahnak,7.37,6.54e-02,1.18,standard.yoked vs. conflict.yoked,conflict.yoked
