"APA","TrainSessionComboNum","m","se"
"control",1,11.6676470588235,2.17261710735134
"control",2,12.9970588235294,4.08176520391984
"control",3,41.5958823529412,7.20173023832506
"control",4,28.7988235294118,5.58152110581616
"control",5,24.9170588235294,6.74905297085896
"control",6,30.7841176470588,4.04580565840792
"control",7,15.0858823529412,2.53596281443435
"control",8,34.96,8.20229639652644
"control",9,41.1341176470588,9.47898895773698
"consistent",1,6.14125,2.26826273791514
"consistent",2,4.64,1.33308584012541
"consistent",3,125.60375,59.7308759573634
"consistent",4,178.42125,75.828111387285
"consistent",5,226.39625,73.9178444031301
"consistent",6,278.57625,77.7323004644213
"consistent",7,175.8125,93.2551417531112
"consistent",8,317.98,106.741674834287
"consistent",9,359.21625,88.8664763028842
"conflict",1,9.90222222222222,3.00489728876868
"conflict",2,7.32222222222222,1.63218818510763
"conflict",3,83.1344444444444,47.7819395248151
"conflict",4,267.055555555556,64.9587569605838
"conflict",5,314.502222222222,72.996279143715
"conflict",6,7.99222222222222,3.74519647080607
"conflict",7,131.384444444444,59.9256923454908
"conflict",8,254.692222222222,61.2560983308278
"conflict",9,244.701111111111,89.7227702804039
