"treatment","TrainSessionComboNum","m","se","measure"
"standard.yoked",9,0.2702625,0.0201021670606856,"Proportion of time in target zone"
"standard.trained",1,0.25485,0.0117959284743266,"Proportion of time in target zone"
"standard.trained",2,0.0170625,0.00206388481648426,"Proportion of time in target zone"
"standard.trained",3,0.012825,0.00541036538243292,"Proportion of time in target zone"
"standard.trained",4,0.009325,0.00370399157280744,"Proportion of time in target zone"
"standard.trained",5,0.010125,0.00389737778146135,"Proportion of time in target zone"
"standard.trained",6,0.011,0.00364784672297038,"Proportion of time in target zone"
"standard.trained",7,0.0084125,0.00316991648718295,"Proportion of time in target zone"
"standard.trained",8,0.0079875,0.0038248453516823,"Proportion of time in target zone"
"standard.trained",9,0.041775,0.0168523180898059,"Proportion of time in target zone"
"conflict.yoked",1,0.280077777777778,0.0117983023470161,"Proportion of time in target zone"
"conflict.yoked",2,0.322788888888889,0.0405016372935316,"Proportion of time in target zone"
"conflict.yoked",3,0.242555555555556,0.0293533885565719,"Proportion of time in target zone"
"conflict.yoked",4,0.255844444444444,0.0262482439153932,"Proportion of time in target zone"
"conflict.yoked",5,0.274722222222222,0.0228112044702316,"Proportion of time in target zone"
"conflict.yoked",6,0.168277777777778,0.0352914601638106,"Proportion of time in target zone"
"conflict.yoked",7,0.196266666666667,0.0261689489450549,"Proportion of time in target zone"
"conflict.yoked",8,0.259322222222222,0.0426906696082989,"Proportion of time in target zone"
"conflict.yoked",9,0.171833333333333,0.0210481920574877,"Proportion of time in target zone"
"conflict.trained",1,0.266811111111111,0.0117494851476381,"Proportion of time in target zone"
"conflict.trained",2,0.0263888888888889,0.0085527845440412,"Proportion of time in target zone"
"conflict.trained",3,0.00743333333333333,0.00100898739117769,"Proportion of time in target zone"
"conflict.trained",4,0.00852222222222222,0.00540909156928761,"Proportion of time in target zone"
"conflict.trained",5,0.00411111111111111,0.00126033995022115,"Proportion of time in target zone"
"conflict.trained",6,0.0462555555555556,0.00617776278975,"Proportion of time in target zone"
"conflict.trained",7,0.0109333333333333,0.00453994615729208,"Proportion of time in target zone"
"conflict.trained",8,0.0094,0.00366810577819125,"Proportion of time in target zone"
"conflict.trained",9,0.0611111111111111,0.0212849480230908,"Proportion of time in target zone"
