"gene","pvalue","lfc","direction","logp"
"Srpk2",0.999734084156815,-0.000118307875938522,"neither",0.000115501140818322
"Adprhl2",0.999659069071159,-0.000323140054498461,"neither",0.00014808966671409
"Ikbkb",0.999625104746913,0.000363327250198627,"neither",0.000162845466611198
"Pias2",0.999625104746913,-0.000224641775104691,"neither",0.000162845466611198
"Ensa",0.99949358825608,-0.00029030972493785,"neither",0.000219987532792872
"Xrcc1",0.99949358825608,-0.000499214945472528,"neither",0.000219987532792872
"Evc",0.999431653265971,0.00114007744524527,"neither",0.000246900019454384
"Zfp553",0.999140486806361,-0.000916344557069988,"neither",0.000373442349434029
"Akt1s1",0.999098678236389,0.000902197726512347,"neither",0.0003916155807024
"Cdh8",0.999098678236389,-0.000658366490254321,"neither",0.0003916155807024
"Fam53a",0.999098678236389,0.00107371124724501,"neither",0.0003916155807024
"Ube2ql1",0.999098678236389,0.000551470809128169,"neither",0.0003916155807024
"Mpp6",0.999057973701895,-0.00113195058531891,"neither",0.000409309643582145
"Zmym5",0.998834353499506,-0.00125439823941431,"neither",0.000506529117347642
"Fbxl17",0.998816593581369,-0.000998436901220627,"neither",0.000514251221609391
"Snrpn",0.998417328013103,-0.000859273238037053,"neither",0.000687890206554656
"Usp10",0.998417328013103,0.00121176444254238,"neither",0.000687890206554656
"Ivns1abp",0.998395708369233,0.00142859090255663,"neither",0.000697294484133357
"Wwc1",0.998395708369233,0.00115352109011592,"neither",0.000697294484133357
"Pcdhgc3",0.99833833063161,0.00189222390297295,"neither",0.000722254077503536
"Ptcd1",0.99826579456741,-0.0024033793410709,"neither",0.000753809669357843
"Map7d2",0.9981715229765,0.00152452222305042,"neither",0.000794824362284249
"2310035C23Rik",0.997994419479643,-0.00168466095621507,"neither",0.000871887165507689
"Cpeb2",0.997994419479643,0.00222390637459659,"neither",0.000871887165507689
"Tceal6",0.99795572853723,0.00213798742094049,"neither",0.000888724522701772
"Lars",0.997844566896177,-0.0024489235658079,"neither",0.000937102997711661
"A2m",0.997725497834579,0.0115739815715261,"neither",0.00098892882672423
"Aimp1",0.997725497834579,-0.00291599817141641,"neither",0.00098892882672423
"Rs1",0.997725497834579,0.0103184488494293,"neither",0.00098892882672423
"S100b",0.997725497834579,-0.00377698680331913,"neither",0.00098892882672423
"Zfp521",0.997725497834579,-0.00961713792670684,"neither",0.00098892882672423
"Lrpprc",0.997565507980959,-0.00220015473175466,"neither",0.00105857552039864
"Ap2a1",0.997468750946914,-0.00122133253114851,"neither",0.00110070115890923
"Clstn1",0.997468750946914,0.00142223701535896,"neither",0.00110070115890923
"Dpm1",0.997468750946914,-0.00455490696800982,"neither",0.00110070115890923
"Map10",0.997468750946914,-0.0127668300131725,"neither",0.00110070115890923
"Rack1",0.997468750946914,0.00272308714062624,"neither",0.00110070115890923
"Repin1",0.997468750946914,0.0030838974643576,"neither",0.00110070115890923
"Rpl35a",0.997468750946914,0.00307902739651941,"neither",0.00110070115890923
"Slc5a7",0.997468750946914,-0.0165359879687176,"neither",0.00110070115890923
"Snx10",0.997468750946914,-0.00236045825083053,"neither",0.00110070115890923
"Spata2",0.997468750946914,-0.0027871636861331,"neither",0.00110070115890923
"Trappc9",0.997468750946914,-0.00234846820371482,"neither",0.00110070115890923
"Xk",0.997468750946914,-0.00459349395076082,"neither",0.00110070115890923
"Mif",0.997464731574557,-0.00355964127314514,"neither",0.00110245118340957
"Tbl1x",0.997464731574557,0.00408140307260143,"neither",0.00110245118340957
"Asb6",0.997377429202903,0.00403721698617982,"neither",0.00114046415409566
"Stx17",0.997293741543909,-0.00499870784442544,"neither",0.00117690633971383
"Elac2",0.997241190186488,-0.00424528524760423,"neither",0.0011997916391256
"Rps28",0.997241190186488,-0.00489835182815116,"neither",0.0011997916391256
"Agbl4",0.996955345998866,0.00956883368803354,"neither",0.00132429346426237
"Chst14",0.996955345998866,-0.0136279317115011,"neither",0.00132429346426237
"Rufy1",0.996955345998866,-0.00394728200653755,"neither",0.00132429346426237
"Rnd1",0.996900531914841,0.0090806134757658,"neither",0.00134817227565719
"Smim19",0.99674476134921,0.00782551992229178,"neither",0.00141603820693681
"Dhrs11",0.996652703536054,0.0143259889484642,"neither",0.0014561508297354
"Pfdn6",0.996652703536054,-0.00631335947466977,"neither",0.0014561508297354
"Rrp9",0.996652703536054,0.00675458003338941,"neither",0.0014561508297354
"Clpb",0.996613793159135,-0.00465735071641195,"neither",0.00147310647717621
"P2ry1",0.996377717051882,0.0171657827103294,"neither",0.00157599356991413
"Atp1b2",0.996259380499022,-0.00390821054544783,"neither",0.00162757638149395
"Dnajc1",0.996259380499022,-0.0055712740048574,"neither",0.00162757638149395
"Rnf169",0.996259380499022,0.00511109260474953,"neither",0.00162757638149395
"Rpp25",0.996259380499022,0.0127795892722868,"neither",0.00162757638149395
"Sdcbp2",0.996259380499022,-0.0170835168663657,"neither",0.00162757638149395
"Tnfrsf22",0.996259380499022,0.0110991032311253,"neither",0.00162757638149395
"Wdr5",0.996259380499022,-0.00667013664913559,"neither",0.00162757638149395
"Gm3755",0.996191893891842,-0.0170466883453969,"neither",0.0016569964847494
"Arih2",0.996185704333272,-0.00442737758545899,"neither",0.00165969485993186
"Ccdc58",0.996185704333272,-0.014529829695705,"neither",0.00165969485993186
"Ckap4",0.996185704333272,0.0078297738168789,"neither",0.00165969485993186
"Kif1bp",0.996185704333272,-0.00253564994499369,"neither",0.00165969485993186
"Med7",0.996185704333272,0.0083603526262728,"neither",0.00165969485993186
"Mt3",0.996185704333272,0.0048087367886871,"neither",0.00165969485993186
"Myo9a",0.996185704333272,0.00524560811848308,"neither",0.00165969485993186
"Rab21",0.996185704333272,-0.00496266735173641,"neither",0.00165969485993186
"Ran",0.996185704333272,0.00320607201205342,"neither",0.00165969485993186
"Tubg1",0.996185704333272,-0.00532169982524066,"neither",0.00165969485993186
"Zdhhc3",0.996185704333272,-0.00473301563542272,"neither",0.00165969485993186
"Dph2",0.99607110037683,0.00858980618838848,"neither",0.0017096601714561
"Dnajb4",0.996047740516757,0.00601111140516638,"neither",0.00171984536535123
"Dtd1",0.996047740516757,-0.00623796330726689,"neither",0.00171984536535123
"Esyt3",0.996047740516757,0.0212836388241392,"neither",0.00171984536535123
"Inpp5j",0.996047740516757,0.00488995405902838,"neither",0.00171984536535123
"Klhl35",0.996047740516757,0.0243285380009066,"neither",0.00171984536535123
"Lix1",0.996047740516757,0.00595401138150543,"neither",0.00171984536535123
"Nwd1",0.996047740516757,0.00702288607773487,"neither",0.00171984536535123
"Pafah1b2",0.996047740516757,0.00356295424880966,"neither",0.00171984536535123
"Pusl1",0.996047740516757,-0.00927684314470247,"neither",0.00171984536535123
"Rbm4b",0.996047740516757,0.00990080984322346,"neither",0.00171984536535123
"Slc29a3",0.996047740516757,-0.00952864120853042,"neither",0.00171984536535123
"Wdr77",0.996047740516757,0.0062399428152201,"neither",0.00171984536535123
"Rock2",0.995923910029988,0.00445817128097125,"neither",0.00177384101046932
"Kif21a",0.995898057681322,0.00464462824733907,"neither",0.00178511464089687
"Ugp2",0.995898057681322,-0.00612417022560752,"neither",0.00178511464089687
"Rbm26",0.995766442752757,0.00612103297156935,"neither",0.00184251350228386
"Psmb4",0.99572553024238,0.00655189469392425,"neither",0.00186035748834181
"B430218F22Rik",0.995500054639991,0.0515070097017609,"neither",0.00195871179945879
"Hcn1",0.995359599763348,-0.00717977817761963,"neither",0.00201999063229752
"Clec4a2",0.995165887383914,0.0278796755685444,"neither",0.00210451928392568
"Slc25a30",0.994901548514696,-0.0201889488732338,"neither",0.00221989317614469
"Chchd6",0.994603769072725,0.0110007317911803,"neither",0.0023498993322427
"Cacna1e",0.994514814350677,0.00809145645335089,"neither",0.00238874321543018
"Elavl1",0.994514814350677,-0.00486341383854632,"neither",0.00238874321543018
"Exosc8",0.994514814350677,0.0125962656837367,"neither",0.00238874321543018
"Gtpbp8",0.994514814350677,-0.00929454710349592,"neither",0.00238874321543018
"Rpl8",0.994514814350677,0.00570834330786877,"neither",0.00238874321543018
"Slc30a2",0.994514814350677,0.0241289577559112,"neither",0.00238874321543018
"Pcsk7",0.994470717414732,-0.0111025232309895,"neither",0.00240800032479295
"Cav1",0.994076510343818,0.0243440127034155,"neither",0.00258018829747778
"Cyth1",0.994034838814856,0.00653399856010873,"neither",0.00259839423457587
"Fam126a",0.994034838814856,0.0111911742051178,"neither",0.00259839423457587
"Mrrf",0.994034838814856,0.0125624872928443,"neither",0.00259839423457587
"Ppp2r2b",0.994034838814856,0.00806852567560018,"neither",0.00259839423457587
"Caln1",0.994031907368569,0.00818458597683779,"neither",0.00259967498729573
"Dcbld2",0.994031907368569,-0.0128140070382007,"neither",0.00259967498729573
"Glud1",0.994031907368569,-0.00617601075612393,"neither",0.00259967498729573
"Hn1l",0.994031907368569,-0.0275719406616024,"neither",0.00259967498729573
"Mcmdc2",0.994031907368569,0.0158129853547935,"neither",0.00259967498729573
"Mlh1",0.994031907368569,0.0172650053212124,"neither",0.00259967498729573
"Ntan1",0.994031907368569,-0.012275031243001,"neither",0.00259967498729573
"Srsf12",0.994031907368569,-0.0138008374163409,"neither",0.00259967498729573
"Heatr6",0.994021521181893,-0.0139606017426753,"neither",0.00260421275624755
"Pdzd4",0.994021521181893,-0.00411656983038506,"neither",0.00260421275624755
"Siglech",0.994021521181893,-0.016447925592449,"neither",0.00260421275624755
"Ttc7",0.994021521181893,0.0212458727774745,"neither",0.00260421275624755
"Ap1b1",0.993974352050991,0.0044762503432999,"neither",0.00262482174598109
"Echdc2",0.993974352050991,0.0179389476349567,"neither",0.00262482174598109
"Reps2",0.993974352050991,-0.00602226511076818,"neither",0.00262482174598109
"Slc43a2",0.993901474320065,0.00832251959431241,"neither",0.00265666518005183
"Chpt1",0.993640458674783,0.011502704108891,"neither",0.00277073336971499
"Parp16",0.993640458674783,0.0312122911750884,"neither",0.00277073336971499
"Shroom1",0.993640458674783,-0.0242007198196779,"neither",0.00277073336971499
"Tbc1d23",0.993640458674783,-0.0117606863236004,"neither",0.00277073336971499
"Kat7",0.993311691796255,0.00785258560489666,"neither",0.00291445262580939
"Gbf1",0.993064607646179,-0.00769696500848761,"neither",0.00302249588380345
"As3mt",0.992902774734981,0.0334348152720845,"neither",0.00309327563688793
"Atraid",0.992799981668407,-0.0121656984900477,"neither",0.00313823952837353
"Zmym3",0.99247109798556,0.00888831300313981,"neither",0.00328213158565358
"Cyp11a1",0.992422259062641,0.0407677681524333,"neither",0.00330350348924188
"Tmem39a",0.992177375477636,0.0291955859980865,"neither",0.00341068036095491
"Tmem251",0.992068385937091,-0.0172102122509792,"neither",0.00345838972943324
"Twf1",0.992066137098138,-0.0117653581386751,"neither",0.00345937419730723
"Ccdc142",0.991945495768251,0.0531373109595425,"neither",0.00351219028271341
"Krit1",0.991936191714776,-0.012168803861949,"neither",0.00351626381099783
"Pak1ip1",0.991924062166411,0.0148823851757094,"neither",0.00352157446321012
"Plxnc1",0.991918266589254,0.0129726766431128,"neither",0.00352411195032999
"U2surp",0.991918266589254,-0.00991218357949271,"neither",0.00352411195032999
"Wdr76",0.991918266589254,0.0328293150444369,"neither",0.00352411195032999
"Slc2a12",0.991601533486989,-0.0611862170872456,"neither",0.00366281027813458
"Mecp2",0.991549969465441,-0.0096351599515773,"neither",0.00368539450328814
"Trim33",0.991419727183151,-0.0103989423011732,"neither",0.00374244379121816
"Prdm5",0.99137200356373,0.0345403243194501,"neither",0.00376334977368104
"Acyp2",0.991245296507753,0.0203604432177917,"neither",0.0038188604113635
"Ilvbl",0.991245296507753,0.0162427429172599,"neither",0.0038188604113635
"Scg2",0.991245296507753,0.0137781138571503,"neither",0.0038188604113635
"Cd46",0.991003023023302,0.0185084369810748,"neither",0.00392502071115624
"Gpx1",0.990907705178551,0.0131516056722396,"neither",0.00396679455439276
"Fnip1",0.990817943011211,-0.0130747192660554,"neither",0.00400613724950469
"Helq",0.990817943011211,-0.0178506706459307,"neither",0.00400613724950469
"Rnpepl1",0.990817943011211,-0.0128321722820074,"neither",0.00400613724950469
"Gorasp1",0.990533608530843,-0.0174638265340892,"neither",0.00413078438402281
"Dnmt3a",0.990330653064671,-0.0103483579642658,"neither",0.00421977830556284
"Mink1",0.99023909119614,-0.00470224453195812,"neither",0.00425993323007299
"Mzt1",0.990176337222738,-0.00987664523078869,"neither",0.00428745644968054
"Bpgm",0.99012961358665,-0.0126452155955376,"neither",0.00430795006817714
"C8g",0.99012961358665,-0.0484978582752998,"neither",0.00430795006817714
"Pdpk1",0.99012961358665,0.00927660673252251,"neither",0.00430795006817714
"Usp32",0.99012961358665,-0.00970320959294579,"neither",0.00430795006817714
"Gga1",0.990038268420443,0.0103595454424201,"neither",0.00434801808667259
"Ppp1r37",0.990015206559974,-0.00958084439528636,"neither",0.00435813462026237
"Ube2j2",0.989979855319415,-0.0134358898779026,"neither",0.00437364258692392
"Ndc1",0.989747613280259,0.0201981654317823,"neither",0.00447553685079009
"Ptchd2",0.989747613280259,0.0161947137214383,"neither",0.00447553685079009
"Aamdc",0.989388938667538,-0.0204712019762385,"neither",0.00463294934125763
"Dcaf17",0.989388938667538,0.0223251663653492,"neither",0.00463294934125763
"Pcsk1n",0.989388938667538,0.0113348009998614,"neither",0.00463294934125763
"Ube3a",0.989388938667538,-0.0106985478937488,"neither",0.00463294934125763
"Abi3",0.989328624902246,-0.069334442970818,"neither",0.0046594250100844
"Arv1",0.989328624902246,-0.0317760158095632,"neither",0.0046594250100844
"Cwf19l2",0.989328624902246,0.0249213715855129,"neither",0.0046594250100844
"Fchsd2",0.989328624902246,0.0198384455934837,"neither",0.0046594250100844
"Gpr173",0.989328624902246,-0.0236988337406755,"neither",0.0046594250100844
"Lipt2",0.989328624902246,0.0436259786011426,"neither",0.0046594250100844
"Mbtps1",0.989328624902246,-0.0117303712405412,"neither",0.0046594250100844
"Psma2",0.989328624902246,0.0138828274824647,"neither",0.0046594250100844
"Nfkbid",0.989155296244473,0.0295602903602884,"neither",0.00473551931544059
"Osbpl3",0.989155296244473,-0.0216111573015183,"neither",0.00473551931544059
"Cog6",0.988748407814287,-0.0154175828881507,"neither",0.00491420283993179
"Minos1",0.988748407814287,0.0148407758631504,"neither",0.00491420283993179
"Dennd4c",0.988597828788398,-0.0211363633630293,"neither",0.00498034769504115
"Fam13b",0.988589834722683,0.0153869590425851,"neither",0.00498385953025241
"Fam135b",0.988576337271843,0.0229700584540808,"neither",0.00498978909601446
"Atrnl1",0.988302523580243,-0.0121795614947606,"neither",0.00511009568479604
"Ccdc88b",0.988302523580243,0.0430622661244602,"neither",0.00511009568479604
"Dmpk",0.988302523580243,0.0214864074291825,"neither",0.00511009568479604
"Fkbp3",0.988302523580243,-0.013909106673356,"neither",0.00511009568479604
"Gm21244",0.988302523580243,-0.0253997824924186,"neither",0.00511009568479604
"Mblac1",0.988302523580243,0.0499993386784807,"neither",0.00511009568479604
"Wdr19",0.988302523580243,0.0174680417488282,"neither",0.00511009568479604
"Zfp575",0.988302523580243,0.0273182538762876,"neither",0.00511009568479604
"AF529169",0.988218472383649,0.0570519022035664,"neither",0.00514703227284592
"Smg1",0.988042162170141,0.0121032206463154,"neither",0.00522452261161437
"Bicd1",0.988040213927633,0.0213959613421474,"neither",0.0052253789635367
"Gm20671",0.988012953220587,0.176479398990148,"neither",0.005237361611413
"Stt3b",0.987686792536856,-0.0136445198133269,"neither",0.00538075362910104
"Pcdhac2",0.987496081590747,0.0199253051760949,"neither",0.00546461898949457
"Hmmr",0.987344690842646,0.040275504867515,"neither",0.0055312047796586
"Ppat",0.98734245257426,-0.0262100815057058,"neither",0.00553218930787871
"Pcnx",0.987308629083892,0.0112654159397327,"neither",0.00554706723275717
"Pdgfa",0.987171821687296,0.0159624209420938,"neither",0.00560724984686905
"Anapc13",0.987151092430534,-0.0345224298005308,"neither",0.00561636953216647
"Pabpn1",0.987151092430534,-0.0125072347538395,"neither",0.00561636953216647
"Cetn3",0.987076564422068,-0.0204434082296645,"neither",0.00564915916787756
"Fcho2",0.987076564422068,0.0178831236036061,"neither",0.00564915916787756
"Kdm5b",0.987076564422068,0.0131516481605905,"neither",0.00564915916787756
"Sod3",0.987076564422068,0.0317871847008803,"neither",0.00564915916787756
"Stra13",0.987076564422068,0.0459043100372127,"neither",0.00564915916787756
"Chka",0.986898501630749,0.0116203947168847,"neither",0.00572751039859141
"Gstm7",0.986894303280218,0.0268144339555791,"neither",0.00572935792834625
"Heph",0.986894303280218,0.0657599931632717,"neither",0.00572935792834625
"Pcdhb20",0.986894303280218,-0.0382368850135104,"neither",0.00572935792834625
"Arl2",0.986831886023099,0.021399706264827,"neither",0.00575682624740505
"Bgn",0.986831886023099,-0.0495998271517087,"neither",0.00575682624740505
"Cdk20",0.986831886023099,-0.0509892962151926,"neither",0.00575682624740505
"Cep19",0.986831886023099,-0.0147411528808454,"neither",0.00575682624740505
"Fam46c",0.986831886023099,0.048248429491381,"neither",0.00575682624740505
"Gm21887",0.986831886023099,0.0413405986599182,"neither",0.00575682624740505
"Gm8113",0.986831886023099,0.0332419597740679,"neither",0.00575682624740505
"Klhl17",0.986831886023099,0.0206451392241928,"neither",0.00575682624740505
"Mvp",0.986831886023099,0.0477810754418261,"neither",0.00575682624740505
"RP23-328F3.4",0.986831886023099,-0.0226496447813524,"neither",0.00575682624740505
"Rps15",0.986831886023099,0.0181487792249104,"neither",0.00575682624740505
"Slc16a4",0.986831886023099,0.0588576300381737,"neither",0.00575682624740505
"Tmeff1",0.986831886023099,-0.0156221105847742,"neither",0.00575682624740505
"Tubgcp3",0.986831886023099,-0.0200741442769332,"neither",0.00575682624740505
"Yod1",0.986831886023099,0.0245797842573883,"neither",0.00575682624740505
"D930048N14Rik",0.986805365848417,-0.047796266325406,"neither",0.0057684976581603
