"rowname","PC1","Npas4","Tnip2","Errfi1","Ptgs2","Naf1","Slc16a1","Rgs2","Lbh","Ccnt1","Fzd5","Spty2d1","Adrb1","A830010m20rik","Smad7","Gadd45g","Plk2","Tdrp","Uspl1","1190002n15rik","Col10a1","Slc2a3","Pcdh8","Ccnk","Nfil3","Fosl2","Mest","Arc","Armcx5","Ipmk","Ccdc93","Hspb3","Cul3","Tiparp","Pak6","Rasd1","Gpr19","Rsrc1","Kcnk10","Acan","March11","Cpeb4","Scg2","Rundc1","Fbxw7","Areg","Zfp281","Arntl","Btg1","Clip2","Sgk1","Atf3","Nptx2","Kcnj2","Ndnl2","Peli1","Ccno","Cxadr","Arl4d","Bdnf","Sbds","Nap1l5","Nexn","Hspa14","Btg2","Syt4","Slc25a25"
"PC1",1,0.88625877682483,0.873294186851939,0.867319549191684,0.861276539439938,0.860288938930522,0.858115193734844,0.832886753185626,0.818719407028777,0.817673170242872,0.816647320279939,0.813838698926001,0.812714283766501,0.81243771578408,0.811743646236867,0.810962684164601,0.807849968917797,0.805966171464009,0.803183240818868,0.803004457556237,0.800997437221966,0.798935679458203,0.798177281033922,0.797601350799111,0.796728772682487,0.796515402106014,0.795718287074522,0.79475870529229,0.793187777682275,0.792241185524322,0.790224513953469,0.78980717787951,0.789382498363474,0.786386851215966,0.785837772056404,0.785663971337163,0.780770713784044,0.776856100125956,0.775238834004775,0.774912424048834,0.774174051227042,0.772281455633635,0.771193749332213,0.770795599187071,0.770042090785524,0.768631916335701,0.767606924744856,0.76663026204704,0.766125941106393,0.765643368199114,0.765479748350718,0.765477027308505,0.765392789988074,0.764905363340029,0.762494024818909,0.762443303813286,0.762250450604404,0.761184794910239,0.759786735272881,0.759636614092558,0.759034380248244,0.759009454475103,0.757502337372102,0.75749598331522,0.756823539747607,0.75627480892434,0.75449116172536
"Npas4",0.88625877682483,1,0.850577380323906,0.977776845678549,0.972556899990386,0.817776137204267,0.933378912260818,0.95587755001797,0.846849916629091,0.666193090532859,0.909882515328241,0.831030824630808,0.880060091472097,0.898751344112851,0.94849700260829,0.911682754770468,0.967653468521623,0.877289023800807,0.874835329623211,0.888347734985318,0.906213382267575,0.797615638428145,0.89013422477985,0.855517683742399,0.975218649677241,0.951010498824453,0.848869928809468,0.953578797044848,0.840478935286612,0.817665805812625,0.655007528080668,0.740224477205579,0.816654394695943,0.947504913919133,0.853993640948564,0.912735646667348,0.877095712908845,0.659368387847007,0.677979631014845,0.895347871320163,0.777736202787892,0.816069466965487,0.877364906163351,0.71815044105302,0.87937003108845,0.655609665540912,0.783694372208719,0.674577354647008,0.869423500299723,0.675462738817855,0.93615152404959,0.938880312087558,0.933450674331509,0.915104216438281,0.853330090953642,0.833070699682574,0.852755030797402,0.876589373003053,0.864285738387751,0.910671576768465,0.829117497222418,0.825706495720224,0.699428961958058,0.833402284973537,0.927206617278405,0.841728764764414,0.889058996729061
"Tnip2",0.873294186851939,0.850577380323906,1,0.835398626248294,0.816288409241683,0.834562196209606,0.769315625125282,0.844366127711588,0.862078615236044,0.685659630075633,0.843798480167262,0.885561090486542,0.770768822756223,0.868729100706726,0.856605156979205,0.838955281343953,0.82830657736857,0.798539196675269,0.860050146001981,0.826082805236909,0.834572424764787,0.821401838313427,0.881118490617144,0.834554485180177,0.751569238251018,0.816310940371183,0.790575268681945,0.700984737953356,0.756065213104865,0.900748467900779,0.767677927041879,0.616481016404433,0.809575568934768,0.777479832495858,0.790968097651509,0.691173351538877,0.909895921872318,0.797335666661917,0.844570604215893,0.807588610579085,0.813604831660046,0.818022973112337,0.832066089502938,0.633282648657926,0.864290259764532,0.539330717478901,0.780025171069935,0.814863207672197,0.787438207234519,0.626841179894998,0.854382548791771,0.730929394550311,0.847037461890658,0.717431888609937,0.79529149970062,0.856705138451343,0.719247139288969,0.85501422879504,0.620746574242537,0.827051463498535,0.690529518701082,0.764122080536046,0.868046303157894,0.787430103195303,0.732610304327158,0.691989539503146,0.795026480909036
"Errfi1",0.867319549191684,0.977776845678549,0.835398626248294,1,0.972424004316853,0.812503877173077,0.925581136981734,0.975632311497844,0.818661715476353,0.665288084777252,0.868833918575949,0.835743636981996,0.888713472413965,0.913034489419365,0.942141557529172,0.928956623063771,0.980656863468279,0.904559899179923,0.833054092609919,0.870867779458084,0.889598131545212,0.795978580032869,0.907730695225473,0.851463032982358,0.944463359581388,0.957334678518001,0.873058269403784,0.948315885017568,0.842806387000641,0.815717466368076,0.703142226354604,0.685478345689423,0.816793659935878,0.944845699593557,0.808757033051701,0.923826511357785,0.894187200640367,0.604029614128059,0.662203032544892,0.842240258625489,0.79919499365135,0.817212830341102,0.88056825455337,0.617431496386736,0.873989270106668,0.548027013636333,0.785546469439944,0.675472726098638,0.883398258720755,0.645734954804141,0.929449588591541,0.932111251954336,0.933261640410193,0.927524318236825,0.852084304066166,0.865563664150466,0.866900074147565,0.865521146324886,0.875674443788396,0.94294006352306,0.807623285381752,0.881019903341721,0.683067979416949,0.899931591413724,0.954019176261901,0.853061194550924,0.837991812351651
"Ptgs2",0.861276539439938,0.972556899990386,0.816288409241683,0.972424004316853,1,0.83642836243725,0.942419609828594,0.965251163757876,0.837367081210533,0.729689594574996,0.873012830085326,0.845330321132581,0.908869256189671,0.937268303264891,0.926124442477414,0.934437641882171,0.950530197427552,0.900713622034549,0.863481983079405,0.934385397322628,0.881683412144397,0.819039677662333,0.912756820515597,0.813204354207231,0.962447985932238,0.961786395382706,0.879587275145275,0.935779286302958,0.805601474387443,0.844996377261049,0.713823438530265,0.698821078335228,0.839392992556013,0.887250149864505,0.87759329670258,0.913755417973514,0.860367743164795,0.598178294282515,0.700368677866299,0.855835042007171,0.820162031153195,0.847536530231382,0.899720333113062,0.680979186527839,0.884127540795438,0.588118564564978,0.825294832414139,0.6809338057822,0.790693530868328,0.709502650636055,0.911804940524186,0.911424065492937,0.933141006685161,0.953989434603012,0.868871114960534,0.865131379722135,0.78993729554569,0.829085858791253,0.852730932932822,0.93425578238807,0.79208699018553,0.813090823040751,0.693566898901284,0.87062216563689,0.917876645052874,0.878915238650602,0.873960637544575
"Naf1",0.860288938930522,0.817776137204267,0.834562196209606,0.812503877173077,0.83642836243725,1,0.871974582615293,0.803137627190987,0.833056686736768,0.812863738312891,0.808192171825749,0.81727742908535,0.867721394393308,0.867003137939927,0.796551197638335,0.726175040889738,0.780986573821695,0.835531148353814,0.817237959809202,0.853358728058981,0.780832417574228,0.867420789331861,0.840303244887604,0.827003812816944,0.765785734847661,0.839873287819139,0.92246406441251,0.711676955620405,0.745606578446196,0.850001602410975,0.762613042255693,0.655443851153588,0.841476663449347,0.743619924766399,0.826322936215341,0.803697221842779,0.786497912688914,0.655437625676503,0.87565030176701,0.783698459737394,0.669733103303554,0.852874055028837,0.841007523424036,0.633395905074666,0.88556164689331,0.535329405394696,0.827621179391044,0.7361541308436,0.735470410493551,0.703459362996584,0.781353936878647,0.713872886206862,0.790557385622398,0.768140428634663,0.805285848445426,0.890356530691098,0.698637093922179,0.746417398369151,0.602273612295786,0.825913023474831,0.768889422672911,0.843927851278808,0.743731172252773,0.767217768764712,0.674086925534768,0.799258765366274,0.741520449435028
"Slc16a1",0.858115193734844,0.933378912260818,0.769315625125282,0.925581136981734,0.942419609828594,0.871974582615293,1,0.896915066558496,0.765829715996569,0.728592248689659,0.88613718732612,0.816668732239758,0.903743302316295,0.879609397356052,0.887043476980883,0.845613797918344,0.883524000636443,0.862803148470711,0.878162149043558,0.902311263778376,0.819489869031414,0.847746016144318,0.862174874284193,0.856937241532945,0.926490836825718,0.902918017662846,0.858647916975743,0.896294133081089,0.824356703185993,0.79632144978175,0.669258298559966,0.826340934228346,0.837827054631164,0.855350191561289,0.876494455338738,0.908139512613845,0.826465856283325,0.601903720352278,0.719839874164479,0.887745411216489,0.732308446234407,0.823557954047282,0.860942253019482,0.701946207682535,0.851625415465156,0.62657585713685,0.794418196888983,0.681117457375201,0.757066643728336,0.716892476387806,0.858238490349919,0.854442899599182,0.859243702204058,0.91787613802113,0.852461613006327,0.830844733930523,0.809010094988101,0.739534727059409,0.805317491380622,0.884453519444548,0.810740529109117,0.788352240997721,0.726794970788572,0.746855613857536,0.817629782200736,0.826773902254718,0.831029106839677
"Rgs2",0.832886753185626,0.95587755001797,0.844366127711588,0.975632311497844,0.965251163757876,0.803137627190987,0.896915066558496,1,0.768097787818355,0.705629348671401,0.871702209602762,0.854019059919272,0.876435269928168,0.939130398213849,0.949839531761231,0.962575529443162,0.974519724772755,0.922185096008436,0.823296840165683,0.891736912467788,0.94364290868921,0.757795585025865,0.951711305383577,0.823434992721141,0.926427564023833,0.952141761340565,0.860373116444364,0.895762511589118,0.837941665431243,0.857796963575875,0.721123563111555,0.666107341996769,0.816665786716751,0.892461692571189,0.83731717263864,0.901670055730491,0.928911723444434,0.646962945191788,0.707668056532736,0.799484653123804,0.81159581520728,0.810458341920254,0.938984187905349,0.632083498524638,0.919210136422216,0.463787993856929,0.750356458418247,0.705410891200728,0.850394535043745,0.595191273472431,0.940703459786681,0.86889732766587,0.941085577091531,0.934383985377117,0.923798631956024,0.872466038734916,0.857888865774126,0.835382931799367,0.870764850288789,0.971865887138411,0.790210527638083,0.877679154119427,0.748888900702297,0.919828379638461,0.929639805784943,0.839782079040094,0.889550688649797
"Lbh",0.818719407028777,0.846849916629091,0.862078615236044,0.818661715476353,0.837367081210533,0.833056686736768,0.765829715996569,0.768097787818355,1,0.650923292729894,0.805007178839588,0.855549718286975,0.756744780331774,0.848573026846966,0.823149846526406,0.728511388571624,0.800598607996442,0.737253725198159,0.782848436218726,0.829977414802873,0.743354995037706,0.875232252087441,0.797675375008527,0.778976813550777,0.784194291567111,0.86935566005023,0.868926030773151,0.777226898022435,0.657839681391061,0.834648422281795,0.603561185975062,0.490260982304523,0.771722821304755,0.823016214782994,0.75014489213348,0.72174799902784,0.73400659214889,0.608814712238312,0.766719927378864,0.861633504470162,0.740466068103882,0.846097635964243,0.725366141990388,0.601059837074886,0.811280012839612,0.614127576514234,0.825394210233787,0.587201153612081,0.76177974275082,0.738008939960689,0.834066214932139,0.830126479539872,0.847756040482169,0.741192000570261,0.669762069305485,0.874569328409851,0.583936825428867,0.893872240772851,0.574034770778533,0.770538641314481,0.714704712620036,0.725024225542994,0.603609371184922,0.732088553849558,0.780381207697995,0.761338801079558,0.74031406235589
"Ccnt1",0.817673170242872,0.666193090532859,0.685659630075633,0.665288084777252,0.729689594574996,0.812863738312891,0.728592248689659,0.705629348671401,0.650923292729894,1,0.710841120513672,0.774950939724075,0.634319025985835,0.802999796935492,0.698376942467382,0.670188807670343,0.611672669814742,0.781369078456002,0.639265626031244,0.757067921094697,0.725084698942033,0.752610857889857,0.751905489764912,0.624771566795753,0.597499938655372,0.703005835973648,0.794112872834724,0.585463327395946,0.683297739403236,0.829627029971415,0.793256397665919,0.595263597078395,0.775717709165763,0.514478239937618,0.760162406596279,0.679184821692339,0.607119471404776,0.652372126234677,0.86762195094683,0.61707821955689,0.747718980724039,0.748958554041894,0.776695708917186,0.733909230523648,0.758227363868355,0.543441125310827,0.684476452964174,0.601892784223858,0.50926064144458,0.775997709013034,0.629671928428929,0.495963467366378,0.639385038653123,0.67729363944573,0.736355458732492,0.752453511621499,0.509697590071491,0.482986163090583,0.64382238903783,0.702774619335746,0.622859898257714,0.637761147748574,0.740757734644577,0.663333322294937,0.552771388390192,0.739913043897384,0.739787463106909
"Fzd5",0.816647320279939,0.909882515328241,0.843798480167262,0.868833918575949,0.873012830085326,0.808192171825749,0.88613718732612,0.871702209602762,0.805007178839588,0.710841120513672,1,0.903148252890817,0.745754126980991,0.89326298617527,0.928192760027416,0.854788354410724,0.866194873608143,0.829982379800543,0.886950205684915,0.906777637383935,0.878195581636705,0.857321486192122,0.890918726850725,0.870229634493156,0.878715384370184,0.901858289038091,0.842704941882217,0.847389756682324,0.75934656774835,0.885384257964447,0.582868569162349,0.686012494877202,0.79247130601203,0.867753024297779,0.879678460776891,0.792192999270632,0.881867090390412,0.783561929441874,0.791434750091138,0.893815835138457,0.808368210523125,0.832392548940604,0.882768174161882,0.765784388521273,0.908296095902431,0.658217199044449,0.685882355642591,0.602989771365372,0.819092229191174,0.691385311781785,0.933440159762794,0.809411773847995,0.916276396930041,0.880478883246105,0.841345867551937,0.839565455354224,0.802108022391987,0.825112987553114,0.820790223749004,0.875213817072516,0.894739719864972,0.776985289734065,0.737134789805393,0.674819126775619,0.821160176854395,0.718187169310389,0.917116794720222
"Spty2d1",0.813838698926001,0.831030824630808,0.885561090486542,0.835743636981996,0.845330321132581,0.81727742908535,0.816668732239758,0.854019059919272,0.855549718286975,0.774950939724075,0.903148252890817,1,0.73944149128697,0.916596808609591,0.874325996799002,0.86594487366343,0.806490702884742,0.80023330502675,0.803137197971659,0.91004748250401,0.84031633911051,0.877808360977046,0.926390215635549,0.831855246906316,0.762842037499855,0.872098869426888,0.85996261644924,0.723736745110896,0.695048892515554,0.935844566443699,0.638697614151792,0.604928637101437,0.76773360948766,0.772430233314267,0.830935307765262,0.69103089711526,0.882576411329007,0.790131910682869,0.8813280127383,0.807244792536755,0.842875351078236,0.85423297169364,0.839650624233899,0.654733590514053,0.891994161007344,0.514253020316075,0.699146193650061,0.680527203409678,0.7436178657347,0.705139507274491,0.885619288187163,0.713972920446246,0.873123644363616,0.854609476878383,0.863528390996651,0.916780115991413,0.682205637597688,0.818531122233831,0.681641450738966,0.863789558519306,0.80601316999506,0.775207882196987,0.782569844439875,0.741774182605088,0.784107775002252,0.667505041574656,0.830413434486235
