"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.HC.ConfT","CA1.HC.ConfY","CA1.HC.StdT","CA1.HC.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.HC.ConfT","CA3.HC.ConfY","CA3.HC.StdT","CA3.HC.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.HC.ConfT","DG.HC.ConfY","DG.HC.StdT","DG.HC.StdY","DG.StdT.StdY"
"57","9130011E15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"58","9330151L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"59","9430016H08Rik",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","9430020K01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"61","9930012K11Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"62","9930021J03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"63","A430078G23Rik",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","A830010M20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"65","A830080D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"66","Aaas",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Aamp",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Aasdhppt",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Abca1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"70","Abca3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"71","Abca8a",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"72","Abca9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"73","Abcb10",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Abcb7",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"75","Abcc4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Abcc5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"77","Abcd3",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Abcd4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","Abce1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Abcf1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Abhd12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"82","Abhd14b",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Abhd15",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Abhd6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"85","Abl1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Ablim1",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"87","Ablim2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"88","Abr",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Abracl",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Abt1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"91","Abtb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"92","Abtb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
