"gene","lfc","padj","tissue","comparison"
"Akt1",-1.1399163550426,0.0978220928198125,"CA3","home.cage-standard.trained"
"Aldh1a1",-1.85287913721567,0.08313990434342,"CA3","home.cage-standard.trained"
"Aldoc",-2.42291901943018,0.0103578208766503,"CA3","home.cage-standard.trained"
"Anxa5",-3.56573103765948,0.0159945638142336,"CA3","home.cage-standard.trained"
"Apc",-1.62317344669876,0.0103578208766503,"CA3","home.cage-standard.trained"
"Apoe",-2.51988514685083,0.0998907530077557,"CA3","home.cage-standard.trained"
"Arhgef10",-2.81171682999316,0.0521311224226931,"CA3","home.cage-standard.trained"
"Arhgef19",-4.06717279910405,0.0217650032230603,"CA3","home.cage-standard.trained"
"Arhgef25",0.983461308318904,0.0217650032230603,"CA3","home.cage-standard.trained"
"Arl4c",-2.66545878176287,0.072222981838351,"CA3","home.cage-standard.trained"
"Arpp21",1.0751343631985,0.08313990434342,"CA3","home.cage-standard.trained"
"Arrb1",-1.58087726751079,0.0355196147478541,"CA3","home.cage-standard.trained"
"Asl",2.14883718870622,0.0953046989439175,"CA3","home.cage-standard.trained"
"Asrgl1",-2.29743800191475,0.0284674438721403,"CA3","home.cage-standard.trained"
"Atp7a",-5.96300199220683,0.070464650351643,"CA3","home.cage-standard.trained"
"Axl",-2.79110912265596,0.0782098272402292,"CA3","home.cage-standard.trained"
"Baiap2",0.963522300321676,0.0945340836879738,"CA3","home.cage-standard.trained"
"Bcan",-1.85252042646838,0.0385858595424172,"CA3","home.cage-standard.trained"
"Bcas1",-2.28599863521497,0.0603418849493232,"CA3","home.cage-standard.trained"
"Bin2",-6.40047615577346,0.066950646312417,"CA3","home.cage-standard.trained"
"Btbd7",-3.50250846156239,0.0543755050866722,"CA3","home.cage-standard.trained"
"Btg2",-2.35391463543559,0.0939210659630454,"CA3","home.cage-standard.trained"
"Camk2b",0.750590512736649,0.08313990434342,"CA3","home.cage-standard.trained"
"Car2",-2.13229006679963,0.0315190242207919,"CA3","home.cage-standard.trained"
"Caskin2",-3.32564691891703,0.0534869918859163,"CA3","home.cage-standard.trained"
"Cbfb",-4.06577399248811,0.0978220928198125,"CA3","home.cage-standard.trained"
"Ccnl1",-1.8630855766039,0.0519863477052136,"CA3","home.cage-standard.trained"
"Cdr2l",-2.37825837174679,0.0600410981160154,"CA3","home.cage-standard.trained"
"Cgnl1",-3.95948830972246,0.0978220928198125,"CA3","home.cage-standard.trained"
"Chrd",1.57625880430718,0.0159945638142336,"CA3","home.cage-standard.trained"
"Chrm1",1.03369033521973,0.0399288898157081,"CA3","home.cage-standard.trained"
"Cldn5",-2.92144462372556,0.0829453375602077,"CA3","home.cage-standard.trained"
"Clic1",-6.52769024944347,0.0537977023007861,"CA3","home.cage-standard.trained"
"Clu",-1.52363140145739,0.0945340836879738,"CA3","home.cage-standard.trained"
"Cnp",-1.64031658294293,0.0731509909101302,"CA3","home.cage-standard.trained"
"Cntfr",-2.19207806208883,0.0685331030351751,"CA3","home.cage-standard.trained"
"Col11a2",-2.48516148283329,0.0399288898157081,"CA3","home.cage-standard.trained"
"Col27a1",-6.55932829042549,0.0435449459660851,"CA3","home.cage-standard.trained"
"Cpt1a",-3.19431650671921,0.0649241845803019,"CA3","home.cage-standard.trained"
"Cptp",-2.61529846800401,0.0683695125420732,"CA3","home.cage-standard.trained"
"Crnkl1",3.05609485157469,0.0549385048559361,"CA3","home.cage-standard.trained"
"Csf1r",-1.90060931677477,0.0600410981160154,"CA3","home.cage-standard.trained"
"Csrp1",-2.17033124371413,0.0399288898157081,"CA3","home.cage-standard.trained"
"Cst3",-1.94703390435803,0.0399288898157081,"CA3","home.cage-standard.trained"
"Ctla2a",-5.30584924296978,0.0633587445535095,"CA3","home.cage-standard.trained"
"Ctnna2",-1.77525288547307,0.0680067293059369,"CA3","home.cage-standard.trained"
"Ctss",-2.67604673175362,0.0731509909101302,"CA3","home.cage-standard.trained"
"Cx3cr1",-3.00991030788595,0.0494657906947897,"CA3","home.cage-standard.trained"
"Cxcl14",-2.67589172233696,0.0494657906947897,"CA3","home.cage-standard.trained"
"Daam2",-3.61861653144434,0.0609509171079999,"CA3","home.cage-standard.trained"
"Dact3",-1.46050881145724,0.0405874119358953,"CA3","home.cage-standard.trained"
"Dapp1",-6.36510509341499,0.0898785084721013,"CA3","home.cage-standard.trained"
"Dbn1",1.13755825603503,0.0494657906947897,"CA3","home.cage-standard.trained"
"Decr1",-5.07579875829455,0.0945340836879738,"CA3","home.cage-standard.trained"
"Dennd3",-5.26264192781553,0.0649241845803019,"CA3","home.cage-standard.trained"
"Dennd5a",-1.25171313871836,0.0920653737982773,"CA3","home.cage-standard.trained"
"Dock1",-2.94443115342992,0.08313990434342,"CA3","home.cage-standard.trained"
"Dusp15",-6.34328988173092,0.0494657906947897,"CA3","home.cage-standard.trained"
"E130308A19Rik",-4.82055534295461,0.0613154740838962,"CA3","home.cage-standard.trained"
"Ednrb",-2.62371001493039,0.078853607605319,"CA3","home.cage-standard.trained"
"Edrf1",1.90999336205974,0.0944371320652105,"CA3","home.cage-standard.trained"
"Efs",-6.90992878099061,0.0247909290573861,"CA3","home.cage-standard.trained"
"Enpp2",-1.84657736705541,0.0697628036979777,"CA3","home.cage-standard.trained"
"Entpd1",-3.50372123991311,0.0543755050866722,"CA3","home.cage-standard.trained"
"Epb41l2",-3.75623467632995,0.0118476981791025,"CA3","home.cage-standard.trained"
"Ephb1",-2.16683350985163,0.08313990434342,"CA3","home.cage-standard.trained"
"Epm2a",-2.23011398294179,0.0600410981160154,"CA3","home.cage-standard.trained"
"Eps8",-3.05538847793647,0.0144425919196193,"CA3","home.cage-standard.trained"
"Etl4",-2.18911211869884,0.0543755050866722,"CA3","home.cage-standard.trained"
"Ets1",-7.54030402158233,0.0355196147478541,"CA3","home.cage-standard.trained"
"Evi2a",-3.79643068797792,0.0581894219124317,"CA3","home.cage-standard.trained"
"Evl",-1.37201859394367,0.0731509909101302,"CA3","home.cage-standard.trained"
"F3",-2.73002571791294,0.0727621778656771,"CA3","home.cage-standard.trained"
"Fads1",-1.84035174131939,0.0528728079548195,"CA3","home.cage-standard.trained"
"Fam129b",-7.56006829621893,0.00859282675572228,"CA3","home.cage-standard.trained"
"Fam188b",4.56479664366006,0.0769945943085833,"CA3","home.cage-standard.trained"
"Fam199x",-2.94725667102377,0.0600410981160154,"CA3","home.cage-standard.trained"
"Fam71e1",-6.14404342115425,0.0769945943085833,"CA3","home.cage-standard.trained"
"Fbxo32",-5.34994039218758,0.0757461717641067,"CA3","home.cage-standard.trained"
"Fgd6",-4.26197397629379,0.0385858595424172,"CA3","home.cage-standard.trained"
"Fgfr3",-2.70384204319887,0.0187250779859676,"CA3","home.cage-standard.trained"
"Fgfrl1",-3.7136986003567,0.0436153050239621,"CA3","home.cage-standard.trained"
"Fmnl3",-3.38758351570497,0.0945340836879738,"CA3","home.cage-standard.trained"
"Fmo1",-2.18093776754709,0.0600410981160154,"CA3","home.cage-standard.trained"
"Fnbp1",-1.78100879263938,0.0534869918859163,"CA3","home.cage-standard.trained"
"Foxn2",-2.60533939018099,0.08313990434342,"CA3","home.cage-standard.trained"
"Frmd8",-4.53492510352524,0.02271819065497,"CA3","home.cage-standard.trained"
"Gad1",-1.70718423868651,0.0731509909101302,"CA3","home.cage-standard.trained"
"Gad2",-2.23768013414413,0.0622031906198599,"CA3","home.cage-standard.trained"
"Gas1",-5.90370031960485,0.0920653737982773,"CA3","home.cage-standard.trained"
"Gdap2",1.66379201430074,0.0534869918859163,"CA3","home.cage-standard.trained"
"Gen1",7.77455836983137,0.0978220928198125,"CA3","home.cage-standard.trained"
"Gja1",-2.84232057928917,0.0888753798012132,"CA3","home.cage-standard.trained"
"Gjc3",-3.5857580197502,0.0103578208766503,"CA3","home.cage-standard.trained"
"Glul",-2.74592059002207,0.0436153050239621,"CA3","home.cage-standard.trained"
"Gm20594",-2.46412751987256,0.0978220928198125,"CA3","home.cage-standard.trained"
"Gm4724",4.06781779975738,0.0159945638142336,"CA3","home.cage-standard.trained"
"Gnb5",1.4767105355204,0.0691312990285374,"CA3","home.cage-standard.trained"
"Gng5",-6.64979981514275,0.0600410981160154,"CA3","home.cage-standard.trained"
"Gpc5",-3.63733581831634,0.0103578208766503,"CA3","home.cage-standard.trained"
"Gpr37",-1.98074736897398,0.0217793275662249,"CA3","home.cage-standard.trained"
"Gprc5b",-3.25171777083341,0.00900347957784982,"CA3","home.cage-standard.trained"
"Gps2",-3.4170744096424,0.0978220928198125,"CA3","home.cage-standard.trained"
"Gria4",-2.46503767278447,0.0103578208766503,"CA3","home.cage-standard.trained"
"Gsn",-3.32070340335731,0.0528728079548195,"CA3","home.cage-standard.trained"
"Gstm1",-1.80204386204493,0.0494657906947897,"CA3","home.cage-standard.trained"
"Hba-a1",-6.89335479947257,0.0217650032230603,"CA3","home.cage-standard.trained"
"Hdac7",-2.8566057619341,0.0488549844600374,"CA3","home.cage-standard.trained"
"Hexb",-2.85534142984123,0.0217650032230603,"CA3","home.cage-standard.trained"
"Hexim2",5.04710538165704,0.0600410981160154,"CA3","home.cage-standard.trained"
"Hip1",-2.27407704033712,0.0947029042667197,"CA3","home.cage-standard.trained"
"Hist1h1c",-7.72524059893185,0.00900347957784982,"CA3","home.cage-standard.trained"
"Ibtk",-2.78338831436035,0.0945340836879738,"CA3","home.cage-standard.trained"
"Id3",-7.05842726374989,0.0543755050866722,"CA3","home.cage-standard.trained"
