tissue,gene,lfc,padj,logpadj,comparison,direction
CA1,Shisa5,1.76,5.17e-02,1.29,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Trex1,4.68,7.77e-02,1.11,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Dync1li1,0.73,8.53e-02,1.07,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Stt3b,1.34,1.12e-02,1.95,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tgfbr2,4.73,8.29e-02,1.08,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Vipr1,-1.54,6.43e-02,1.19,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Sacm1l,1.47,4.88e-02,1.31,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ccr2,-5.7,4.21e-02,1.38,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Armt1,1.61,7.28e-02,1.14,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Mtrf1l,-2.91,2.84e-02,1.55,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Sash1,0.97,9.48e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Fbxo30,5.13,5.16e-02,1.29,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gm9803,-4.9,3.88e-02,1.41,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Qrsl1,3.89,8.21e-02,1.09,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gcc2,-1.1,7.08e-02,1.15,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Sowahc,-2.09,7.84e-02,1.11,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ascc1,-2.32,8.96e-02,1.05,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Tysnd1,2.38,7.21e-02,1.14,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,2010107G23Rik,-2.14,1.76e-02,1.75,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Tet1,4.86,7.87e-02,1.1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rhobtb1,-3.38,4.26e-02,1.37,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Pcdh15,-3.95,9.00e-03,2.05,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Prmt2,1.29,8.40e-02,1.08,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Pcnt,2.73,4.67e-02,1.33,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Pwp2,-1.24,4.31e-02,1.37,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gm10146,-6.82,6.72e-02,1.17,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Rrp1,-0.54,9.06e-02,1.04,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Pdxk,1.46,1.44e-02,1.84,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Atp5d,-1.18,4.93e-02,1.31,standard.yoked vs. conflict.yoked,standard.yoked
CA1,1600002K03Rik,-4.51,5.71e-02,1.24,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Mknk2,-1.2,7.89e-02,1.1,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Thop1,-1.06,5.83e-02,1.23,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Timp3,2.26,2.21e-02,1.66,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nt5dc3,0.79,2.94e-02,1.53,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ccdc53,-1.93,9.67e-02,1.01,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Actr6,5.09,5.02e-02,1.3,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nr2c1,-1.78,9.87e-02,1.01,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Epyc,5.9,4.08e-02,1.39,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tmtc2,4.57,8.16e-02,1.09,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ccdc59,-2.03,5.62e-02,1.25,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Lin7a,1.96,4.73e-02,1.33,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Trhde,2.26,8.53e-02,1.07,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Grip1,-1.72,9.14e-02,1.04,standard.yoked vs. conflict.yoked,standard.yoked
CA1,March9,1.66,6.03e-02,1.22,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cd63,2.55,3.71e-02,1.43,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ykt6,1.25,3.44e-02,1.46,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,H2afv,-1.57,8.53e-02,1.07,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Wdpcp,-2.51,7.13e-02,1.15,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Rtn4,0.5,8.27e-02,1.08,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Asb3,5.28,4.21e-02,1.38,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Bod1,-1.3,4.46e-02,1.35,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Sh3pxd2b,5.32,6.72e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ubtd2,-2.99,2.42e-02,1.62,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Kcnip1,4.83,5.71e-02,1.24,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ccng1,1.13,8.49e-02,1.07,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cnot6,2.2,2.72e-02,1.57,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gfpt2,-4.47,4.35e-02,1.36,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Fstl4,-1.94,8.01e-02,1.1,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Aff4,0.98,4.05e-02,1.39,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,G3bp1,-0.96,5.71e-02,1.24,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Fam114a2,-2.28,3.71e-02,1.43,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Galnt10,5.42,4.08e-02,1.39,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cnot8,-1.24,4.07e-02,1.39,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Kcnj12,-3.22,5.95e-02,1.23,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Rnf112,-0.57,9.57e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ulk2,0.9,9.04e-02,1.04,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Slc25a35,4.72,7.29e-02,1.14,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rangrf,4.78,8.53e-02,1.07,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cntrob,3.14,7.33e-02,1.14,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Spag7,-1.76,4.16e-02,1.38,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gm43951,5.21,4.07e-02,1.39,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Emc6,-1.74,3.65e-02,1.44,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Smg6,-1.02,7.96e-02,1.1,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gemin4,3.51,2.71e-02,1.57,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tmem199,-1.53,1.05e-02,1.98,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Zfp207,-1.09,5.93e-02,1.23,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Tmem132e,4.79,8.72e-02,1.06,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ppm1d,3.42,3.71e-02,1.43,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cuedc1,3.93,2.33e-02,1.63,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Coil,-2.39,2.63e-02,1.58,standard.yoked vs. conflict.yoked,standard.yoked
CA1,RP23-220F20.2,-2.23,3.12e-02,1.51,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Hlf,1,4.21e-02,1.38,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gm20390,-3.8,1.80e-04,3.74,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Spag9,0.98,9.40e-02,1.03,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ankrd40,0.94,8.83e-02,1.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Itga3,4.55,9.58e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nxph3,-6.64,2.31e-02,1.64,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Plxdc1,4.42,9.74e-02,1.01,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cacnb1,-0.64,8.53e-02,1.07,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Krt222,-1.07,6.07e-02,1.22,standard.yoked vs. conflict.yoked,standard.yoked
CA1,P3h4,-3.97,5.39e-02,1.27,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Naglu,-2.67,8.49e-02,1.07,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Coasy,-1.87,4.45e-02,1.35,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ramp2,1.95,8.22e-02,1.09,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rundc1,-0.97,3.12e-02,1.51,standard.yoked vs. conflict.yoked,standard.yoked
CA1,G6pc3,-1.27,7.63e-02,1.12,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ubtf,-1.01,4.27e-02,1.37,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Slc25a39,1.76,5.17e-02,1.29,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Fam171a2,-0.89,6.65e-02,1.18,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gosr2,0.98,8.89e-02,1.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cyb561,1.18,9.54e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Psmc5,-1,6.98e-02,1.16,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Pitpnc1,1.57,3.39e-02,1.47,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ttyh2,4.22,6.98e-02,1.16,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Grin2c,1.52,8.03e-02,1.1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Armc7,5.87,2.63e-02,1.58,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nup85,2.16,2.72e-02,1.57,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Mif4gd,4.51,9.57e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tmem94,-1.06,4.97e-02,1.3,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Mxra7,4.98,7.29e-02,1.14,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Jmjd6,-1.55,6.31e-02,1.2,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Sept9,-0.73,5.79e-02,1.24,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Usp36,1.4,5.77e-02,1.24,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Endov,-1.47,3.65e-02,1.44,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Bahcc1,1.92,6.07e-02,1.22,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nploc4,-1.17,5.84e-02,1.23,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Narf,-1.97,8.13e-03,2.09,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ldah,1.74,4.88e-02,1.31,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Laptm4a,1.02,7.71e-02,1.11,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Smc6,1.43,7.26e-02,1.14,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Lpin1,-1.42,7.32e-02,1.14,standard.yoked vs. conflict.yoked,standard.yoked
CA1,2410004P03Rik,-3.02,3.12e-02,1.51,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Id2,2.43,7.63e-02,1.12,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Acp1,-1.61,2.23e-02,1.65,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Twistnb,4.62,8.09e-02,1.09,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Pnpla8,0.82,6.83e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nfkbia,1.58,7.77e-02,1.11,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Prpf39,1.77,2.04e-02,1.69,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Timm9,-2.59,2.52e-03,2.6,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Sptb,0.79,5.61e-02,1.25,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tmem229b,2.04,6.19e-02,1.21,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Sipa1l1,1.08,2.15e-02,1.67,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rgs6,5.06,7.78e-02,1.11,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Numb,2.56,6.65e-02,1.18,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Bbof1,-2.53,5.93e-02,1.23,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Abcd4,4.98,2.49e-02,1.6,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nek9,1.54,1.85e-02,1.73,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Vash1,-1.96,2.29e-02,1.64,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gstz1,3.52,4.77e-02,1.32,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Vipas39,-1.19,9.06e-02,1.04,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Nrde2,5.39,4.59e-02,1.34,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ttc7b,1.09,1.21e-02,1.92,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,AK010878,4.49,9.57e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ddx24,-0.8,8.58e-02,1.07,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ankrd9,5.52,3.26e-02,1.49,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zfyve21,-2.86,5.15e-02,1.29,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Tmem121,-1.76,5.74e-02,1.24,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Net1,2.81,6.83e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Larp4b,1.32,3.17e-02,1.5,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Chrm3,1.14,4.18e-02,1.38,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ero1lb,1.83,7.98e-02,1.1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gli3,5.1,6.48e-02,1.19,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zkscan3,1.53,8.75e-02,1.06,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zscan26,-0.91,3.02e-02,1.52,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Zfp184,5.3,9.57e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Lrrc16a,5.42,5.16e-02,1.29,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cdkal1,4.15,7.71e-02,1.11,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ppp1r3g,4.91,5.66e-02,1.25,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rreb1,-1.76,3.71e-02,1.43,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ssr1,1.19,9.25e-02,1.03,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Smim13,0.91,7.50e-02,1.12,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nedd9,3.27,5.77e-02,1.24,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rnf182,2.52,5.39e-02,1.27,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gmpr,-1.02,6.78e-02,1.17,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Id4,2.49,4.21e-02,1.38,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Fgd3,4.93,6.83e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Spin1,0.67,4.38e-02,1.36,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,B4galt7,-1.66,9.19e-02,1.04,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Smad5,1.86,7.00e-02,1.15,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Golm1,-1.41,2.34e-02,1.63,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Cdc14b,4.42,8.86e-02,1.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zfp493,-3.43,9.77e-02,1.01,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Lpcat1,1.38,6.98e-02,1.16,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Vcan,5.81,2.03e-02,1.69,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rps23,-1.3,3.94e-02,1.4,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Serinc5,1.44,2.15e-02,1.67,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ptcd2,-1.58,9.38e-02,1.03,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Serf1,-3.37,9.57e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gtf2h2,-1.91,7.13e-02,1.15,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Erbin,1.98,5.17e-02,1.29,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cwc27,4.29,9.65e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Htr1a,0.87,9.58e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Slc38a9,2.35,6.14e-02,1.21,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Hcn1,0.98,8.15e-02,1.09,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Thoc7,2.35,3.44e-02,1.46,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ndst2,-2.01,4.26e-02,1.37,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Camk2g,1.1,5.67e-02,1.25,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tmem254a,-3.62,3.88e-02,1.41,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Tmem254b,-3.62,3.88e-02,1.41,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Sfmbt1,1.35,7.77e-02,1.11,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Bap1,-0.8,5.17e-02,1.29,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ncoa4,2.47,3.98e-04,3.4,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ercc6,2.76,2.52e-03,2.6,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Grid1,1.28,3.88e-02,1.41,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tspan14,2.93,8.53e-02,1.07,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Socs4,-2.45,5.30e-02,1.28,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Peli2,4.81,3.65e-02,1.44,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Slc35f4,4.23,9.58e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,3632451O06Rik,2.82,4.56e-02,1.34,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Mettl17,-1.63,7.32e-02,1.14,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Mettl3,-1.58,6.98e-02,1.16,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Abhd4,1.65,9.48e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rem2,1.56,8.89e-02,1.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Acin1,-1.48,7.21e-03,2.14,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Cpne6,-0.5,5.71e-02,1.24,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Pck2,1.72,8.89e-02,1.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Irf9,5.37,3.71e-02,1.43,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Mdp1,2.03,5.17e-02,1.29,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gmpr2,-1.56,9.32e-02,1.03,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Lats2,2.67,4.38e-04,3.36,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cdadc1,-1.3,9.32e-02,1.03,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Wdfy2,3.11,8.53e-02,1.07,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Mtmr9,-1.14,8.16e-02,1.09,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Kif13b,1.93,5.66e-02,1.25,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Stmn4,0.95,6.72e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gm21685,1.35,9.77e-02,1.01,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Chmp7,-0.89,8.51e-02,1.07,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Bin3,-2.68,8.76e-02,1.06,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Hr,4.89,6.73e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cog3,1.86,1.21e-02,1.92,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tdrd3,-1.5,8.00e-02,1.1,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Slain1,-1.42,7.77e-02,1.11,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Slitrk1,-0.79,6.47e-02,1.19,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Slitrk5,-0.76,4.73e-02,1.33,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Abcc4,4.08,7.86e-02,1.1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ipo5,-0.79,3.08e-02,1.51,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Farp1,1.47,8.76e-02,1.06,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ubac2,1.72,2.33e-02,1.63,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Clybl,-2.6,2.34e-02,1.63,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Nalcn,1.13,7.87e-02,1.1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cdh10,1.5,5.62e-02,1.25,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cdh12,5.27,4.64e-02,1.33,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Basp1,-0.62,5.16e-02,1.29,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Myo10,2.07,4.04e-02,1.39,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zfp622,1.84,4.29e-02,1.37,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ank,0.86,9.95e-02,1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Eny2,1.91,2.71e-02,1.57,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Csmd3,1.92,6.31e-02,1.2,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Fbxo32,3.35,6.14e-02,1.21,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zfat,2.75,8.02e-02,1.1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Slc45a4,2.02,4.21e-02,1.38,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zfp707,4.09,7.77e-02,1.11,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Parp10,-4.28,6.72e-02,1.17,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Mfsd3,-3,5.17e-02,1.29,standard.yoked vs. conflict.yoked,standard.yoked
CA1,C1qtnf6,-5.38,2.72e-02,1.57,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Pick1,-1.09,7.71e-02,1.11,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ep300,1.08,9.11e-02,1.04,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Smdt1,-1.53,7.21e-02,1.14,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Arfgap3,-1.41,4.96e-02,1.3,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Efcab6,-1.74,6.41e-02,1.19,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Pnpla3,-2.16,2.49e-02,1.6,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Fbln1,4.6,9.74e-02,1.01,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Atxn10,-0.61,3.61e-02,1.44,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Hdac10,-2.1,3.71e-02,1.43,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ppp6r2,-0.64,8.89e-02,1.05,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gxylt1,3.04,2.49e-02,1.6,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Slc38a1,0.91,8.53e-02,1.07,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rpap3,2.64,7.77e-02,1.11,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zfp641,5.04,5.07e-02,1.29,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Kansl2,1.27,9.69e-02,1.01,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Adcy6,1.77,8.86e-02,1.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Spats2,1.94,6.72e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Fmnl3,4.99,6.72e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gpd1,-0.86,1.98e-02,1.7,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Acvr1b,0.89,4.38e-02,1.36,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zfp385a,-1.8,6.07e-02,1.22,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Vasn,5.06,6.79e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Mgrn1,-0.56,9.51e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Nudt16l1,-1.16,9.54e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Tmem186,4.06,8.76e-02,1.06,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Mpv17l,1.42,4.06e-02,1.39,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Prkdc,1.5,7.63e-02,1.12,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ppil2,-0.9,8.86e-02,1.05,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Arvcf,-1.3,5.64e-02,1.25,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Klhl24,1.47,8.53e-02,1.07,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Senp2,0.79,8.72e-02,1.06,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Bcl6,1.07,8.83e-02,1.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Hrasls,-2.08,6.49e-02,1.19,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Atp13a4,-2.29,9.80e-02,1.01,standard.yoked vs. conflict.yoked,standard.yoked
