tissue,gene,lfc,padj,logpadj,comparison,direction
CA1,Smo,4.58,9.86e-02,1.01,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nrf1,-2.1,4.28e-03,2.37,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Mest,2.81,9.59e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Podxl,5.75,2.48e-02,1.61,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Plxna4,1.12,3.04e-02,1.52,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ubn2,-1.36,4.52e-02,1.34,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Braf,1.06,6.75e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cntnap2,0.78,9.48e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Pdia4,1.75,7.54e-02,1.12,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zfp746,-1.56,9.58e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Skap2,-2.06,5.34e-02,1.27,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Fkbp14,3.63,8.22e-02,1.09,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Plekha8,-2.13,4.26e-02,1.37,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Mturn,0.74,5.30e-02,1.28,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tgoln1,1.58,8.98e-04,3.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Mrpl53,2.95,6.19e-02,1.21,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Sfxn5,1.24,6.72e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gfpt1,1.32,7.57e-02,1.12,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rab43,-1.47,7.21e-02,1.14,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Chchd4,-1.3,6.78e-02,1.17,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Lhfpl4,1.36,1.21e-02,1.92,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ogg1,5.38,5.95e-02,1.23,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Efcab12,-2.68,6.31e-02,1.2,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Cxcl12,3.38,6.17e-02,1.21,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ankrd26,4.66,7.13e-02,1.15,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cacna1c,-1.19,5.84e-02,1.23,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Wnk1,1.02,5.83e-02,1.23,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Pex26,4.83,6.19e-02,1.21,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Iqsec3,0.85,7.84e-02,1.11,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Dusp16,3.91,8.89e-02,1.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ddx47,-1.38,4.08e-02,1.39,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Grin2b,1.16,5.84e-02,1.23,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Wbp11,1.11,6.74e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Eps8,2.22,5.77e-02,1.24,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Slco1a4,6.09,1.76e-02,1.75,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ppfibp1,6.03,3.17e-02,1.5,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Fam60a,-2.89,3.76e-02,1.43,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Rps9,-0.88,9.58e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Tnnt1,-5.29,2.72e-02,1.57,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Zfp78,-4.65,2.71e-02,1.57,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Smim17,-1.73,6.83e-02,1.17,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gm20715,-3.36,5.77e-02,1.24,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Zfp772,2.11,7.69e-02,1.11,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,6330408A02Rik,5.69,3.17e-02,1.5,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ehd2,5.21,5.49e-02,1.26,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Dhx34,5.68,4.12e-02,1.38,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nanos2,-5.57,4.96e-02,1.3,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Irf2bp1,-1.16,5.05e-02,1.3,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Snrpd2,-1.73,3.08e-02,1.51,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ppp1r13l,-3.56,3.26e-02,1.49,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Plaur,4.95,6.93e-02,1.16,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ethe1,-3.02,6.83e-02,1.17,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Zfp526,2.8,9.25e-02,1.03,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cic,0.67,7.56e-02,1.12,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Axl,2.15,3.26e-02,1.49,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,BC024978,2.21,5.39e-02,1.27,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Akt2,-1.05,5.64e-02,1.25,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Sars2,-1.88,9.58e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Zfp84,2.36,9.25e-02,1.03,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Zfp420,-2.71,4.21e-02,1.38,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Zfp146,-1.55,5.84e-02,1.23,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Tbcb,1.42,6.19e-02,1.21,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Sbsn,-3,4.66e-02,1.33,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Pdcd2l,5.13,4.96e-02,1.3,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Kctd15,1.43,8.23e-02,1.08,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Dpy19l3,1.31,5.83e-02,1.23,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tshz3,-3.24,3.57e-02,1.45,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Zfp536,4.86,5.79e-02,1.24,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Vstm2b,-1.59,7.71e-02,1.11,standard.yoked vs. conflict.yoked,standard.yoked
CA1,2410002F23Rik,2.11,1.39e-03,2.86,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Clec11a,-2.71,9.25e-02,1.03,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gys1,-1.63,6.86e-02,1.16,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Bax,-1.68,2.34e-02,1.63,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Rasip1,5.38,3.17e-02,1.5,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tmem143,2.71,9.97e-02,1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Prmt3,1.9,8.76e-02,1.06,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nell1,1.51,6.83e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tubgcp5,-1.6,7.13e-02,1.15,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gm38393,-3.18,6.72e-02,1.17,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Fan1,4.72,8.20e-02,1.09,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tjp1,1.34,5.79e-02,1.24,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Arrdc4,-2.18,2.04e-02,1.69,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ntrk3,1.19,3.12e-02,1.51,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Det1,5.18,5.84e-02,1.23,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Sema4b,3,5.30e-02,1.28,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rccd1,-3.29,2.72e-02,1.56,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Crtc3,2.81,5.71e-02,1.24,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Eed,5.18,4.67e-02,1.33,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Prcp,4.55,8.19e-02,1.09,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Capn5,-1.66,2.92e-02,1.53,standard.yoked vs. conflict.yoked,standard.yoked
