"APA2","TrainSessionComboNum","m","se"
"yoked-consistent",1,0.009225,0.00284088454534851
"yoked-consistent",2,0.0069,0.00238012604708238
"yoked-consistent",3,0.0127875,0.00292296556233073
"yoked-consistent",4,0.018875,0.00603299706376761
"yoked-consistent",5,0.0240375,0.0130824437633581
"yoked-consistent",6,0.0062125,0.00236857684063659
"yoked-consistent",7,0.0046875,0.0026096960345713
"yoked-consistent",8,0.0163625,0.0106358715389411
"yoked-consistent",9,0.0100625,0.00373859873959673
"yoked-conflict",1,0.00525555555555556,0.0021093779435279
"yoked-conflict",2,0.0176222222222222,0.00991426830630394
"yoked-conflict",3,0.007,0.00240323855569012
"yoked-conflict",4,0.0119,0.00509820229754241
"yoked-conflict",5,0.0104,0.00363015916394248
"yoked-conflict",6,0.0136555555555556,0.0057267673427101
"yoked-conflict",7,0.00936666666666667,0.00406724722631905
"yoked-conflict",8,0.0207888888888889,0.0106385364026319
"yoked-conflict",9,0.0195444444444444,0.00493792329018517
"consistent",1,0.0099875,0.00208921016346917
"consistent",2,0.013325,0.00544641920373902
"consistent",3,0.0030625,0.000992640328330746
"consistent",4,0.0030125,0.00156061314644506
"consistent",5,0.00365,0.00100427656976125
"consistent",6,0.0031,0.00121346610995116
"consistent",7,0.005125,0.00183641245756113
"consistent",8,0.0066125,0.00238839736314662
"consistent",9,0.0120625,0.00333873037781045
"conflict",1,0.00912222222222222,0.00263358531377631
"conflict",2,0.00986666666666667,0.00371972967954513
"conflict",3,0.00564444444444444,0.00171570451281934
"conflict",4,0.00286666666666667,0.00101844107449681
"conflict",5,0.00497777777777778,0.00124094249327071
"conflict",6,0.00244444444444444,0.00100112590937392
"conflict",7,0.00233333333333333,0.00092135166407235
"conflict",8,0.00294444444444444,0.000879884953197972
"conflict",9,0.00977777777777778,0.00488801759912776
