Sample Name,Dups,GC,Length,MillionReads,QualityFiltered
147C_DG_3_S72_L003_R1_001,0.56,0.49,150,7.1,No
147C_DG_3_S72_L003_R2_001,0.48,0.48,150,7.1,No
147D_CA3_1_S74_L003_R1_001,0.85,0.48,150,8.4,No
147D_CA3_1_S74_L003_R2_001,0.74,0.48,150,8.4,No
147D_DG_1_S75_L003_R1_001,0.86,0.49,150,18.3,No
147D_DG_1_S75_L003_R2_001,0.75,0.49,150,18.3,No
147_CA1_4_S76_L003_R1_001,0.89,0.46,150,1.5,No
147_CA1_4_S76_L003_R2_001,0.78,0.45,150,1.5,No
147_CA3_4_S77_L003_R1_001,0.94,0.48,150,4.6,No
147_CA3_4_S77_L003_R2_001,0.85,0.46,150,4.6,No
147_DG_4_S78_L003_R1_001,0.94,0.44,150,4,No
147_DG_4_S78_L003_R2_001,0.83,0.44,150,4,No
148A_CA1_3_S79_L003_R1_001,0.69,0.49,150,8.1,No
148A_CA1_3_S79_L003_R2_001,0.62,0.49,150,8.1,No
148A_CA3_3_S80_L003_R1_001,0.81,0.49,150,5.7,No
148A_CA3_3_S80_L003_R2_001,0.70,0.48,150,5.7,No
148A_DG_3_S81_L003_R1_001,0.84,0.49,150,9.7,No
148A_DG_3_S81_L003_R2_001,0.73,0.47,150,9.7,No
148B_CA1_4_S82_L003_R1_001,0.90,0.46,150,2.6,No
148B_CA1_4_S82_L003_R2_001,0.81,0.45,150,2.6,No
148B_CA3_4_S83_L003_R1_001,0.94,0.54,150,37.9,No
148B_CA3_4_S83_L003_R2_001,0.86,0.54,150,37.9,No
148B_DG_4_S84_L003_R1_001,0.72,0.49,150,3.1,No
148B_DG_4_S84_L003_R2_001,0.64,0.49,150,3.1,No
148_CA1_2_S85_L003_R1_001,0.91,0.47,150,6.1,No
148_CA1_2_S85_L003_R2_001,0.79,0.45,150,6.1,No
148_CA3_2_S86_L003_R1_001,0.87,0.47,150,7.1,No
148_CA3_2_S86_L003_R2_001,0.75,0.46,150,7.1,No
148_DG_2_S87_L003_R1_001,0.88,0.49,150,5.1,No
148_DG_2_S87_L003_R2_001,0.76,0.48,150,5.1,No
142C_CA1_S_S19_L003_R1_001,0.83,0.48,149,8.5,Yes
142C_CA1_S_S19_L003_R2_001,0.75,0.49,150,8.5,Yes
142C_DG_S_S21_L003_R1_001,0.69,0.49,146,7.5,Yes
142C_DG_S_S21_L003_R2_001,0.59,0.49,149,7.5,Yes
143A_CA3_1_S35_L002_R1_001,0.75,0.50,148,4.4,Yes
143A_CA3_1_S35_L002_R2_001,0.64,0.50,150,4.4,Yes
143A_DG_1_S36_L002_R1_001,0.67,0.50,148,6.7,Yes
143A_DG_1_S36_L002_R2_001,0.57,0.50,150,6.7,Yes
143B_CA1_1_S37_L002_R1_001,0.64,0.49,148,2.3,Yes
143B_CA1_1_S37_L002_R2_001,0.54,0.49,150,2.3,Yes
143B_DG_1_S38_L002_R1_001,0.59,0.49,148,3.1,Yes
143B_DG_1_S38_L002_R2_001,0.50,0.49,150,3.1,Yes
143C_CA1_1_S39_L002_R1_001,0.55,0.50,148,2.7,Yes
143C_CA1_1_S39_L002_R2_001,0.45,0.50,150,2.7,Yes
143C_CA1_S_S20_L003_R1_001,0.64,0.49,149,9.9,Yes
143C_CA1_S_S20_L003_R2_001,0.57,0.49,150,9.9,Yes
143C_DG_S_S22_L003_R1_001,0.78,0.50,144,7,Yes
143C_DG_S_S22_L003_R2_001,0.65,0.50,148,7,Yes
143D_CA1_3_S40_L002_R1_001,0.76,0.49,147,1.9,Yes
143D_CA1_3_S40_L002_R2_001,0.63,0.49,150,1.9,Yes
143D_DG_3_S41_L002_R1_001,0.50,0.49,148,1.6,Yes
143D_DG_3_S41_L002_R2_001,0.42,0.49,150,1.6,Yes
144A_CA1_2_S42_L002_R1_001,0.55,0.49,148,4.1,Yes
144A_CA1_2_S42_L002_R2_001,0.49,0.50,150,4.1,Yes
144A_CA3_2_S43_L002_R1_001,0.32,0.46,147,1,Yes
144A_CA3_2_S43_L002_R2_001,0.25,0.46,150,1,Yes
144A_DG_2_S44_L002_R1_001,0.69,0.49,147,4.5,Yes
144A_DG_2_S44_L002_R2_001,0.58,0.49,150,4.5,Yes
144B_CA1_1_S45_L002_R1_001,0.76,0.49,148,3.6,Yes
144B_CA1_1_S45_L002_R2_001,0.66,0.49,150,3.6,Yes
144B_CA3_1_S46_L002_R1_001,0.96,0.55,149,22.8,Yes
144B_CA3_1_S46_L002_R2_001,0.89,0.55,150,22.8,Yes
144C_CA1_2_S47_L002_R1_001,0.66,0.50,148,4.7,Yes
144C_CA1_2_S47_L002_R2_001,0.58,0.50,150,4.7,Yes
144C_CA3_2_S48_L002_R1_001,0.63,0.49,147,1.7,Yes
144C_CA3_2_S48_L002_R2_001,0.53,0.49,150,1.7,Yes
144C_DG_2_S49_L002_R1_001,0.34,0.48,146,3.5,Yes
144C_DG_2_S49_L002_R2_001,0.29,0.49,150,3.5,Yes
144D_CA3_2_S50_L002_R1_001,0.62,0.50,147,3.1,Yes
144D_CA3_2_S50_L002_R2_001,0.52,0.50,150,3.1,Yes
144D_DG_2_S51_L002_R1_001,0.45,0.50,148,6.1,Yes
144D_DG_2_S51_L002_R2_001,0.39,0.50,150,6.1,Yes
145A_CA1_2_S52_L002_R1_001,0.75,0.50,148,5.8,Yes
145A_CA1_2_S52_L002_R2_001,0.65,0.50,150,5.8,Yes
145A_CA3_2_S53_L002_R1_001,0.65,0.46,144,0.7,Yes
145A_CA3_2_S53_L002_R2_001,0.51,0.47,148,0.7,Yes
145A_DG_2_S54_L002_R1_001,0.52,0.49,148,2,Yes
145A_DG_2_S54_L002_R2_001,0.43,0.49,150,2,Yes
145B_CA1_1_S55_L002_R1_001,0.78,0.48,148,3.3,Yes
145B_CA1_1_S55_L002_R2_001,0.68,0.48,150,3.3,Yes
145B_DG_1_S57_L002_R1_001,0.63,0.49,148,2.4,Yes
145B_DG_1_S57_L002_R2_001,0.52,0.49,150,2.4,Yes
146A_CA1_2_S58_L003_R1_001,0.46,0.49,147,2.3,Yes
146A_CA1_2_S58_L003_R2_001,0.39,0.50,150,2.3,Yes
146A_CA3_2_S59_L003_R1_001,0.78,0.48,148,3.9,Yes
146A_CA3_2_S59_L003_R2_001,0.66,0.49,150,3.9,Yes
146A_DG_2_S60_L003_R1_001,0.30,0.49,144,1.8,Yes
146A_DG_2_S60_L003_R2_001,0.21,0.49,149,1.8,Yes
146B_CA1_2_S61_L003_R1_001,0.58,0.49,137,1.9,Yes
146B_CA1_2_S61_L003_R2_001,0.42,0.48,146,1.9,Yes
146B_CA3_2_S62_L003_R1_001,0.67,0.49,148,3,Yes
146B_CA3_2_S62_L003_R2_001,0.56,0.49,150,3,Yes
146B_DG_2_S63_L003_R1_001,0.63,0.47,139,0.6,Yes
146B_DG_2_S63_L003_R2_001,0.50,0.46,146,0.6,Yes
146C_CA1_4_S64_L003_R1_001,0.59,0.44,143,6.5,Yes
146C_CA1_4_S64_L003_R2_001,0.51,0.45,150,6.5,Yes
146C_DG_4_S66_L003_R1_001,0.55,0.49,145,0.9,Yes
146C_DG_4_S66_L003_R2_001,0.44,0.49,149,0.9,Yes
146D_CA1_3_S67_L003_R1_001,0.78,0.48,145,1.5,Yes
146D_CA1_3_S67_L003_R2_001,0.66,0.47,149,1.5,Yes
146D_CA3_3_S68_L003_R1_001,0.80,0.48,147,4.6,Yes
146D_CA3_3_S68_L003_R2_001,0.66,0.48,150,4.6,Yes
146D_DG_3_S69_L003_R1_001,0.65,0.48,146,0.5,Yes
146D_DG_3_S69_L003_R2_001,0.54,0.49,149,0.5,Yes
147C_CA1_3_S70_L003_R1_001,0.56,0.48,148,4.9,Yes
147C_CA1_3_S70_L003_R2_001,0.47,0.48,150,4.9,Yes
147C_CA3_3_S71_L003_R1_001,0.84,0.48,148,7.7,Yes
147C_CA3_3_S71_L003_R2_001,0.71,0.49,150,7.7,Yes
147C_DG_3_S72_L003_R1_001,0.50,0.49,148,6.2,Yes
147C_DG_3_S72_L003_R2_001,0.41,0.49,150,6.2,Yes
147D_CA3_1_S74_L003_R1_001,0.80,0.49,148,6.2,Yes
147D_CA3_1_S74_L003_R2_001,0.67,0.49,150,6.2,Yes
147D_DG_1_S75_L003_R1_001,0.84,0.49,149,16.1,Yes
147D_DG_1_S75_L003_R2_001,0.71,0.50,150,16.1,Yes
147_CA1_4_S76_L003_R1_001,0.78,0.48,147,0.7,Yes
147_CA1_4_S76_L003_R2_001,0.66,0.48,150,0.7,Yes
