"","pval","direction","color"
"1/35 oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.0134222979750654,1,"salmon"
"0/62 hydrogen ion transmembrane transporter activity",0.0213857559406248,1,"salmon"
"4/132 core promoter binding",0.0592791211888577,0,"red"
"8/794 poly(A) RNA binding",0.0134222979750654,0,"red"
"6/62 unfolded protein binding",0.0134222979750654,0,"red"
