"","pval","direction","color","goodgenes","GOterm","Punch"
"1/19 mitogen-activated protein kinase kinase binding",0.0676102638210396,0,"grey20","1/19","mitogen-activated protein kinase kinase binding","CA3"
"4/86 structural constituent of ribosome",8.85322494521683e-14,0,"grey20","4/86","structural constituent of ribosome","CA3"
"27/302 structural molecule activity",6.35974407723128e-09,0,"grey20","27/302","structural molecule activity","CA3"
