"","pval","direction","color"
"0/66 exonuclease activity",0.0732609732180479,0,"grey20"
"1/61 hydrogen ion transmembrane transporter activity",0.0387096173068017,1,"grey60"
"4/559 oxidoreductase activity",0.0387096173068017,1,"grey60"
